"","Name","ID","Salary","AvgPointsPerGame","fpts","proj_own","ceil","floor","make_cut","first_round_lead","top_30","top_20","top_10","top_5","top_3","win","observed_finish","ownership","total_pts","odds_per_dollar","residuals","own_change","adj_own","date","tournament"
"1","Scottie Scheffler",22991915,11300,89.94,63.38,8.8,81,27,0.7924,0.0234,0.6179,0.5068,0.333,0.2068,0.1412,0.0571,2,0.0913,93.5,5.05,-0.77,-0.12,9,2022-06-19,"US Open"
"2","Justin Thomas",22991916,10900,97.22,69.03,11.4,85.5,52.5,0.7996,0.0238,0.6295,0.5151,0.3386,0.212,0.1441,0.0582,37,0.1808,49.5,5.34,0.25,0.04,11,2022-06-19,"US Open"
"3","Jon Rahm",22991917,10800,82.08,63.43,17.7,81.5,27.5,0.7998,0.0363,0.6178,0.4976,0.3282,0.2008,0.1362,0.0545,12,0.1236,65,5.05,0.14,0.02,18,2022-06-19,"US Open"
"4","Rory McIlroy",22991918,10500,89.39,68.45,21.5,85.5,50,0.8382,0.0479,0.6868,0.5827,0.4109,0.2718,0.1945,0.0862,5,0.2316,75,8.21,3.79,0.57,22,2022-06-19,"US Open"
"5","Cameron Smith",22991919,10200,86.38,57.89,7.1,77,24.5,0.6984,0.0132,0.4661,0.3504,0.1996,0.1088,0.0677,0.0229,100,0.0795,18,2.25,-1.72,-0.26,7,2022-06-19,"US Open"
"6","Collin Morikawa",22991920,10000,77.87,53.77,8.5,74,23.5,0.6944,0.02,0.4365,0.3176,0.1756,0.0925,0.0564,0.0192,5,0.0614,74,1.92,-1.78,-0.27,8,2022-06-19,"US Open"
"7","Viktor Hovland",22991921,9700,88.79,53.82,6.4,74.5,23.5,0.6582,0.01,0.3999,0.2834,0.1491,0.0751,0.0447,0.0139,100,0.062,20,1.43,-1.88,-0.28,6,2022-06-19,"US Open"
"8","Xander Schauffele",22991922,9600,83.57,65.29,25.6,83,29.5,0.7448,0.0232,0.5151,0.3905,0.23,0.1261,0.0786,0.0277,14,0.1811,63,2.89,-0.3,-0.04,26,2022-06-19,"US Open"
"9","Jordan Spieth",22991923,9500,73.47,59.34,10.1,78,25,0.7012,0.021,0.4525,0.3355,0.189,0.1002,0.0629,0.0214,37,0.0996,54,2.25,-0.82,-0.12,10,2022-06-19,"US Open"
"10","Dustin Johnson",22991924,9400,62.72,55.59,2.6,75.5,23.5,0.6456,0.0099,0.3897,0.2794,0.1481,0.0747,0.0439,0.0145,24,0.037,53,1.54,-1.42,-0.21,2,2022-06-19,"US Open"
"11","Will Zalatoris",22991925,9300,70.53,57.14,18.7,76.5,24,0.7617,0.026,0.5384,0.4158,0.2508,0.1446,0.094,0.0357,2,0.2188,86.5,3.84,0.99,0.15,19,2022-06-19,"US Open"
"12","Patrick Cantlay",22991926,9200,82.15,62.82,13.6,80.5,27,0.7672,0.0285,0.5605,0.443,0.275,0.1621,0.1066,0.0412,14,0.12,64,4.48,1.74,0.26,14,2022-06-19,"US Open"
"13","Hideki Matsuyama",22991927,9100,81.91,53.29,12.4,73.5,23,0.7154,0.0227,0.4726,0.3526,0.2029,0.1105,0.0675,0.0234,4,0.0768,73.5,2.57,-0.07,-0.01,12,2022-06-19,"US Open"
"14","Shane Lowry",22991928,9000,73.25,60.6,19.2,78,26,0.7292,0.0141,0.5058,0.3843,0.2239,0.1234,0.0788,0.0274,100,0.1754,20,3.04,0.5,0.07,19,2022-06-19,"US Open"
"15","Joaquin Niemann",22991929,8900,76.06,58.24,13.2,77,24.5,0.7328,0.0215,0.492,0.3651,0.2072,0.1122,0.0696,0.0237,47,0.127,45.5,2.66,0.22,0.03,13,2022-06-19,"US Open"
"16","Cameron Young",22991930,8800,69.97,55.4,12.6,75,23.5,0.6859,0.019,0.4289,0.3116,0.1703,0.0895,0.0534,0.0179,100,0.0934,38,2.03,-0.32,-0.05,13,2022-06-19,"US Open"
"17","Brooks Koepka",22991931,8700,57,52.68,6.9,73,23,0.6047,0.008,0.333,0.2292,0.1135,0.0543,0.0299,0.0092,55,0.0823,47,1.06,-1.2,-0.18,7,2022-06-19,"US Open"
"18","Billy Horschel",22991932,8600,75.54,50.86,4.7,71.5,22.5,0.6477,0.014,0.364,0.249,0.1264,0.0616,0.0356,0.011,100,0.0713,23.5,1.28,-0.9,-0.14,5,2022-06-19,"US Open"
"19","Daniel Berger",22991934,8400,72.86,57.38,10.5,76,24.5,0.6403,0.0138,0.3633,0.2493,0.1234,0.0596,0.0346,0.0108,100,0.118,21,1.29,-0.72,-0.11,10,2022-06-19,"US Open"
"20","Sam Burns",22991935,8300,80.79,56.35,18.8,76,24,0.6976,0.0155,0.4652,0.347,0.1963,0.108,0.0675,0.0235,27,0.2363,53,2.83,0.9,0.14,19,2022-06-19,"US Open"
"21","Tony Finau",22991936,8200,68.65,58.35,15.7,77.5,24.5,0.695,0.0118,0.4543,0.3298,0.1824,0.0955,0.0578,0.0193,100,0.2021,19.5,2.35,0.51,0.08,16,2022-06-19,"US Open"
"22","Max Homa",22991937,8100,75.8,53.21,17.6,73.5,23,0.6575,0.0166,0.3833,0.2696,0.1407,0.0716,0.0427,0.0132,47,0.192,47.5,1.63,-0.12,-0.02,18,2022-06-19,"US Open"
"23","Tyrrell Hatton",22991938,8000,71.82,53.4,3.3,74,23,0.5731,0.0064,0.2942,0.1941,0.0925,0.0429,0.0248,0.0071,56,0.0382,39,0.89,-0.76,-0.11,3,2022-06-19,"US Open"
"24","Bryson DeChambeau",22991939,7900,46.92,45.56,0.72,68.5,21,0.444,0.0032,0.164,0.0963,0.0394,0.0163,0.0088,0.0022,56,0.015,37,0.28,-1.27,-0.19,1,2022-06-19,"US Open"
"25","Corey Conners",22991940,7900,69.97,56.24,15.6,75.5,24,0.6677,0.0096,0.4125,0.2922,0.1522,0.0779,0.0459,0.0153,100,0.1364,21.5,1.94,0.39,0.06,16,2022-06-19,"US Open"
"26","Mito Pereira",22991941,7800,71.17,55.21,15.2,75.5,23.5,0.6391,0.0091,0.3734,0.2584,0.1311,0.0655,0.0377,0.0111,100,0.1291,21.5,1.42,-0.02,0,15,2022-06-19,"US Open"
"27","Aaron Wise",22991942,7800,70.91,51.96,11.4,72.5,22.5,0.6702,0.0165,0.4018,0.2866,0.1503,0.0779,0.047,0.0153,27,0.0899,57,1.96,0.52,0.08,11,2022-06-19,"US Open"
"28","Tommy Fleetwood",22991944,7700,71.8,55.34,13.5,75.5,23.5,0.6282,0.0078,0.3528,0.2413,0.1182,0.0565,0.0327,0.0092,100,0.1751,14,1.19,-0.14,-0.02,13,2022-06-19,"US Open"
"29","Louis Oosthuizen",22991945,7600,61.44,53.84,6.8,74,23,0.6177,0.0084,0.3492,0.2445,0.1245,0.0619,0.0362,0.0118,100,0.0602,21.5,1.55,0.33,0.05,7,2022-06-19,"US Open"
