player_id,team,opp,pos,name,fpts,proj_own,min_exposure,max_exposure,salary,custom,rg_id,partner_id
1380562,TA&M,MSST,WR,Jake Johnson,0.49,0,0,0,3000,,,1380562
1400516,IL,WISC,WR,Henry Boyer,,0,0,0,3000,,,1400516
1381541,TA&M,MSST,WR,Dylan Pendergast,,0,0,0,3000,,,1381541
1164951,WISC,IL,QB,Graham Mertz,12.52,1,0,0,5100,,,1164951
1066941,TCU,OU,WR,Carter Ware,,0,0,0,3000,,,1066941
1381310,OU,TCU,WR,Kaden Helms,0.63,0,0,0,3000,,,1381310
1401627,WISC,IL,WR,Tommy McIntosh,,0,0,0,3000,,,1401627
1228729,TTU,KSU,WR,Loic Fouonji,2.81,0,0,0,4800,,,1228729
1229818,TCU,OU,QB,Luke Pardee,,0,0,0,4500,,,1229818
1287920,MINN,PUR,WR,Jameson Geers,,0,0,0,3000,,,1287920
1395973,MISS,UK,WR,Mac Owen,,0,0,0,3000,,,1395973
1161112,KSU,TTU,WR,Jadon Jackson,,0,0,0,3000,,,1161112
1395863,ARK,BAMA,WR,Isaiah Sategna,,0,0,0,3000,,,1395863
1381343,ARK,BAMA,WR,Hunter Talley,,0,0,0,3000,,,1381343
1395874,NAVY,AF,RB,Eli Heidenreich,,0,0,0,3000,,,1395874
1381354,ARK,BAMA,WR,Quincey McAdoo,,0,0,0,3000,,,1381354
1177601,WAKE,FSU,WR,Jarrett Brown,,0,0,0,3000,,,1177601
1164533,MICH,IOWA,WR,Erick All,,0,0,0,3500,,,1164533
1187644,AF,NAVY,WR,Dane Kinamon,,0,0,0,4300,,,1187644
1395896,NAVY,AF,RB,TK Kocak,,0,0,0,3000,,,1395896
1231820,TA&M,MSST,RB,Devon Achane,23.7,33,0,0,6400,,,1231820
1168911,IOWA,MICH,RB,Nolan Donald,,0,0,0,3000,,,1168911
1176413,IL,WISC,RB,Nick Fedanzo,,0,0,0,3000,,,1176413
1187666,KSU,TTU,RB,Jake Huggins,,0,0,0,3000,,,1187666
1121975,PUR,MINN,WR,Broc Thompson,,0,0,0,3300,,,1121975
1396403,BAY,OKST,WR,Cody Mladenka,,0,0,0,3000,,,1396403
1293069,KU,ISU,WR,Majik Rector,,0,0,0,3000,,,1293069
1121744,ISU,KU,WR,Beau Coberley,,0,0,0,3000,,,1121744
1286425,OKST,BAY,WR,Blaine Green,,0,0,0,3000,,,1286425
1230402,PUR,MINN,WR,Collin Sullivan,0.55,0,0,0,3000,,,1230402
1399934,BAMA,ARK,WR,Miles Kitselman,0.73,0,0,0,3000,,,1399934
1288735,BAMA,ARK,WR,Hayden Neighbors,,0,0,0,3000,,,1288735
1385546,MINN,PUR,WR,Frank Bierman,,0,0,0,3000,,,1385546
1252688,AF,NAVY,RB,Owen Burk,2.04,0,0,0,3000,,,1252688
1230424,PUR,MINN,WR,Ben Buechel,,0,0,0,3000,,,1230424
1240478,FSU,WAKE,WR,Preston Daniel,,0,0,0,3000,,,1240478
1286337,BAY,OKST,QB,Kyron Drones,,0,0,0,5000,,,1286337
1398504,BAMA,ARK,QB,Amanni Stewart,,0,0,0,4500,,,1398504
1395127,UMD,MSU,WR,Joshua Jennings,,0,0,0,3000,,,1395127
