player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Cooper Kupp,11824,WR,LA,19,207,0,26,11.4,8,77.4,77.8,7,9,2.4,1,36,0,82.6,94.5,1,59,1.2,2,167,41,92.8,155,150.4,53,25.6,7,715,238,5.8,17.4,4.61,0,8.3,17,76.4,50.0,5,10,5.8,5,42,1,74.1,87.2,4,70,1.2,5,405,81,94.1,381,97.8,106,51.2,2,1056,525,6.5,13.0,2.77
Davante Adams,8688,WR,GB,17,177,0,12,9.9,5,71.4,57.1,4,7,2.4,1,30,0,82.6,90.9,1,50,0.0,0,184,40,92.9,171,126.7,56,31.6,6,495,150,3.8,12.4,2.89,0,10.3,5,73.6,40.0,6,15,2.9,2,42,0,85.9,91.3,2,59,0.0,0,313,67,95.2,298,101.2,91,51.4,2,865,363,5.4,12.9,2.9
Diontae Johnson,33441,WR,PIT,17,176,0,25,8.5,3,66.7,44.4,4,9,2.4,1,23,2,74.4,74.1,0,50,0.0,0,212,40,93.9,199,112.9,60,34.1,4,476,279,7.0,11.9,2.39,0,9.9,11,61.7,33.3,3,9,7.4,4,29,0,60.0,71.0,2,45,0.0,0,323,50,92.9,300,76.1,81,46.0,2,479,158,3.2,9.6,1.6
Tyreek Hill,10799,WR,KC,19,172,0,16,10.6,0,70.0,28.6,2,7,10.3,4,25,1,56.2,81.6,2,64,0.0,0,192,35,90.6,174,107.5,50,29.1,4,445,146,4.2,12.7,2.56,0,11.3,12,74.7,28.6,2,7,5.6,4,43,0,74.4,79.7,0,75,0.0,0,381,68,94.5,360,103.1,91,52.9,1,767,288,4.2,11.3,2.13
Stefon Diggs,9579,WR,BUF,19,168,0,4,11.0,5,54.0,28.6,4,14,8.1,3,21,0,62.9,75.3,1,37,0.4,1,254,34,91.3,232,76.4,63,37.5,2,383,91,2.7,11.3,1.65,0,12.1,12,70.1,53.8,7,13,3.2,2,35,0,83.7,77.6,5,57,0.0,0,408,61,95.8,391,75.6,87,51.8,1,735,211,3.5,12.0,1.88
Justin Jefferson,61398,WR,MIN,17,163,0,18,13.7,0,69.4,57.1,4,7,5.6,2,31,0,79.4,92.4,0,37,0.0,0,173,34,91.3,158,137.3,49,30.1,5,510,120,3.5,15.0,3.23,0,13.2,8,67.4,47.4,9,19,7.7,5,34,1,64.0,81.0,1,56,0.0,0,372,60,95.4,355,104.7,89,54.6,2,932,323,5.4,15.5,2.63
D.J. Moore,48267,WR,CAR,17,156,0,5,9.8,0,56.3,35.7,5,14,3.6,1,17,0,75.5,73.2,3,64,0.0,0,183,27,94.5,173,57.4,48,30.8,1,317,149,5.5,11.7,1.83,0,11.8,5,62.5,36.4,4,11,9.8,6,35,1,49.8,72.9,2,29,0.3,1,388,55,95.6,371,82.6,88,56.4,1,721,254,4.6,13.1,1.94
Keenan Allen,7857,WR,LAC,16,150,0,27,8.7,1,65.5,40.0,6,15,11.6,5,25,1,41.2,75.1,2,42,0.0,0,208,38,88.9,185,74.2,58,38.7,0,444,134,3.5,11.7,2.4,0,9.5,2,71.8,50.0,5,10,6.7,4,32,0,69.2,72.8,2,41,0.0,0,391,56,95.4,373,91.2,78,52.0,2,588,195,3.5,10.5,1.58
Mark Andrews,47436,TE,BLT,17,149,0,3,8.4,3,73.3,63.6,7,11,5.7,2,25,0,71.4,91.5,1,43,0.6,1,173,33,92.5,160,127.7,45,30.2,5,397,173,5.2,12.0,2.48,0,12.0,6,70.3,55.6,10,18,1.5,1,43,1,85.0,87.1,7,39,1.5,6,393,64,93.6,368,67.6,91,61.1,0,851,242,3.8,13.3,2.31
Travis Kelce,7844,TE,KC,18,147,0,16,9.0,2,54.5,71.4,5,7,7.7,2,16,0,63.2,75.9,3,69,1.5,3,205,24,88.8,182,70.2,44,29.9,3,299,137,5.7,12.5,1.64,0,7.3,15,74.3,60.0,3,5,5.2,3,39,1,68.7,82.2,2,48,2.5,10,404,55,91.6,370,110.6,74,50.3,3,788,439,8.0,14.3,2.13
