bet_outcome_numeric,open_time,outcome,player_name,close_time,open_odds,close_odds,bet_outcome_text,dg_id,book,event_completed,event_name,market,season,year,event_id
0,2023-06-12 13:27,3,"Scheffler, Scottie",2023-06-15 05:38,+700,+600,loss,18417,draftkings,2023-06-18,U.S. Open,win,2023,2023,26
0,2023-06-12 13:27,T10,"Rahm, Jon",2023-06-15 05:38,+1000,+900,loss,19195,draftkings,2023-06-18,U.S. Open,win,2023,2023,26
0,2023-06-12 13:27,T17,"Koepka, Brooks",2023-06-15 05:38,+1100,+1200,loss,16243,draftkings,2023-06-18,U.S. Open,win,2023,2023,26
0,2023-06-12 13:27,T14,"Cantlay, Patrick",2023-06-15 05:38,+1400,+1600,loss,15466,draftkings,2023-06-18,U.S. Open,win,2023,2023,26
0,2023-06-12 13:27,2,"McIlroy, Rory",2023-06-15 05:38,+1400,+1600,loss,10091,draftkings,2023-06-18,U.S. Open,win,2023,2023,26
0,2023-06-12 13:27,19,"Hovland, Viktor",2023-06-15 05:38,+1800,+1800,loss,18841,draftkings,2023-06-18,U.S. Open,win,2023,2023,26
0,2023-06-12 13:27,T10,"Schauffele, Xander",2023-06-15 05:38,+1800,+1800,loss,19895,draftkings,2023-06-18,U.S. Open,win,2023,2023,26
0,2023-06-12 13:27,4,"Smith, Cameron",2023-06-15 05:38,+2500,+3000,loss,15856,draftkings,2023-06-18,U.S. Open,win,2023,2023,26
0,2023-06-12 13:27,CUT,"Spieth, Jordan",2023-06-15 05:38,+2800,+3000,loss,14636,draftkings,2023-06-18,U.S. Open,win,2023,2023,26
0,2023-06-12 13:27,T14,"Morikawa, Collin",2023-06-15 05:38,+3000,+3000,loss,22085,draftkings,2023-06-18,U.S. Open,win,2023,2023,26
0,2023-06-12 13:27,T27,"Hatton, Tyrrell",2023-06-15 05:38,+3000,+3000,loss,14796,draftkings,2023-06-18,U.S. Open,win,2023,2023,26
0,2023-06-12 13:27,CUT,"Homa, Max",2023-06-15 05:38,+2800,+3000,loss,17538,draftkings,2023-06-18,U.S. Open,win,2023,2023,26
0,2023-06-12 13:27,T17,"Fitzpatrick, Matthew",2023-06-15 05:38,+3500,+3500,loss,17646,draftkings,2023-06-18,U.S. Open,win,2023,2023,26
0,2023-06-12 13:27,T32,"Finau, Tony",2023-06-15 05:38,+4000,+4000,loss,11676,draftkings,2023-06-18,U.S. Open,win,2023,2023,26
0,2023-06-12 13:27,T20,"DeChambeau, Bryson",2023-06-15 05:38,+4000,+4000,loss,19841,draftkings,2023-06-18,U.S. Open,win,2023,2023,26
0,2023-06-12 13:27,T10,"Johnson, Dustin",2023-06-15 05:38,+3500,+4000,loss,12422,draftkings,2023-06-18,U.S. Open,win,2023,2023,26
0,2023-06-12 13:27,T32,"Matsuyama, Hideki",2023-06-15 05:38,+4000,+4500,loss,13562,draftkings,2023-06-18,U.S. Open,win,2023,2023,26
0,2023-06-12 13:27,T5,"Fowler, Rickie",2023-06-15 05:38,+5000,+4500,loss,12965,draftkings,2023-06-18,U.S. Open,win,2023,2023,26
0,2023-06-12 13:27,T5,"Fleetwood, Tommy",2023-06-15 05:38,+4000,+4500,loss,12294,draftkings,2023-06-18,U.S. Open,win,2023,2023,26
0,2023-06-12 13:27,T32,"Young, Cameron",2023-06-15 05:38,+4000,+4500,loss,26651,draftkings,2023-06-18,U.S. Open,win,2023,2023,26
0,2023-06-12 13:27,CUT,"Day, Jason",2023-06-15 05:38,+5000,+5000,loss,9771,draftkings,2023-06-18,U.S. Open,win,2023,2023,26
0,2023-06-12 13:27,CUT,"Rose, Justin",2023-06-15 05:38,+4000,+5000,loss,6093,draftkings,2023-06-18,U.S. Open,win,2023,2023,26
0,2023-06-12 13:27,CUT,"Thomas, Justin",2023-06-15 05:38,+5000,+5000,loss,14139,draftkings,2023-06-18,U.S. Open,win,2023,2023,26
0,2023-06-12 13:27,T32,"Burns, Sam",2023-06-15 05:38,+6000,+6000,loss,19483,draftkings,2023-06-18,U.S. Open,win,2023,2023,26
0,2023-06-12 13:27,CUT,"Im, Sungjae",2023-06-15 05:38,+4500,+6000,loss,17488,draftkings,2023-06-18,U.S. Open,win,2023,2023,26
0,2023-06-12 13:27,CUT,"Scott, Adam",2023-06-15 05:38,+7500,+6500,loss,6430,draftkings,2023-06-18,U.S. Open,win,2023,2023,26
1,2023-06-12 13:27,1,"Clark, Wyndham",2023-06-15 05:38,+6500,+6500,paid in full,23604,draftkings,2023-06-18,U.S. Open,win,2023,2023,26
0,2023-06-12 13:27,T20,"Lowry, Shane",2023-06-15 05:38,+6000,+7000,loss,13900,draftkings,2023-06-18,U.S. Open,win,2023,2023,26
0,2023-06-12 13:27,CUT,"Pereira, Mito",2023-06-15 05:38,+8000,+7500,loss,19455,draftkings,2023-06-18,U.S. Open,win,2023,2023,26
0,2023-06-12 13:27,T39,"Kim, Si Woo",2023-06-15 05:38,+6500,+7500,loss,14609,draftkings,2023-06-18,U.S. Open,win,2023,2023,26
0,2023-06-12 13:27,T56,"Reed, Patrick",2023-06-15 05:38,+7500,+8000,loss,14838,draftkings,2023-06-18,U.S. Open,win,2023,2023,26
0,2023-06-12 13:27,CUT,"Conners, Corey",2023-06-15 05:38,+6500,+8000,loss,17576,draftkings,2023-06-18,U.S. Open,win,2023,2023,26
0,2023-06-12 13:27,T32,"Niemann, Joaquin",2023-06-15 05:38,+8000,+8000,loss,18079,draftkings,2023-06-18,U.S. Open,win,2023,2023,26
0,2023-06-12 13:27,T14,"Henley, Russell",2023-06-15 05:38,+9000,+9000,loss,14578,draftkings,2023-06-18,U.S. Open,win,2023,2023,26
0,2023-06-12 13:27,T5,"Lee, Min Woo",2023-06-15 05:38,+11000,+10000,loss,16841,draftkings,2023-06-18,U.S. Open,win,2023,2023,26
0,2023-06-12 13:27,CUT,"Bradley, Keegan",2023-06-15 05:38,+10000,+10000,loss,13872,draftkings,2023-06-18,U.S. Open,win,2023,2023,26
0,2023-06-12 13:27,T27,"Theegala, Sahith",2023-06-15 05:38,+8000,+10000,loss,23014,draftkings,2023-06-18,U.S. Open,win,2023,2023,26
0,2023-06-12 13:27,T49,"Woodland, Gary",2023-06-15 05:38,+11000,+11000,loss,12577,draftkings,2023-06-18,U.S. Open,win,2023,2023,26
0,2023-06-12 13:27,T20,"McCarthy, Denny",2023-06-15 05:38,+11000,+13000,loss,19870,draftkings,2023-06-18,U.S. Open,win,2023,2023,26
0,2023-06-12 13:27,T8,"Kim, Tom",2023-06-15 05:38,+11000,+13000,loss,24766,draftkings,2023-06-18,U.S. Open,win,2023,2023,26
0,2023-06-12 13:27,T43,"Fox, Ryan",2023-06-15 05:38,+15000,+15000,loss,11889,draftkings,2023-06-18,U.S. Open,win,2023,2023,26
0,2023-06-12 13:27,T8,"English, Harris",2023-06-15 05:38,+15000,+18000,loss,14577,draftkings,2023-06-18,U.S. Open,win,2023,2023,26
0,2023-06-12 13:27,T39,"Cole, Eric",2023-06-15 05:38,+18000,+18000,loss,21756,draftkings,2023-06-18,U.S. Open,win,2023,2023,26
0,2023-06-12 13:27,CUT,"Kitayama, Kurt",2023-06-15 05:38,+18000,+18000,loss,21891,draftkings,2023-06-18,U.S. Open,win,2023,2023,26
0,2023-06-12 13:27,CUT,"Davis, Cameron",2023-06-15 05:38,+15000,+18000,loss,17786,draftkings,2023-06-18,U.S. Open,win,2023,2023,26
0,2023-06-12 13:27,T20,"Mitchell, Keith",2023-06-15 05:38,+20000,+20000,loss,17365,draftkings,2023-06-18,U.S. Open,win,2023,2023,26
