"","G","G","G","G","G","G"
"1",28153648,28153663,28153667,28153668,28153669,28153680
"2",28153649,28153661,28153667,28153668,28153669,28153677
"3",28153648,28153661,28153667,28153668,28153669,28153686
"4",28153648,28153663,28153667,28153669,28153670,28153677
"5",28153648,28153661,28153663,28153670,28153677,28153680
"6",28153648,28153655,28153661,28153677,28153680,28153694
"7",28153649,28153655,28153657,28153677,28153684,28153694
"8",28153649,28153655,28153657,28153677,28153685,28153689
"9",28153649,28153654,28153664,28153665,28153677,28153706
"10",28153653,28153654,28153659,28153665,28153677,28153691
"11",28153645,28153659,28153664,28153665,28153699,28153704
"12",28153645,28153653,28153659,28153675,28153714,28153721
"13",28153645,28153653,28153666,28153675,28153696,28153705
"14",28153652,28153653,28153654,28153666,28153681,28153709
"15",28153645,28153656,28153658,28153681,28153703,28153709
"16",28153645,28153652,28153658,28153690,28153700,28153722
"17",28153646,28153652,28153656,28153682,28153707,28153712
"18",28153646,28153660,28153662,28153673,28153687,28153692
"19",28153646,28153660,28153662,28153672,28153687,28153693
"20",28153646,28153651,28153662,28153671,28153716,28153717
