"","Name","ID","Salary","AvgPointsPerGame","odds_open","odds_close","odds_rank","odds_delta","odds_delta_per","fpts","proj_own","ceil","floor","make_cut","first_round_lead","top_30","top_20","top_10","top_5","top_3","win","observed_finish","odds_per_dollar","residuals","own_change","adj_own","ownership","total_pts","date","tournament"
"29","Harris English",23114172,7600,53.81,0.0039,0.0057,56,0.0018,0.4615,47.07,5.2,77,24.5,0.466,0.0052,0.1669,0.1008,0.0427,0.0182,0.0101,0.0028,19,0.75,-0.58,5.94,11,0.0331,78.5,"2022-06-26","Travelers Championship"
"30","Kevin Kisner",23114173,7500,53.16,0.0057,0.0075,40,0.0018,0.3158,51.95,4.6,81,26,0.5186,0.008,0.2132,0.1357,0.0604,0.0276,0.0153,0.0039,6,1,-0.25,5.76,10,0.0452,91,"2022-06-26","Travelers Championship"
"31","Cameron Davis",23114175,7500,56.39,0.0069,0.0082,36,0.0013,0.1884,59.23,9.6,87,27.5,0.5218,0.0078,0.2187,0.1399,0.062,0.029,0.0169,0.0046,56,1.09,-0.16,4.65,14,NA,NA,"2022-06-26","Travelers Championship"
"32","Jhonattan Vegas",23114176,7500,66.03,0.0088,0.0082,36,-6e-04,-0.0682,65.55,7.9,90.5,28.5,0.5765,0.0066,0.2765,0.1823,0.0859,0.0394,0.0224,0.0066,100,1.09,-0.16,0.79,9,0.0649,22,"2022-06-26","Travelers Championship"
"33","Cameron Tringale",23114177,7400,65,0.0114,0.0113,28,-0.000100000000000001,-0.0088,56.74,8.8,85,26.5,0.6202,0.012,0.33,0.228,0.1159,0.0567,0.0331,0.0095,100,1.53,0.37,1.86,11,0.1069,30.5,"2022-06-26","Travelers Championship"
"34","Mackenzie Hughes",23114178,7400,57.05,0.0075,0.0075,40,0,0,46.22,9.4,76.5,24.5,0.5438,0.006,0.2392,0.1559,0.0714,0.0328,0.0185,0.0049,25,1.01,-0.15,1.98,11,0.0794,76.5,"2022-06-26","Travelers Championship"
"35","Aaron Rai",23114179,7400,58.91,0.0069,0.0073,42,4e-04,0.058,60.15,8.1,87,27,0.5744,0.0065,0.2739,0.1832,0.0884,0.0419,0.0239,0.0066,40,0.99,-0.17,2.78,11,0.063,66.5,"2022-06-26","Travelers Championship"
"36","Tom Hoge",23114180,7400,63.83,0.0102,0.0119,26,0.0017,0.1667,61.28,8.7,87.5,28,0.6197,0.0126,0.3279,0.2288,0.1187,0.0599,0.0357,0.0109,100,1.61,0.45,5.52,14,0.0671,20.5,"2022-06-26","Travelers Championship"
"37","Sahith Theegala",23114181,7300,64.96,0.0054,0.0064,51,0.001,0.1852,57.09,6.4,84.85,27,0.5074,0.0075,0.2027,0.1288,0.0566,0.0232,0.0131,0.0036,2,0.88,-0.19,4.04,10,0.1031,120.5,"2022-06-26","Travelers Championship"
"38","C.T. Pan",23114182,7300,63.05,0.0075,0.0081,37,6e-04,0.08,60.15,6.1,87,27.5,0.5797,0.0094,0.2791,0.1849,0.0896,0.0414,0.0231,0.0065,100,1.11,0.04,3.22,9,0.0478,26,"2022-06-26","Travelers Championship"
"39","Anirban Lahiri",23114183,7300,51.05,0.0057,0.0065,50,0.000799999999999999,0.1404,54.26,3.8,82,26,0.5632,0.0094,0.2616,0.1716,0.0817,0.0377,0.0215,0.0067,100,0.89,-0.18,3.61,7,0.0212,25,"2022-06-26","Travelers Championship"
"40","Ryan Palmer",23114184,7300,52.75,0.0043,0.0056,59,0.0013,0.3023,59.17,1.3,86.85,27.5,0.4466,0.004,0.1556,0.095,0.0404,0.0175,0.0091,0.0025,100,0.77,-0.3,4.74,6,0.0082,29.5,"2022-06-26","Travelers Championship"
