"","Name","ID","Salary","AvgPointsPerGame","odds_open","odds_close","odds_rank","odds_delta","odds_delta_per","fpts","proj_own","ceil","floor","make_cut","first_round_lead","top_30","top_20","top_10","top_5","top_3","win","observed_finish","odds_per_dollar","residuals","own_change","adj_own","ownership","total_pts","date","tournament"
"99","Tyler Duncan",23114246,6400,54.13,0.0057,0.0053,62,-4e-04,-0.0702,50.51,5.1,79.5,25.5,0.5294,0.0056,0.2234,0.1446,0.0671,0.0312,0.017,0.0045,46,0.83,0.36,1.26,6,0.0349,64,"2022-06-26","Travelers Championship"
"100","Brandon Wu",23114249,6300,51.03,0.002,0.0031,86,0.0011,0.55,45.48,0.62,75.5,24,0.4164,0.0042,0.1247,0.074,0.0294,0.0121,0.0065,0.0015,100,0.49,0.06,4.81,5,0.0048,18.5,"2022-06-26","Travelers Championship"
"101","Taylor Moore",23114250,6300,48,0.0032,0.003,90,-2e-04,-0.0625,48,1.2,77.5,24.5,0.4696,0.0039,0.1666,0.1015,0.0418,0.017,0.0087,0.0021,56,0.48,0.05,1.62,3,0.0035,55,"2022-06-26","Travelers Championship"
"102","Robert Streb",23114251,6300,46.79,0.002,0.0027,99,7e-04,0.35,44.65,0.63,74.5,24,0.426,0.003,0.1374,0.0812,0.0332,0.0134,0.0073,0.0016,35,0.43,0,3.65,4,0.0064,78,"2022-06-26","Travelers Championship"
"103","Austin Cook",23114252,6300,43.74,0.002,0.0018,114,-2e-04,-0.1,34.59,0.35,61.85,21,0.3272,0.0018,0.0756,0.0402,0.0128,0.005,0.0022,4e-04,63,0.29,-0.14,1.6,2,0.0023,67.5,"2022-06-26","Travelers Championship"
"104","Henrik Norlander",23114254,6300,46.75,0.002,0.0022,107,2e-04,0.1,50.4,0.41,80.35,25.5,0.4102,0.0037,0.1224,0.0685,0.0265,0.0103,0.0054,0.0011,100,0.35,-0.08,2.41,3,0.0023,24.5,"2022-06-26","Travelers Championship"
"105","Andrew Novak",23114255,6300,51.5,0.002,0.0027,99,7e-04,0.35,49,0.54,79,25,0.3707,0.0034,0.0942,0.0517,0.0185,0.007,0.0036,0.001,46,0.43,0,3.65,4,0.0014,65,"2022-06-26","Travelers Championship"
"106","Roger Sloan",23114256,6300,40.98,0.002,0.0018,114,-2e-04,-0.1,49.03,0.27,78.5,25,0.3635,0.0031,0.0936,0.0506,0.0181,0.0069,0.0034,8e-04,100,0.29,-0.14,1.6,2,0.001,38.5,"2022-06-26","Travelers Championship"
"107","Brandt Snedeker",23114258,6200,45.55,0.002,0.0027,99,7e-04,0.35,45.33,0.88,74.5,24,0.4032,0.0036,0.1152,0.0658,0.0245,0.0095,0.0051,0.001,100,0.44,0.05,3.65,5,0.0108,23,"2022-06-26","Travelers Championship"
"108","Justin Lower",23114259,6200,57.25,0.002,0.0027,99,7e-04,0.35,38.7,0.47,67.5,22.5,0.3887,0.0028,0.1077,0.0606,0.0222,0.0086,0.0042,0.001,100,0.44,0.05,3.65,4,0.0106,22.5,"2022-06-26","Travelers Championship"
"109","Sam Ryder",23114260,6200,49.98,0.0032,0.0029,93,-3e-04,-0.0938,49.45,0.92,78.5,25,0.4561,0.0047,0.1522,0.0913,0.0379,0.0148,0.0075,0.0017,35,0.47,0.08,1.43,2,0.0085,69.5,"2022-06-26","Travelers Championship"
"110","Trey Mullinax",23114261,6200,50.35,0.002,0.0018,114,-2e-04,-0.1,48.97,0.53,79.5,25,0.3471,0.0032,0.0832,0.0446,0.0164,0.0061,0.0032,0.001,100,0.29,-0.1,1.6,2,0.0016,29,"2022-06-26","Travelers Championship"
"111","Kelly Kraft",23114263,6200,41.79,0.002,0.0027,99,7e-04,0.35,37.09,0.57,65.5,22,0.3636,0.0031,0.0934,0.0506,0.0188,0.0075,0.0041,0.001,56,0.44,0.05,3.65,4,0.0027,53,"2022-06-26","Travelers Championship"
"112","Michael Gligic",23114265,6200,48.25,0.002,0.0018,114,-2e-04,-0.1,37.85,0.21,66,22,0.3162,0.0017,0.068,0.035,0.013,0.0044,0.002,3e-04,40,0.29,-0.1,1.6,2,7e-04,71,"2022-06-26","Travelers Championship"
"113","Jim Herman",23114270,6100,42.47,0.002,0.0019,110,-1e-04,-0.05,42.2,0.22,73,23,0.3707,0.004,0.1,0.0561,0.0204,0.008,0.0039,0.0011,100,0.31,-0.04,1.8,2,0.0017,26.5,"2022-06-26","Travelers Championship"
"114","William McGirt",23114274,6100,40.5,0.002,0.0018,114,-2e-04,-0.1,42.55,0.02,72,23.5,0.3751,0.0033,0.1002,0.0553,0.0203,0.0075,0.0038,8e-04,8,0.3,-0.05,1.61,2,3e-04,84.5,"2022-06-26","Travelers Championship"
"115","Bill Haas",23114275,6100,52.09,0.002,0.0022,107,2e-04,0.1,41.03,0.29,70,23,0.3586,0.0025,0.0838,0.0454,0.0159,0.0059,0.0027,5e-04,25,0.36,0.01,2.42,3,0.0069,77,"2022-06-26","Travelers Championship"
"116","Paul Barjon",23114276,6100,47.56,0.0023,0.0022,107,-9.99999999999998e-05,-0.0435,46.35,0.58,76.5,24.5,0.365,0.0036,0.095,0.0526,0.0187,0.0069,0.0034,7e-04,53,0.36,0.01,1.81,2,0.003,61.5,"2022-06-26","Travelers Championship"
"117","Benjamin James",23114291,6000,0,0.002,0.0018,114,-2e-04,-0.1,21.38,0.34,38.49,11.76,0.3614,0.0022,0.0946,0.0534,0.0195,0.0076,0.0039,0.0011,100,0.3,-0.01,1.62,2,0.0014,27.5,"2022-06-26","Travelers Championship"
