"offPlayer","offRoutes","offTr","offFr","offCPct","offYprr","offGrade","adv","defPlayer","defRoutes","defTr","defFr","defCPct","defYprr","defGrade"
"Zach Ertz","189","20","0.38","68","1.57","66.4","-1","Demetrius Flannigan-Fowles","34","15","0.21","80","0.94","61.2"
"Kyle Pitts","237","21","0.37","67","2.04","80.8","21","Demario Davis","228","14","0.21","69","0.83","76.1"
"Mark Andrews","225","22","0.47","76","2.29","91.2","-1","Eric Kendricks","247","11","0.21","78","0.98","77.9"
"Tommy Sweeney","56","14","0.29","88","0.61","58.5","21","Myles Jack","157","11","0.26","82","0.92","46.2"
"Tommy Tremble","109","12","0.19","62","0.66","58.6","-9","Kyle Dugger","239","10","0.18","72","0.78","58.8"
"Cole Kmet","198","17","0.21","65","0.99","56","-43","Joe Schobert","190","12","0.21","70","0.9","67.1"
"C.J. Uzomah","209","11","0.38","91","1.38","66.6","13","Malcolm Smith","121","14","0.39","88","1.19","60.9"
"Austin Hooper","146","18","0.28","69","1.16","72.8","4","Logan Wilson","294","15","0.3","84","1.49","57.7"
"Dalton Schultz","191","22","0.46","79","1.94","84.8","36","Justin Simmons","289","9","0.16","69","0.78","62.7"
"Noah Fant","246","21","0.35","73","1.3","58.1","-22","Jayron Kearse","242","11","0.22","78","0.81","73.6"
"Marcedes Lewis","76","14","0.26","82","1.42","74.7","21","Tyrann Mathieu","248","6","0.07","64","0.34","67.5"
"Jordan Akins","156","15","0.24","79","1.13","58.1","-22","Brandon Jones","149","7","0.16","100","0.92","60.6"
"Jack Doyle","152","13","0.21","65","0.89","67.9","14","C.J. Mosley","207","18","0.33","92","1.4","41.3"
"Dan Arnold","169","20","0.31","76","1.61","59.8","-5","Tremaine Edmunds","226","13","0.29","90","1.23","54.6"
"Travis Kelce","328","21","0.39","70","1.71","81.7","54","Krys Barnes","78","17","0.35","92","1.19","45.8"
"Tyler Higbee","235","15","0.29","83","1.15","65.6","29","Monty Rice","36","17","0.23","83","0.92","51.1"
"Jared Cook","210","18","0.29","62","1.24","60.6","26","Alex Singleton","214","19","0.46","93","1.71","44.5"
"Foster Moreau","98","12","0.34","83","1.15","64.4","15","Reggie Ragland","124","13","0.18","81","0.77","61.8"
"Mike Gesicki","270","20","0.37","75","1.76","72.5","27","Christian Kirksey","257","11","0.22","71","0.97","48.5"
"Tyler Conklin","202","17","0.31","77","1.47","63.5","-14","Chuck Clark","269","6","0.15","76","0.59","69.4"
"Hunter Henry","210","17","0.37","71","1.41","69.9","17","Jermaine Carter","210","10","0.17","81","0.64","55.6"
"Adam Trautman","133","13","0.16","65","0.78","59.2","-10","Deion Jones","230","16","0.34","92","1.47","57.5"
"Evan Engram","183","16","0.26","77","1.02","53.8","-7","Cory Littleton","201","18","0.27","86","1.17","50.5"
"Tyler Kroft","114","11","0.18","67","0.58","55","-35","Darius Leonard","261","13","0.22","68","0.87","75.4"
"Dallas Goedert","175","17","0.41","83","2.05","86.1","39","Amen Ogbongbemiga","20","15","0.29","100","1.4","32.2"
"Pat Freiermuth","134","19","0.4","85","1.51","76.8","24","Roquan Smith","246","15","0.19","72","0.84","53.4"
"Charlie Woerner","40","12","0.2","80","1.02","75.4","7","Isaiah Simmons","234","14","0.2","76","0.89","55.9"
"Geoff Swaim","95","16","0.26","73","0.8","52.4","-23","Ernest Jones","65","11","0.15","86","0.6","60.5"
