"","Name","ID","Salary","AvgPointsPerGame","fpts","proj_own","ceil","floor","scoring_points","finish_points","total_points","value","projected_ownership","sg_putt_pred","sg_putt_rank","sg_arg_pred","sg_arg_rank","sg_app_pred","sg_app_rank","sg_ott_pred","sg_ott_rank","sg_total_pred","sg_total_rank","distance_pred","distance_rank","accuracy_pred","accuracy_rank","baseline","age","age_adj","true_sg_adj","timing_adj","sg_category_adj","course_history_adj","driving_dist_adj","driving_acc_adj","fit_other_adj","course_fit_total_adj","final_prediction","make_cut","top_20","top_10","top_5","win","odds_per_dollar","residuals","proj_own_avg","course_fit","own_change","adj_own","one","date","tournament"
"60","Hank Lebioda",23394694,6900,47.32,50.35,2.1,73,23,59.4,2.1,61.5,0.26,4.07,0.152,86,0.021,162,-0.128,211,-0.342,303,-0.298,205,-2.22,253,0.008,163,-0.25,28,0.014,0.022,0.004,-0.087,0.068,0.015,0.014,-0.006,0.023,-0.206,0.5413,0.1431,0.0642,0.0285,0.0043,0.62,-0.11,3.28,0.29,1.25,5,1,2022-07-24,"3M Open"
"61","Matt Wallace",23394695,6900,45.86,44.91,0.72,69,22,56.8,1.8,58.6,0.11,3.21,-0.068,248,0.002,173,0.013,158,-0.308,280,-0.361,217,1.575,181,-0.019,253,-0.456,31,0.004,0.057,-0.006,0.041,-0.04,-0.01,-0.038,0.004,-0.044,-0.445,0.5122,0.1174,0.0519,0.0225,0.0033,0.48,-0.25,2.21,0.04,0.06,0,1,2022-07-24,"3M Open"
"62","Ryan Armour",23394696,6900,44.94,53.2,0.7,75,23.5,62.3,2.5,64.8,0.44,3.61,-0.133,292,-0.075,252,-0.159,222,-0.046,193,-0.413,227,-12.113,385,0.114,4,-0.286,46,-0.045,-0.045,-0.001,-0.035,0.046,0.078,0.221,0.018,0.316,-0.049,0.5708,0.1718,0.083,0.0398,0.007,1.01,0.28,2.45,0.82,3.83,5,1,2022-07-24,"3M Open"
"63","Ryan Moore",23394697,6800,52.35,47.24,1.1,71,22.5,54.3,1.5,55.8,-0.01,3.33,-0.181,329,-0.112,296,-0.209,239,-0.365,308,-0.867,304,-14.057,403,0.096,8,-0.391,39,-0.023,-0.118,-0.145,-0.188,-0.01,0.091,0.186,0.025,0.301,-0.574,0.4902,0.1042,0.0439,0.0184,0.0025,0.37,-0.19,2.44,0.31,1.3,5,1,2022-07-24,"3M Open"
"64","Peter Malnati",23394698,6800,56.57,46.88,0.7,70.5,22.5,59.3,2.1,61.4,0.28,2.29,0.148,90,0.162,59,-0.187,230,-0.308,281,-0.186,185,-3.246,274,-0.036,307,-0.067,35,-0.008,-0.022,0.005,-0.093,-0.003,0.021,-0.071,-0.013,-0.062,-0.249,0.5516,0.1453,0.0673,0.0314,0.005,0.74,0.18,1.65,0.19,0.95,0,1,2022-07-24,"3M Open"
"65","Andrew Novak",23394699,6800,51.68,49.46,0.32,73,23,59.3,2.1,61.4,0.28,1.97,-0.075,254,0.008,166,-0.037,178,-0.074,209,-0.178,184,-0.927,231,-0.038,316,-0.309,27,0.018,0.068,0.013,0.033,-0.04,0.006,-0.075,0.005,-0.063,-0.28,0.5434,0.1437,0.0651,0.0307,0.005,0.74,0.18,1.31,-0.31,-1.31,0,1,2022-07-24,"3M Open"
"66","Bill Haas",23394700,6800,52.3,43.51,0.17,68,21.5,57.3,1.8,59.1,0.16,0.98,0.118,118,0.212,33,-0.283,265,-0.32,293,-0.273,199,1.153,190,-0.047,340,-0.187,40,-0.025,-0.055,0.011,-0.017,0.008,-0.007,-0.093,-0.009,-0.109,-0.374,0.5283,0.1258,0.0557,0.0231,0.003,0.44,-0.12,0.66,0.27,1.16,0,1,2022-07-24,"3M Open"
"67","Brandon Hagy",23394701,6800,43.8,39.57,0.54,65,20.5,49.3,0.9,50.2,-0.2,1.29,-0.073,251,-0.157,325,-0.429,329,-0.065,203,-0.724,283,20.092,5,-0.118,430,-0.943,31,0.004,0.056,-0.008,0.169,-0.023,-0.129,-0.23,0.033,-0.326,-1.072,0.3788,0.0505,0.0181,0.0067,8e-04,0.12,-0.44,0.99,-1.78,-8.23,0,1,2022-07-24,"3M Open"
"68","Bo Hoag",23394702,6800,42.67,41.7,0.38,66.5,21,50.5,1.1,51.6,-0.15,2.35,-0.192,335,-0.135,314,-0.354,295,-0.318,291,-0.999,323,-5.315,313,0.008,161,-1.005,33,-0.004,0.018,-0.038,0.03,0.06,0.034,0.015,0.033,0.083,-0.856,0.4167,0.0677,0.0256,0.0103,0.0012,0.18,-0.38,1.56,-0.8,-3.79,0,1,2022-07-24,"3M Open"
"69","Sean O'Hair",23394703,6800,53.58,46.54,0.13,70.5,22.5,55.5,1.6,57.2,0.06,0.84,-0.064,244,0.022,160,-0.372,305,-0.118,225,-0.533,249,1.31,187,0.003,180,-0.531,40,-0.024,-0.015,0.011,0.028,-0.028,-0.008,0.004,0.017,0.013,-0.546,0.4739,0.1012,0.0427,0.0175,0.0024,0.35,-0.21,0.56,-0.01,-0.15,0,1,2022-07-24,"3M Open"
"70","Doc Redman",23394704,6800,47.88,46.39,0.21,70,22,58.8,2,60.8,0.25,2.26,0.015,182,-0.254,391,-0.065,186,-0.039,188,-0.343,210,-1.482,243,0.031,101,-0.428,24,0.027,0.038,0.02,0.001,-0.058,0.01,0.059,0.017,0.085,-0.315,0.5434,0.1397,0.0638,0.0284,0.0043,0.63,0.07,1.44,-0.48,-2.12,0,1,2022-07-24,"3M Open"
"71","Chase Seiffert",23394705,6800,49.63,47.78,0.36,72,22.5,59.2,2.1,61.3,0.28,2.35,-0.246,362,-0.072,249,0.079,123,-0.156,236,-0.395,224,-6.338,327,0.03,106,-0.488,30,0.006,0.031,0.003,0.055,-0.02,0.041,0.056,0.016,0.113,-0.3,0.5455,0.1462,0.0667,0.0299,0.0046,0.68,0.12,1.55,0.13,0.64,0,1,2022-07-24,"3M Open"
"72","Robert Streb",23394706,6700,45,45.96,0.42,70,22,58.4,2,60.4,0.26,1.46,-0.064,243,0.009,165,-0.216,242,-0.081,214,-0.351,214,-0.605,227,-0.02,261,-0.462,35,-0.008,0.021,-0.006,0.105,0.028,0.004,-0.041,0.012,-0.025,-0.347,0.5098,0.1276,0.055,0.0246,0.0035,0.52,0.12,1.04,-0.25,-1.06,0,1,2022-07-24,"3M Open"
"73","Kevin Tway",23394707,6700,44.88,39.7,0.32,65,20.5,52.1,1.3,53.4,-0.07,1.04,0.105,124,0.08,112,-0.379,310,-0.223,253,-0.418,228,7.447,86,-0.09,410,-0.551,34,-0.004,0.074,-0.001,0.066,-0.035,-0.047,-0.176,0.004,-0.22,-0.671,0.4464,0.0796,0.0303,0.0121,0.0015,0.22,-0.18,0.75,-0.73,-3.38,0,1,2022-07-24,"3M Open"
"74","Dylan Wu",23394708,6700,47.48,44.4,0.24,69,22,54,1.5,55.5,0,1.13,-0.064,245,-0.041,218,-0.252,255,-0.261,263,-0.618,268,0.277,205,-0.021,262,-0.711,26,0.022,0.019,-0.004,0.058,-0.04,-0.001,-0.042,0.016,-0.027,-0.684,0.4673,0.0903,0.0364,0.0143,0.0017,0.25,-0.15,0.77,-0.48,-2.23,0,1,2022-07-24,"3M Open"
