"","G","G","G","G","G","G"
"1",23394630,23394632,23394642,23394649,23394650,23394721
"2",23394630,23394637,23394642,23394647,23394649,23394656
"3",23394630,23394637,23394642,23394647,23394649,23394674
"4",23394630,23394632,23394642,23394647,23394674,23394678
"5",23394630,23394632,23394637,23394656,23394664,23394696
"6",23394630,23394632,23394650,23394655,23394656,23394664
"7",23394629,23394632,23394650,23394655,23394662,23394664
"8",23394629,23394636,23394638,23394655,23394662,23394682
"9",23394629,23394633,23394636,23394655,23394675,23394692
"10",23394629,23394633,23394636,23394667,23394673,23394675
"11",23394629,23394636,23394638,23394639,23394667,23394715
"12",23394629,23394638,23394639,23394641,23394673,23394680
"13",23394633,23394634,23394638,23394639,23394660,23394676
"14",23394628,23394633,23394641,23394651,23394653,23394717
"15",23394628,23394633,23394641,23394653,23394658,23394697
"16",23394628,23394634,23394641,23394653,23394658,23394672
"17",23394628,23394634,23394641,23394651,23394658,23394668
"18",23394628,23394634,23394644,23394651,23394654,23394670
"19",23394628,23394634,23394644,23394651,23394654,23394694
"20",23394631,23394634,23394635,23394644,23394651,23394709
