"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"193","Rashod Bateman","BLT","wr","8","@CLV","6","0","0","0","0","0","0","0","0","0","3.8703","2.2813","29.862","0.122","0.0238","0.0119","0.0067","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"194","Ryan Griffin","NYJ","te","6","NO","4.2","0","0","0","0","0","0","0","0","0","2.6273","1.8696","15.6967","0.1303","0.0215","0.0107","0.006","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"195","Cameron Brate","TB","te","9","BUF","4.2","0","0","0","0","0","0","0","0","0","2.2316","1.5668","15.703","0.1815","0.0169","0.0085","0.006","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"196","Khalil Herbert","CHI","rb","10","@GB","2.9","0","0","0","0","0","0","4.2085","18.262","0.0994","0.3018","0.2329","1.7147","0.0064","0.0317","0.0158","0.0048","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"197","Anthony McFarland Jr.","PIT","rb","7","@MIN","2.9","0","0","0","0","0","0","2.3982","10.0121","0.0764","0.9253","0.7283","5.4269","0.03","0.0269","0.0134","0.0044","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"198","Geoff Swaim","TEN","te","13","JAX","4.1","0","0","0","0","0","0","0","0","0","2.1831","1.7256","13.2049","0.1791","0.0164","0.0082","0.0035","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"199","Albert Okwuegbunam","DEN","te","11","DET","4.1","0","0","0","0","0","0","0","0","0","2.2421","1.6029","17.0901","0.1392","0.0199","0.01","0.0037","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"200","Olamide Zaccheaus","ATL","wr","6","@CAR","5.8","0","0","0","0","0","0","0.0237","0.134","0.0007","3.444","2.0775","27.3085","0.1588","0.0495","0.0247","0.006","16.5937","0.0205","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"201","Cody Hollister","TEN","wr","13","JAX","5.7","0","0","0","0","0","0","0","0","0","2.9108","2.0014","25.1359","0.1969","0.0225","0.0112","0.0041","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"202","Nick Vannett","NO","te","6","@NYJ","3.9","0","0","0","0","0","0","0","0","0","2.4562","1.7037","14.7215","0.1164","0.0163","0.0081","0.0055","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
