player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Trace McSorley,32819,QB,ARZ,3,62.8,78,85,9.4,2.71,4,2,2.2,54.1,46,0,26,6.1,93,3,28,1,85.4,56.0,56.0,57.1,1,2,100,0,11.5,67.5,3.2,3,5,0,2,1,5,5.0,535,6.3
David Blough,46508,QB,DET,3,68.8,80,82,8.3,2.75,1,1,1.2,62.2,51,0,25,7.3,93,4,28,11,28.6,58.9,58.8,58.1,0,1,97,1,16.0,76.1,4.3,4,7,0,1,2,2,2.1,377,4.6
Davis Webb,11842,QB,NYG,3,82.4,74,81,6.1,2.84,5,1,1.2,74.1,60,0,34,1.6,85,1,24,21,84.4,69.5,69.8,55.9,1,0,90,0,0.0,99.7,0.0,0,4,0,1,3,1,1.1,457,5.6
Jordan Love,40306,QB,GB,3,68.5,73,74,9.2,2.64,1,5,6.4,55.4,41,0,16,18.0,81,9,21,12,84.2,63.7,62.5,62.1,0,4,86,0,12.5,63.9,2.5,2,5,0,0,3,3,3.5,437,5.9
Bailey Zappe,60396,QB,NE,3,75.8,66,71,9.5,2.56,2,2,2.8,63.4,45,0,23,10.0,75,5,22,19,83.6,65.1,63.3,65.3,0,3,76,0,13.0,69.1,4.0,3,1,0,3,1,2,2.6,462,6.5
Sam Howell,97599,QB,WAS,3,71.9,64,69,10.3,3.07,2,2,2.7,62.3,43,0,39,6.5,88,3,25,32,84.7,70.2,63.1,85.9,2,1,93,1,23.1,85.7,10.2,9,10,0,1,1,3,3.2,545,7.9
Kyle Trask,39987,QB,TB,3,74.6,63,67,8.7,2.46,2,5,7.4,64.2,43,0,19,8.5,74,4,19,30,46.4,74.8,74.2,56.8,0,2,77,0,36.8,76.5,9.5,7,0,1,1,1,2,2.6,457,6.8
Ian Book,40216,QB,NO,3,78.3,60,65,5.3,3.04,0,2,2.9,64.6,42,0,30,10.6,84,5,26,20,84.7,74.3,71.2,69.6,0,2,91,0,26.7,73.6,9.5,8,11,1,4,2,1,1.1,315,4.8
Brett Rypien,46487,QB,DEN,3,74.6,63,65,7.9,2.56,1,4,5.9,67.7,44,0,13,6.4,69,3,23,10,58.0,64.8,65.3,55.0,0,1,72,0,7.7,85.5,1.4,1,3,0,1,1,2,2.8,441,6.8
Jake Browning,46401,QB,CIN,3,78.9,57,64,9.4,3.04,1,2,2.8,65.6,42,0,28,6.7,71,3,27,7,46.3,75.8,74.0,64.7,1,0,78,0,7.1,91.4,2.8,2,5,0,5,1,1,1.3,452,7.1
Easton Stick,29466,QB,LAC,3,70.2,57,60,7.5,2.55,2,2,3.1,60.0,36,0,15,10.0,64,4,19,27,82.6,70.6,65.9,80.1,1,2,69,0,13.3,66.5,3.1,2,2,0,0,1,1,1.4,327,5.5
Desmond Ridder,55086,QB,ATL,3,69.8,53,56,11.4,2.85,0,2,3.4,60.7,34,0,20,8.1,64,3,25,2,82.5,70.9,66.0,79.9,0,2,68,2,10.0,87.7,3.1,2,6,0,3,3,4,5.9,431,7.7
Mike White,46453,QB,NYJ,3,76.5,51,54,8.5,2.38,1,1,1.8,64.8,35,0,11,10.3,55,4,16,22,81.3,61.7,63.3,47.8,1,0,58,0,0.0,96.1,0.0,0,1,0,1,2,1,1.7,358,6.6
Joshua Dobbs,11890,QB,CLV,3,76.5,51,53,7.3,2.81,2,1,1.7,66.0,35,0,13,10.3,57,4,21,8,42.0,80.8,76.6,75.1,0,0,63,0,0.0,96.3,0.0,0,4,0,0,2,1,1.6,339,6.4
Josh Johnson,4474,QB,DEN,3,78.4,51,53,7.2,2.62,1,4,6.8,66.0,35,0,19,12.5,55,5,13,10,81.8,81.0,81.5,51.4,1,0,61,0,0.0,97.1,0.0,0,2,0,0,2,0,0.0,349,6.6
Malik Willis,60341,QB,TEN,3,68.1,47,51,9.5,3.72,0,1,1.9,54.9,28,0,35,12.5,71,4,22,31,83.3,63.3,54.9,78.4,1,1,75,0,25.7,78.7,12.7,9,11,0,3,2,1,1.3,318,6.2
Shane Buechele,12659,QB,KC,3,74.5,47,51,8.1,2.57,2,1,1.9,60.8,31,0,15,11.4,62,4,18,16,82.2,62.0,61.0,61.3,0,1,64,0,20.0,91.5,4.8,3,8,0,2,3,4,6.3,335,6.6
Kellen Mond,60556,QB,MIN,3,72.9,48,51,9.4,2.95,2,3,5.8,56.9,29,0,18,17.1,59,6,17,18,81.7,64.8,65.6,53.1,0,2,60,0,27.8,71.0,8.5,5,3,0,1,2,3,5.0,303,5.9
Chase Daniel,5214,QB,LAC,3,81.8,44,49,7.6,2.72,4,2,3.8,69.4,34,0,19,5.6,55,2,20,27,81.3,73.5,70.2,71.3,1,0,58,0,21.1,109.3,7.3,4,2,0,0,3,2,3.4,341,7.0
Bryce Perkins,35299,QB,LA,3,76.6,47,49,6.9,3.43,0,0,0.0,71.4,35,0,32,2.8,65,1,22,26,83.5,71.2,61.6,82.3,0,0,72,0,15.6,109.1,7.7,5,11,0,2,2,1,1.4,399,8.1
Brock Purdy,77672,QB,SF,3,78.3,46,49,8.8,3.14,0,5,9.6,61.2,30,0,19,16.7,57,6,18,28,82.1,81.1,83.6,50.2,0,1,60,0,21.1,80.8,7.0,4,4,0,3,1,2,3.3,346,7.1
Case Keenum,7323,QB,BUF,3,76.6,47,49,7.5,2.61,1,2,3.8,71.4,35,0,20,2.8,54,1,17,4,81.3,70.3,69.8,58.1,0,3,57,0,15.0,70.7,5.6,3,2,0,1,1,1,1.8,327,6.7
Skylar Thompson,60417,QB,MIA,3,84.4,45,48,8.7,2.83,0,2,4.1,75.0,36,0,17,5.3,54,2,22,17,24.8,71.8,75.1,45.4,1,0,55,0,17.6,138.4,5.6,3,3,0,2,5,2,3.6,450,9.4
EJ Perry,60349,QB,JAX,2,67.4,43,48,7.8,2.48,4,2,3.9,52.1,25,0,17,13.8,51,4,10,15,81.2,64.3,61.8,69.0,0,3,54,0,17.6,51.9,5.9,3,0,0,1,1,1,1.9,294,6.1
Reid Sinnett,37397,QB,PHI,3,66.7,45,48,8.1,2.87,0,1,1.9,52.1,25,0,24,16.7,59,5,11,24,41.8,32.0,30.8,57.5,1,1,64,0,25.0,72.7,10.2,6,5,0,2,2,4,6.3,254,5.3
Jarrett Stidham,13725,QB,LV,4,80.5,41,47,8.0,3.08,1,1,2.0,63.8,30,0,28,9.1,59,3,18,23,81.7,64.6,64.2,59.2,0,0,62,0,25.0,84.7,11.9,7,5,0,5,0,1,1.6,332,7.1
Anthony Brown,40316,QB,BLT,3,80.4,46,47,9.2,2.57,1,5,10.4,74.5,35,0,8,5.4,50,2,17,3,33.4,81.3,82.8,53.5,0,1,51,1,0.0,117.7,0.0,0,3,0,0,3,2,3.9,464,9.9
Tim Boyle,21956,QB,DET,3,67.5,40,46,7.6,2.61,5,1,2.1,56.5,26,0,14,3.7,50,1,15,11,34.8,51.6,49.6,66.1,0,2,53,0,21.4,70.4,6.0,3,1,0,1,2,3,5.7,274,6.0
Matt Barkley,7880,QB,BUF,3,80.0,45,45,6.6,2.49,0,3,6.4,75.6,34,0,16,5.6,47,2,19,4,80.6,77.0,75.5,60.0,0,1,49,0,12.5,91.8,4.3,2,0,0,0,0,1,2.0,389,8.6
Logan Woodside,46517,QB,TEN,3,74.4,39,44,8.4,2.64,1,0,0.0,59.1,26,0,19,10.3,50,3,12,31,80.8,59.8,58.8,61.3,2,3,52,0,5.3,42.0,2.0,1,5,0,2,0,1,1.9,201,4.6
Phillip Walker,12134,QB,CAR,3,62.8,43,44,10.6,2.58,1,1,2.3,59.1,26,0,12,3.7,52,1,16,5,32.0,49.3,49.1,66.4,0,2,52,1,50.0,60.1,11.5,6,2,0,0,0,4,7.7,293,6.7
Sean Mannion,9522,QB,MIN,3,80.0,40,43,7.3,2.54,1,0,0.0,62.8,27,0,9,15.6,47,5,16,18,30.0,48.4,49.3,55.7,0,0,49,0,33.3,80.1,6.4,3,1,0,2,0,3,6.1,265,6.2
Chase Garbers,60356,QB,LV,4,75.0,36,40,7.1,3.11,2,0,0.0,60.0,24,0,18,11.1,53,3,13,23,82.2,67.5,60.0,77.5,0,0,56,0,33.3,78.0,11.3,6,7,0,2,0,1,1.8,249,6.2
Drew Lock,39517,QB,SEA,2,71.8,39,39,9.2,2.69,0,2,4.5,61.5,24,0,11,14.3,42,4,13,29,80.3,70.5,67.8,67.7,0,3,47,0,18.2,76.1,4.8,2,1,0,0,3,2,4.3,273,7.0
Mason Rudolph,46569,QB,PIT,3,77.8,36,39,7.4,2.28,2,2,4.7,66.7,26,0,9,7.1,40,2,13,25,79.5,75.1,75.5,,0,0,44,1,11.1,98.2,2.5,1,0,0,1,2,2,4.5,220,5.6
Jacob Eason,46444,QB,SEA,2,67.6,34,39,10.1,2.5,1,0,0.0,48.7,19,0,10,17.4,41,4,10,29,79.6,60.8,60.9,58.2,1,1,44,0,10.0,47.8,2.4,1,1,0,3,0,0,0.0,148,3.8
Geno Smith,7820,QB,SEA,3,83.3,36,39,6.5,2.97,2,5,11.9,59.0,23,0,10,23.3,45,7,12,29,80.1,90.4,88.1,67.9,0,0,48,0,40.0,78.6,8.9,4,2,0,1,0,0,0.0,256,6.6
Nate Sudfeld,10821,QB,SF,3,73.7,38,38,10.7,2.64,0,1,2.6,68.4,26,0,13,7.1,41,2,12,28,79.5,70.0,69.6,60.0,0,1,42,0,23.1,93.5,7.3,3,0,0,0,2,0,0.0,254,6.7
Brandon Allen,10835,QB,CIN,3,81.1,37,38,7.8,2.46,0,2,5.1,73.7,28,0,15,6.7,42,2,10,7,29.6,67.6,64.0,70.9,0,0,43,0,26.7,92.4,9.5,4,0,0,1,0,2,4.7,264,6.9
Jake Luton,17287,QB,JAX,2,75.0,32,38,8.4,2.72,2,1,2.4,57.9,22,0,13,8.3,42,2,8,15,79.9,47.0,47.4,,1,1,46,0,30.8,59.8,9.5,4,0,0,3,0,2,4.3,186,4.9
Gardner Minshew,41401,QB,PHI,3,81.1,37,38,7.1,2.47,0,1,2.4,73.7,28,0,13,6.7,40,2,13,24,79.9,65.8,65.1,59.0,0,0,43,0,7.7,93.2,2.5,1,1,0,1,0,1,2.3,271,7.1
Trevor Siemian,9683,QB,CHI,3,67.6,34,36,6.8,2.63,0,3,8.1,55.6,20,0,12,13.0,40,3,13,6,28.4,64.3,64.2,58.3,0,0,41,0,25.0,98.3,7.5,3,1,0,2,3,1,2.4,191,5.3
Tyler Huntley,46448,QB,BLT,3,86.1,36,36,6.6,2.76,0,0,0.0,86.1,31,0,11,0.0,40,0,15,3,79.6,85.6,83.2,67.4,0,0,41,1,18.2,115.6,5.0,2,2,0,0,2,0,0.0,263,7.3
Kenny Pickett,60515,QB,PIT,3,85.3,34,36,6.6,2.43,0,1,2.6,80.6,29,0,9,0.0,41,0,15,25,79.8,80.4,78.7,64.6,0,0,44,0,22.2,124.7,4.9,2,3,1,1,3,0,0.0,261,7.3
Tyrod Taylor,6332,QB,NYG,3,81.3,32,36,9.8,3.33,2,0,0.0,61.1,22,0,18,15.4,41,4,10,21,79.8,57.3,56.4,61.4,0,1,45,1,11.1,73.3,4.9,2,3,0,2,1,1,2.2,195,5.4
Mitchell Trubisky,11757,QB,PIT,3,78.8,33,34,10.8,2.97,0,3,7.9,70.6,24,0,14,7.7,39,2,11,25,79.6,83.1,77.5,78.4,1,0,44,0,21.4,115.2,7.7,3,2,0,0,2,0,0.0,283,8.3
Trevor Lawrence,77632,QB,JAX,2,67.7,31,33,8.4,2.92,1,1,2.9,60.6,20,0,11,4.8,36,1,15,15,79.0,60.2,60.5,63.3,1,0,38,1,9.1,91.5,2.8,1,2,0,0,1,0,0.0,228,6.9
Chris Streveler,46440,QB,NYJ,3,72.7,33,33,8.6,2.61,0,1,2.7,72.7,24,0,9,0.0,40,0,19,22,80.0,73.5,67.7,75.9,0,1,44,0,0.0,124.6,0.0,0,7,0,0,5,0,0.0,277,8.4
Josh Rosen,35460,QB,CLV,3,62.5,32,33,10.5,2.78,0,1,2.9,51.5,17,0,9,15.0,34,3,8,8,79.5,66.6,66.0,60.1,0,0,36,0,0.0,68.5,0.0,0,1,0,1,0,0,0.0,186,5.6
