player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Caleb Huntley,57156,HB,ATL,3,38,11,1,15.2,21,0,138,0,0,11,114,86.8,2,8,2,0,12,80.9,63.0,75.8,,29.7,51.5,64.8,60.0,21,0,0,0,18,43,0,0,0,38,1,138,114,3.0,3.6,0.0,26
John Kelly,34761,HB,CLV,3,37,18,1,13.7,16,0,117,1,5,18,110,166.8,2,8,8,0,16,81.4,63.4,79.9,,59.4,50.2,67.2,60.0,16,0,24,4,54,45,0,0,6,41,1,117,110,2.97,3.2,0.44,18
Jason Huntley,45693,HB,PHI,3,35,6,1,41.1,67,0,163,2,3,6,140,83.7,2,8,24,1,17,39.3,56.3,82.1,,74.4,29.9,65.8,60.0,67,0,61,8,46,38,0,0,10,43,2,163,140,4.0,4.7,1.33,18
Brittain Brown,40399,HB,LV,3,34,10,1,23.7,36,0,152,0,0,10,95,68.1,2,12,23,1,20,35.8,72.3,78.2,,60.3,65.4,72.2,60.0,36,0,37,7,40,45,0,0,9,41,2,152,95,2.79,4.5,0.93,12
Malik Davis,57196,HB,DAL,3,31,5,1,12.1,16,0,132,0,0,5,78,34.9,2,7,9,0,6,81.0,72.7,78.4,,79.7,61.4,73.0,60.0,16,0,27,5,41,41,0,0,7,36,1,132,78,2.52,4.3,0.66,25
Ke'Shawn Vaughn,45866,HB,TB,3,29,3,1,15.6,17,0,109,0,0,3,70,23.4,5,8,30,0,13,79.5,62.3,77.0,,73.1,57.3,62.8,,17,0,22,2,24,29,0,0,3,31,2,109,70,2.41,3.8,0.92,13
Abram Smith,57158,HB,NO,3,29,4,0,0.0,0,0,90,0,0,4,72,29.2,0,4,20,1,9,29.8,48.0,77.3,,53.9,73.6,44.8,60.0,9,0,33,5,22,35,0,0,8,34,0,90,72,2.48,3.1,1.5,19
Snoop Conner,99163,HB,JAX,4,29,3,0,0.0,0,0,64,0,1,3,55,21.7,0,0,15,0,12,80.7,50.5,78.8,,29.4,63.8,48.6,60.0,9,0,24,6,40,31,0,0,7,35,0,64,55,1.9,2.2,0.6,17
DeeJay Dallas,55632,HB,SEA,3,28,3,2,27.6,45,0,163,0,2,3,80,40.8,5,8,29,0,3,81.2,68.3,78.6,,78.9,65.4,67.0,60.0,27,0,78,7,35,33,0,0,8,35,1,163,80,2.86,5.8,2.23,25
Aaron Shampklin,148900,HB,DAL,3,28,13,1,15.1,16,0,106,0,0,13,84,134.5,2,2,9,0,10,79.4,67.9,78.4,,80.5,47.9,72.3,60.0,16,0,0,1,43,32,0,0,1,29,0,106,84,3.0,3.8,0.0,18
Devine Ozigbo,45903,HB,DEN,3,28,4,1,20.8,26,0,125,1,0,4,90,36.7,1,5,10,0,14,80.2,71.7,77.7,,78.7,55.5,74.0,60.0,26,0,30,7,31,32,0,0,9,35,0,125,90,3.21,4.5,0.97,13
Tyler Goodson,101659,HB,GB,3,28,7,2,36.4,39,0,107,0,2,7,58,51.8,2,5,12,0,5,81.1,67.9,0.0,,28.9,75.1,66.8,60.3,24,1,60,8,46,37,0,0,9,36,1,107,58,2.07,3.8,1.3,22
Hassan Haskins,83701,HB,TEN,3,27,6,0,0.0,0,0,69,0,4,6,69,73.0,1,2,31,0,10,80.4,68.9,79.4,,44.6,78.1,66.4,,10,0,53,8,43,30,0,0,8,35,0,69,69,2.56,2.6,1.23,17
Royce Freeman,45747,HB,HST,3,27,2,0,0.0,0,0,75,0,2,2,78,36.1,1,4,13,0,11,79.6,59.5,77.7,,69.8,74.8,56.5,54.8,14,0,42,5,22,35,0,0,5,32,0,75,78,2.89,2.8,1.91,14
Keaontay Ingram,77761,HB,ARZ,3,27,2,0,0.0,0,0,97,0,2,2,59,27.3,2,5,1,0,6,79.6,45.5,0.0,,48.5,62.2,43.0,60.0,11,1,46,5,50,31,0,0,7,32,1,97,59,2.19,3.6,0.92,18
Julius Chestnut,109239,HB,TEN,3,26,7,2,42.5,45,0,106,0,1,7,83,88.1,3,5,31,1,12,28.5,60.6,0.0,,75.9,60.4,62.4,60.3,29,1,22,3,25,32,0,0,4,29,1,106,83,3.19,4.1,0.88,14
Zamir White,83665,HB,LV,4,25,5,0,0.0,0,0,78,1,0,5,64,41.3,2,6,23,0,17,79.6,61.8,76.5,,44.1,59.9,62.5,60.0,14,0,31,6,30,26,0,0,8,31,2,78,64,2.56,3.1,1.03,5
Tyrion Davis-Price,99169,HB,SF,3,24,6,0,0.0,0,0,74,1,0,6,68,65.4,3,5,28,0,8,78.4,60.8,76.4,,75.6,42.5,66.7,60.0,14,0,16,2,22,27,0,0,3,26,0,74,68,2.83,3.1,0.73,16
Raheem Blackshear,57385,HB,BUF,3,24,8,2,37.9,44,0,116,1,3,8,78,111.7,3,7,4,0,10,81.6,68.8,79.2,,15.2,67.4,73.4,60.0,25,0,93,8,32,26,0,0,9,32,2,116,78,3.25,4.8,2.91,13
Tyler Badie,83714,HB,BLT,3,23,1,0,0.0,0,0,65,0,0,1,40,6.4,1,4,3,0,15,29.5,62.6,78.7,,68.0,61.5,62.2,60.0,12,0,14,4,28,26,0,0,5,27,0,65,40,1.74,2.8,0.5,6
Austin Walter,45038,HB,LV,4,23,4,1,21.2,22,0,104,0,0,4,64,41.2,1,4,23,1,17,27.9,59.3,78.8,,76.7,31.7,66.3,60.0,22,0,13,4,24,31,0,0,5,27,1,104,64,2.78,4.5,0.54,5
John Lovett,57157,HB,CAR,3,23,1,0,0.0,0,0,57,1,0,1,45,7.2,1,3,5,0,12,78.5,51.5,0.0,,80.6,51.6,53.8,60.0,11,1,36,4,30,25,0,0,5,27,0,57,45,1.96,2.5,1.2,10
Kennedy Brooks,57371,HB,PHI,3,22,1,0,0.0,0,0,75,0,0,1,54,9.4,0,3,24,0,8,78.7,72.6,78.3,,80.6,60.4,73.9,60.0,8,0,11,4,36,26,0,0,6,26,0,75,54,2.45,3.4,0.31,14
Trayveon Williams,45775,HB,CIN,3,22,4,0,0.0,0,0,64,0,4,4,43,55.8,0,2,7,0,9,78.5,70.0,80.6,,85.3,70.9,66.0,60.0,8,0,55,6,43,26,0,0,6,28,1,64,43,1.95,2.9,1.28,13
Jermar Jefferson,83740,HB,DET,3,22,5,1,37.5,27,0,72,0,0,5,38,32.0,1,2,11,0,9,78.6,53.6,78.6,,59.8,55.2,52.9,60.0,27,0,4,5,43,24,0,0,6,27,0,72,38,1.73,3.3,0.09,12
Rico Dowdle,40693,HB,DAL,2,22,4,1,18.8,15,0,80,0,0,4,64,50.6,2,6,9,0,6,78.1,70.1,74.8,,51.5,64.8,69.0,60.0,15,0,8,1,10,24,0,0,1,23,1,80,64,2.91,3.6,0.8,16
Jashaun Corbin,83773,HB,NYG,3,21,1,0,0.0,0,0,73,1,1,1,46,12.5,1,6,21,0,13,80.4,68.6,80.5,,67.0,59.7,73.2,60.0,11,0,76,14,56,23,0,0,15,35,2,73,46,2.19,3.5,1.36,8
Marlon Mack,11898,HB,HST,3,21,3,1,26.7,24,0,90,0,0,3,53,36.1,1,4,13,0,7,77.7,70.5,75.0,,76.9,59.4,69.3,,24,0,0,0,10,22,0,0,0,21,0,90,53,2.52,4.3,0.0,14
Bryant Koback,57266,HB,MIN,3,21,1,0,0.0,0,0,67,1,0,1,67,12.8,2,3,18,0,5,79.3,55.4,80.3,,45.9,44.0,62.0,60.0,13,0,21,4,48,23,0,0,6,25,1,67,67,3.19,3.2,0.44,16
De'Montre Tuggle,98688,HB,CHI,3,21,2,0,0.0,0,0,75,0,0,2,40,18.1,1,4,6,1,10,25.8,53.5,76.0,,77.6,51.0,54.6,60.0,10,0,0,0,13,26,0,0,0,21,0,75,40,1.9,3.6,0.0,11
Duke Johnson Jr.,9510,HB,BUF,3,21,5,0,0.0,0,0,84,0,1,5,63,78.3,1,7,4,0,7,80.3,83.5,75.9,,83.0,57.6,83.3,60.0,10,0,3,2,19,24,0,0,4,23,2,84,63,3.0,4.0,0.16,14
