Wyoming,65,Final
Arizona (11) ,94,
UConn (15) ,53,Final
West Virginia,56,
Michigan State (19) ,75,Final
Minnesota,67,
North Florida,55,Final
Florida (20) ,85,
Towson,74,Final
Ohio State (21) ,85,
Indiana,59,Final
Wisconsin (22) ,64,
Utah State,71,Final
BYU (24) ,82,
Air Force,48,Final
Montana,66,
Alabama A&M,45,Final
North Alabama,56,
Arkansas State,84,Final
Arkansas-Pine Bluff,73,
Ball State,50,Final
Xavier,96,
Bethesda University (CA),69,Final
Long Beach State,102,
Bluefield College (VA),57,Final
Marshall,100,
Buffalo,77,Final
Western Kentucky,67,
Cal State Fullerton,56,Final
San Diego State,66,
Canisius,62,Final
Northern Kentucky,75,
Carver College,43,Final
Georgia Southern,85,
Central Michigan,77,Final
Youngstown State,84,
Chattanooga,78,Final
UNC Asheville,73,
Clarks Summit,58,Final
Maryland-Eastern Shore,102,
Coppin State,62,Final
George Washington,75,
Cornell,60,Final
Virginia Tech,93,
Dayton,69,Final
SMU,77,
Drake,78,Final
Omaha,70,
Eastern Washington,57,Final
Colorado,60,
Evansville,73,Final
Southeast Missouri State,75,
Fresno State,63,Final
San Francisco,71,
Hawaii Pacific,52,Final
Hawaii,88,
Hofstra,62,Final
Stony Brook,79,
Holy Cross,59,Final
Fairfield,74,
Idaho State,46,Final
California,72,
Purdue-Fort Wayne,59,Final
SIU-Edwardsville,80,
Jacksonville State,52,Final
VCU,66,
Lafayette,58,Final
Delaware,68,
Lancaster Bible,51,Final
Robert Morris,99,
Lipscomb,59,Final
Miami (FL),76,
Louisiana College,68,Final
Louisiana-Monroe,89,
Loyola (MD),71,Final
St. Bonaventure,84,
Marist,64,Final
Binghamton,51,
Marquette,64,Final
Kansas State,63,
UMBC,71,Final
Georgetown,100,
UMass-Lowell,62,Final
Boston University,72,
McNeese State,68,Final
Louisiana,83,
Missouri State,81,Final
Little Rock,55,
New Hampshire,59,Final
Bryant,76,
Niagara,58,Final
Eastern Michigan,60,
Palm Beach Atlantic,63,Final
Florida Atlantic,84,
Penn,71,Final
St. Joseph's,78,
Quinnipiac,72,Final
Dartmouth,69,
Saint Francis (PA),73,Final
American,83,
Samford,74,Final
Alabama State,64,
Seattle,56,Final
UNLV,76,
South Dakota State,84,Final
Idaho,98,
SW Assembl. of God,75,Final
Tarleton State,81,
St. Francis (NY),71,Final
St. Peter's,60,
Tennessee Tech,69,Final
Western Carolina,74,OT
Texas-Rio Grande Valley,69,Final
Texas A&M-Corpus Christi,75,
Utah,62,Final
TCU,76,
Utah Valley,56,Final
Southern Utah,60,
Wagner,54,Final
Penn State,74,
Weber State,60,Final
Washington State,94,
Wofford,78,Final
Gardner-Webb,70,
