"offPlayer","offRoutes","offTr","offFr","offCPct","offYprr","offGrade","adv","defPlayer","defRoutes","defTr","defFr","defCPct","defYprr","defGrade"
"David Njoku","246","21","0.4","79","1.89","81.4","-3","Logan Wilson","352","13","0.24","78","1","68"
"Dalton Schultz","237","21","0.37","70","1.45","66.3","11","Christian Kirksey","349","13","0.21","64","0.9","59.1"
"Greg Dulcich","216","17","0.29","69","1.48","63","-32","Willie Gay Jr.","174","18","0.32","97","1.45","63.4"
"Brock Wright","112","12","0.3","93","1.26","51.9","-36","Eric Kendricks","477","12","0.19","74","0.92","60.7"
"Teagan Quitoriano","65","11","0.17","43","0.34","49.7","-30","Leighton Vander Esch","335","8","0.11","81","0.48","69.2"
"Evan Engram","370","16","0.25","71","1.04","56.4","-17","Dylan Cole","191","13","0.23","88","1.16","62.8"
"Travis Kelce","433","24","0.57","73","2.24","91.3","43","Josey Jewell","221","17","0.28","79","1.41","71.2"
"Tyler Higbee","327","23","0.29","66","1.36","59.1","-4","Denzel Perryman","160","12","0.28","80","1.01","73.9"
"Gerald Everett","325","19","0.31","69","1.42","68.6","8","Jerome Baker","352","11","0.16","79","0.6","72.6"
"Foster Moreau","254","15","0.27","64","1.24","62.2","-23","Ernest Jones","287","18","0.31","85","1.28","65.6"
"Mike Gesicki","269","13","0.28","67","1","60.8","7","Drue Tranquill","344","11","0.19","84","0.78","60.2"
"T.J. Hockenson","387","20","0.37","71","1.6","69.5","8","Alex Anzalone","397","9","0.13","80","0.64","55.5"
"Hunter Henry","297","13","0.24","66","1.13","56.8","-6","Tanner Vallejo","75","19","0.26","71","1.28","55.5"
"Daniel Bellinger","146","15","0.35","95","1.21","68.9","-2","Kyzir White","349","15","0.21","75","0.93","59"
"Tyler Conklin","343","17","0.28","67","1.13","58.6","-47","Tremaine Edmunds","288","14","0.19","68","0.71","82"
"Jack Stoll","152","8","0.12","67","0.64","53.6","-48","Julian Love","400","10","0.19","76","0.83","65.4"
"Pat Freiermuth","318","24","0.36","67","1.88","79.9","9","Roquan Smith","338","12","0.2","76","0.93","61.8"
"Noah Fant","241","19","0.36","80","1.59","69","-15","Frankie Luvu","249","13","0.28","91","1.19","74.7"
"George Kittle","316","16","0.35","76","1.49","70.5","-17","Lavonte David","426","12","0.19","79","0.73","84.6"
"Cade Otton","324","13","0.23","74","0.95","61.6","-28","Dre Greenlaw","345","19","0.29","78","1.17","82.7"
"Austin Hooper","211","17","0.32","75","1.32","68.6","-6","Chad Muma","92","12","0.26","73","1.04","55.4"
"Trey McBride","150","7","0.09","82","0.3","36.9","-35","Mack Wilson","132","14","0.26","78","1.08","51.2"
"Mark Andrews","338","26","0.45","64","1.93","79.2","6","Myles Jack","306","16","0.3","80","1.16","53.3"
"Dawson Knox","356","12","0.22","77","0.92","63.2","13","C.J. Mosley","429","13","0.18","70","0.89","69.8"
"Tommy Tremble","177","11","0.19","55","0.57","43.8","-39","Cody Barton","270","19","0.32","78","1.31","52.5"
"Mitchell Wilcox","107","7","0.12","100","0.56","49.4","-33","Tony Fields II","30","7","0.13","100","0.63","62.9"
