player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_coverage_defense,no_screen_grades_defense,no_screen_grades_defense_penalty,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_pass_rush_defense,no_screen_grades_run,no_screen_grades_run_defense,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_coverage_defense,npa_grades_defense,npa_grades_defense_penalty,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_pass,npa_grades_pass_route,npa_grades_pass_rush_defense,npa_grades_run,npa_grades_run_defense,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_coverage_defense,pa_grades_defense,pa_grades_defense_penalty,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_pass,pa_grades_pass_route,pa_grades_pass_rush_defense,pa_grades_run,pa_grades_run_defense,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_coverage_defense,screen_grades_defense,screen_grades_defense_penalty,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_pass,screen_grades_pass_route,screen_grades_pass_rush_defense,screen_grades_run,screen_grades_run_defense,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Geno Smith,7820,QB,SEA,12,11.83,0,445,29,78.2,344,366,8.9,2.85,4,25,6.3,71.6,262,149,2.6,418,93.9,7,159,,,,,79.2,84.5,43.7,82.0,59.0,,75.8,,4,6,447,20.8,110.0,7.4,31,21,0,14,22,17,3.8,3081,8.4,75.6,262,276,8.4,2.66,2,18,6.0,69.2,191,111,3.5,318,71.5,7,105,,,,,73.2,79.4,36.6,76.6,,,76.4,,4,5,341,23.4,101.6,8.2,26,15,0,8,15,12,3.5,2073,7.5,88.0,108,116,7.3,3.07,2,7,5.6,81.0,94,40,1.1,127,28.5,1,57,,,,,87.1,84.8,81.8,83.3,59.0,,62.9,,0,1,137,12.5,122.6,3.9,5,6,0,6,7,5,3.6,1097,9.5,0,92.3,26,26,-3.4,1.67,0,0,0.0,88.5,23,2,4.2,27,6.1,1,3,,,,,77.6,64.8,76.3,64.3,,,,,0,0,31,0.0,80.9,0.0,0,0,0,0,0,0,0.0,89,3.4,1.95
Kyler Murray,38334,QB,ARZ,10,7.24,0,441,1,73.4,297,326,9.3,2.78,9,9,2.6,62.9,205,114,6.0,375,85.0,13,116,,,,,50.7,66.7,88.0,62.7,,,72.4,,2,7,402,21.1,85.2,6.4,24,24,3,15,13,17,4.2,2060,6.3,76.1,289,317,6.4,2.55,9,6,1.8,65.0,206,92,6.4,357,81.0,14,100,,,,,48.5,62.5,87.8,59.8,,,66.3,,2,5,380,23.9,84.4,6.2,22,17,3,14,11,15,3.9,1759,5.5,80.6,67,72,10.4,2.82,0,3,3.9,72.2,52,27,3.7,84,19.0,2,28,,,,,51.6,78.9,80.2,72.7,,,84.4,,0,2,91,11.1,99.0,3.6,3,7,0,5,3,3,3.3,595,8.3,0,94.9,59,63,-3.5,1.59,0,0,0.0,84.1,53,5,5.4,66,15.0,3,12,,,,,42.6,66.1,79.2,65.5,,,,,0,0,69,20.0,91.4,1.5,1,0,0,4,1,1,1.4,294,4.7,2.71
Jared Goff,10635,QB,DET,12,5.25,0,435,11,74.1,332,361,9.2,2.8,4,12,3.1,62.3,225,136,8.5,391,89.9,21,141,,,,,65.7,64.5,88.6,62.9,58.4,,61.9,,4,7,419,14.0,94.7,4.9,19,10,1,20,19,19,4.5,2703,7.5,74.5,267,290,7.8,2.54,7,6,1.9,63.4,184,100,7.5,312,71.7,15,96,,,,,58.3,57.2,88.1,55.6,,,59.4,,3,4,335,14.0,87.9,4.5,14,8,1,12,8,15,4.5,2051,7.1,82.5,103,115,8.1,3.04,2,6,4.9,68.7,79,36,7.1,123,28.3,6,60,,,,,86.8,78.0,81.6,76.0,58.4,,66.4,,1,3,130,13.9,115.5,4.1,5,2,0,9,11,5,3.8,971,8.4,0,100.0,38,44,-3.6,1.64,5,0,0.0,86.4,38,0,0.0,44,10.1,0,15,,,,,79.9,60.7,77.7,60.4,,,,,0,0,46,,96.9,0.0,0,0,0,1,0,1,2.2,319,7.3,1.37
Daniel Jones,39395,QB,NYG,12,13.0,0,426,21,79.2,279,316,7.8,3.17,5,4,1.2,64.2,203,182,8.1,394,92.5,18,133,,,,,50.8,67.7,16.9,64.9,57.7,,72.5,,4,4,423,19.2,91.5,8.9,35,43,5,23,11,15,3.5,2243,7.1,78.7,197,229,7.1,2.86,7,3,1.3,61.6,141,116,9.0,269,63.1,14,80,,,,,46.6,60.5,3.1,58.8,,,66.4,,4,3,284,20.7,84.3,8.9,24,16,5,16,6,11,3.9,1517,6.6,84.7,111,118,6.3,3.4,0,1,0.7,74.6,88,69,6.4,157,36.9,6,58,,,,,69.0,78.1,82.8,74.0,57.7,,75.8,,0,1,177,17.4,104.9,7.6,12,27,0,7,5,4,2.3,852,7.2,0,96.6,29,31,-3.2,1.74,2,0,0.0,83.9,26,3,7.1,32,7.5,2,5,,,,,78.7,67.8,77.0,67.1,,,,,0,0,38,33.3,83.6,3.1,1,0,0,0,0,0,0.0,126,4.1,0.6
Jalen Hurts,40291,QB,PHI,12,-8.72,0,421,24,76.7,270,301,10.1,3.11,8,13,4.0,64.5,194,130,6.3,364,86.5,13,136,,,,,62.8,87.4,44.5,83.3,,,82.1,,2,2,387,21.5,110.3,7.7,28,35,0,21,19,8,2.1,2614,8.7,81.5,216,232,8.0,2.8,6,11,4.5,71.1,165,83,6.3,276,65.6,11,95,,,,,54.9,85.9,38.5,82.8,,,79.6,,1,1,290,25.3,108.7,7.6,21,23,0,9,10,5,1.7,1939,8.4,76.6,107,125,8.2,3.11,3,2,1.5,62.4,78,51,4.9,145,34.4,4,53,,,,,88.2,78.1,82.3,74.3,,,76.4,,1,2,158,13.7,107.3,4.8,7,12,0,14,10,3,1.9,996,8.0,0,96.2,53,56,-2.7,1.61,1,0,0.0,87.5,49,4,3.9,57,13.5,2,12,,,,,81.6,68.1,78.7,67.3,,,,,0,1,61,0.0,89.1,0.0,0,0,0,2,1,0,0.0,321,5.7,-0.39
Russell Wilson,7077,QB,DEN,11,-6.72,0,415,10,71.6,292,325,11.0,2.95,9,17,4.9,58.5,190,139,9.1,381,91.8,19,104,,,,,76.0,65.5,41.4,65.7,,,57.8,,2,5,412,26.6,82.4,9.7,37,19,1,21,7,11,2.7,2403,7.4,76.3,245,276,9.1,2.83,10,13,4.4,61.6,170,115,9.1,326,78.6,17,83,,,,,72.0,66.2,37.2,66.6,,,57.8,,2,4,351,27.0,83.8,9.5,31,19,1,18,6,8,2.3,1933,7.0,64.9,74,82,12.2,3.07,2,4,4.5,54.9,45,28,6.3,89,21.4,3,29,,,,,84.6,60.8,80.4,60.8,,,58.3,,0,1,96,21.4,82.7,6.7,6,1,0,6,2,3,3.1,626,7.6,0,96.3,27,33,-3.0,2.06,3,0,0.0,75.8,25,4,3.8,34,8.2,1,8,,,,,78.3,61.0,76.7,61.8,,,58.3,,0,0,35,0.0,95.0,0.0,0,1,0,3,1,0,0.0,156,4.7,0.63
Jacoby Brissett,10725,QB,CLV,11,4.3,0,415,8,72.6,307,333,10.7,2.94,4,18,5.0,61.9,206,127,7.6,377,90.8,17,125,,,,,55.9,82.7,59.2,75.6,,,91.4,,3,6,407,18.9,87.9,6.4,24,20,3,16,12,14,3.4,2377,7.1,73.5,275,294,9.4,2.7,4,14,4.5,63.3,186,104,7.9,326,78.6,16,102,,,,,49.6,79.7,56.6,72.6,,,91.5,,2,5,345,20.2,86.6,6.4,21,11,3,10,10,11,3.2,1943,6.6,81.0,63,74,9.8,3.62,1,4,4.7,67.6,50,33,2.0,89,21.4,1,38,,,,,85.1,80.0,80.6,76.4,,,73.2,,2,1,102,9.1,99.2,3.4,3,12,0,8,2,3,2.9,665,9.0,0,96.8,31,35,-3.1,2.49,1,0,0.0,85.7,30,10,0.0,38,9.2,0,15,,,,,79.0,66.5,77.2,65.0,,,63.5,,1,0,40,0.0,94.2,0.0,0,3,0,2,0,0,0.0,231,6.6,2.38
Lamar Jackson,46416,QB,BLT,12,10.45,0,378,3,72.2,273,298,10.3,3.2,7,17,5.4,60.4,180,124,8.6,349,92.3,17,107,,,,,54.1,86.1,72.8,73.0,,,92.6,,3,7,368,21.0,88.3,7.4,26,25,1,14,15,8,2.2,2064,6.9,71.7,191,207,9.5,2.98,6,8,3.7,58.5,121,83,11.7,240,63.5,16,70,,,,,42.1,75.3,69.6,60.4,,,91.3,,1,5,254,22.9,83.1,7.9,19,14,1,8,10,8,3.1,1307,6.3,79.6,108,119,8.8,3.34,2,9,7.2,68.9,82,46,4.7,138,36.5,4,46,,,,,87.6,91.6,81.9,86.2,,,91.4,,2,2,145,17.4,104.8,5.8,8,11,0,7,7,1,0.7,935,7.9,0,100.0,26,28,-2.1,2.06,1,0,0.0,82.1,23,5,11.5,29,7.7,3,9,,,,,77.6,59.3,76.3,59.1,,,,,0,0,31,20.0,117.0,3.4,1,0,0,1,2,1,3.2,178,6.4,1.55
Davis Mills,52269,QB,HST,10,4.17,0,365,13,66.3,267,286,9.2,2.62,7,11,3.6,57.3,164,140,7.3,320,87.7,13,83,,,,,82.7,62.1,31.2,61.6,,,64.0,,7,11,340,20.0,73.7,8.8,28,6,0,5,11,8,2.4,1853,6.5,69.6,217,232,7.0,2.48,6,7,2.9,60.8,141,104,6.6,262,71.8,10,59,,,,,90.6,58.3,24.5,58.0,,,62.3,,5,11,274,21.2,66.7,8.4,22,7,0,4,7,6,2.2,1318,5.7,73.6,91,97,9.0,2.63,1,4,3.8,64.9,63,39,6.0,103,28.2,4,34,,,,,57.6,71.8,81.0,70.6,,,,,2,0,112,15.4,105.4,5.8,6,0,0,3,4,2,1.8,826,8.5,0,100.0,41,43,-3.3,1.81,0,0,0.0,93.0,40,3,2.4,45,12.3,1,10,,,,,79.9,68.8,77.7,69.2,,,57.9,,0,0,46,0.0,94.9,0.0,0,1,0,2,0,0,0.0,291,6.8,2.84
Marcus Mariota,9435,QB,ATL,13,5.47,0,354,2,64.8,253,268,12.1,3.13,2,8,2.8,59.3,159,119,3.0,321,90.7,5,109,,,,,42.7,65.5,73.8,62.2,,,68.6,,1,9,338,23.5,87.2,8.7,28,25,4,8,14,15,4.4,2076,7.7,65.2,158,168,9.7,2.7,1,2,1.1,58.9,99,63,3.9,197,55.6,4,55,,,,,28.4,55.8,70.4,46.4,,,76.5,,0,5,206,30.2,76.9,9.6,19,10,4,5,6,11,5.3,1055,6.3,69.8,126,132,11.6,3.36,2,6,4.2,64.4,85,58,3.4,157,44.4,3,61,,,,,88.7,78.8,82.5,80.6,,,49.1,,1,4,167,15.5,102.6,5.7,9,16,0,3,9,4,2.4,1164,8.8,0,87.1,31,32,-2.5,1.71,1,0,0.0,78.1,25,2,7.4,33,9.3,2,7,,,,,78.3,68.9,76.7,64.9,,,65.6,,0,0,35,0.0,95.7,0.0,0,1,0,0,1,0,0.0,143,4.5,2.54
