"offPlayer","offRoutes","offTr","offFr","offCPct","offYprr","offGrade","adv","defPlayer","defRoutes","defTr","defFr","defCPct","defYprr","defGrade"
"Trey McBride","253","10","0.13","73","0.58","44.6","-11","Troy Andersen","162","18","0.38","93","1.73","47.7"
"Anthony Firkser","82","15","0.21","67","1.09","58.7","-35","Ben Niemann","205","16","0.23","85","0.93","73"
"Mark Andrews","410","25","0.41","63","1.82","77.8","16","Myles Jack","322","16","0.3","80","1.13","53.7"
"Dawson Knox","445","14","0.28","73","1.13","64.8","16","Logan Wilson","474","14","0.24","83","1.03","73.2"
"Ian Thomas","156","18","0.25","71","1.21","51.7","-64","Lavonte David","524","13","0.2","79","0.83","83.7"
"Cole Kmet","376","16","0.32","72","1.22","66.8","-4","Alex Anzalone","486","8","0.13","80","0.69","57"
"Hayden Hurst","355","17","0.28","80","1.13","66.7","-3","Tremaine Edmunds","389","13","0.19","73","0.74","76.6"
"David Njoku","344","21","0.37","75","1.64","74.9","10","Jamin Davis","375","15","0.24","77","1.06","61.2"
"Dalton Schultz","342","20","0.33","68","1.43","65.3","15","Zach Cunningham","103","18","0.38","79","1.17","60.2"
"Greg Dulcich","316","16","0.27","65","1.3","60.4","-33","Willie Gay Jr.","243","19","0.34","96","1.35","69.8"
"Shane Zylstra","105","10","0.37","91","0.5","68.3","6","Joe Thomas","97","12","0.18","83","0.73","63"
"Robert Tonyan","326","17","0.28","82","1.19","56.8","18","Eric Kendricks","578","13","0.22","77","1","60.8"
"Teagan Quitoriano","105","8","0.18","50","0.29","46.1","-2","Devin Lloyd","441","18","0.36","85","1.54","49.2"
"Mo Alie-Cox","250","10","0.19","72","0.74","47","-13","Julian Love","519","9","0.17","71","0.72","70.1"
"Evan Engram","474","19","0.35","75","1.53","66","14","Christian Kirksey","460","14","0.25","75","1.15","56.4"
"Travis Kelce","533","25","0.55","73","2.36","91.4","50","Josey Jewell","319","19","0.31","77","1.55","72.5"
"Tyler Higbee","395","24","0.36","69","1.46","63.5","22","Drue Tranquill","431","11","0.18","79","0.78","63.3"
"Gerald Everett","409","18","0.29","70","1.3","68.2","21","Ernest Jones","327","17","0.28","85","1.18","63.6"
"Darren Waller","186","17","0.34","72","1.51","66.7","-2","Dre Greenlaw","470","20","0.3","78","1.27","81"
"Mike Gesicki","307","13","0.26","63","0.97","58.8","-12","Ja'Whaun Bentley","336","11","0.14","73","0.57","81.1"
"T.J. Hockenson","525","21","0.38","71","1.6","69.3","20","Quay Walker","338","11","0.17","69","0.73","52.1"
"Hunter Henry","347","13","0.24","68","1.2","57.3","0","Eric Rowe","302","14","0.26","86","1.42","56.4"
"Juwan Johnson","324","16","0.37","68","1.31","66.2","-21","Kyzir White","425","14","0.19","72","0.91","57.5"
"Daniel Bellinger","251","12","0.25","90","0.9","60.2","-9","Bobby Okereke","452","18","0.27","77","1.21","71.3"
"Tyler Conklin","428","17","0.27","68","1.07","56.5","-8","Cody Barton","343","17","0.3","78","1.18","57.2"
"Dallas Goedert","311","17","0.4","85","1.96","77","0","Demario Davis","498","8","0.14","74","0.55","78.4"
"Pat Freiermuth","389","23","0.36","67","1.79","78.1","11","Roquan Smith","427","12","0.2","76","0.95","67.8"
"Noah Fant","304","18","0.36","79","1.4","66.7","-3","C.J. Mosley","531","13","0.19","67","0.89","71.4"
"George Kittle","389","17","0.44","79","1.83","80.3","46","Luke Masterson","98","17","0.31","94","1.48","44.1"
"Cade Otton","416","13","0.21","70","0.89","57.4","-13","Frankie Luvu","335","13","0.31","91","1.15","74.6"
"Austin Hooper","273","17","0.32","77","1.47","69.7","-13","Leighton Vander Esch","358","8","0.12","83","0.49","70.4"
"Logan Thomas","314","15","0.2","65","0.8","51.6","-4","Tony Fields II","45","11","0.2","100","0.87","56.9"
