player,player_id,position,team_name,player_game_count,allowed_pressure_dropbacks,ce_percent,declined_penalties,franchise_id,hits_allowed,hurries_allowed,lg_percent,lt_percent,ol_te_percent,other_percent,penalties,pressures_allowed,pressures_ce,pressures_lg,pressures_lt,pressures_off,pressures_ol_te,pressures_other,pressures_rg,pressures_rt,pressures_self,pressures_te,rg_percent,rt_percent,sacks_allowed,self_percent,te_percent
Daniel Jones,39395,QB,NYG,3,48,10.4,0,21,2,5,16.7,16.7,85.4,0.0,0,8,5,8,8,48,41,0,15,12,8,2,31.3,25.0,1,16.7,4.2
Kenny Pickett,60515,QB,PIT,2,36,13.9,0,25,2,0,11.1,36.1,83.3,5.6,0,4,5,4,13,36,30,2,8,4,4,0,22.2,11.1,2,11.1,0.0
Justin Fields,82118,QB,CHI,2,35,17.1,0,6,0,3,25.7,11.4,82.9,0.0,0,7,6,9,4,35,29,0,11,7,7,0,31.4,20.0,4,20.0,0.0
Bryce Young,123943,QB,CAR,2,34,11.8,0,5,0,2,17.6,11.8,85.3,2.9,0,5,4,6,4,34,29,1,11,6,5,1,32.4,17.6,3,14.7,2.9
C.J. Stroud,129759,QB,HST,2,33,9.1,0,13,0,1,9.1,15.2,81.8,3.0,0,5,3,3,5,33,27,1,9,12,5,1,27.3,36.4,4,15.2,3.0
Mac Jones,60323,QB,NE,2,32,12.5,0,19,0,2,31.3,15.6,90.6,3.1,0,2,4,10,5,32,29,1,7,9,2,0,21.9,28.1,0,6.3,0.0
Brock Purdy,77672,QB,SF,3,30,23.3,0,28,0,0,10.0,6.7,90.0,10.0,0,1,7,3,2,30,27,3,11,6,1,0,36.7,20.0,1,3.3,0.0
Deshaun Watson,11767,QB,CLV,2,29,13.8,0,8,2,3,6.9,31.0,79.3,0.0,0,6,4,2,9,29,23,0,4,5,6,1,13.8,17.2,1,20.7,3.4
Russell Wilson,7077,QB,DEN,2,29,0.0,0,10,4,1,24.1,17.2,86.2,0.0,0,8,0,7,5,29,25,0,2,12,8,1,6.9,41.4,3,27.6,3.4
Zach Wilson,82096,QB,NYJ,2,28,21.4,0,22,0,1,14.3,28.6,92.9,3.6,0,2,6,4,8,28,26,1,8,6,2,1,28.6,21.4,1,7.1,3.6
Matthew Stafford,4924,QB,LA,2,27,33.3,0,26,0,1,22.2,25.9,96.3,0.0,0,1,9,6,7,27,26,0,5,4,1,0,18.5,14.8,0,3.7,0.0
Patrick Mahomes,11765,QB,KC,2,27,0.0,0,16,2,2,29.6,33.3,85.2,0.0,0,4,0,8,9,27,23,0,4,2,4,1,14.8,7.4,0,14.8,3.7
Sam Howell,97599,QB,WAS,2,25,20.0,0,32,0,1,12.0,24.0,72.0,12.0,0,4,5,3,6,25,18,3,2,5,4,0,8.0,20.0,3,16.0,0.0
Kirk Cousins,7102,QB,MIN,2,25,20.0,0,18,0,0,12.0,36.0,88.0,12.0,0,1,5,3,9,25,22,3,7,1,1,0,28.0,4.0,1,4.0,0.0
Josh Allen,46601,QB,BUF,2,25,16.0,0,4,0,3,20.0,12.0,76.0,0.0,0,6,4,5,3,25,19,0,4,7,6,0,16.0,28.0,3,24.0,0.0
Jalen Hurts,40291,QB,PHI,2,23,0.0,0,24,0,2,21.7,17.4,69.6,17.4,0,5,0,5,4,23,16,4,3,6,5,1,13.0,26.1,3,21.7,4.3
Ryan Tannehill,7014,QB,TEN,2,23,21.7,0,31,2,1,21.7,39.1,78.3,0.0,0,5,5,5,9,23,18,0,2,1,5,0,8.7,4.3,2,21.7,0.0
Derek Carr,8671,QB,NO,2,21,28.6,0,20,0,2,19.0,47.6,90.5,0.0,0,2,6,4,10,21,19,0,3,2,2,0,14.3,9.5,0,9.5,0.0
Geno Smith,7820,QB,SEA,2,20,0.0,0,29,0,1,25.0,20.0,80.0,5.0,0,2,0,5,4,20,16,1,1,8,3,1,5.0,40.0,1,15.0,5.0
Joshua Dobbs,11890,QB,ARZ,2,19,21.1,0,1,1,0,31.6,5.3,89.5,0.0,0,2,4,6,1,19,17,0,5,2,2,1,26.3,10.5,1,10.5,5.3
Justin Herbert,28237,QB,LAC,2,19,15.8,0,27,0,2,21.1,5.3,89.5,0.0,0,2,3,4,1,19,17,0,5,5,2,0,26.3,26.3,0,10.5,0.0
