player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_distance,average_hangtime,average_starting_field_position,average_yards_per_return,declined_penalties,fair_catches,franchise_id,grades_kickoff_kicker,kicked_yards,kicks_returned,onside_kicks,penalties,percent_returned,return_yards,total_hangtime,touchbacks
Matt Prater,3471,K,ARZ,2,11,11,72.6,4.23,24.5,21.0,0,0,1,67.9,799,1,0,0,9.1,21,46.56,10
Nick Folk,3794,K,TEN,2,11,11,66.8,3.79,24.5,22.3,0,0,31,67.9,735,6,0,0,54.5,134,41.72,5
Graham Gano,5443,K,NYG,3,11,10,73.4,3.84,24.5,19.0,0,0,21,67.9,807,1,0,0,9.1,19,38.35,10
Greg Zuerlein,7163,K,NYJ,1,6,6,73.5,3.94,25.0,,0,0,22,60.0,441,0,0,0,0.0,0,23.64,6
Johnny Hekker,7252,P,CAR,1,1,0,10.0,,55.0,0.0,0,0,5,60.0,10,1,1,0,100.0,0,0.0,0
Justin Tucker,7604,K,BLT,2,10,10,72.8,3.8,25.0,,0,0,3,66.5,728,0,0,0,0.0,0,38.0,10
Dustin Hopkins,7958,K,CLV,2,11,10,67.5,4.16,23.7,15.0,0,0,8,51.6,742,3,0,0,27.3,45,41.6,8
Brandon McManus,8437,K,JAX,2,9,9,69.0,3.99,24.2,16.5,0,0,15,59.9,621,2,0,0,22.2,33,35.88,7
Brett Maher,8585,K,LA,1,1,0,46.0,,35.0,16.0,0,0,26,60.0,46,1,0,0,100.0,16,0.0,0
Cairo Santos,8932,K,CHI,2,9,8,64.9,4.13,29.9,18.3,0,0,6,62.5,584,3,1,0,33.3,55,33.0,6
Chris Boswell,8990,K,PIT,2,8,8,72.9,3.9,25.0,,0,0,25,63.3,583,0,0,0,0.0,0,31.18,8
Bradley Pinion,9598,P,ATL,2,12,12,73.7,3.93,24.0,27.5,0,0,2,69.2,884,2,0,0,16.7,55,47.15,10
Jason Myers,10207,K,SEA,2,10,10,67.4,4.01,25.4,8.0,0,1,29,60.6,674,1,0,0,10.0,8,40.05,8
Wil Lutz,11096,K,DEN,2,10,8,63.1,3.77,29.9,0.0,0,0,10,63.6,631,1,2,0,10.0,0,30.18,8
Ka'imi Fairbairn,11161,K,HST,2,8,8,67.4,4.16,22.9,18.0,0,2,13,61.4,539,1,0,0,12.5,18,33.26,5
Jake Elliott,11908,K,PHI,2,13,11,70.2,4.02,26.4,31.0,0,0,24,63.1,913,2,0,0,15.4,62,44.26,11
Harrison Butker,11988,K,KC,2,9,9,74.6,4.25,25.0,,0,0,16,65.0,671,0,0,0,0.0,0,38.29,9
Austin Seibert,13701,K,NYJ,1,3,2,65.3,4.14,24.7,0.0,0,0,22,60.0,196,1,0,0,33.3,0,8.27,2
Greg Joseph,22842,K,MIN,2,9,8,67.0,3.75,27.1,11.5,0,0,18,62.5,603,2,1,0,22.2,23,30.0,7
Daniel Carlson,28121,K,LV,2,7,7,70.1,4.04,26.7,32.0,0,0,23,60.5,491,3,0,0,42.9,96,28.28,4
Jason Sanders,29578,K,MIA,2,11,11,74.2,4.01,25.0,,0,0,17,67.9,816,0,0,0,0.0,0,44.1,11
Tyler Bass,33010,K,BUF,2,12,12,70.5,4.03,25.3,23.0,0,0,4,65.7,846,3,0,0,25.0,69,48.36,9
Jake Bailey,33963,P,MIA,1,1,1,69.0,4.11,25.0,,0,0,17,60.0,69,0,0,0,0.0,0,4.11,1
Jack Fox,34735,P,DET,2,10,10,66.9,4.12,25.8,22.3,0,0,11,60.6,669,3,0,0,30.0,67,41.18,7
Joey Slye,39235,K,WAS,2,10,10,74.5,4.04,25.0,,0,0,32,66.5,745,0,0,0,0.0,0,40.43,10
Eddy Pineiro,44140,K,CAR,2,7,6,66.1,3.76,24.4,23.5,0,0,5,61.4,463,2,0,0,28.6,47,22.57,5
Mitch Wishnowsky,44663,P,SF,1,7,6,67.6,3.91,27.9,30.3,0,0,28,61.4,473,3,0,0,42.9,91,23.46,4
Blake Grupe,57502,K,NO,2,10,10,73.0,4.02,25.0,,0,0,20,66.5,730,0,0,0,0.0,0,40.16,10
Anders Carlson,57509,K,GB,2,11,11,67.4,3.93,23.1,20.6,0,0,12,67.9,741,5,0,0,45.5,103,43.28,6
Matt Gay,57643,K,IND,2,10,10,69.9,3.97,24.1,19.0,0,0,14,57.6,699,3,0,0,30.0,57,39.74,7
Cameron Dicker,77069,K,LAC,2,12,12,73.0,4.05,25.0,,0,0,27,69.2,876,0,0,0,0.0,0,48.64,12
Chad Ryland,77083,K,NE,2,8,7,69.6,4.06,25.9,11.0,0,0,19,61.4,557,1,0,0,12.5,11,28.43,7
Evan McPherson,82583,K,CIN,2,7,7,73.9,4.08,25.0,,0,0,7,61.4,517,0,0,0,0.0,0,28.56,7
Jake Moody,82603,K,SF,2,13,13,67.7,4.13,25.8,18.0,0,0,28,59.5,880,2,0,0,15.4,36,53.68,10
Jake Camarda,82636,P,TB,2,10,10,70.0,4.19,24.2,15.0,0,0,30,66.5,700,1,0,0,10.0,15,41.92,9
Ethan Evans,112090,P,LA,2,11,11,73.3,4.17,26.4,34.0,0,0,26,64.6,806,1,0,0,9.1,34,45.91,10
Brandon Aubrey,156112,K,DAL,2,16,16,73.3,4.24,25.0,,0,0,9,73.4,1172,0,0,0,0.0,0,67.89,16
