player,player_id,position,team_name,player_game_count,assists,declined_penalties,franchise_id,grades_fgep_defense,grades_fgep_kicker,grades_fgep_offense,grades_kick_return,grades_kickoff_kicker,grades_long_snap,grades_misc_st,grades_punt_return,grades_punter,grades_special_teams_penalty,missed_tackles,penalties,snap_counts_field_goal,snap_counts_field_goal_blocking,snap_counts_kickoff,snap_counts_kickoff_return,snap_counts_punt_coverage,snap_counts_punt_return,tackles
Marcedes Lewis,2973,TE,CHI,1,0,0,6,,,60.0,,,,60.0,,,60.9,0,0,2,0,0,0,0,0,0
Matt Prater,3471,K,ARZ,2,0,0,1,,59.1,,,67.9,,60.2,,,61.9,0,0,9,0,11,0,0,0,0
Nick Folk,3794,K,TEN,2,0,0,31,,79.2,,,67.9,,60.2,,,61.9,0,0,10,0,11,0,0,0,0
Calais Campbell,4364,ED,ATL,2,0,0,2,58.8,,60.5,,,,59.7,,,64.6,0,0,10,6,0,0,0,0,0
Matthew Slater,4467,WR,NE,2,1,0,19,57.1,,,,,,64.1,,,71.7,1,0,0,12,8,12,9,8,0
JJ Jansen,4712,LS,CAR,2,0,0,5,,,60.0,,,80.6,65.7,,,64.6,0,0,5,0,0,0,10,0,0
Thomas Morstead,5088,P,NYJ,2,0,0,22,,,60.0,,,,61.0,,69.4,66.6,0,0,6,0,0,0,9,0,0
Graham Gano,5443,K,NYG,3,0,0,21,,71.7,,,67.9,,60.2,,,61.9,0,0,9,0,11,0,0,0,0
Brandon Graham,5538,ED,PHI,2,0,0,24,59.4,,,,,,60.4,,,66.5,0,0,0,6,0,0,0,1,0
Al Woods,5646,DI,NYJ,2,0,0,22,58.8,,,,,,59.1,,,66.0,0,0,0,10,0,0,0,0,0
Jon Weeks,5800,LS,HST,2,0,0,13,,,65.8,,,80.7,66.2,,,64.2,0,0,9,0,0,0,8,0,0
Morgan Cox,6020,LS,TEN,2,0,0,31,,,67.0,,,64.2,59.3,,,64.2,0,0,10,0,0,0,8,0,0
Patrick Peterson,6157,CB,PIT,2,0,0,25,59.5,,,,,,28.6,,,21.7,0,2,0,10,0,0,0,1,0
Tyron Smith,6161,T,DAL,2,0,0,9,,,61.5,,,,61.5,,,66.7,0,0,13,0,0,0,0,0,0
Cameron Jordan,6176,ED,NO,1,0,0,20,,,,,,,60.0,,,65.2,0,0,0,0,0,0,0,1,0
Cameron Heyward,6183,DI,PIT,1,0,0,25,59.0,,,,,,59.5,,,65.3,0,0,0,2,0,0,0,0,0
Randall Cobb,6216,WR,NYJ,1,0,0,22,,,,,,,60.0,,,61.2,0,0,0,0,0,1,0,0,0
Taiwan Jones,6277,HB,NYG,2,0,0,21,59.4,,,,,,48.3,,,73.8,2,0,0,12,7,1,6,6,0
Lawrence Guy Sr.,6385,DI,NE,2,0,0,19,58.2,,60.0,,,,58.8,,,67.9,0,0,5,12,0,0,0,0,0
Patrick Scales,6508,LS,CHI,2,0,0,6,,,60.0,,,80.3,61.3,,,64.5,0,0,5,0,0,0,9,0,0
Nick Bellore,6515,FB,SEA,2,0,0,29,60.0,,,,,,76.5,,,28.1,0,1,0,13,10,13,7,2,0
Kevin Zeitler,7032,G,BLT,2,0,0,3,,,61.7,,,,61.8,,,69.7,0,0,9,0,0,0,0,0,0
Bobby Wagner,7050,LB,SEA,2,0,0,29,60.0,,,,,,60.4,,,63.7,0,0,0,13,0,1,0,0,0
Lavonte David,7060,LB,TB,1,0,0,30,,,,,,,60.0,,,65.2,0,0,0,0,0,0,0,1,0
Bryan Anger,7072,P,DAL,2,0,0,9,,,60.0,,,,61.4,,61.1,68.9,0,0,13,0,0,0,6,0,0
Demario Davis,7079,LB,NO,1,0,0,20,,,,,,,60.0,,,63.3,0,0,0,0,0,0,0,1,0
Greg Zuerlein,7163,K,NYJ,1,0,0,22,,74.3,,,60.0,,60.0,,,61.6,0,1,4,0,6,0,0,0,0
Johnny Hekker,7252,P,CAR,2,0,0,5,,,60.0,,60.0,,60.9,,66.5,65.7,0,0,5,0,1,0,10,0,0
Rodney McLeod,7271,S,CLV,2,0,0,8,60.0,,,,,,62.9,,,69.4,0,0,0,6,0,0,12,8,1
Tashaun Gipson Sr.,7288,S,SF,3,0,0,28,,,,,,,60.1,,,64.8,0,0,0,0,6,0,0,0,0
Aaron Brewer,7301,LS,ARZ,2,0,0,1,,,59.3,,,32.3,56.8,,,64.2,0,0,9,0,0,0,8,0,0
Charley Hughlett,7336,LS,CLV,2,0,0,8,,,63.0,,,37.9,57.7,,,64.8,0,0,7,0,0,0,12,0,0
Brandon Bolden,7469,HB,LV,2,0,0,23,,,,,,,70.9,,,67.7,0,0,0,0,7,11,4,3,0
Justin Tucker,7604,K,BLT,2,0,0,3,,63.3,,,66.5,,60.2,,,61.9,0,0,9,0,10,0,0,0,0
Andrew DePaola,7633,LS,MIN,2,0,0,18,,,63.0,,,80.4,79.1,,,64.3,0,0,7,0,0,0,8,0,1
Justin Bethel,7654,S,MIA,2,0,0,17,59.9,,,,,,73.8,,,70.9,0,0,0,3,12,4,4,7,1
Greg Van Roten,7746,G,LV,2,0,0,23,,,60.0,,,,60.7,,,65.0,0,0,5,0,0,0,0,0,0
Josh Harris,7748,LS,LAC,2,0,0,27,,,67.0,,,65.4,75.7,,,64.4,0,0,10,0,0,0,9,0,1
Robert Woods,7822,WR,HST,2,0,0,13,,,,,,,60.0,62.3,,62.7,0,0,0,0,0,0,0,5,0
Johnathan Hankins,7830,DI,DAL,2,0,0,9,59.5,,,,,,60.4,,,65.3,0,0,0,3,0,0,0,1,0
John Jenkins,7863,DI,LV,2,0,0,23,59.3,,,,,,59.8,,,65.3,0,0,0,10,0,0,0,0,0
William Gholston,7908,DI,TB,2,0,0,30,58.4,,60.0,,,,59.4,,,66.6,0,0,11,6,0,0,0,0,0
Kyle Juszczyk,7912,FB,SF,1,0,0,28,,,,,,,59.5,,,62.9,0,0,0,0,0,0,3,0,0
Micah Hyde,7941,S,BUF,2,0,0,4,59.8,,,,,,60.0,,,61.7,0,0,0,6,0,0,0,0,0
Sam Martin,7947,P,BUF,2,0,0,4,,,60.0,,,,61.1,,66.7,68.5,1,0,10,0,0,0,4,0,0
David Quessenberry,7957,T,MIN,1,0,0,18,,,60.0,,,,60.6,,,64.7,0,0,4,0,0,0,0,0,0
Dustin Hopkins,7958,K,CLV,2,0,0,8,,64.3,,,51.6,,60.2,,,61.9,0,0,7,0,11,0,0,0,1
Jordan Poyer,8000,S,BUF,2,0,0,4,59.8,,,,,,60.1,,,63.0,0,0,0,6,0,0,0,0,0
Nick Williams,8006,DI,LAC,2,0,0,27,58.2,,60.6,,,,59.0,,,67.2,0,0,10,12,0,0,0,0,0
Chris Hubbard,8051,T,TEN,2,0,0,31,,,60.8,,,,61.4,,,68.5,0,0,10,0,0,0,0,0,0
Tress Way,8358,P,WAS,2,0,0,32,,,60.0,,,,61.3,,61.9,67.9,0,0,11,0,0,0,9,0,0
Brandon McManus,8437,K,JAX,2,0,0,15,,71.0,,,59.9,,60.1,,,61.8,0,0,8,0,9,0,0,0,0
Mike Purcell,8530,DI,DEN,1,0,0,10,59.2,,,,,,59.5,,,64.2,0,0,0,7,0,0,0,0,0
James Winchester,8580,LS,KC,2,0,0,16,,,63.0,,,0.0,47.6,,,64.4,0,0,7,0,0,0,9,0,0
Brett Maher,8585,K,LA,2,0,0,26,,66.7,,,60.0,,60.0,,,61.4,0,0,13,0,1,0,0,0,0
Jake Matthews,8641,T,ATL,2,0,0,2,,,60.9,,,,61.3,,,66.2,0,0,10,0,0,0,0,0,0
Aaron Donald,8648,DI,LA,1,0,0,26,,,,,,,60.0,,,66.3,0,0,0,0,0,0,0,1,0
C.J. Mosley,8652,LB,NYJ,2,0,0,22,60.0,,,,,,60.9,,,64.4,0,0,0,10,0,0,0,1,0
Joel Bitonio,8670,G,CLV,2,0,0,8,,,60.0,,,,60.6,,,63.8,0,0,7,0,0,0,0,0,0
Morgan Moses,8701,T,BLT,2,0,0,3,,,60.5,,,,61.3,,,68.5,0,0,9,0,0,0,0,0,0
Billy Turner,8702,T,NYJ,2,0,0,22,,,60.0,,,,60.5,,,63.7,0,0,6,0,0,0,0,0,0
Jerick McKinnon,8731,HB,KC,2,0,0,16,,,,,,,57.9,,,66.8,0,0,0,0,9,7,9,7,0
DaQuan Jones,8747,DI,BUF,1,0,0,4,59.8,,,,,,60.0,,,63.1,0,0,0,1,0,0,0,0,0
Brent Urban,8769,DI,BLT,2,0,0,3,59.0,,60.2,,,,60.3,,,65.5,0,0,9,7,0,0,0,1,0
Shelby Harris,8869,DI,CLV,2,0,0,8,58.6,,,,,,60.6,,,69.2,0,0,0,6,0,0,0,8,0
Charles Leno Jr.,8880,T,WAS,2,0,0,32,,,61.1,,,,61.3,,,66.4,0,0,11,0,0,0,0,0,0
Cairo Santos,8932,K,CHI,2,0,0,6,,72.0,,,62.5,,60.1,,,61.8,0,0,5,0,9,0,0,0,0
Casey Kreiter,8959,LS,NYG,3,0,0,21,,,65.8,,,81.7,77.9,,,64.8,0,0,9,0,0,0,12,0,1
Denico Autry,8982,ED,TEN,2,0,0,31,58.6,,,,,,59.5,,,68.9,0,0,0,8,0,0,0,2,0
Chris Boswell,8990,K,PIT,2,0,0,25,,73.5,,,63.3,,60.1,,,61.8,0,0,5,0,8,0,0,0,0
Shaquil Barrett,9000,ED,TB,1,0,0,30,,,,,,,60.0,,,64.3,0,0,0,0,0,0,0,1,0
Cornelius Lucas,9025,T,WAS,2,0,0,32,,,60.0,,,,60.8,,,64.2,0,0,11,0,0,0,0,0,0
Kerry Hyder Jr.,9045,ED,SF,2,0,0,28,60.0,,,,,,60.3,,,62.9,0,0,0,7,0,0,0,0,0
Tyler Ott,9174,LS,BLT,2,0,0,3,,,65.8,,,80.4,66.0,,,64.2,0,0,9,0,0,0,7,0,0
Adrian Phillips,9177,S,NE,2,0,0,19,59.9,,,,,,58.5,,,66.2,1,0,0,12,8,12,9,3,0
Justin McCray,9234,C,CAR,1,0,0,5,,,60.0,,,,60.4,,,61.2,0,0,3,0,0,0,0,0,0
C.J. Goodwin,9243,CB,DAL,2,0,0,9,59.6,,,,,,63.1,,,73.1,0,0,0,4,16,4,6,8,0
Tyler Shatley,9257,G,JAX,2,0,0,15,,,60.9,,,,61.0,,,61.7,0,0,8,0,0,0,0,0,0
Matt Feiler,9289,G,TB,2,0,0,30,,,61.7,,,,61.3,,,61.9,0,0,11,0,0,0,0,0,0
Keith Smith,9302,FB,ATL,2,0,0,2,,,,,,,72.1,,,69.9,0,0,0,0,12,8,8,7,2
Tyler Larsen,9304,C,WAS,2,0,0,32,,,62.3,,,,62.0,,,70.0,0,0,11,0,0,0,0,0,0
Dante Fowler Jr.,9436,ED,DAL,1,0,0,9,,,,,,,60.0,,,67.9,0,0,0,0,0,0,0,2,0
Leonard Williams,9439,DI,NYG,3,0,0,21,58.6,,,,,,59.2,,,66.1,0,0,0,17,0,0,0,1,0
Andrus Peat,9446,G,NO,2,0,0,20,,,60.4,,,,61.1,,,65.8,0,0,8,0,0,0,0,0,0
Arik Armstead,9450,DI,SF,1,0,0,28,,,,,,,60.0,,,65.5,0,0,0,0,0,0,0,1,0
Bud Dupree,9455,ED,ATL,2,0,0,2,,,,,,,60.0,,,67.3,0,0,0,0,0,0,0,2,0
Shaq Thompson,9458,LB,CAR,1,0,0,5,60.0,,,,,,60.7,,,63.4,0,0,0,4,0,0,0,1,0
Laken Tomlinson,9461,G,NYJ,2,0,0,22,,,60.0,,,,61.0,,,66.9,0,0,6,0,0,0,0,0,0
Donovan Smith,9467,T,KC,2,0,0,16,,,60.0,,,,61.1,,,67.6,0,0,7,0,0,0,0,0,0
Mario Edwards Jr.,9468,DI,SEA,1,0,0,29,58.9,,,,,,59.6,,,72.1,0,0,0,5,0,0,0,1,0
Eric Kendricks,9478,LB,LAC,1,0,0,27,60.0,,,,,,60.3,,,63.0,0,0,0,7,0,0,0,0,0
Ameer Abdullah,9487,HB,LV,2,0,0,23,,,,,,,41.5,,,66.5,0,0,0,0,7,11,3,2,0
Rob Havenstein,9490,T,LA,2,0,0,26,,,26.5,,,,28.8,,,69.2,0,0,13,0,0,0,0,0,0
Markus Golden,9491,ED,PIT,1,0,0,25,59.8,,,,,,60.0,,,62.3,0,0,0,1,0,0,0,0,0
Tyler Lockett,9502,WR,SEA,1,0,0,29,,,,,,,60.0,,,62.9,0,0,0,0,0,1,0,0,0
Jordan Hicks,9517,LB,MIN,2,0,0,18,60.0,,,,,,60.3,,,62.3,0,0,0,11,0,0,0,0,0
Ty Montgomery,9527,WR,NE,2,0,0,19,,,,59.4,,,63.0,,,66.2,0,0,0,0,8,12,1,4,0
Angelo Blackson,9533,DI,JAX,1,0,0,15,,,,,,,60.0,,,65.5,0,0,0,0,0,0,0,1,0
Jamison Crowder,9538,WR,WAS,2,0,0,32,,,,,,,60.2,63.5,,63.0,0,0,0,0,0,1,0,8,0
Blake Bell,9550,TE,KC,2,0,0,16,,,,,,,54.7,,,65.7,0,0,0,0,0,7,0,0,0
Za'Darius Smith,9555,ED,CLV,2,0,0,8,,,,,,,64.7,,,69.4,0,0,0,0,0,0,0,7,0
Jon Feliciano,9561,C,SF,3,0,0,28,,,61.6,,,,61.4,,,64.1,0,0,19,0,0,0,0,0,0
Shaq Mason,9564,G,HST,2,0,0,13,,,61.7,,,,61.8,,,69.4,0,0,9,0,0,0,0,0,0
Max Garcia,9566,C,NO,2,0,0,20,,,60.0,,,,60.6,,,63.8,0,0,8,0,0,0,0,0,0
Mark Glowinski,9567,G,NYG,1,0,0,21,,,,,,,60.0,,,62.5,0,0,0,0,0,0,0,0,0
Grady Jarrett,9570,DI,ATL,2,0,0,2,59.2,,,,,,59.7,,,65.7,0,0,0,6,0,0,0,0,0
Adrian Amos,9575,S,NYJ,2,0,0,22,59.8,,,,,,57.5,,,67.1,0,0,0,4,9,7,9,5,0
MyCole Pruitt,9576,TE,ATL,2,0,0,2,,,60.5,,,,60.3,,,63.4,0,0,10,0,0,8,0,0,0
Bobby McCain,9578,S,NYG,3,0,0,21,,,,,,,57.1,,,69.7,0,0,0,0,11,21,0,7,0
C.J. Uzomah,9590,TE,NYJ,2,0,0,22,,,60.0,,,,53.7,,,66.2,0,0,6,0,0,13,0,0,0
Bradley Pinion,9598,P,ATL,2,0,0,2,,,60.0,,69.2,,61.3,,76.9,66.5,0,0,10,0,12,0,8,0,0
Joe Cardona,9599,LS,NE,2,0,0,19,,,60.0,,,80.3,59.0,,,64.5,1,0,5,0,0,0,9,0,0
Michael Burton,9601,FB,DEN,2,0,0,10,,,,,,,61.7,,,66.6,0,0,0,0,9,10,6,2,0
David Mayo,9602,LB,WAS,2,0,0,32,60.0,,,,,,59.0,,,68.3,0,0,0,9,10,11,9,8,1
Darren Waller,9637,TE,NYG,1,0,0,21,,,,,,,60.0,,,62.5,0,0,0,0,0,0,0,0,0
Rakeem Nunez-Roches,9650,DI,NYG,3,0,0,21,58.5,,,,,,59.5,,,70.7,0,0,0,18,0,0,0,1,0
Trent Brown,9677,T,NE,1,0,0,19,,,60.0,,,,60.1,,,63.5,0,0,2,0,0,0,0,0,0
Geoff Swaim,9679,TE,ARZ,2,0,0,1,,,60.4,,,,58.2,,,64.7,0,0,9,0,0,10,0,0,0
Neville Hewitt,9836,LB,HST,1,0,0,13,60.0,,,,,,61.2,,,70.5,0,0,0,3,3,5,5,5,0
DeAndre Carter,9859,WR,LV,2,0,0,23,,,,59.6,,,60.3,60.9,,62.4,0,0,0,0,0,11,0,4,0
Troy Hill,9881,CB,CAR,2,0,1,5,59.8,,,,,,40.5,,,25.4,0,1,0,7,4,0,0,6,0
DeShawn Williams,9891,DI,CAR,2,0,0,5,,,,,,,60.0,,,66.2,0,0,0,0,0,0,0,2,0
Dean Marlowe,9966,S,LAC,1,0,0,27,,,,,,,62.0,,,67.1,0,0,0,0,5,5,6,5,0
Alex Singleton,9994,LB,DEN,2,0,0,10,,,,,,,75.6,,,63.8,0,0,0,0,0,0,6,0,1
Rick Lovato,10007,LS,PHI,2,0,0,24,,,62.3,,,54.3,61.5,,,64.4,0,0,13,0,0,0,9,0,0
Kendall Lamm,10017,T,MIA,2,0,0,17,,,61.4,,,,61.6,,,69.2,0,0,13,0,0,0,0,0,0
Jason Myers,10207,K,SEA,2,0,0,29,,36.7,,,60.6,,60.2,,,61.9,0,0,11,0,10,0,0,0,0
Chris Manhertz,10211,TE,DEN,2,0,0,10,,,,,,,57.1,,,63.3,0,0,0,0,0,10,0,0,0
DeForest Buckner,10641,DI,IND,1,0,0,14,,,,,,,60.6,,,68.0,0,0,0,0,0,0,0,2,0
Jack Conklin,10642,T,CLV,1,0,0,8,,,60.0,,,,60.0,,,63.0,0,0,1,0,0,0,0,0,0
Sheldon Rankins,10646,DI,HST,2,0,0,13,58.8,,,,,,59.3,,,70.4,0,0,0,7,0,0,0,2,0
Laremy Tunsil,10647,T,HST,1,0,0,13,,,60.0,,,,60.2,,,61.0,0,0,3,0,0,0,0,0,0
Keanu Neal,10651,S,PIT,2,0,0,25,60.0,,,,,,59.1,,,64.5,0,0,0,8,0,0,13,0,0
Shaq Lawson,10653,ED,BUF,2,0,0,4,59.1,,,,,,59.5,,,65.3,0,0,0,6,0,0,0,0,0
Artie Burns,10659,CB,SEA,2,0,0,29,60.0,,,,,,53.6,,,70.8,0,0,0,4,10,1,4,2,0
Emmanuel Ogbah,10666,ED,MIA,2,0,0,17,60.0,,,,,,61.5,,,65.1,0,0,0,9,0,0,0,2,0
Hunter Henry,10669,TE,NE,1,0,0,19,,,,,,,58.2,,,65.1,0,0,0,0,0,5,0,0,0
Austin Johnson,10677,DI,LAC,2,0,0,27,58.7,,,,,,59.3,,,68.7,0,0,0,12,0,0,0,0,0
Jihad Ward,10678,ED,NYG,3,0,0,21,59.8,,,,,,60.2,,,63.5,0,0,0,18,0,0,0,0,0
A'Shawn Robinson,10680,DI,NYG,3,0,0,21,58.6,,,,,,58.9,,,66.6,0,0,0,18,0,0,0,0,0
Jarran Reed,10683,DI,SEA,2,0,0,29,90.4,,,,,,91.9,,,67.8,0,0,0,12,0,0,0,0,0
Cody Whitehair,10690,G,CHI,2,0,0,6,,,60.0,,,,60.4,,,63.7,0,0,5,0,0,0,0,0,0
Adam Gotsis,10697,DI,JAX,2,0,0,15,59.5,,60.1,,,,70.0,,,68.0,0,0,8,6,7,8,0,2,0
Kevin Byard,10698,S,TEN,1,0,0,31,,,,,,,60.0,,,67.1,0,0,0,0,0,0,0,2,0
Maliek Collins,10701,DI,HST,2,0,0,13,59.0,,,,,,36.2,,,23.6,0,1,0,8,0,0,0,2,0
Yannick Ngakoue,10703,ED,CHI,1,0,0,6,,,,,,,59.9,,,64.3,0,0,0,0,0,0,0,1,0
Jonathan Bullard,10706,DI,MIN,2,0,0,18,58.3,,,,,,58.5,,,67.8,0,0,0,12,0,0,0,0,0
Daryl Worley,10711,S,BLT,2,0,0,3,60.2,,,,,,60.1,,,71.3,0,0,0,7,10,8,6,8,0
Isaac Seumalo,10713,G,PIT,2,0,0,25,,,60.0,,,,60.7,,,61.6,0,0,5,0,0,0,0,0,0
Javon Hargrave,10723,DI,SF,1,0,0,28,,,,,,,60.0,,,64.4,0,0,0,0,0,0,0,1,0
Graham Glasgow,10729,C,DET,2,0,0,11,,,60.9,,,,61.0,,,61.7,0,0,8,0,0,0,0,0,0
Justin Simmons,10732,S,DEN,2,0,0,10,60.0,,,,,,60.4,,,63.3,0,0,0,10,2,0,0,0,0
Eric Murray,10740,S,HST,1,0,0,13,59.8,,,,,,63.0,,,63.0,0,0,0,3,1,0,3,0,0
Chris Moore,10741,WR,TEN,2,0,0,31,,,,,,,62.0,,,70.3,0,0,0,0,0,10,0,8,0
Miles Killebrew,10745,S,PIT,2,1,0,25,,,,,,,76.5,,,67.6,0,0,0,0,8,12,13,7,1
De'Vondre Campbell,10749,LB,GB,2,0,0,12,60.0,,,,,,61.3,,,72.0,0,0,0,8,0,0,0,0,0
Hassan Ridgeway,10750,DI,HST,1,0,0,13,59.4,,,,,,59.8,,,64.7,0,0,0,1,0,0,0,0,0
David Onyemata,10754,DI,ATL,2,0,0,2,58.4,,,,,,58.7,,,66.4,0,0,0,6,0,0,0,0,0
Andrew Billings,10756,DI,CHI,2,0,0,6,58.4,,,,,,58.6,,,67.2,0,0,0,7,0,0,0,1,0
Demarcus Robinson,10760,WR,LA,1,0,0,26,,,,,,,61.2,,,63.9,0,0,0,0,5,0,0,0,0
Dean Lowry,10771,DI,MIN,2,0,0,18,58.8,,,,,,59.1,,,66.4,0,0,0,12,0,0,0,0,0
Connor McGovern,10778,C,NYJ,1,0,0,22,,,60.0,,,,60.0,,,64.6,0,0,2,0,0,0,0,0,0
Matthew Judon,10780,ED,NE,1,0,0,19,,,,,,,60.0,,,65.2,0,0,0,0,0,0,0,1,0
Halapoulivaati Vaitai,10798,G,DET,2,0,0,11,,,60.0,,,,60.9,,,67.2,0,0,6,0,0,0,0,0,0
DJ Reader,10800,DI,CIN,2,0,0,7,58.6,,,,,,58.8,,,66.2,0,0,0,8,0,0,0,0,0
DeAndre Houston-Carson,10819,S,HST,1,0,0,13,60.0,,,,,,60.0,,,70.3,0,0,0,5,3,6,1,5,0
Wes Schweitzer,10829,G,NYJ,2,0,0,22,,,60.5,,,,61.4,,,68.7,0,0,6,0,0,0,0,0,0
Kamu Grugier-Hill,10842,LB,CAR,2,0,0,5,60.1,,,,,,63.5,,,69.2,0,0,0,4,6,5,10,8,0
Elandon Roberts,10848,LB,PIT,2,0,0,25,58.7,,,,,,48.8,,,27.2,0,1,0,10,0,0,12,1,0
Kevon Seymour,10852,CB,BLT,2,0,0,3,59.8,,,,,,58.8,,,74.8,0,0,0,7,10,8,7,8,0
Riley Dixon,10862,P,DEN,2,0,0,10,,,60.0,,,,61.1,,63.9,67.7,0,0,9,0,0,0,6,0,0
Dwayne Washington,10870,HB,DEN,1,0,0,10,,,,,,,63.0,,,68.8,0,0,0,0,6,6,3,3,0
Tyler Matakevich,10880,LB,BUF,2,0,0,4,59.9,,,,,,70.4,,,70.1,0,0,0,6,12,9,4,7,0
Luke Rhodes,10940,LS,IND,2,0,0,14,,,64.5,,,49.5,54.6,,,64.6,1,0,8,0,0,0,10,0,0
Reid Ferguson,10965,LS,BUF,2,0,0,4,,,67.0,,,57.1,62.0,,,63.4,0,0,10,0,0,0,4,0,0
Justin Murray,11022,T,TEN,1,0,0,31,,,60.0,,,,61.2,,,67.8,0,0,5,0,0,0,0,0,0
Kyle Peko,11027,DI,TEN,2,0,0,31,59.0,,,,,,59.8,,,66.3,0,0,0,8,0,0,0,2,0
Kalif Raymond,11028,WR,DET,2,0,0,11,,,,,,,60.3,70.1,,63.1,0,0,0,0,0,0,0,8,0
Wil Lutz,11096,K,DEN,2,0,0,10,,34.0,,,63.6,,60.1,,,61.9,0,0,9,0,10,0,0,0,0
Ka'imi Fairbairn,11161,K,HST,2,0,0,13,,57.5,,,61.4,,60.1,,,61.8,0,0,9,0,8,0,0,0,0
Morgan Fox,11184,DI,LAC,2,0,0,27,58.9,,,,,,59.3,,,66.4,0,0,0,12,0,0,0,0,0
Cory Littleton,11190,LB,HST,2,0,0,13,,,,,,,71.5,,,69.5,0,0,0,0,8,11,8,8,0
Romeo Okwara,11250,ED,DET,1,0,0,11,59.7,,,,,,60.0,,,63.8,0,0,0,3,0,0,0,0,0
George Fant,11282,T,HST,2,0,0,13,,,60.7,,,,61.2,,,66.0,0,0,9,0,0,0,0,0,0
Roy Robertson-Harris,11341,DI,JAX,2,0,0,15,58.4,,,,,,59.8,,,68.4,0,0,0,6,0,0,0,2,0
C.J. Ham,11347,FB,MIN,2,0,0,18,,,,,,,56.4,,,68.9,0,0,0,0,9,11,8,6,0
Antonio Hamilton Sr.,11353,CB,ARZ,2,0,0,1,59.1,,,,,,68.2,,,68.6,0,0,0,9,11,10,1,7,1
Zach Wood,11414,LS,NO,2,1,0,20,,,64.5,,,0.0,59.3,,,64.6,0,0,8,0,0,0,10,0,0
Lucas Patrick,11435,C,CHI,2,0,0,6,,,60.0,,,,60.8,,,62.3,0,0,5,0,0,0,0,0,0
Zach Triner,11518,LS,TB,2,0,0,30,,,68.1,,,81.6,66.8,,,64.7,0,0,11,0,0,0,10,0,0
Taybor Pepper,11748,LS,SF,3,0,0,28,,,66.7,,,59.7,63.2,,,64.6,0,0,19,0,0,0,10,0,0
Myles Garrett,11756,ED,CLV,2,0,0,8,59.0,,,,,,59.5,,,65.5,0,0,0,6,0,0,0,0,0
Solomon Thomas,11758,DI,NYJ,2,0,0,22,59.9,,,,,,60.4,,,63.9,0,0,0,10,0,0,0,0,0
Marshon Lattimore,11766,CB,NO,1,0,0,20,,,,,,,60.0,,,60.0,0,0,0,0,0,0,0,1,0
Derek Barnett,11769,ED,PHI,2,0,0,24,60.0,,,,,,61.1,,,65.8,0,0,0,6,0,0,0,1,0
Garett Bolles,11775,T,DEN,2,0,0,10,,,60.7,,,,61.2,,,66.0,0,0,9,0,0,0,0,0,0
Charles Harris,11777,ED,DET,2,0,0,11,60.0,,,,,,60.9,,,64.4,0,0,0,11,0,0,0,1,0
Jabrill Peppers,11780,S,NE,2,0,0,19,,,,,,,51.3,,,67.7,0,1,0,0,4,6,7,6,0
T.J. Watt,11785,ED,PIT,2,0,0,25,60.0,,,,,,60.4,,,65.9,0,0,0,6,0,0,0,1,0
Ryan Ramczyk,11787,T,NO,2,0,0,20,,,60.2,,,,61.2,,,67.9,0,0,8,0,0,0,0,0,0
Budda Baker,11791,S,ARZ,1,0,1,1,59.4,,,,,,29.6,,,21.3,0,1,0,4,0,0,0,0,0
