,,Win,,Cover,,Total Points,,Implied,Implied Score,
Team,Date,Moneyline,$20 Bet,Spread,$20 Bet,Over-Under,$20 Bet,Win %,Team,Opp
Southern Miss,2021-11-19 20:00:00,525,105.00,15.5,17.39,48.5,18.18,15.3,16.5,32.0
Louisiana Tech,2021-11-19 20:00:00,-760,2.63,-15.5,19.05,48.5,18.18,84.7,32.0,16.5
Arizona,2021-11-19 21:00:00,475,95.00,15.0,18.18,52.5,18.18,16.6,18.8,33.8
Washington State,2021-11-19 21:00:00,-675,2.96,-15.0,18.18,52.5,18.18,83.4,33.8,18.8
Memphis,2021-11-19 21:00:00,250,50.00,8.5,18.18,59.5,18.18,27.3,25.5,34.0
Houston,2021-11-19 21:00:00,-320,6.25,-8.5,18.18,59.5,18.18,72.7,34.0,25.5
Air Force,2021-11-19 21:00:00,-110,18.18,0.0,18.18,53.5,18.18,50.0,26.8,26.8
Nevada,2021-11-19 21:00:00,-110,18.18,0.0,18.18,53.5,18.18,50.0,26.8,26.8
San Diego State,2021-11-19 23:30:00,-490,4.08,-11.0,18.18,41.0,18.18,79.3,26.0,15.0
UNLV,2021-11-19 23:30:00,360,72.00,11.0,18.18,41.0,18.18,20.7,15.0,26.0
Wake Forest,2021-11-20 12:00:00,170,34.00,4.5,18.18,57.0,18.18,35.7,26.3,30.8
Clemson,2021-11-20 12:00:00,-200,10.00,-4.5,18.18,57.0,18.18,64.3,30.8,26.3
New Mexico State,2021-11-20 12:00:00,3000,600.00,36.0,18.18,59.5,16.67,3.2,11.8,47.8
Kentucky,2021-11-20 12:00:00,-9000,0.22,-36.0,18.18,59.5,20.00,96.8,47.8,11.8
Florida State,2021-11-20 12:00:00,105,21.00,1.5,18.18,54.5,17.39,46.8,26.5,28.0
Boston College,2021-11-20 12:00:00,-125,16.00,-1.5,18.18,54.5,19.05,53.2,28.0,26.5
Iowa State,2021-11-20 12:00:00,145,29.00,3.5,17.39,59.5,18.18,39.6,28.0,31.5
Oklahoma,2021-11-20 12:00:00,-165,12.12,-3.5,19.05,59.5,18.18,60.4,31.5,28.0
Kent,2021-11-20 12:00:00,-550,3.64,-13.0,17.39,73.5,19.05,80.9,43.3,30.3
Akron,2021-11-20 12:00:00,400,80.00,13.0,19.05,73.5,17.39,19.1,30.3,43.3
Texas,2021-11-20 12:00:00,125,25.00,2.5,19.05,56.5,18.18,42.9,27.0,29.5
West Virginia,2021-11-20 12:00:00,-145,13.79,-2.5,17.39,56.5,18.18,57.1,29.5,27.0
Florida Atlantic,2021-11-20 12:00:00,310,62.00,10.0,18.18,64.5,18.18,23.3,27.3,37.3
Western Kentucky,2021-11-20 12:00:00,-410,4.88,-10.0,18.18,64.5,18.18,76.7,37.3,27.3
South Florida,2021-11-20 12:00:00,180,36.00,5.5,18.18,60.5,18.18,34.2,27.5,33.0
Tulane,2021-11-20 12:00:00,-220,9.09,-5.5,18.18,60.5,18.18,65.8,33.0,27.5
Purdue,2021-11-20 12:00:00,,,,,,,,,
Northwestern,2021-11-20 12:00:00,,,,,,,,,
Michigan State,2021-11-20 12:00:00,650,130.00,19.0,19.05,68.5,18.18,12.8,24.8,43.8
Ohio State,2021-11-20 12:00:00,-1000,2.00,-19.0,17.39,68.5,18.18,87.2,43.8,24.8
Rutgers,2021-11-20 12:00:00,650,130.00,17.0,19.05,46.5,19.05,12.8,14.8,31.8
Penn State,2021-11-20 12:00:00,-1000,2.00,-17.0,17.39,46.5,17.39,87.2,31.8,14.8
Massachusetts,2021-11-20 12:00:00,,,35.5,19.05,56.0,18.18,,10.3,45.8
Army,2021-11-20 12:00:00,,,-35.5,17.39,56.0,18.18,,45.8,10.3
Texas State,2021-11-20 13:00:00,950,190.00,24.0,17.39,60.0,18.18,9.1,18.0,42.0
Coastal Carolina,2021-11-20 13:00:00,-1750,1.14,-24.0,19.05,60.0,18.18,90.9,42.0,18.0
Arkansas State,2021-11-20 14:00:00,475,95.00,16.5,17.39,65.5,18.18,16.6,24.5,41.0
Georgia State,2021-11-20 14:00:00,-675,2.96,-16.5,19.05,65.5,18.18,83.4,41.0,24.5
Illinois,2021-11-20 14:00:00,,,,,,,,,
Iowa,2021-11-20 14:00:00,,,,,,,,,
Georgia Tech,2021-11-20 14:30:00,575,115.00,17.0,19.05,58.5,20.00,14.2,20.8,37.8
Notre Dame,2021-11-20 14:30:00,-850,2.35,-17.0,17.39,58.5,16.67,85.8,37.8,20.8
Washington,2021-11-20 15:00:00,-265,7.55,-7.0,19.05,43.0,17.39,69.6,25.0,18.0
Colorado,2021-11-20 15:00:00,215,43.00,7.0,17.39,43.0,19.05,30.4,18.0,25.0
Marshall,2021-11-20 15:30:00,-600,3.33,-14.0,18.18,61.5,17.39,82.1,37.8,23.8
UNC Charlotte,2021-11-20 15:30:00,435,87.00,14.0,18.18,61.5,19.05,17.9,23.8,37.8
Arkansas,2021-11-20 15:30:00,850,170.00,21.0,17.39,58.0,17.39,10.1,18.5,39.5
Alabama,2021-11-20 15:30:00,-1500,1.33,-21.0,19.05,58.0,19.05,89.9,39.5,18.5
Appalachian State,2021-11-20 15:30:00,-365,5.48,-9.5,18.18,52.0,19.05,74.9,30.8,21.3
Troy,2021-11-20 15:30:00,280,56.00,9.5,18.18,52.0,17.39,25.1,21.3,30.8
Old Dominion,2021-11-20 15:30:00,155,31.00,3.5,19.05,50.0,18.18,37.9,23.3,26.8
Middle Tenn. St,2021-11-20 15:30:00,-180,11.11,-3.5,17.39,50.0,18.18,62.1,26.8,23.3
UAB,2021-11-20 15:30:00,170,34.00,4.5,18.18,54.0,18.18,35.7,24.8,29.3
UTSA,2021-11-20 15:30:00,-200,10.00,-4.5,18.18,54.0,18.18,64.3,29.3,24.8
SMU,2021-11-20 15:30:00,350,70.00,10.5,17.39,65.0,17.39,21.2,27.3,37.8
Cincinnati,2021-11-20 15:30:00,-475,4.21,-10.5,19.05,65.0,19.05,78.8,37.8,27.3
Virginia,2021-11-20 15:30:00,435,87.00,14.5,18.18,66.0,17.39,17.9,25.8,40.3
Pittsburgh,2021-11-20 15:30:00,-600,3.33,-14.5,18.18,66.0,19.05,82.1,40.3,25.8
East Carolina,2021-11-20 15:30:00,-190,10.53,-4.0,18.18,47.0,19.05,63.0,25.5,21.5
Navy,2021-11-20 15:30:00,160,32.00,4.0,18.18,47.0,17.39,37.0,21.5,25.5
Minnesota,2021-11-20 15:30:00,-275,7.27,-7.0,16.67,43.5,18.18,70.1,25.3,18.3
Indiana,2021-11-20 15:30:00,220,44.00,7.0,20.00,43.5,18.18,29.9,18.3,25.3
Michigan,2021-11-20 15:30:00,-675,2.96,-14.5,17.39,57.5,19.05,83.4,36.0,21.5
Maryland,2021-11-20 15:30:00,475,95.00,14.5,19.05,57.5,17.39,16.6,21.5,36.0
Nebraska,2021-11-20 15:30:00,280,56.00,9.0,18.18,43.0,18.18,25.1,17.0,26.0
Wisconsin,2021-11-20 15:30:00,-365,5.48,-9.0,18.18,43.0,18.18,74.9,26.0,17.0
Florida,2021-11-20 16:00:00,-350,5.71,-9.0,17.39,69.5,18.18,74.2,39.3,30.3
Missouri,2021-11-20 16:00:00,270,54.00,9.0,19.05,69.5,18.18,25.8,30.3,39.3
BYU,2021-11-20 16:00:00,-1250,1.60,-20.0,19.05,57.5,18.18,88.7,38.8,18.8
Georgia Southern,2021-11-20 16:00:00,750,150.00,20.0,17.39,57.5,18.18,11.3,18.8,38.8
UCLA,2021-11-20 16:00:00,-155,12.90,-3.0,17.39,65.5,18.18,58.8,34.3,31.3
USC,2021-11-20 16:00:00,135,27.00,3.0,19.05,65.5,18.18,41.2,31.3,34.3
