player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_defense,no_screen_grades_defense_penalty,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_pass_rush_defense,no_screen_grades_run,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_defense,npa_grades_defense_penalty,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_pass,npa_grades_pass_route,npa_grades_pass_rush_defense,npa_grades_run,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_defense,pa_grades_defense_penalty,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_pass,pa_grades_pass_route,pa_grades_pass_rush_defense,pa_grades_run,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_defense,screen_grades_defense_penalty,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_pass,screen_grades_pass_route,screen_grades_pass_rush_defense,screen_grades_run,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Sam Howell,97599,QB,WAS,9,-10.74,0,421,32,75.1,289,319,9.8,2.9,9,22,6.6,63.6,203,154,6.5,386,91.7,14,114,,,,73.2,65.8,69.3,62.9,,,74.0,1,9,410,28.6,85.9,11.4,44,22,0,20,13,15,3.7,2216,6.9,79.3,271,294,7.7,2.7,9,19,6.2,68.4,201,129,6.5,351,83.4,14,101,,,,70.4,70.6,67.9,66.7,,,81.5,1,7,369,30.2,89.2,11.1,39,16,0,13,9,13,3.5,2106,7.2,68.6,51,59,11.9,3.36,0,3,4.7,57.6,34,28,2.9,70,16.6,1,21,,,,83.2,50.2,79.6,52.1,,,51.8,0,2,78,17.9,90.0,7.1,5,6,0,8,5,2,2.6,365,6.2,0,100.0,33,34,-3.8,1.74,0,0,0.0,94.1,32,3,3.0,35,8.3,1,8,,,,78.6,68.8,76.9,68.0,,,,0,0,37,0.0,107.7,0.0,0,0,0,1,1,0,0.0,255,7.5,-0.97
Patrick Mahomes,11765,QB,KC,9,-5.77,0,375,16,74.8,262,283,9.2,3.26,1,14,4.7,64.0,181,121,7.7,320,85.3,15,114,,,,60.1,87.6,87.2,81.8,,,86.7,8,8,344,9.1,90.7,3.4,11,26,1,11,13,13,3.8,2162,7.6,79.5,258,276,7.1,2.91,2,11,3.8,69.6,192,100,6.3,309,82.4,13,109,,,,58.8,87.0,87.0,81.7,,,84.3,7,7,331,9.0,94.8,2.9,9,22,1,8,14,12,3.6,1883,6.8,73.6,53,58,8.2,3.46,0,3,5.0,63.8,37,27,5.1,66,17.6,2,25,,,,82.3,74.2,79.3,69.7,,,77.4,1,1,68,11.1,105.6,4.5,3,5,0,4,3,1,1.5,561,9.7,0,98.0,49,51,-3.0,1.52,1,0,0.0,94.1,48,6,0.0,55,14.7,0,20,,,,81.0,68.7,78.5,66.4,,,63.9,0,0,55,16.7,115.8,1.8,1,1,0,1,4,0,0.0,282,5.5,2.85
Josh Allen,46601,QB,BUF,9,1.33,0,364,4,77.3,277,298,9.7,3.02,3,18,5.7,69.1,206,117,3.7,338,92.9,8,124,,,,82.0,90.7,68.0,88.0,,,80.3,2,9,361,11.1,99.2,3.8,13,27,1,15,18,8,2.2,2283,7.7,78.7,225,241,8.3,2.89,3,12,4.7,71.0,171,93,3.4,272,74.7,6,87,,,,78.0,85.2,65.1,81.0,,,79.9,1,7,290,11.8,92.0,4.0,11,20,1,11,11,7,2.4,1598,6.6,80.5,77,83,9.6,2.93,0,6,6.9,72.3,60,25,3.2,92,25.3,2,43,,,,84.8,91.4,80.5,90.6,,,67.7,1,2,98,8.0,121.8,2.2,2,7,0,5,7,1,1.0,825,9.9,0,100.0,25,26,-3.2,1.33,0,0,0.0,96.2,25,1,0.0,26,7.1,0,6,,,,76.8,70.2,75.8,69.4,,,,0,0,27,0.0,89.1,0.0,0,0,0,1,0,0,0.0,140,5.4,3.31
Jalen Hurts,40291,QB,PHI,9,-8.71,0,354,24,76.6,248,274,10.4,3.31,2,20,7.0,65.7,180,133,5.3,323,91.2,10,111,,,,54.9,80.3,52.9,79.5,,,69.4,4,7,338,16.5,96.5,6.8,22,27,0,20,14,12,3.6,2189,8.0,80.6,211,228,8.5,3.05,1,15,6.2,71.1,162,99,4.7,259,73.2,8,85,,,,48.0,77.6,49.1,78.2,,,65.5,2,6,274,11.1,100.6,4.2,11,20,0,14,12,10,3.6,1793,7.9,73.5,68,77,10.0,3.41,1,5,6.3,62.3,48,35,4.0,95,26.8,2,32,,,,84.7,81.6,80.4,76.8,,,79.3,2,2,97,31.4,86.2,11.6,11,7,0,6,3,2,2.1,554,7.2,0,96.8,31,31,-2.7,1.45,0,0,0.0,96.8,30,1,0.0,31,8.8,0,6,,,,77.9,75.8,76.5,74.6,,,,0,1,33,0.0,85.2,0.0,0,0,0,0,1,0,0.0,158,5.1,-0.67
Derek Carr,8671,QB,NO,9,-2.67,0,341,20,71.7,265,285,10.2,2.66,3,14,4.7,63.5,181,114,4.7,310,90.9,9,89,,,,57.6,68.7,66.0,68.0,,,58.4,5,4,324,16.7,88.7,6.1,19,6,0,12,9,9,2.8,1985,7.0,74.5,259,278,8.6,2.49,2,14,4.8,65.8,183,100,5.2,299,87.7,10,87,,,,56.2,71.5,65.5,70.8,,,57.3,5,4,311,18.0,91.7,6.0,18,3,0,12,10,9,2.9,1917,6.9,68.6,35,38,10.9,3.08,1,0,0.0,63.2,24,15,0.0,42,12.3,0,11,,,,79.6,53.1,77.7,52.7,,,61.3,0,0,44,6.7,77.1,2.4,1,3,0,2,0,0,0.0,204,5.4,0,93.1,29,31,-3.4,1.54,0,0,0.0,83.9,26,1,3.7,31,9.1,1,9,,,,77.6,66.5,76.5,65.8,,,,0,0,31,0.0,95.7,0.0,0,0,0,2,1,0,0.0,136,4.4,-1.53
Bryce Young,123943,QB,CAR,8,0.04,0,339,5,72.4,228,261,7.8,2.97,4,7,2.5,60.5,158,131,4.2,309,91.2,7,85,,,,44.1,51.1,27.2,50.5,,,64.3,4,5,331,22.1,77.8,9.4,29,18,0,25,8,10,3.0,1442,5.5,74.7,217,247,6.5,2.78,4,5,1.9,62.8,155,110,4.3,289,85.3,7,71,,,,41.3,48.2,25.1,48.1,,,60.2,2,5,311,23.6,73.4,9.0,26,15,0,24,5,10,3.2,1228,5.0,73.0,37,43,7.6,3.2,1,2,4.5,62.8,27,22,0.0,50,14.7,0,19,,,,80.5,62.4,78.1,59.5,,,70.5,2,2,52,13.6,90.5,6.0,3,3,0,3,3,1,1.9,332,7.7,0,92.3,26,29,-3.7,1.49,1,0,0.0,82.8,24,1,0.0,30,8.8,0,5,,,,77.7,47.7,76.4,48.2,,,,0,2,32,0.0,54.9,0.0,0,0,0,2,0,1,3.1,118,4.1,2.75
Joshua Dobbs,11890,QB,MIN,9,4.68,0,337,18,68.7,252,268,9.3,2.91,4,6,2.1,60.8,163,116,5.8,306,90.8,10,99,,,,50.0,65.5,67.8,56.8,58.9,,90.3,4,5,331,17.2,82.8,6.5,20,17,0,8,10,16,4.8,1633,6.1,69.9,209,221,8.5,2.75,3,5,2.2,62.0,137,94,6.2,251,74.5,9,80,,,,54.9,69.5,65.2,60.3,,,90.3,3,4,266,16.0,81.3,6.0,15,13,0,6,8,13,4.9,1224,5.5,74.3,70,75,6.7,3.06,2,1,1.2,66.7,50,28,3.8,86,25.5,2,24,,,,53.8,54.3,80.5,51.2,58.9,,73.8,1,1,99,17.9,88.9,5.8,5,5,0,2,2,3,3.0,503,6.7,0,92.6,27,28,-3.4,2.0,1,0,0.0,85.7,24,6,4.0,31,9.2,1,5,,,,78.1,65.9,76.6,62.0,,,65.9,0,0,34,0.0,80.7,0.0,0,1,0,0,0,0,0.0,94,3.4,1.17
Joe Burrow,28022,QB,CIN,8,-2.2,0,336,7,74.3,245,268,8.0,2.55,6,12,4.3,63.1,169,94,7.1,296,88.1,13,96,,,,90.9,78.7,21.9,77.7,,,67.1,6,4,311,19.1,89.1,6.1,18,10,1,10,12,5,1.6,1660,6.2,75.8,227,242,6.4,2.37,4,8,3.1,67.4,163,78,5.2,267,79.5,9,75,,,,90.7,72.8,17.9,72.1,,,66.2,4,3,280,21.8,87.7,6.4,17,8,1,6,8,5,1.8,1373,5.7,82.5,57,66,7.6,2.64,2,4,5.9,65.2,43,19,8.5,69,20.5,4,30,,,,82.6,87.3,79.3,85.0,,,63.4,2,1,71,5.3,101.0,1.4,1,2,0,5,4,0,0.0,487,7.4,0,94.9,39,40,-2.2,1.48,0,0,0.0,92.5,37,3,0.0,40,11.9,0,9,,,,79.0,67.2,77.2,66.5,,,,0,0,40,0.0,87.5,0.0,0,0,0,1,0,0,0.0,200,5.0,1.71
Kirk Cousins,7102,QB,MIN,8,1.7,0,331,18,79.4,262,278,9.0,2.79,1,10,3.4,68.3,190,104,8.7,298,90.0,18,104,,,,41.5,86.5,23.0,85.4,,,64.8,7,5,318,16.3,104.0,5.7,17,3,2,6,17,8,2.5,2143,7.7,80.1,206,219,8.2,2.52,1,8,3.4,68.9,151,73,8.5,228,68.9,14,76,,,,46.6,79.1,12.7,78.9,,,61.7,6,5,242,11.0,101.9,3.5,8,1,2,4,13,6,2.5,1688,7.7,81.6,87,92,6.3,3.07,0,2,2.0,70.7,65,35,8.5,103,31.1,6,37,,,,51.4,89.6,81.0,86.8,60.0,,66.4,1,0,111,25.7,108.2,8.7,9,2,0,4,5,2,1.8,643,7.0,0,90.3,31,33,-3.5,1.84,0,0,0.0,78.8,26,4,7.1,33,10.0,2,9,,,,78.3,67.4,76.8,66.9,60.0,,,0,0,35,0.0,100.5,0.0,0,0,0,2,1,0,0.0,188,5.7,-0.72
Mac Jones,60323,QB,NE,9,0.88,0,330,19,68.9,251,264,9.4,2.55,3,11,4.0,61.4,162,102,6.4,290,87.9,11,86,,,,55.8,58.1,25.3,58.8,,,56.2,3,9,305,15.7,78.3,5.5,16,10,0,7,10,17,5.6,1688,6.4,71.9,235,246,8.0,2.4,3,8,3.1,64.6,159,88,5.9,269,81.5,10,71,,,,66.7,57.5,22.7,57.7,,,59.3,3,7,282,15.9,79.3,5.2,14,9,0,5,8,15,5.3,1440,5.9,73.6,53,58,6.7,2.45,2,3,5.0,65.5,38,15,2.6,61,18.5,1,19,,,,39.9,62.8,78.9,64.2,,,51.1,0,2,64,13.3,84.1,3.3,2,1,0,3,2,3,4.7,421,7.3,0,94.6,37,40,-3.7,1.39,2,0,0.0,87.5,35,1,0.0,40,12.1,0,4,,,,79.2,62.2,77.3,61.8,,,,0,0,41,0.0,84.7,0.0,0,0,0,1,0,1,2.4,173,4.3,1.41
