player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_distance,average_hangtime,average_starting_field_position,average_yards_per_return,declined_penalties,fair_catches,franchise_id,grades_kickoff_kicker,kicked_yards,kicks_returned,onside_kicks,penalties,percent_returned,return_yards,total_hangtime,touchbacks
Matt Prater,3471,K,ARZ,9,38,35,68.8,4.2,25.9,15.8,0,2,1,76.7,2616,4,2,0,10.5,63,146.85,31
Nick Folk,3794,K,TEN,8,38,36,65.6,3.81,25.1,20.4,0,1,31,73.6,2494,16,1,0,42.1,326,137.25,21
Thomas Morstead,5088,P,NYJ,1,4,4,68.8,4.18,22.8,11.0,0,1,22,60.0,275,1,0,0,25.0,11,16.73,2
Graham Gano,5443,K,NYG,8,28,27,71.3,3.87,25.4,26.8,0,0,21,81.5,1997,5,0,0,17.9,134,104.53,23
Randy Bullock,7154,K,NYG,1,2,2,72.0,3.76,25.0,,0,0,21,60.0,144,0,0,0,0.0,0,7.51,2
Greg Zuerlein,7163,K,NYJ,6,29,27,73.3,3.93,25.0,24.0,0,0,22,78.6,2125,1,0,0,3.4,24,106.24,28
Johnny Hekker,7252,P,CAR,2,2,0,8.5,,56.5,0.0,0,0,5,60.0,17,2,2,0,100.0,0,0.0,0
Justin Tucker,7604,K,BLT,9,51,48,69.9,4.02,24.9,20.3,0,1,3,79.5,3566,7,0,0,13.7,142,192.89,43
Dustin Hopkins,7958,K,CLV,8,43,42,67.4,4.15,24.8,18.6,0,2,8,52.5,2898,13,0,0,30.2,242,174.49,28
Brandon McManus,8437,K,JAX,8,44,44,70.4,4.03,26.4,33.6,0,4,15,73.6,3098,5,0,0,11.4,168,177.44,35
Brett Maher,8585,K,LA,2,2,0,28.0,,45.0,8.0,0,0,26,60.0,56,2,1,0,100.0,16,0.0,0
Cairo Santos,8932,K,CHI,10,47,45,68.9,4.03,26.0,17.4,0,0,6,83.5,3239,9,2,0,19.1,157,181.32,38
Chris Boswell,8990,K,PIT,8,35,34,69.7,3.99,25.8,23.5,0,2,25,65.5,2441,6,0,0,17.1,141,135.71,27
Bradley Pinion,9598,P,ATL,9,42,40,71.6,3.98,24.7,21.8,0,1,2,81.5,3007,6,0,0,14.3,131,159.32,35
Jason Myers,10207,K,SEA,8,40,38,68.0,3.88,24.8,19.1,0,3,29,59.4,2719,7,0,0,17.5,134,147.29,29
Riley Dixon,10862,P,DEN,1,1,1,67.0,4.95,33.0,20.0,0,0,10,60.0,67,1,0,0,100.0,20,4.95,0
Wil Lutz,11096,K,DEN,8,39,37,70.7,3.86,26.0,7.0,0,0,10,83.3,2759,2,2,0,5.1,14,142.87,36
Ka'imi Fairbairn,11161,K,HST,8,37,36,67.9,4.11,24.6,24.7,0,2,13,79.3,2513,13,0,0,35.1,321,148.06,22
Jake Elliott,11908,K,PHI,9,51,47,70.6,3.99,26.5,30.2,0,0,24,74.1,3599,10,0,0,19.6,302,187.44,41
Harrison Butker,11988,K,KC,9,45,45,73.4,4.14,24.9,25.0,0,0,16,88.5,3304,2,0,0,4.4,50,186.47,43
Rigoberto Sanchez,12130,P,IND,1,1,1,62.0,4.08,40.0,,0,1,14,60.0,62,0,0,0,0.0,0,4.08,0
Dare Ogunbowale,12329,HB,HST,1,6,5,57.7,3.38,24.7,18.0,0,0,13,60.0,346,3,0,0,50.0,54,16.91,3
Austin Seibert,13701,K,NYJ,1,3,2,65.3,4.14,24.7,0.0,0,0,22,60.0,196,1,0,0,33.3,0,8.27,2
Greg Joseph,22842,K,MIN,9,46,44,69.3,3.91,25.6,23.0,0,0,18,71.7,3189,11,1,0,23.9,253,172.22,34
