"Player","Team","Opponent","DK Position","DK Salary","DK Projection","DK Value","DK Large Ownership","DK Small Ownership","DKSlateID","DK Floor","DK Ceiling"
"Ja'Marr Chase","CIN","SEA","WR","8300","22.8","3.4","24.0","29.2","30169166","9.3","38.7"
"Raheem Mostert","MIA","CAR","RB","6400","18.9","3.2","30.4","38.2","30168932","7.1","33.5"
"David Montgomery","DET","TB","RB","7300","20.2","2.8","16.0","17.1","30168916","8.9","33.7"
"Travis Etienne Jr.","JAX","IND","RB","7100","19.7","2.6","19.8","20.0","30168920","8.7","32.9"
"Tyreek Hill","MIA","CAR","WR","9300","24.0","2.6","17.0","20.0","30169160","9.0","41.4"
"Cooper Kupp","LA","ARI","WR","9000","23.1","2.3","15.8","15.9","30169164","9.9","38.6"
"Josh Jacobs","LV","NE","RB","7000","19.0","2.2","18.0","19.0","30168922","8.7","31.4"
"Marquise Brown","ARI","LA","WR","5300","15.4","1.9","18.0","17.0","30169218","5.5","28.1"
"Christian Kirk","JAX","IND","WR","5400","15.5","1.8","21.5","33.0","30169216","5.4","28.8"
"Kyren Williams","LA","ARI","RB","6500","17.7","1.8","22.1","24.9","30168930","6.9","30.8"
"Chuba Hubbard","CAR","MIA","RB","4300","13.2","1.7","23.0","27.2","30169006","5.3","23.1"
"Alvin Kamara","NO","HOU","RB","6800","18.2","1.7","19.0","20.0","30168924","7.8","31.0"
"Joe Mixon","CIN","SEA","RB","6300","17.0","1.5","18.0","18.0","30168934","7.3","29.1"
"D'Andre Swift","PHI","NYJ","RB","6100","16.5","1.4","11.0","7.4","30168938","6.3","29.4"
"Davante Adams","LV","NE","WR","8100","20.3","1.3","13.0","12.0","30169168","7.6","36.0"
"Adam Thielen","CAR","MIA","WR","5900","15.9","1.2","13.7","16.1","30169202","6.1","28.5"
"49ers ","SF","CLE","DST","4000","10.2","1.2","14.5","19.0","30169806","4.1","17.0"
"D'Onta Foreman","CHI","MIN","RB","4400","12.8","1.1","21.0","24.0","30168998","4.5","23.6"
"Vikings ","MIN","CHI","DST","3000","8.1","1.1","10.5","10.8","30169816","1.6","15.1"
"Matthew Stafford","LA","ARI","QB","6100","19.9","1.0","13.8","15.3","30168850","10.9","30.1"
"Gardner Minshew II","IND","JAX","QB","5000","16.5","0.9","5.7","6.4","30168864","8.6","25.4"
"Josh Downs","IND","JAX","WR","4100","12.0","0.9","16.0","17.0","30169242","3.7","22.9"
"Dolphins ","MIA","CAR","DST","3500","8.8","0.9","11.6","14.5","30169811","2.7","15.6"
"Evan Engram","JAX","IND","TE","4500","12.7","0.8","20.4","24.0","30169584","4.3","23.8"
"Jakobi Meyers","LV","NE","WR","5800","15.3","0.8","10.7","11.0","30169206","5.3","28.2"
"Patriots ","NE","LV","DST","2600","7.0","0.8","7.3","8.7","30169822","1.0","13.8"
"Jordan Addison","MIN","CHI","WR","5700","15.0","0.7","14.0","13.7","30169208","4.3","28.7"
"Bijan Robinson","ATL","WAS","RB","7200","17.9","0.6","13.0","13.6","30168918","7.0","31.2"
"Lions ","DET","TB","DST","2700","7.0","0.6","9.4","9.6","30169821","1.4","13.9"
"Eagles ","PHI","NYJ","DST","3800","9.2","0.6","8.6","8.6","30169808","3.2","16.4"
"Joe Burrow","CIN","SEA","QB","6300","20.0","0.5","12.4","12.9","30168849","10.3","30.5"
"Michael Pittman Jr.","IND","JAX","WR","6300","15.8","0.4","11.5","11.5","30169194","6.0","28.3"
"K.J. Osborn","MIN","CHI","WR","4400","12.1","0.4","10.0","10.5","30169234","3.3","23.6"
"Michael Thomas","NO","HOU","WR","4900","13.1","0.4","11.5","11.5","30169224","4.3","24.6"
"Rachaad White","TB","DET","RB","5500","14.2","0.4","8.0","5.4","30168950","5.8","25.0"
"Bengals ","CIN","SEA","DST","2900","7.1","0.4","4.2","4.1","30169818","1.5","14.4"
"Joshua Dobbs","ARI","LA","QB","5200","16.5","0.3","6.0","5.7","30168860","8.4","25.7"
"Dameon Pierce","HOU","NO","RB","5100","13.4","0.3","9.5","7.5","30168958","5.1","24.2"
"Jimmy Garoppolo","LV","NE","QB","5300","16.7","0.2","4.4","5.0","30168858","8.0","26.2"
"Puka Nacua","LA","ARI","WR","8000","19.0","0.2","6.2","5.0","30169170","7.4","33.6"
"Cardinals ","ARI","LA","DST","2400","6.0","0.2","5.2","2.5","30169824","0.0","13.1"
"Texans ","HOU","NO","DST","2900","6.9","0.2","4.0","2.3","30169819","1.1","13.7"
"Robert Woods","HOU","NO","WR","3800","10.7","0.1","10.0","10.0","30169248","3.1","20.6"
"Falcons ","ATL","WAS","DST","3600","8.2","0.1","3.3","3.0","30169810","1.9","15.2"
"Browns ","CLE","SF","DST","2200","5.5","0.1","3.7","4.3","30169826","0.0","12.1"
"Baker Mayfield","TB","DET","QB","5400","16.8","0.0","4.3","4.5","30168857","8.4","26.0"
"Buccaneers ","TB","DET","DST","2300","5.6","0.0","6.1","4.6","30169825","0.3","12.4"
"Geno Smith","SEA","CIN","QB","5700","17.5","-0.1","4.7","4.1","30168854","8.7","27.3"
"Sam Howell","WAS","ATL","QB","5500","17.0","-0.1","4.0","4.5","30168856","8.6","26.4"
"Bears ","CHI","MIN","DST","2500","5.9","-0.1","6.4","4.2","30169823","0.2","12.6"
"Trevor Lawrence","JAX","IND","QB","6500","19.9","-0.2","12.0","12.8","30168847","10.4","30.3"
"Alexander Mattison","MIN","CHI","RB","5600","13.9","-0.2","4.5","2.5","30168948","5.1","25.2"
"Tyler Lockett","SEA","CIN","WR","5700","14.1","-0.2","5.9","3.4","30169210","4.4","26.8"
