,,Win,,Cover,,Total Points,,Implied,Implied Score,
Team,Date,Moneyline,$20 Bet,Spread,$20 Bet,Over-Under,$20 Bet,Win %,Team,Opp
Vermont,12/10/2021 19:00,-155,12.9,-3.5,18.18,128.5,18.18,58.8,66,62.5
Brown,12/10/2021 19:00,135,27,3.5,18.18,128.5,18.18,41.2,62.5,66
Appalachian State,12/10/2021 19:00,250,50,8,17.39,138,18.18,27.3,65,73
Furman,12/10/2021 19:00,-320,6.25,-8,19.05,138,18.18,72.7,73,65
Army,12/10/2021 19:00,120,24,2,18.18,135.5,18.18,43.8,66.8,68.8
NJIT,12/10/2021 19:00,-140,14.29,-2,18.18,135.5,18.18,56.2,68.8,66.8
IUPUI,12/10/2021 19:00,290,58,8.5,18.18,125.5,16.67,24.5,,
Tennessee State,12/10/2021 19:00,-380,5.26,-8.5,,125.5,20,75.5,,
High Point,12/10/2021 19:00,-450,4.44,-8.5,18.18,142.5,18.18,78.3,75.5,67
South Carolina State,12/10/2021 19:00,340,68,8.5,18.18,142.5,18.18,21.7,67,75.5
Cal State-Northridge,12/10/2021 20:00,425,85,11,19.05,124.5,17.39,18.2,56.8,67.8
North Dakota State,12/10/2021 20:00,-590,3.39,-11,17.39,124.5,19.05,81.8,67.8,56.8
Loyola-Chicago,12/10/2021 20:00,,,-4.5,,132,,,,
Vanderbilt,12/10/2021 20:00,,,4.5,,132,,,,
Wisconsin-Green Bay,12/10/2021 20:00,300,60,8,18.18,127,18.18,23.8,59.5,67.5
UM-Kansas City,12/10/2021 20:00,-400,5,-8,18.18,127,18.18,76.2,67.5,59.5
Murray State,12/10/2021 20:00,450,90,10.5,19.05,142.5,18.18,17.4,66,76.5
Memphis,12/10/2021 20:00,-630,3.17,-10.5,17.39,142.5,18.18,82.6,76.5,66
DePaul,12/10/2021 20:00,,,7.5,,147,,,,
Louisville,12/10/2021 20:00,,,-7.5,,147,,,,
Prairie View,12/10/2021 21:00,850,170,16,18.18,138,18.18,10.1,61,77
Boise State,12/10/2021 21:00,-1500,1.33,-16,18.18,138,18.18,89.9,77,61
Wisconsin-Milwaukee,12/10/2021 21:30,650,130,13.5,18.18,133,17.39,12.8,59.8,73.3
Colorado,12/10/2021 21:30,-1000,2,-13.5,18.18,133,19.05,87.2,73.3,59.8
