player_id,team,opp,pos,name,fpts,proj_own,noto_rtg,ceil,floor,min_exposure,max_exposure,salary,custom,rg_id,partner_id
1210,,,G,Peter Malnati,59.54,1.5,47.72,95.4,30,0,0,6800,,34908,1210
2145,,,G,Chesson Hadley,51.43,3.2,49.55,87.6,28.2,0,0,6900,,34879,2145
2046,,,G,Jason Dufner,59.39,0.23,34.25,95.4,30.6,0,0,6200,,34756,2046
2167,,,G,J.J. Spaun,64.74,7,63.97,98.4,31.2,0,0,7300,,36093,2167
697774,,,G,Trent Phillips,27.11,0.01,11.12,35.26,18,0,0,6100,,3625456,697774
1562,,,G,Curtis Thompson,51.86,0.02,24.1,87.6,28.8,0,0,6100,,2959180,1562
1112,,,G,Robert Streb,61.34,0.23,43.83,96,30.6,0,0,6600,,34814,1112
2168,,,G,Kevin Tway,54.82,0.28,31.8,91.2,29.4,0,0,6400,,35139,2168
1860,,,G,Corey Conners,82,19.4,90.78,111,35.4,0,0,9600,,37123,1860
1179,,,G,Brandon Hagy,51.43,0.4,25.45,87,28.2,0,0,6200,,36079,1179
2026,,,G,Bo Van Pelt,49.57,0.06,28.86,85.02,28.2,0,0,6000,,1303898,2026
2158,,,G,Lucas Glover,68.3,1.1,56.31,102.42,32.4,0,0,6700,,34876,2158
700009,,,G,Joohyung Kim,71.22,18.6,75.89,104.82,33,0,0,8600,,2087790,700009
696566,,,G,Brandon Wu,62.75,2,51.76,98.4,30.6,0,0,6900,,1074861,696566
1883,,,G,Danny Lee,62.36,0.24,50.4,97.2,31.2,0,0,6700,,34784,1883
1663,,,G,Chez Reavie,67.44,7.3,61.59,102.42,31.8,0,0,7400,,34927,1663
1455,,,G,Ryan Armour,,0,60.35,,,0,0,6700,,36068,1455
1356,,,G,Tyrrell Hatton,77.77,7.9,78.76,108.6,34.8,0,0,9400,,35279,1356
1477,,,G,Sung Kang,39.73,0.26,27.87,68.4,24.6,0,0,6200,,34893,1477
2016,,,G,Scott Brown,62.21,0.42,41.83,97.8,31.38,0,0,6500,,34856,2016
2049,,,G,Zach Johnson,56.95,0.33,50.56,92.4,30,0,0,6600,,34772,2049
670398,,,G,Greyson Sigg,67.31,2.6,57.69,101.4,32.4,0,0,7100,,37979,670398
1961,,,G,Scott Stallings,72.44,15.7,75.93,105,33,0,0,7800,,34999,1961
1741,,,G,Dawie Van der Walt,51.72,0.02,26.61,88.2,28.2,0,0,6000,,34946,1741
1631,,,G,Charley Hoffman,63.52,3.4,55.25,97.8,31.8,0,0,6900,,34766,1631
671069,,,G,Mickey DeMorat,28.19,0.3,,36.67,18.72,0,0,6000,,382240,671069
1411,,,G,Nick Hardy,67.21,2.7,64.33,100.8,32.4,0,0,7300,,35104,1411
1653,,,G,C.T. Pan,72.91,6.5,72.44,104.82,33,0,0,7400,,35389,1653
1554,,,G,Kevin Streelman,74.21,9.1,75.26,106.8,33.6,0,0,7600,,34815,1554
74908,,,G,Wesley Bryan,45.6,0.25,32.61,79.8,27,0,0,6100,,35076,74908
1698,,,G,Henrik Norlander,59.47,0.45,46.79,94.2,30,0,0,6400,,34917,1698
1115,,,G,Nick Watney,39.6,0.15,25.35,67.2,24.6,0,0,6000,,36095,1115
