player_name,sample_size,baseline,age,age_adj,true_sg_adj,timing_adj,sg_category_adj,course_history_adj,driving_dist_adj,driving_acc_adj,fit_other_adj,course_fit_total_adj,final_prediction,std_dev,event_name,course_name
"Im, Sungjae",150,1.285,24,0.027,0.065,-0.038,0.204,0.088,-0.038,0.177,-0.050,0.088,1.719,2.710,"Wyndham Championship","Sedgefield Country Club"
"Lowry, Shane",150,1.676,35,-0.009,0.058,-0.012,-0.036,0.052,-0.055,0.070,-0.069,-0.054,1.676,2.656,"Wyndham Championship","Sedgefield Country Club"
"Horschel, Billy",150,1.207,35,-0.010,0.036,-0.010,-0.060,0.231,0.024,0.201,-0.053,0.171,1.566,2.670,"Wyndham Championship","Sedgefield Country Club"
"Zalatoris, Will",150,1.593,25,0.022,0.024,0.012,0.099,0.005,-0.120,-0.055,-0.047,-0.222,1.534,2.666,"Wyndham Championship","Sedgefield Country Club"
"Conners, Corey",150,1.298,30,0.007,0.023,-0.014,-0.052,0.005,-0.024,0.225,-0.033,0.169,1.436,2.651,"Wyndham Championship","Sedgefield Country Club"
"Henley, Russell",150,1.088,33,-0.002,0.048,0.005,-0.066,0.071,0.020,0.182,-0.047,0.155,1.298,2.672,"Wyndham Championship","Sedgefield Country Club"
"Harman, Brian",150,0.953,35,-0.009,-0.066,-0.005,-0.010,0.123,0.055,0.229,-0.044,0.240,1.225,2.651,"Wyndham Championship","Sedgefield Country Club"
"Kim, Si Woo",150,0.844,27,0.018,0.034,-0.015,0.048,0.181,-0.009,0.123,-0.047,0.068,1.177,2.679,"Wyndham Championship","Sedgefield Country Club"
"Wise, Aaron",150,1.118,26,0.022,0.054,-0.008,0.030,-0.007,-0.063,0.034,-0.043,-0.073,1.137,2.702,"Wyndham Championship","Sedgefield Country Club"
"Varner III, Harold",150,1.095,31,0.002,0.016,0.011,-0.001,0.115,-0.052,-0.055,-0.056,-0.162,1.076,2.695,"Wyndham Championship","Sedgefield Country Club"
"Simpson, Webb",150,0.620,36,-0.014,-0.013,-0.073,0.058,0.351,0.005,0.128,-0.033,0.101,1.030,2.677,"Wyndham Championship","Sedgefield Country Club"
"McCarthy, Denny",150,0.984,29,0.011,-0.041,-0.042,-0.231,0.152,0.044,0.138,-0.073,0.109,0.943,2.653,"Wyndham Championship","Sedgefield Country Club"
"Munoz, Sebastian",150,0.896,29,0.010,-0.015,-0.009,-0.029,0.016,-0.021,0.118,-0.034,0.063,0.932,2.716,"Wyndham Championship","Sedgefield Country Club"
"Kim, Joohyung",150,0.599,20,0.041,0.047,-0.013,-0.095,-0.040,0.036,0.280,-0.025,0.291,0.830,2.703,"Wyndham Championship","Sedgefield Country Club"
"Hubbard, Mark",150,0.759,33,-0.002,-0.027,-0.056,-0.126,0.103,0.094,0.126,-0.043,0.178,0.830,2.646,"Wyndham Championship","Sedgefield Country Club"
"Pendrith, Taylor",150,0.895,31,0.005,0.033,0.062,0.146,-0.040,-0.178,-0.079,-0.023,-0.281,0.819,2.670,"Wyndham Championship","Sedgefield Country Club"
