player_name,sample_size,primary_tour,dg_rank,dg_change,owgr_rank,owgr_change,dg_index
"McIlroy, Rory",150,pga,1,0,3,0,2.36102872719891
"Cantlay, Patrick",150,pga,2,2,4,0,2.1454898214745
"Scheffler, Scottie",150,pga,3,-1,1,0,2.04002912942602
"Schauffele, Xander",150,pga,4,-1,6,0,2.03615861967262
"Smith, Cameron",150,pga,5,0,2,0,1.94014870764292
"Finau, Tony",150,pga,6,4,13,3,1.93599939703944
"Fitzpatrick, Matthew",150,pga,7,-1,10,0,1.84905049454396
"Rahm, Jon",150,pga,8,-1,5,0,1.7862824400970398
"Thomas, Justin",150,pga,9,-1,7,0,1.7154513505574598
"Johnson, Dustin",150,pga,10,2,18,-1,1.70121644006621
"Lowry, Shane",150,pga,11,-2,24,0,1.6904556594669802
"Zalatoris, Will",150,pga,12,-1,14,-1,1.60670298354051
"Burns, Sam",150,pga,13,0,11,0,1.40031175690936
"Fleetwood, Tommy",150,pga,14,0,26,0,1.3660717769872202
"Hovland, Viktor",150,pga,15,0,9,0,1.3556950675701898
"Spieth, Jordan",150,pga,16,0,12,0,1.34961976660065
"Conners, Corey",150,pga,17,0,31,1,1.3110411991280402
"Young, Cameron",150,kft,18,14,17,2,1.30159540043155
"Im, Sungjae",150,pga,19,-1,21,0,1.29743263697106
"Homa, Max",150,pga,20,-1,20,0,1.2716847544887702
"Morikawa, Collin",150,pga,21,-1,8,0,1.25047875809997
"Gooch, Talor",150,pga,22,2,42,-1,1.22029819732052
"Horschel, Billy",150,pga,23,-2,15,-1,1.22021767763148
"Matsuyama, Hideki",150,pga,24,-2,16,-1,1.2175795668170701
"Casey, Paul",150,pga,25,4,30,1,1.1843375148161102
"Niemann, Joaquin",150,pga,26,-3,19,-1,1.16741037784579
"Berger, Daniel",150,pga,27,-2,29,0,1.14079905696787
"Wise, Aaron",150,pga,28,-2,40,2,1.1308802515237
"Varner III, Harold",150,pga,29,-1,39,-1,1.10599359608328
"Henley, Russell",150,pga,30,7,54,2,1.09848641942041
"Oosthuizen, Louis",150,pga,31,-4,25,0,1.08015454364717
"Noren, Alex",150,pga,32,-2,53,0,1.07605023230923
"Bradley, Keegan",150,pga,33,-2,44,2,1.02652803397916
"McCarthy, Denny",150,pga,34,-1,90,-3,1.0009104793886299
"Mitchell, Keith",150,pga,35,0,55,-1,0.9872201842933219
"Hatton, Tyrrell",150,pga,36,0,27,1,0.9815865777376459
"Harman, Brian",150,pga,37,1,47,0,0.9646700459499309
"Power, Seamus",150,pga,38,1,36,1,0.9570815414681031
"Reed, Patrick",150,pga,39,10,46,-1,0.9411133268805278
"Kirk, Chris",150,pga,40,4,57,0,0.9338664652947719
"Scott, Adam",150,pga,41,-1,41,-1,0.9272892681775949
"Munoz, Sebastian",150,pga,42,-1,56,-1,0.907628391386063
"Pendrith, Taylor",150,kft,43,21,143,94,0.9076023457325492
"Pereira, Mito",150,pga,44,-2,49,0,0.8734076863866129
"Kim, Si Woo",150,pga,45,9,58,4,0.8539754492401421
"Pieters, Thomas",150,euro,46,-1,35,0,0.844520242962043
"Stallings, Scott",150,pga,47,16,113,9,0.8281504615238579
"Kuchar, Matt",150,pga,48,-5,76,-1,0.824539946933265
"Davis, Cameron",150,pga,49,9,67,4,0.8234245592215401
"Ancer, Abraham",150,pga,50,-16,22,0,0.801933201004517
"Hubbard, Mark",150,pga,51,-4,185,-7,0.774336349807273
"Fox, Ryan",150,euro,52,-6,48,0,0.769313939699209
"Rose, Justin",150,pga,53,-2,52,-1,0.763475718217946
"Hadwin, Adam",150,pga,54,-4,84,1,0.76024274199446
"Poston, J.T.",150,pga,55,-3,62,-2,0.7574837344368309
"Garcia, Sergio",150,pga,56,13,71,-1,0.7433939884800931
"Long, Adam",150,pga,57,-2,195,-6,0.733409484666333
"McNealy, Maverick",150,pga,58,-10,73,0,0.703694042687147
"Bezuidenhout, Christiaan",150,pga,59,2,61,-3,0.6938991404811761
"Watson, Bubba",150,pga,60,2,87,-1,0.692693966229262
"Grace, Branden",150,pga,61,11,132,2,0.675039999521496
"Koepka, Brooks",150,pga,62,12,23,0,0.655520111937905
"Tringale, Cameron",150,pga,63,-6,51,-1,0.6528563331392939
