"","teams","lines","totals"
"1","East Carolina",6.5,59.5
"2","Cincinnati",-6.5,59.5
"3","Colorado",26.5,56.5
"4","USC",-26.5,56.5
"5","Fresno State",-8.5,62
"6","UNLV",8.5,62
"7","LSU",-3.5,62
"8","Arkansas",3.5,62
"9","Notre Dame",-17,40.5
"10","Navy",17,40.5
"11","Missouri",20,56.5
"12","Tennessee",-20,56.5
"13","Vanderbilt",17.5,46.5
"14","Kentucky",-17.5,46.5
"15","Purdue",6.5,44.5
"16","Illinois",-6.5,44.5
"17","Virginia Tech",9.5,49.5
"18","Duke",-9.5,49.5
"19","Oklahoma",-7.5,68
"20","West Virginia",7.5,68
"21","Liberty",-14,45
"22","UConn",14,45
"23","Pittsburgh",-5.5,41
"24","Virginia",5.5,41
"25","SMU",-17.5,73
"26","South Florida",17.5,73
"27","Indiana",40.5,60
"28","Ohio State",-40.5,60
"29","James Madison",-7.5,48
"30","Old Dominion",7.5,48
"31","ULM",13.5,59.5
"32","Georgia State",-13.5,59.5
"33","Temple",20,56.5
"34","Houston",-20,56.5
"35","Rice",13,61.5
"36","Western Kentucky",-13,61.5
"37","Massachusetts",17,49.5
"38","Arkansas State",-17,49.5
"39","Maryland",10.5,57
"40","Penn State",-10.5,57
"41","Louisville",7,52
"42","Clemson",-7,52
"43","Alabama",-10.5,65
"44","Ole Miss",10.5,65
"45","Nebraska",30.5,49.5
"46","Michigan",-30.5,49.5
"47","UCF",1.5,54.5
"48","Tulane",-1.5,54.5
"49","Wisconsin",1,35.5
"50","Iowa",-1,35.5
"51","Boston College",18,41
"52","North Carolina State",-18,41
"53","Northwestern",17.5,41
"54","Minnesota",-17.5,41
"55","Army West Point",8,45.5
"56","Troy",-8,45.5
"57","Iowa State",-1.5,49
"58","Oklahoma State",1.5,49
"59","Arizona State",9.5,59.5
"60","Washington State",-9.5,59.5
"61","New Mexico",21,37
"62","Air Force",-21,37
"63","Louisiana Tech",17.5,68
"64","UTSA",-17.5,68
"65","Miami FL",1.5,44.5
"66","Georgia Tech",-1.5,44.5
"67","North Texas",6,57.5
"68","UAB",-6,57.5
"69","Appalachian State",NA,47
"70","Marshall",NA,47
"71","Charlotte",10.5,67
"72","Middle Tennessee",-10.5,67
"73","South Carolina",8,58
"74","Florida",-8,58
"75","Texas State",16.5,46
"76","South Alabama",-16.5,46
"77","Washington",12,73
"78","Oregon",-12,73
"79","Georgia",-16.5,52
"80","Mississippi State",16.5,52
"81","Kansas State",2.5,53
"82","Baylor",-2.5,53
"83","Kansas",3.5,64.5
"84","Texas Tech",-3.5,64.5
"85","Wyoming",-8.5,42.5
"86","Colorado State",8.5,42.5
"87","Florida Atlantic",-15.5,54.5
"88","FIU",15.5,54.5
"89","TCU",7.5,64.5
"90","Texas",-7.5,64.5
"91","North Carolina",4,78.5
"92","Wake Forest",-4,78.5
"93","Southern Mississippi",4.5,48
"94","Coastal Carolina",-4.5,48
"95","Texas A&M",1.5,48
"96","Auburn",-1.5,48
"97","Florida State",-7.5,51
"98","Syracuse",7.5,51
"99","California",12.5,47.5
"100","Oregon State",-12.5,47.5
"101","Stanford",23.5,54
"102","Utah",-23.5,54
"103","Arizona",20,76.5
"104","UCLA",-20,76.5
"105","Boise State",-21,47
"106","Nevada",21,47
"107","San Jose State",-2.5,41
"108","San Diego State",2.5,41
"109","Utah State",-10.5,55
"110","Hawaii",10.5,55
"111","SMU",3,59.5
"112","Tulane",-3,59.5
"113","Illinois",14.5,56.5
"114","Michigan",-14.5,56.5
"115","North Carolina State",5,62
"116","Louisville",-5,62
"117","Texas",-8,62
"118","Kansas",8,62
"119","Utah",6,40.5
"120","Oregon",-6,40.5
"121","USC",1,56.5
"122","UCLA",-1,56.5
"123","TCU",2,46.5
"124","Baylor",-2,46.5
"125","Ole Miss",-1,44.5
"126","Arkansas",1,44.5
