"","teams","lines","totals"
"1","LSU",-3.5,61.5
"2","Arkansas",3.5,61.5
"3","Notre Dame",-17,40
"4","Navy",17,40
"5","Missouri",19.5,57.5
"6","Tennessee",-19.5,57.5
"7","Vanderbilt",17,46
"8","Kentucky",-17,46
"9","Purdue",6.5,44.5
"10","Illinois",-6.5,44.5
"11","Oklahoma",-8.5,68.5
"12","West Virginia",8.5,68.5
"13","Virginia Tech",10,50
"14","Duke",-10,50
"15","Liberty",-13.5,45.5
"16","UConn",13.5,45.5
"17","Pittsburgh",-5.5,41.5
"18","Virginia",5.5,41.5
"19","SMU",-17.5,73
"20","South Florida",17.5,73
"21","Indiana",40.5,61
"22","Ohio State",-40.5,61
"23","ULM",13.5,59.5
"24","Georgia State",-13.5,59.5
"25","James Madison",-7,48
"26","Old Dominion",7,48
"27","Temple",20,56.5
"28","Houston",-20,56.5
"29","Rice",13.5,61
"30","Western Kentucky",-13.5,61
"31","Massachusetts",17,49.5
"32","Arkansas State",-17,49.5
"33","Maryland",10.5,57
"34","Penn State",-10.5,57
"35","Louisville",7,52
"36","Clemson",-7,52
"37","Alabama",-11.5,65
"38","Ole Miss",11.5,65
"39","Nebraska",30.5,49.5
"40","Michigan",-30.5,49.5
"41","UCF",1.5,54.5
"42","Tulane",-1.5,54.5
"43","Northwestern",17.5,41
"44","Minnesota",-17.5,41
"45","Boston College",18,41
"46","North Carolina State",-18,41
"47","Wisconsin",NA,35.5
"48","Iowa",NA,35.5
"49","Arizona State",9.5,59.5
"50","Washington State",-9.5,59.5
"51","Iowa State",-1.5,48
"52","Oklahoma State",1.5,48
"53","New Mexico",21,37
"54","Air Force",-21,37
"55","Louisiana Tech",17,68.5
"56","UTSA",-17,68.5
"57","Miami FL",1.5,44
"58","Georgia Tech",-1.5,44
"59","Army West Point",8.5,45
"60","Troy",-8.5,45
"61","Charlotte",10.5,67
"62","Middle Tennessee",-10.5,67
"63","North Texas",6,57.5
"64","UAB",-6,57.5
"65","Appalachian State",-1,48
"66","Marshall",1,48
"67","South Carolina",8,58
"68","Florida",-8,58
"69","Texas State",16.5,46
"70","South Alabama",-16.5,46
"71","Washington",12.5,73
"72","Oregon",-12.5,73
"73","Georgia",-16.5,53
"74","Mississippi State",16.5,53
"75","Kansas State",2.5,52.5
"76","Baylor",-2.5,52.5
"77","Kansas",3.5,63.5
"78","Texas Tech",-3.5,63.5
"79","Wyoming",-8.5,42.5
"80","Colorado State",8.5,42.5
"81","Florida Atlantic",-15.5,54.5
"82","FIU",15.5,54.5
"83","TCU",7,65
"84","Texas",-7,65
"85","North Carolina",4,79
"86","Wake Forest",-4,79
"87","Texas A&M",1.5,48.5
"88","Auburn",-1.5,48.5
"89","Southern Mississippi",4.5,48
"90","Coastal Carolina",-4.5,48
"91","Florida State",-7.5,51
"92","Syracuse",7.5,51
"93","California",12.5,47.5
"94","Oregon State",-12.5,47.5
"95","Stanford",23.5,54
"96","Utah",-23.5,54
"97","Arizona",20,77
"98","UCLA",-20,77
"99","Boise State",-21,47
"100","Nevada",21,47
"101","San Jose State",-2.5,41
"102","San Diego State",2.5,41
"103","Utah State",-10.5,55
"104","Hawaii",10.5,55
"105","SMU",3,61.5
"106","Tulane",-3,61.5
"107","North Carolina State",5,40
"108","Louisville",-5,40
"109","Illinois",14.5,57.5
"110","Michigan",-14.5,57.5
"111","Texas",-8,46
"112","Kansas",8,46
"113","Utah",6,44.5
"114","Oregon",-6,44.5
"115","Ole Miss",-1,68.5
"116","Arkansas",1,68.5
"117","TCU",2,50
"118","Baylor",-2,50
