"propType","player","position","team","opponent","start","line","sideOneType","sideOneOdds","sideOneValue","sideOneCash","sideOneTickets","sideTwoType","sideTwoOdds","sideTwoValue","sideTwoCash","sideTwoTickets"
"game_away_home_spread","CAR@BUF","","CAR","BUF","2021-12-19T18:00:00Z","-14","away","-110","-0.0011904761904762418","51","25","home","-110","-0.044190476190476224","49","75"
"game_away_home_win","CAR@BUF","","CAR","BUF","2021-12-19T18:00:00Z","","away","551","-0.024302611367127497","24","58","home","-802","-0.018356984478935745","76","42"
"game_point_total","CAR@BUF","","CAR","BUF","2021-12-19T18:00:00Z","44","over","-110","-0.007333333333333414","70","63","under","-110","-0.038333333333333386","30","37"
"recv_rec","C. Beasley","WR","BUF","CAR","2021-12-19T18:00:00Z","4.5","over","-128","-0.09770350877192979","null","null","under","100","0.0363","null","null"
"recv_yd","C. Beasley","WR","BUF","CAR","2021-12-19T18:00:00Z","46.5","over","-117","-0.08101132943053274","null","null","under","-115","0.0069786337935555665","null","null"
"recv_rec","D. Knox","TE","BUF","CAR","2021-12-19T18:00:00Z","3.5","over","-113","-0.1747572769953052","null","null","under","-113","0.11374272300469479","null","null"
"recv_yd","D. Knox","TE","BUF","CAR","2021-12-19T18:00:00Z","38.5","over","-113","-0.09652106319223264","null","null","under","-115","0.031106372087150724","null","null"
"recv_yd","G. Davis","WR","BUF","CAR","2021-12-19T18:00:00Z","40.5","over","-116","-0.05877611139111166","null","null","under","-116","-0.015262155378310438","null","null"
"pass_att","J. Allen","QB","BUF","CAR","2021-12-19T18:00:00Z","35.5","over","-115","-0.06048397030939057","null","null","under","-115","-0.009283504078790972","null","null"
"pass_comp","J. Allen","QB","BUF","CAR","2021-12-19T18:00:00Z","23.5","over","-125","-0.07912222222222232","null","null","under","-105","0.011351219512195199","null","null"
"pass_int","J. Allen","QB","BUF","CAR","2021-12-19T18:00:00Z","0.5","over","118","-0.014815596330275238","null","null","under","-153","-0.04864308300395259","null","null"
"pass_td","J. Allen","QB","BUF","CAR","2021-12-19T18:00:00Z","1.5","over","-151","-0.12103346613545812","null","null","under","114","0.05215700934579437","null","null"
"pass_yd","J. Allen","QB","BUF","CAR","2021-12-19T18:00:00Z","260.5","over","-112","-0.04446797241147166","null","null","under","-115","-0.018725539239069833","null","null"
"rush_att","J. Allen","QB","BUF","CAR","2021-12-19T18:00:00Z","6.5","over","-102","-0.08785047149835101","null","null","under","-130","0.01768258180637805","null","null"
"rush_yd","J. Allen","QB","BUF","CAR","2021-12-19T18:00:00Z","31.5","over","-118","-0.04797878094303765","null","null","under","-110","-0.017130687112283716","null","null"
"recv_rec","S. Diggs","WR","BUF","CAR","2021-12-19T18:00:00Z","6.5","over","-113","0.03113051643192488","null","null","under","-113","-0.0921694835680752","null","null"
"recv_yd","S. Diggs","WR","BUF","CAR","2021-12-19T18:00:00Z","73.5","over","-114","-0.02605577442471385","null","null","under","-114","-0.03934586165751408","null","null"
"recv_yd","C. Hubbard","RB","CAR","BUF","2021-12-19T18:00:00Z","9.5","over","-105","0.07597138353255295","null","null","under","-120","-0.13361709249549109","null","null"
"rush_recv_yd","C. Hubbard","RB","CAR","BUF","2021-12-19T18:00:00Z","55.5","over","-114","0.02127511398367299","null","null","under","-114","-0.08665192156138701","null","null"
"rush_yd","C. Hubbard","RB","CAR","BUF","2021-12-19T18:00:00Z","43.5","over","-114","-0.012764772725831763","null","null","under","-114","-0.05270494942671167","null","null"
"recv_rec","D. Moore","WR","CAR","BUF","2021-12-19T18:00:00Z","4.5","over","-146","-0.0902552845528456","null","null","under","114","0.029463551401869237","null","null"
"recv_yd","D. Moore","WR","CAR","BUF","2021-12-19T18:00:00Z","48.5","over","-115","0.01848013250425562","null","null","under","-115","-0.08822731354139401","null","null"
"recv_rec","R. Anderson","WR","CAR","BUF","2021-12-19T18:00:00Z","3.5","over","-113","-0.15981643192488265","null","null","under","-113","0.09878356807511735","null","null"
"recv_yd","R. Anderson","WR","CAR","BUF","2021-12-19T18:00:00Z","31.5","over","-113","-0.06259966562844455","null","null","under","-113","0.0015646221601423038","null","null"
"game_away_home_spread","NYJ@MIA","","NYJ","MIA","2021-12-19T18:00:00Z","-10","away","-110","0.027142857142857135","29","43","home","-110","-0.0728571428571429","71","57"
"game_away_home_win","NYJ@MIA","","NYJ","MIA","2021-12-19T18:00:00Z","","away","350","-0.003555555555555534","19","40","home","-452","-0.037384057971014406","81","60"
"game_point_total","NYJ@MIA","","NYJ","MIA","2021-12-19T18:00:00Z","42","over","-110","-0.04790476190476195","50","48","under","-110","0.001095238095238038","50","52"
"recv_rec","A. Wilson","WR","MIA","NYJ","2021-12-19T18:00:00Z","3.5","over","115","-0.07277674418604652","null","null","under","-151","0.006086852589641478","null","null"
"recv_yd","A. Wilson","WR","MIA","NYJ","2021-12-19T18:00:00Z","28.5","over","-111","-0.058377853891674325","null","null","under","-117","-0.006829890367568425","null","null"
"recv_rec","D. Parker","WR","MIA","NYJ","2021-12-19T18:00:00Z","5.5","over","136","0.01837118644067809","null","null","under","-174","-0.0771364963503649","null","null"
"recv_yd","D. Parker","WR","MIA","NYJ","2021-12-19T18:00:00Z","56.5","over","-114","-0.04756394167757022","null","null","under","-117","-0.0243240880004304","null","null"
"recv_rec","M. Gesicki","TE","MIA","NYJ","2021-12-19T18:00:00Z","4.5","over","118","-0.05831559633027533","null","null","under","-154","-0.006699212598425208","null","null"
"recv_yd","M. Gesicki","TE","MIA","NYJ","2021-12-19T18:00:00Z","45.5","over","-122","-0.09387853047829925","null","null","under","-109","0.022832669920664572","null","null"
"recv_rec","M. Gaskin","RB","MIA","NYJ","2021-12-19T18:00:00Z","2.5","over","118","-0.028157502115596367","null","null","under","-150","-0.030564395960000157","null","null"
