"offPlayer","offRoutes","offTr","offFr","offCPct","offYprr","offGrade","adv","defPlayer","defRoutes","defTr","defFr","defCPct","defYprr","defGrade"
"Zach Ertz","345","19","0.37","70","1.48","66.9","38","Alex Anzalone","374","12","0.17","70","0.75","35.8"
"Kyle Pitts","409","21","0.33","64","1.88","77.8","25","Azeez Al-Shaair","343","20","0.36","81","1.42","65"
"Mark Andrews","469","23","0.43","71","1.97","89.2","6","Krys Barnes","184","18","0.34","88","1.4","56"
"Dawson Knox","362","15","0.38","73","1.35","61.8","-13","Jeremy Chinn","389","11","0.17","63","0.61","67.2"
"Ian Thomas","230","10","0.12","59","0.63","54.2","-47","Tremaine Edmunds","323","15","0.29","85","1.33","51.4"
"Cole Kmet","354","19","0.24","65","1.18","64.2","-20","Eric Kendricks","427","11","0.23","73","1","64.2"
"C.J. Uzomah","365","13","0.3","80","1.12","63.1","16","Kareem Jackson","416","6","0.11","72","0.42","53.7"
"Austin Hooper","253","19","0.32","69","1.15","66.2","-5","Cory Littleton","328","17","0.3","86","1.3","47.6"
"Dalton Schultz","425","17","0.32","75","1.37","75","15","Reggie Ragland","203","14","0.25","89","0.97","59.9"
"Noah Fant","340","20","0.35","77","1.4","59.1","-9","Germaine Pratt","266","15","0.26","80","1.16","55.7"
"T.J. Hockenson","395","21","0.36","75","1.48","68.1","15","Isaiah Simmons","389","15","0.21","71","1.07","44.2"
"Josiah Deguara","135","13","0.26","88","1.09","55","-33","Chuck Clark","465","7","0.17","70","0.68","62.7"
"Pharaoh Brown","156","17","0.21","69","0.94","50.7","-11","Damien Wilson","306","16","0.33","84","1.73","46.1"
"Jack Doyle","233","17","0.32","68","1.25","75.2","-20","Adrian Phillips","372","9","0.12","55","0.35","84.9"
"James O'Shaughnessy","131","19","0.23","64","1.03","59.2","-6","Christian Kirksey","302","12","0.24","73","1.06","47.6"
"Travis Kelce","493","22","0.39","69","1.77","77","36","Kyzir White","356","14","0.23","82","0.86","64.6"
"Kendall Blanton","38","16","0.2","67","0.97","44","-21","Jordyn Brooks","405","18","0.39","89","1.85","52.9"
"Jared Cook","368","17","0.28","62","1.11","60.8","32","Anthony Hitchens","185","13","0.29","79","1.18","41.5"
"Foster Moreau","217","12","0.24","59","0.84","61.3","-31","Malcolm Smith","191","17","0.42","84","1.19","60.7"
"Mike Gesicki","435","20","0.31","69","1.48","69.3","38","C.J. Mosley","377","16","0.33","90","1.22","37.6"
"Tyler Conklin","361","18","0.32","77","1.35","67.4","14","Roquan Smith","363","14","0.2","80","0.9","50"
"Hunter Henry","285","18","0.41","70","1.38","72.5","22","Bobby Okereke","445","14","0.27","87","0.97","56.5"
"Nick Vannett","57","19","0.46","73","2.16","70","-1","Devin White","453","15","0.25","85","1.03","38.4"
"Evan Engram","345","15","0.24","71","0.99","55.3","-46","Jayron Kearse","465","11","0.18","69","0.82","79.6"
"Ryan Griffin","259","15","0.23","64","0.86","54.5","-33","Eric Rowe","352","16","0.29","80","1.09","70"
"Dallas Goedert","283","19","0.44","77","2.11","87.2","25","Jamin Davis","246","15","0.27","89","1.13","39.7"
"Pat Freiermuth","307","19","0.41","78","1.25","70.7","24","Jayon Brown","216","11","0.24","88","1.15","46"
"Gerald Everett","261","16","0.32","86","1.13","59.3","-16","Ernest Jones","209","12","0.2","77","0.71","59.4"
"George Kittle","282","27","0.6","76","2.68","91.6","61","Deion Jones","397","17","0.36","87","1.63","41.8"
"Rob Gronkowski","233","24","0.53","68","2.14","82.1","40","Demario Davis","408","11","0.14","67","0.62","74.6"
"Geoff Swaim","147","20","0.36","79","1.25","57.2","-34","Joe Schobert","359","13","0.2","69","0.91","51"
"John Bates","116","13","0.23","87","1.16","66.3","-42","T.J. Edwards","249","17","0.34","84","1.49","71.8"
