"","Name","ID","Salary","AvgPointsPerGame","fpts","proj_own","ceil","floor","scoring_points","finish_points","total_points","value","projected_ownership","sg_putt_pred","sg_putt_rank","sg_arg_pred","sg_arg_rank","sg_app_pred","sg_app_rank","sg_ott_pred","sg_ott_rank","sg_total_pred","sg_total_rank","distance_pred","distance_rank","accuracy_pred","accuracy_rank","baseline","age","age_adj","true_sg_adj","timing_adj","sg_category_adj","course_history_adj","driving_dist_adj","driving_acc_adj","fit_other_adj","course_fit_total_adj","final_prediction","make_cut","top_20","top_10","top_5","win","odds_per_dollar","residuals","proj_own_avg","course_fit","own_change","adj_own","one","date","tournament"
"1","Scottie Scheffler",25241550,11500,87,86.26,34.2,120.04,64.81,75.2,10,85.2,1,20.84,0.086,126,0.184,46,1.046,1,0.98,2,2.296,2,12.384,36,0.027,115,1.89,26,0.023,0.08,-0.018,0.321,0.024,0.026,0.006,-0.037,-0.006,2.315,0.8814,0.6516,0.4878,0.3436,0.1256,10.92,1.36,26.18,2.1,10.13,40,1,2022-11-13,"2022-11-13 Houston Open"
"2","Sam Burns",25241551,10700,81.75,72.44,20.4,90.63,54.48,64,5.8,69.8,-0.02,17.48,0.65,1,0.055,124,0.335,50,0.269,71,1.309,20,10.774,45,-0.031,307,1.363,26,0.023,-0.032,0.006,-0.051,0.051,0.022,-0.007,-0.039,-0.024,1.337,0.7712,0.4115,0.2551,0.1511,0.039,3.64,-2.32,18.65,0.42,0.73,20,1,2022-11-13,"2022-11-13 Houston Open"
"3","Tony Finau",25241552,10400,41.5,75.51,17.5,93.24,58.21,67.2,6.9,74.1,0.54,18.28,0.324,31,0.209,32,0.652,15,0.544,24,1.728,9,9.284,57,-0.005,205,1.8,33,-0.002,-0.003,-0.084,0.016,-0.017,0.019,-0.001,-0.039,-0.021,1.69,0.8347,0.5146,0.346,0.2179,0.0645,6.2,1.29,17.97,1.36,6.77,25,1,2022-11-13,"2022-11-13 Houston Open"
"4","Hideki Matsuyama",25241553,10300,77.75,65.01,9.9,84.81,27.26,58.8,4.3,63.1,-0.23,12.71,0.139,93,0.207,35,0.543,20,0.118,124,1.005,33,2.172,165,0.006,170,1.079,30,0.007,-0.016,-0.04,-0.025,0.004,0.004,0.001,-0.029,-0.023,0.986,0.7183,0.3205,0.1845,0.102,0.0229,2.22,-2.37,11.59,1.16,4.04,15,1,2022-11-13,"2022-11-13 Houston Open"
"5","Russell Henley",25241554,10000,76.17,66.45,7.2,85.55,29.52,62.1,5.3,67.4,0.12,12.93,-0.14,286,0.201,39,0.805,5,0.363,47,1.229,22,-3.008,255,0.09,13,1.099,33,-0.003,0.008,0.018,0.107,0.031,-0.007,0.02,-0.023,-0.009,1.25,0.7797,0.4065,0.2469,0.1435,0.0344,3.44,-0.3,10.64,2.58,11.46,20,1,2022-11-13,"2022-11-13 Houston Open"
"6","Aaron Wise",25241555,9900,88,72.5,22.6,89.84,55.64,65.2,6.1,71.3,0.55,16.4,0.322,35,0.151,64,0.485,28,0.479,30,1.436,14,7.676,78,0.008,161,1.387,26,0.023,0.014,-0.015,0.029,0.042,0.016,0.002,-0.033,-0.015,1.464,0.789,0.4367,0.2762,0.1661,0.0429,4.33,0.84,18.88,1.24,6,25,1,2022-11-13,"2022-11-13 Houston Open"
"7","Jason Day",25241557,9500,78.12,60.67,11.7,79.31,25.96,59.7,4.6,64.3,0.09,15.09,0.098,113,0.198,41,0.407,39,0.309,60,1.012,32,4.546,122,0.015,145,0.832,35,-0.008,0.025,0.045,0.118,0.02,0.009,0.003,-0.023,-0.01,1.022,0.723,0.3322,0.1916,0.1058,0.0241,2.54,-0.11,13.73,1.21,5.39,20,1,2022-11-13,"2022-11-13 Houston Open"
"8","Maverick McNealy",25241558,9400,78.2,64.52,18.7,84.31,27.59,60,4.8,64.7,0.2,14.74,0.634,2,0.111,82,0.052,135,0.246,77,1.043,29,8.22,65,-0.002,196,1.08,27,0.02,0.029,-0.015,-0.071,0.042,0.017,0,-0.033,-0.017,1.069,0.7531,0.3571,0.2066,0.1131,0.025,2.66,0.18,16.32,0.82,3.78,20,1,2022-11-13,"2022-11-13 Houston Open"
"9","Sahith Theegala",25241559,9300,68.38,58.42,6.4,79.38,24.96,53.5,3,56.5,-0.26,9.82,0.24,52,0.108,86,0.241,71,-0.03,178,0.559,72,2.567,154,-0.054,365,0.565,24,0.028,0.079,-0.03,-0.082,-0.028,0.005,-0.012,-0.022,-0.029,0.503,0.6364,0.2183,0.1094,0.0527,0.0085,0.91,-1.42,8.45,-0.43,-2.64,5,1,2022-11-13,"2022-11-13 Houston Open"
"10","Denny McCarthy",25241560,9200,69.2,58.03,7.1,79.68,25.06,56.4,3.8,60.3,-0.06,8.62,0.535,6,0.237,23,0.104,115,-0.063,193,0.812,50,-3.9,280,0.033,94,0.907,29,0.011,-0.025,-0.021,-0.059,0.041,-0.008,0.008,-0.037,-0.038,0.815,0.6979,0.2786,0.1488,0.0766,0.0142,1.54,-0.65,8.01,1.53,6.56,15,1,2022-11-13,"2022-11-13 Houston Open"
"11","Emiliano Grillo",25241561,9100,78.17,61.53,7.8,81.41,25.97,56.5,3.7,60.2,-0.04,7.76,0.09,121,-0.046,224,0.278,61,0.429,35,0.751,53,4.987,118,0.046,62,0.745,30,0.009,-0.008,-0.011,0.016,-0.044,0.01,0.011,-0.008,0.013,0.72,0.6979,0.2801,0.1511,0.0789,0.0162,1.78,-0.29,7.78,0.92,4,10,1,2022-11-13,"2022-11-13 Houston Open"
"12","Joel Dahmen",25241562,9000,76.7,56.05,12.4,77.53,24.51,53.8,3.2,57,-0.16,10.93,-0.197,333,-0.041,220,0.332,52,0.4,39,0.495,78,-4.099,283,0.078,19,0.43,35,-0.008,-0.031,0.021,0.083,0.005,-0.009,0.018,0.002,0.011,0.511,0.6644,0.2331,0.1182,0.058,0.0107,1.19,-0.77,11.52,1.14,4.74,15,1,2022-11-13,"2022-11-13 Houston Open"
"13","Matthew NeSmith",25241563,8900,82.62,60.36,13.6,80.43,25.98,55.7,3.7,59.4,-0.02,10.44,0.015,179,-0.038,215,0.408,38,0.33,55,0.714,55,0.075,200,0.038,80,0.628,29,0.013,0.048,0.004,0.021,-0.017,0,0.009,-0.009,-0.001,0.697,0.6951,0.2703,0.1427,0.0715,0.0146,1.64,-0.23,11.7,0.73,3.17,15,1,2022-11-13,"2022-11-13 Houston Open"
