player_name,sample_size,baseline,age,age_adj,true_sg_adj,timing_adj,sg_category_adj,course_history_adj,driving_dist_adj,driving_acc_adj,fit_other_adj,course_fit_total_adj,final_prediction,std_dev,event_name,course_name
"Scheffler, Scottie",150,1.890,26,0.023,0.080,-0.018,0.321,0.024,0.026,0.006,-0.037,-0.006,2.315,2.873,"Cadence Bank Houston Open","Memorial Park Golf Course"
"Finau, Tony",150,1.800,33,-0.002,-0.003,-0.084,0.016,-0.017,0.019,-0.001,-0.039,-0.021,1.690,2.851,"Cadence Bank Houston Open","Memorial Park Golf Course"
"Wise, Aaron",150,1.387,26,0.023,0.014,-0.015,0.029,0.042,0.016,0.002,-0.033,-0.015,1.464,2.875,"Cadence Bank Houston Open","Memorial Park Golf Course"
"Burns, Sam",150,1.363,26,0.023,-0.032,0.006,-0.051,0.051,0.022,-0.007,-0.039,-0.024,1.337,2.900,"Cadence Bank Houston Open","Memorial Park Golf Course"
"Henley, Russell",150,1.099,33,-0.003,0.008,0.018,0.107,0.031,-0.007,0.020,-0.023,-0.009,1.250,2.849,"Cadence Bank Houston Open","Memorial Park Golf Course"
"Montgomery, Taylor",150,1.177,27,0.018,0.060,0.035,-0.034,-0.040,0.024,-0.010,-0.031,-0.017,1.199,2.884,"Cadence Bank Houston Open","Memorial Park Golf Course"
"McNealy, Maverick",150,1.080,27,0.020,0.029,-0.015,-0.071,0.042,0.017,-0.000,-0.033,-0.017,1.069,2.852,"Cadence Bank Houston Open","Memorial Park Golf Course"
"Day, Jason",150,0.832,35,-0.008,0.025,0.045,0.118,0.020,0.009,0.003,-0.023,-0.010,1.022,2.881,"Cadence Bank Houston Open","Memorial Park Golf Course"
"Matsuyama, Hideki",150,1.079,30,0.007,-0.016,-0.040,-0.025,0.004,0.004,0.001,-0.029,-0.023,0.986,2.896,"Cadence Bank Houston Open","Memorial Park Golf Course"
"Pendrith, Taylor",150,0.665,31,0.004,0.084,0.020,0.223,-0.062,0.040,-0.000,-0.003,0.036,0.970,2.852,"Cadence Bank Houston Open","Memorial Park Golf Course"
"Mitchell, Keith",150,0.686,30,0.007,0.064,-0.019,0.190,-0.042,0.024,0.007,-0.007,0.024,0.909,2.871,"Cadence Bank Houston Open","Memorial Park Golf Course"
"Burmester, Dean",150,0.686,33,-0.003,0.021,-0.007,0.148,-0.040,0.036,-0.008,-0.011,0.017,0.822,2.848,"Cadence Bank Houston Open","Memorial Park Golf Course"
"McCarthy, Denny",150,0.907,29,0.011,-0.025,-0.021,-0.059,0.041,-0.008,0.008,-0.037,-0.038,0.815,2.817,"Cadence Bank Houston Open","Memorial Park Golf Course"
"Noren, Alex",150,0.932,40,-0.028,0.011,0.006,-0.039,-0.056,0.001,-0.001,-0.032,-0.032,0.796,2.826,"Cadence Bank Houston Open","Memorial Park Golf Course"
"Grillo, Emiliano",150,0.745,30,0.009,-0.008,-0.011,0.016,-0.044,0.010,0.011,-0.008,0.013,0.720,2.903,"Cadence Bank Houston Open","Memorial Park Golf Course"
"Rodgers, Patrick",150,0.680,30,0.008,0.007,-0.028,0.090,-0.053,0.022,-0.010,-0.011,0.002,0.705,2.834,"Cadence Bank Houston Open","Memorial Park Golf Course"
"NeSmith, Matthew",150,0.628,29,0.013,0.048,0.004,0.021,-0.017,-0.000,0.009,-0.009,-0.001,0.697,2.862,"Cadence Bank Houston Open","Memorial Park Golf Course"
"Munoz, Sebastian",150,0.676,29,0.010,-0.018,-0.017,0.045,-0.043,0.000,0.011,-0.013,-0.002,0.651,2.867,"Cadence Bank Houston Open","Memorial Park Golf Course"
"Kim, Si Woo",150,0.442,27,0.019,0.010,0.040,0.181,-0.043,-0.003,0.014,-0.013,-0.001,0.649,2.864,"Cadence Bank Houston Open","Memorial Park Golf Course"
"Clark, Wyndham",150,0.383,28,0.013,-0.041,-0.019,0.269,0.001,0.038,-0.014,-0.007,0.016,0.623,2.865,"Cadence Bank Houston Open","Memorial Park Golf Course"
"Hodges, Lee",150,0.570,27,0.019,0.025,-0.040,-0.015,-0.007,0.005,0.002,-0.007,-0.001,0.551,2.910,"Cadence Bank Houston Open","Memorial Park Golf Course"
"Putnam, Andrew",150,0.885,33,-0.004,-0.035,-0.041,-0.204,0.002,-0.032,0.013,-0.038,-0.056,0.547,2.854,"Cadence Bank Houston Open","Memorial Park Golf Course"
"Dahmen, Joel",150,0.430,35,-0.008,-0.031,0.021,0.083,0.005,-0.009,0.018,0.002,0.011,0.511,2.858,"Cadence Bank Houston Open","Memorial Park Golf Course"
"Riley, Davis",150,0.430,25,0.025,0.045,-0.003,0.004,0.000,0.012,0.001,-0.009,0.004,0.505,2.902,"Cadence Bank Houston Open","Memorial Park Golf Course"
"Theegala, Sahith",150,0.565,24,0.028,0.079,-0.030,-0.082,-0.028,0.005,-0.012,-0.022,-0.029,0.503,2.884,"Cadence Bank Houston Open","Memorial Park Golf Course"
"Steele, Brendan",150,0.376,39,-0.025,-0.032,-0.014,0.190,-0.040,0.015,0.009,0.014,0.038,0.492,2.907,"Cadence Bank Houston Open","Memorial Park Golf Course"
"Smalley, Alex",150,0.419,26,0.024,0.027,-0.008,0.010,0.007,0.016,0.001,-0.006,0.011,0.490,2.884,"Cadence Bank Houston Open","Memorial Park Golf Course"
"Gordon, Will",150,0.335,26,0.023,0.033,-0.064,0.076,-0.004,0.032,-0.002,0.007,0.038,0.437,2.884,"Cadence Bank Houston Open","Memorial Park Golf Course"
"Woodland, Gary",150,0.223,38,-0.021,0.005,-0.021,0.270,-0.057,0.019,0.002,0.010,0.030,0.429,2.868,"Cadence Bank Houston Open","Memorial Park Golf Course"
"Hadwin, Adam",150,0.573,35,-0.008,-0.001,0.012,-0.102,-0.040,-0.008,0.008,-0.024,-0.023,0.411,2.869,"Cadence Bank Houston Open","Memorial Park Golf Course"
"List, Luke",150,0.044,37,-0.018,-0.010,-0.008,0.322,0.009,0.030,-0.006,0.023,0.047,0.385,2.844,"Cadence Bank Houston Open","Memorial Park Golf Course"
"Moore, Taylor",150,0.583,29,0.012,0.019,-0.052,-0.134,-0.039,0.007,0.000,-0.013,-0.006,0.383,2.860,"Cadence Bank Houston Open","Memorial Park Golf Course"
"Hughes, Mackenzie",150,0.451,31,0.003,-0.009,-0.014,-0.079,0.047,0.003,-0.008,-0.029,-0.034,0.365,2.867,"Cadence Bank Houston Open","Memorial Park Golf Course"
"Rai, Aaron",150,0.305,27,0.018,-0.015,0.012,0.022,0.003,-0.008,0.023,-0.006,0.009,0.356,2.833,"Cadence Bank Houston Open","Memorial Park Golf Course"
"Straka, Sepp",150,0.267,29,0.011,0.048,-0.003,-0.030,0.034,0.008,0.007,-0.007,0.007,0.336,2.906,"Cadence Bank Houston Open","Memorial Park Golf Course"
"Hubbard, Mark",150,0.470,33,-0.003,-0.022,0.023,-0.112,-0.031,-0.019,0.004,-0.017,-0.033,0.292,2.809,"Cadence Bank Houston Open","Memorial Park Golf Course"
