"","teams","lines","totals"
"1","Michigan",-10.5,42
"2","Iowa",10.5,42
"3","Kentucky",6.5,55
"4","Ole Miss",-6.5,55
"5","Purdue",9.5,52.5
"6","Minnesota",-9.5,52.5
"7","Oklahoma",-5,69.5
"8","TCU",5,69.5
"9","Illinois",6.5,43.5
"10","Wisconsin",-6.5,43.5
"11","Texas Tech",7.5,56
"12","Kansas State",-7.5,56
"13","Louisville",-13.5,48.5
"14","Boston College",13.5,48.5
"15","Navy",14,38.5
"16","Air Force",-14,38.5
"17","Temple",18.5,50
"18","Memphis",-18.5,50
"19","Georgia State",9,54
"20","Army West Point",-9,54
"21","Texas State",21.5,51.5
"22","James Madison",-21.5,51.5
"23","Oregon State",10.5,54.5
"24","Utah",-10.5,54.5
"25","Massachusetts",19.5,53
"26","Eastern Michigan",-19.5,53
"27","Northern Illinois",-4.5,60
"28","Ball State",4.5,60
"29","East Carolina",-10,56
"30","South Florida",10,56
"31","Alabama",-17,61
"32","Arkansas",17,61
"33","Wake Forest",6,67
"34","Florida State",-6,67
"35","Northwestern",25,50.5
"36","Penn State",-25,50.5
"37","Oklahoma State",2.5,56
"38","Baylor",-2.5,56
"39","Iowa State",-3.5,59
"40","Kansas",3.5,59
"41","Michigan State",7.5,57.5
"42","Maryland",-7.5,57.5
"43","Virginia Tech",9,56.5
"44","North Carolina",-9,56.5
"45","Fresno State",-23.5,51
"46","UConn",23.5,51
"47","Ohio",11.5,65.5
"48","Kent State",-11.5,65.5
"49","Bowling Green",-9,50
"50","Akron",9,50
"51","Miami OH",3,50.5
"52","Buffalo",-3,50.5
"53","Central Michigan",7,56
"54","Toledo",-7,56
"55","The Citadel",39,54
"56","Appalachian State",-39,54
"57","Gardner-Webb",31,55.5
"58","Marshall",-31,55.5
"59","Texas A&M",4,44.5
"60","Mississippi State",-4,44.5
"61","Florida Atlantic",-3,67.5
"62","North Texas",3,67.5
"63","South Alabama",-8.5,47.5
"64","Louisiana-Lafayette",8.5,47.5
"65","Wagner",53,62.5
"66","Syracuse",-53,62.5
"67","California",4,53
"68","Washington State",-4,53
"69","New Hampshire",15,52.5
"70","Western Michigan",-15,52.5
"71","Liberty",-4,48
"72","Old Dominion",4,48
"73","UTEP",-3.5,56
"74","Charlotte",3.5,56
"75","LSU",-8,45
"76","Auburn",8,45
"77","Cincinnati",-10,58
"78","Tulsa",10,58
"79","Georgia Southern",9.5,69
"80","Coastal Carolina",-9.5,69
"81","Troy",5,54.5
"82","Western Kentucky",-5,54.5
"83","ULM",7,59
"84","Arkansas State",-7,59
"85","North Carolina State",7,45.5
"86","Clemson",-7,45.5
"87","Georgia",-30,54
"88","Missouri",30,54
"89","West Virginia",7.5,61
"90","Texas",-7.5,61
"91","Indiana",6,61.5
"92","Nebraska",-6,61.5
"93","Virginia",2.5,54
"94","Duke",-2.5,54
"95","UAB",-10,51
"96","Rice",10,51
"97","San Jose State",-2.5,42.5
"98","Wyoming",2.5,42.5
"99","Georgia Tech",22,47
"100","Pittsburgh",-22,47
"101","FIU",14.5,54
"102","New Mexico State",-14.5,54
"103","Colorado",17.5,57.5
"104","Arizona",-17.5,57.5
"105","Arizona State",24.5,61.5
"106","USC",-24.5,61.5
"107","Stanford",17,62.5
"108","Oregon",-17,62.5
"109","Texas A&M",21,42
"110","Alabama",-21,42
