,,Win,,Cover,,Total Points,,Implied,Implied Score,
Team,Date,Moneyline,$20 Bet,Spread,$20 Bet,Over-Under,$20 Bet,Win %,Team,Opp
South Carolina State,2021-12-20 17:00:00,575,115.00,11.5,19.05,156.5,18.18,14.2,72.5,84.0
Citadel,2021-12-20 17:00:00,-850,2.35,-11.5,17.39,156.5,18.18,85.8,84.0,72.5
Eastern Michigan,2021-12-20 19:00:00,250,50.00,8.0,18.18,138.0,17.39,27.3,65.0,73.0
Valparaiso,2021-12-20 19:00:00,-320,6.25,-8.0,18.18,138.0,19.05,72.7,73.0,65.0
Stetson,2021-12-20 19:00:00,850,170.00,14.5,17.39,136.0,18.18,10.1,60.8,75.3
Miami,2021-12-20 19:00:00,-1500,1.33,-14.5,19.05,136.0,18.18,89.9,75.3,60.8
Incarnate Word,2021-12-20 19:00:00,2500,500.00,38.5,18.18,145.0,19.05,3.7,53.5,91.5
Purdue,2021-12-20 19:00:00,-8000,0.25,,,145.0,17.39,96.3,,
Maryland-Eastern Shore,2021-12-20 19:00:00,650,130.00,13.0,17.39,131.5,18.18,12.8,59.8,71.8
UNC-Charlotte,2021-12-20 19:00:00,-1000,2.00,,,131.5,18.18,87.2,,
Western Carolina,2021-12-20 19:00:00,450,90.00,11.5,18.18,147.0,18.18,17.4,67.8,79.3
Georgia,2021-12-20 19:00:00,-630,3.17,-11.5,18.18,147.0,18.18,82.6,79.3,67.8
Alcorn State,2021-12-20 19:00:00,2500,500.00,34.5,19.05,139.0,19.05,3.7,52.5,86.5
Baylor,2021-12-20 19:00:00,-8000,0.25,,,139.0,17.39,96.3,,
Charleston Southern,2021-12-20 19:00:00,270,54.00,8.0,18.18,139.5,18.18,25.8,65.8,73.8
Manhattan,2021-12-20 19:00:00,-350,5.71,-8.0,18.18,139.5,18.18,74.2,73.8,65.8
Delaware State,2021-12-20 19:00:00,1300,260.00,22.5,18.18,135.5,20.00,6.9,56.5,79.0
Wagner,2021-12-20 19:00:00,-3000,0.67,-22.5,18.18,135.5,16.67,93.1,79.0,56.5
Oral Roberts,2021-12-20 20:00:00,-170,11.76,-3.5,18.18,145.0,19.05,61.2,74.3,70.8
South Dakota,2021-12-20 20:00:00,150,30.00,3.5,18.18,145.0,17.39,38.8,70.8,74.3
UM-Kansas City,2021-12-20 20:00:00,550,110.00,12.5,18.18,141.0,17.39,14.8,64.3,76.8
South Dakota State,2021-12-20 20:00:00,-800,2.50,-12.5,18.18,141.0,19.05,85.2,76.8,64.3
Louisiana-Monroe,2021-12-20 20:00:00,-195,10.26,-4.5,18.18,135.5,17.39,63.7,70.0,65.5
Lamar,2021-12-20 20:00:00,165,33.00,4.5,18.18,135.5,19.05,36.3,65.5,70.0
Western Michigan,2021-12-20 20:00:00,1000,200.00,21.5,17.39,139.0,20.00,8.7,58.8,80.3
Notre Dame,2021-12-20 20:00:00,-2000,1.00,-21.5,19.05,139.0,16.67,91.3,80.3,58.8
Western Illinois,2021-12-20 21:00:00,,,,,,,,,
Denver,2021-12-20 21:00:00,,,,,,,,,
Northern Arizona,2021-12-20 21:00:00,2000,400.00,35.0,16.67,146.0,19.05,4.6,55.5,90.5
Gonzaga,2021-12-20 21:00:00,-5000,0.40,-35.0,20.00,146.0,17.39,95.4,90.5,55.5
