"","position","full_name","game_id","z_score","fpt_proj","rush_attempts_proj","rushing_yards_proj","rush_td_proj","total_line","opp","spread","home","attempts_game","ypa","td_game","rush_share","targets_game","yprr","grades_run","mtf_touch","def_rush_epa","off_rush_epa_sd","def_rush_epa_sd","rdef_sd","yco_attempt_sd","tack_sd","touches_game_sd","gameday","weekday"
"1","RB1","Bijan Robinson","2024_16_NYG_ATL",0.568,16.8,17.2,82.4,0.7,42,"NYG",-9,1,16.9,4.6,0.6,0.6,4.1,1.34,91,0.24,-0.04,0.26,0.53,NA,-0.02,NA,1.71,"2024-12-22","Sunday"
"2","RB2","Derrick Henry","2024_16_PIT_BAL",0.505,16.5,17.7,83,0.9,44.5,"PIT",-6.5,1,18.1,5.8,0.9,0.58,1,0.89,91.3,0.22,-0.105,1.35,-0.42,NA,0.66,NA,1.45,"2024-12-21","Saturday"
"3","RB3","Saquon Barkley","2024_16_PHI_WAS",1.147,16.1,17.4,89.1,0.6,45.5,"WAS",-3.5,0,20.4,5.9,0.8,0.55,2.6,1.05,85.2,0.21,-0.04,1.82,0.53,NA,0.44,NA,1.98,"2024-12-22","Sunday"
"4","RB4","Chase Brown","2024_16_CLE_CIN",0.255,15.7,14.3,64.9,0.4,46.5,"CLE",-8.5,1,13.6,4.4,0.5,0.6,4,1.16,74.8,0.23,-0.082,-0.07,-0.08,NA,0.06,NA,1.13,"2024-12-22","Sunday"
"5","RB5","Josh Jacobs","2024_16_NO_GB",0.763,14.8,17.6,85.9,0.7,42.5,"NO",-14,1,18.9,4.3,0.9,0.62,2.6,1.35,88.7,0.26,0.01,0.24,1.26,NA,0.52,NA,1.76,"2024-12-23","Monday"
"6","RB6","Joe Mixon","2024_16_HOU_KC",0.234,14.7,16.5,72,0.7,42.5,"KC",3.5,0,19.7,4.2,1,0.66,3.9,1.39,74.7,0.17,-0.148,-0.85,-1.05,NA,-0.15,NA,1.98,"2024-12-21","Saturday"
"7","RB7","James Conner","2024_16_ARI_CAR",0.414,14.4,15.7,74.3,0.5,47,"CAR",-5,0,15.5,4.5,0.5,0.56,3.3,1.44,90,0.3,0.068,0.42,2.11,NA,0.43,NA,1.35,"2024-12-22","Sunday"
"8","RB8","James Cook","2024_16_NE_BUF",0.504,14.2,15.4,78.7,0.6,46.5,"NE",-14,1,13.2,4.8,1,0.43,2.7,1.15,85.4,0.17,-0.05,1.72,0.38,NA,0.31,NA,0.89,"2024-12-22","Sunday"
"9","RB9","David Montgomery","2024_16_DET_CHI",0.219,13.7,15.3,65.2,0.5,48,"CHI",-6.5,0,13.2,4.2,0.9,0.42,2.6,2.24,78.9,0.26,-0.037,0.99,0.57,NA,0.16,NA,0.95,"2024-12-22","Sunday"
"10","RB10","Jahmyr Gibbs","2024_16_DET_CHI",0.27,13.5,14.3,65.4,0.4,48,"CHI",-6.5,0,13.3,5.6,0.8,0.42,3.5,1.52,85.9,0.24,-0.037,0.99,0.57,NA,0.52,NA,1,"2024-12-22","Sunday"
