"","position.x","full_name","fpt_proj","receptions_proj","receiving_yards_proj","pass_td_proj","game_id","total_line","opp","spread","home","gameday","weekday","gametime","player_id","position.y","team_name","player_game_count","avg_depth_of_target","avoided_tackles","caught_percent","contested_catch_rate","contested_receptions","contested_targets","declined_penalties","drop_rate","drops","first_downs","franchise_id","fumbles","grades_hands_drop","grades_hands_fumble","grades_offense","grades_pass_block","grades_pass_route","inline_rate","inline_snaps","interceptions","longest","pass_block_rate","pass_blocks","pass_plays","penalties","route_rate"
"24","WR24","Ceedee Lamb",12.25,5.08,53.31,0.38,"2024_17_DAL_PHI",37.5,"PHI",7.5,0,"2024-12-29","Sunday","13:00",61570,"WR","DAL",15,8.3,20,69.2,58.1,18,31,0,9.8,11,54,9,1,50.3,62.4,77.3,67.1,79.9,0.2,1,6,65,0.2,1,574,7,91.6
"25","WR25","Demario Douglas",12.13,4.79,55.12,0.19,"2024_17_LAC_NE",42,"LAC",6,1,"2024-12-28","Saturday","13:00",104155,"WR","NE",15,5.4,9,78.7,33.3,1,3,0,1.7,1,26,19,1,90,44.5,67.6,67.4,66.9,0,0,2,35,0.2,1,415,2,92.5
"26","WR26","Aj Brown",12.04,4.37,59.41,0.31,"2024_17_DAL_PHI",37.5,"DAL",-7.5,1,"2024-12-29","Sunday","13:00",48327,"WR","PHI",12,12.5,17,71.1,60.9,14,23,0,0,0,50,24,0,90.8,80.7,91.1,NA,91.7,0,0,2,67,0,0,360,2,94.7
"27","WR27","Jordan Addison",11.79,3.98,54.91,0.32,"2024_17_GB_MIN",49,"GB",1,1,"2024-12-29","Sunday","16:25",123000,"WR","MIN",13,13.4,5,70.9,64.3,9,14,0,5.1,3,35,18,0,75.7,80.7,74.2,67.4,75.5,0.2,1,2,69,0.2,1,463,4,90.7
"28","WR28","Dareke Young",11.44,3.1,47.4,0.53,"2024_17_SEA_CHI",43.5,"CHI",-3.5,0,"2024-12-26","Thursday","20:15",111900,"WR","SEA",3,9,0,0,NA,0,0,0,NA,0,0,29,0,NA,NA,56.7,NA,57.2,0,0,0,0,0,0,6,0,83.3
"29","WR29","Keenan Allen",11.36,4.73,51.8,0.21,"2024_17_SEA_CHI",43.5,"SEA",3.5,1,"2024-12-26","Thursday","20:15",7857,"WR","CHI",13,10.5,3,57.9,57.1,12,21,0,10.1,7,39,6,1,54.6,45.4,65.5,67.5,68.6,0,0,0,45,0.6,3,521,4,91.4
"30","WR30","Courtland Sutton",11.31,3.83,50.27,0.25,"2024_17_DEN_CIN",50.5,"CIN",3.5,0,"2024-12-28","Saturday","16:30",48164,"WR","DEN",15,13.5,1,61.2,51.7,15,29,0,12.3,10,49,10,1,37.2,49.2,72,62.4,73,0,0,6,37,0.2,1,553,1,94
"31","WR31","Ramel Keyton",11.27,2.97,46.4,0.53,"2024_17_LV_NO",37.5,"NO",-2,0,"2024-12-29","Sunday","13:00",99204,"WR","LV",4,12,0,33.3,100,1,1,0,0,0,1,23,0,64.7,61.2,57.5,NA,57.3,0,0,0,7,0,0,30,0,90
"32","WR32","Romeo Doubs",11.23,2.75,39.94,0.41,"2024_17_GB_MIN",49,"MIN",-1,0,"2024-12-29","Sunday","16:25",84329,"WR","GB",12,12.9,4,65,68.8,11,16,0,11.4,5,28,12,0,49,77.9,67.8,NA,69.3,0,0,2,39,0,0,350,3,94
"33","WR33","Jerry Jeudy",11.06,3.54,47.26,0.46,"2024_17_MIA_CLE",32.5,"MIA",3,1,"2024-12-29","Sunday","16:05",61103,"WR","CLV",15,12.4,4,64.9,44.4,8,18,0,6.5,5,49,8,0,65.1,81.7,74.4,NA,75.5,0.3,2,1,89,0,0,671,6,93.9
"34","WR34","Jakobi Meyers",11.04,3.94,49.24,0.31,"2024_17_LV_NO",37.5,"NO",-2,0,"2024-12-29","Sunday","13:00",47468,"WR","LV",13,10.3,4,68.2,63.2,12,19,0,0,0,44,23,0,90.5,82.2,74.4,66.3,75.4,0,0,4,43,0.2,1,555,4,92.8
