"","position","full_name","game_id","z_score","fpt_proj","rush_attempts_proj","rushing_yards_proj","anytime_td_proj","receptions_proj","receiving_yards_proj","total_line","opp","def_rush_epa_rank","spread","home","attempts_game","yards_per_game","ypa","td_game","rush_share","targets_game","yprr","grades_run","mtf_touch","def_rush_epa","off_rush_epa_sd","def_rush_epa_sd","rdef_sd","yco_attempt_sd"
"80","RB80","Eric Gray","2024_18_NYG_PHI",-0.469,4.9,4.3,16,0.18,1.4,8.9,37,"PHI",1,3,0,1,1.9,1.9,0,0.03,0.8,1.32,38.8,0.14,-0.213,-0.69,-1.87,NA,-2.18
"81","RB81","Ronnie Rivers","2024_18_SEA_LA",-0.49,4.8,4.8,19.6,0.13,1.2,11.1,38.5,"SEA",16,6.5,1,2.5,12.8,5.1,0,0.02,0.2,0,76.8,0.09,-0.104,0.03,-0.39,NA,-0.03
"82","RB82","Raheem Blackshear","2024_18_CAR_ATL",-0.317,4.7,4.5,23.4,0.13,1,8.5,48,"ATL",18,8,0,1.4,4.2,3,0,0.03,0,0,59.2,0.27,-0.077,0.35,-0.02,NA,-0.61
"83","RB83","Donta Foreman","2024_18_CLE_BAL",-0.484,4.7,5.9,24.5,0.12,1.6,7.6,41,"BAL",4,20,0,6.1,20.7,3.4,0,0.16,0.7,0.88,59.3,0.11,-0.164,-0.65,-1.2,NA,-1.49
"84","RB84","Kimani Vidal","2024_18_LAC_LV",-0.066,4.6,4.9,20.6,0.1,1.2,8.2,41.5,"LV",14,-4.5,0,4.8,17.3,3.6,0,0.1,0.9,0.75,64.4,0.15,-0.106,-0.14,-0.42,NA,-0.21
"85","RB85","Dernest Johnson","2024_18_JAX_IND",-0.183,4.6,4.4,19.4,0.1,1.4,9.3,44,"IND",10,5,0,2.5,9.8,3.9,0,0.08,1.2,0.88,70.9,0.17,-0.124,0.09,-0.66,NA,-0.48
"86","RB86","Will Shipley","2024_18_NYG_PHI",-0.037,4.5,4.7,20.9,0.15,0.7,7.1,37,"NYG",23,-3,1,2.9,7.2,2.5,0,0.03,0,0,55.4,0.15,-0.047,1.86,0.38,NA,-1.37
"87","RB87","Hassan Haskins","2024_18_LAC_LV",-0.313,4.5,4.3,18.2,0.12,1.1,5.8,41.5,"LV",14,-4.5,0,1.7,4.2,2.5,0.1,0.05,0.2,0.91,60.2,0.08,-0.106,-0.14,-0.42,NA,-1.09
"88","RB88","Trey Sermon","2024_18_JAX_IND",-0.489,4.4,4.7,17.7,0.13,0.7,5.1,44,"JAX",20,-5,1,3.5,9.8,2.8,0.1,0.12,0.9,0.88,56,0.11,-0.055,-0.16,0.27,NA,-0.7
"89","RB89","Deuce Vaughn","2024_18_WAS_DAL",-0.435,4.1,4.2,17.4,0.13,1.1,9.8,44,"WAS",27,6,1,2.2,6.6,3,0,0.03,0.8,1,55,0.5,-0.015,-0.72,0.82,NA,-1.24
"90","RB90","Terrell Jennings","2024_18_BUF_NE",-0.249,4.1,4.8,19.5,0.17,0.8,6.9,37.5,"BUF",6,2.5,1,5,13,2.6,0,0.01,1,0,56.4,0,-0.148,-1.22,-0.99,NA,-0.87
"91","RB91","Avery Williams","2024_18_CAR_ATL",NA,NA,NA,NA,NA,NA,NA,48,"CAR",32,-8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.082,0.42,2.13,NA,NA
"92","RB92","Trayveon Williams","2024_18_CIN_PIT",NA,NA,NA,NA,NA,NA,NA,48,"PIT",17,-2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.09,-0.08,-0.2,NA,NA
"93","RB93","Christopher Brooks","2024_18_CHI_GB",NA,NA,NA,NA,NA,NA,NA,41,"CHI",26,-10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.027,0.5,0.65,NA,NA
"94","RB94","Joshua Kelley","2024_18_HOU_TEN",NA,NA,NA,NA,NA,NA,NA,37,"HOU",13,-1.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.115,-0.78,-0.54,NA,NA
"95","RB95","Dylan Laube","2024_18_LAC_LV",-0.809,NA,NA,NA,NA,NA,NA,41.5,"LAC",11,4.5,1,1,0,0,0,0,0,NA,39.9,0,-0.122,-2.53,-0.63,NA,1.82
