"","position","full_name","game_id","z_score","fpt_proj","rush_attempts_proj","rushing_yards_proj","anytime_td_proj","receptions_proj","receiving_yards_proj","total_line","opp","def_rush_epa_rank","spread","home","attempts_game","yards_per_game","ypa","td_game","rush_share","targets_game","yprr","grades_run","mtf_touch","def_rush_epa","off_rush_epa_sd","def_rush_epa_sd","rdef_sd","yco_attempt_sd"
"1","RB1","Saquon Barkley","2024_21_WAS_PHI",1.055,16.3,18.7,88.9,0.68,2,18.5,47.5,"WAS",27,-6,1,21.8,124.3,5.7,0.8,0.56,2.4,0.9,85.3,0.2,-0.009,1.65,0.84,NA,0.21
"2","RB2","James Cook","2024_21_BUF_KC",0.356,12.5,14,63.5,0.46,2.3,17.7,47.5,"KC",11,1.5,0,13.5,66.2,4.9,1,0.43,2.2,1.1,85.7,0.17,-0.104,1.38,-0.49,NA,0.32
"3","RB3","Kareem Hunt","2024_21_BUF_KC",0.627,11.5,12.6,48.7,0.42,2,14.2,47.5,"BUF",6,-1.5,1,15.4,55.4,3.6,0.5,0.44,2.1,0.83,72.8,0.13,-0.144,0.19,-1.04,NA,-0.58
"4","RB4","Brian Robinson","2024_21_WAS_PHI",0.765,9.4,11.9,49.4,0.32,1.5,12.3,47.5,"PHI",2,6,0,13.1,53.7,4.1,0.5,0.35,1.9,0.89,69,0.17,-0.193,1.05,-1.73,NA,0.09
"5","RB5","Isiah Pacheco","2024_21_BUF_KC",0.441,8.2,10.4,42,0.29,1.3,12.5,47.5,"BUF",6,-1.5,1,11.9,44,3.7,0.1,0.18,2.3,0.81,64.8,0.09,-0.144,0.19,-1.04,NA,-0.73
"6","RB6","Samaje Perine","2024_21_BUF_KC",-0.07,6.4,4.3,20,0.2,1.8,13.6,47.5,"BUF",6,-1.5,1,1.2,5.5,4.6,0.1,0.04,1.9,1.59,67.7,0.19,-0.144,0.19,-1.04,NA,-0.71
"7","RB7","Ty Johnson","2024_21_BUF_KC",-0.176,6.1,4.9,22.6,0.16,1.7,10.6,47.5,"KC",11,1.5,0,2.8,14.3,5.1,0.1,0.09,1.5,1.5,79.9,0.14,-0.104,1.38,-0.49,NA,0.43
"8","RB8","Chris Rodriguez","2024_21_WAS_PHI",0.428,6.1,5,21.1,0.21,1.7,10.1,47.5,"PHI",2,6,0,5,24.5,4.9,0.3,0.06,0.1,0.6,90.1,0.39,-0.193,1.05,-1.73,NA,1.25
"9","RB9","Kenneth Gainwell","2024_21_WAS_PHI",0.109,5.8,5,24.5,0.15,1.1,9.5,47.5,"WAS",27,-6,1,4.3,16.8,3.9,0.1,0.12,1.2,0.92,55.8,0.2,-0.009,1.65,0.84,NA,-0.43
"10","RB10","Will Shipley","2024_21_WAS_PHI",0.003,5.7,4.6,19.5,0.19,1,7,47.5,"WAS",27,-6,1,3.8,10.3,2.7,0,0.05,0.5,1.46,59.1,0.12,-0.009,1.65,0.84,NA,-1.01
"11","RB11","Jeremy Mcnichols","2024_21_WAS_PHI",0.318,5.5,4.8,18.9,0.21,1.7,8.1,47.5,"PHI",2,6,0,3.3,15.5,4.7,0.2,0.1,0.6,0.21,85.7,0.18,-0.193,1.05,-1.73,NA,0.78
"12","RB12","Ray Davis","2024_21_BUF_KC",-0.059,5.1,6.6,25.8,0.15,1.2,9.7,47.5,"KC",11,1.5,0,6.3,24.6,3.9,0.2,0.21,1,1.8,75.7,0.24,-0.104,1.38,-0.49,NA,0.01
