"","position","full_name","fpt_proj","pass_attempt","passing_yards_proj","pass_touchdown_proj","game_id","total_line","opp","def_pass_epa_rank","spread","home","gameday","weekday","gametime","player_id","team_name","pyards_game","player_game_count","accuracy_percent","aimed_passes","attempts","avg_depth_of_target","avg_time_to_throw","bats","big_time_throws","btt_rate","completion_percent","completions"
"1","qb1","Josh Allen",24.42,35.76,262.33,2.14,"2024_19_DEN_BUF",47.5,"DEN",1,-8.5,1,"2025-01-12","Sunday","13:00",46601,"BUF",233,16,73.3,442,483,8.8,2.87,9,37,7.1,63.6,307
"2","qb2","Baker Mayfield",23.43,37.66,266.83,2.11,"2024_19_WAS_TB",50.5,"WAS",19,-3,1,"2025-01-12","Sunday","20:00",46518,"TB",265,17,78.7,545,570,7.3,2.77,11,22,3.7,71.4,407
"3","qb3","Lamar Jackson",23.1,32.86,259.8,2.52,"2024_19_PIT_BAL",44.5,"PIT",8,-9.5,1,"2025-01-11","Saturday","20:00",46416,"BAL",245,17,76.3,434,474,9.4,3.17,11,30,6,66.7,316
"4","qb4","Jalen Hurts",22.41,34.21,251.01,1.54,"2024_19_GB_PHI",45.5,"GB",3,-4.5,1,"2025-01-12","Sunday","16:30",40291,"PHI",194,15,80.1,321,361,8.4,3.21,8,14,3.7,68.7,248
"5","qb5","Sam Darnold",22.22,36.29,259.9,2.13,"2024_19_MIN_LA",47.5,"LA",28,-2.5,0,"2025-01-13","Monday","20:00",29048,"MIN",254,17,77.2,492,545,9.2,3.07,8,33,5.6,66.2,361
"6","qb6","Justin Herbert",20.05,36.57,260.62,2.02,"2024_19_LAC_HOU",41.5,"HOU",7,-3,0,"2025-01-11","Saturday","16:30",28237,"LAC",228,17,76.9,468,504,9,2.87,10,33,6.1,65.9,332
"7","qb7","Jayden Daniels",19.33,37.14,253.62,1.47,"2024_19_WAS_TB",50.5,"TB",20,3,0,"2025-01-12","Sunday","20:00",97993,"WAS",210,17,79.1,445,480,7.9,2.97,11,20,3.9,69,331
"8","qb8","Russell Wilson",18.32,37.85,246.75,1.5,"2024_19_PIT_BAL",44.5,"BAL",14,9.5,0,"2025-01-11","Saturday","20:00",7077,"PIT",226,11,77.6,294,336,8.4,2.84,9,20,5.7,63.7,214
"9","qb9","Bo Nix",18.29,37.95,249.36,1.48,"2024_19_DEN_BUF",47.5,"BUF",21,8.5,0,"2025-01-12","Sunday","13:00",97790,"DEN",222,17,76.7,523,567,7.8,2.97,16,21,3.5,66.3,376
"10","qb10","Jordan Love",17.84,35.31,248.72,1.39,"2024_19_GB_PHI",45.5,"PHI",4,4.5,0,"2025-01-12","Sunday","16:30",40306,"GB",226,15,74.7,391,425,9.2,2.76,8,16,3.5,63.1,268
"11","qb11","Matthew Stafford",17.05,36.57,253.85,1.34,"2024_19_MIN_LA",47.5,"MIN",2,2.5,1,"2025-01-13","Monday","20:00",4924,"LA",235,16,73,482,517,8,2.63,10,23,4.2,65.8,340
"12","qb12","Cj Stroud",16.8,38.77,254.15,1.34,"2024_19_LAC_HOU",41.5,"LAC",5,3,1,"2025-01-11","Saturday","16:30",129759,"HOU",219,17,72.3,495,532,8.6,3.01,6,23,4.1,63.2,336
