"","season","club_code","week","game_type","depth_team","gsis_id","position.x","full_name","fpt_proj","receptions_proj","receiving_yards_proj","pass_td_proj","game_id","total_line","opp","spread","home","gameday","weekday","gametime","player_id","position.y","team_name","player_game_count","avg_depth_of_target","avoided_tackles","caught_percent","contested_catch_rate","contested_receptions","contested_targets","declined_penalties","drop_rate","drops","first_downs","franchise_id","fumbles","grades_hands_drop","grades_hands_fumble","grades_offense","grades_pass_block","grades_pass_route","inline_rate","inline_snaps","interceptions","longest","pass_block_rate","pass_blocks","pass_plays","penalties","route_rate","routes","slot_rate","slot_snaps","targeted_qb_rating","targets","touchdowns","wide_rate","wide_snaps","yards","yards_after_catch","yards_after_catch_per_reception","yards_per_reception","yprr","targets_game","rec_game","rec_yards_game","rec_td_game","man_yprr","zone_yprr","man_adv","avg_rank.x","def_rush_epa","def_rush_epa_rank","def_rush_epa_sd","def_pass_epa","def_pass_epa_rank","def_pass_epa_sd","avg_rank.y","off_rush_epa","off_rush_epa_rank","off_rush_epa_sd","off_pass_epa","off_pass_epa_rank","off_pass_epa_sd","man_snaps","zone_snaps","def_man_grade","def_zone_grade","man_percentage","man_rank","def_man_grade_rank","zone_percentage","zone_rank","def_zone_grade_rank","def","rdef","tack","prsh","cov","def_rank","def_sd","rdef_rank","rdef_sd","tack_rank","tack_sd","prsh_rank","prsh_sd","cov_rank","cov_sd","z_score","roof","dome","position"
"1",2024,"DET",15,"REG","1","00-0036963","WR","Amon-Ra St Brown",24.2,6.1,109,0.8,"2024_15_BUF_DET",55.5,"BUF",-2.5,1,"2024-12-15","Sunday","16:25",84470,"WR","DET",13,8.2,9,83.5,65.2,15,23,1,1.2,1,51,11,0,90.7,83.1,86.1,62.3,88.1,0,0,1,35,0.2,1,411,3,96.4,396,52.1,214,130.4,97,9,47.4,195,863,270,3.3,10.7,2.18,7.5,6.23,66.38,0.69,1.83,2.23,-0.4,11.5,-0.125,9,-0.75,0.059,14,-0.07,4,0.017,5,1.06,0.24,3,1.42,644,2052,56.6,59.5,0.239,25,25,0.761,8,20,61.8,61.5,60.5,67.6,57.9,25,-0.65,24,-0.64,8,0.84,7,0.72,30,-0.91,1.49,"dome",1,"wr1"
"2",2024,"BUF",15,"REG","1","00-0037261","WR","Khalil Shakir",18.8,5.9,92.6,0.6,"2024_15_BUF_DET",55.5,"DET",2.5,0,"2024-12-15","Sunday","16:25",84140,"WR","BUF",12,4.8,19,83.3,50,4,8,0,1.5,1,30,4,0,85.2,81,79.7,61.6,80.5,0.3,1,1,52,0.3,1,336,1,91.4,307,75.6,254,113.4,78,3,23.2,78,735,538,8.3,11.3,2.39,6.5,5.42,61.25,0.25,1.77,2.28,-0.51,3.5,-0.144,5,-1.02,-0.08,2,-1.74,2,0.048,3,1.43,0.305,1,1.95,1752,1816,64.1,63.6,0.491,1,6,0.509,32,9,68.1,66,61.5,67.3,66.7,2,1.48,8,0.67,5,1.07,8,0.65,4,1.43,3.69,"dome",1,"wr2"
"3",2024,"ATL",15,"REG","1","00-0037238","WR","Drake London",16.6,5.3,65.6,0.7,"2024_15_ATL_LV",44.5,"LV",-5.5,0,"2024-12-16","Monday","20:30",86519,"WR","ATL",13,10.7,11,68.8,62.5,20,32,0,2.6,2,49,2,0,88.6,81.9,82.4,72.7,84.5,0.2,1,7,31,1.1,5,465,4,92,428,39.8,185,84.1,109,6,60,279,866,227,3,11.5,2.02,8.4,5.77,66.62,0.46,2.49,1.95,0.54,21,-0.087,16,-0.2,0.129,26,0.77,13,-0.048,10,0.3,0.081,16,0.13,1050,1906,52,54.3,0.355,8,32,0.645,25,32,58.6,64.7,52.9,60.9,51.6,31,-1.72,14,0.29,24,-0.96,28,-0.98,32,-2.58,-0.64,"dome",1,"wr3"
"4",2024,"SF",15,"REG","1","00-0036259","WR","Jauan Jennings",15.8,5.2,66.2,0.5,"2024_15_LA_SF",48.5,"LA",-3,1,"2024-12-12","Thursday","20:15",48027,"WR","SF",11,10.4,11,74,60.9,14,23,0,3.4,2,38,28,0,81.6,80,86.8,62.4,87.7,0,0,0,45,0.3,1,318,3,94,299,45,143,131.6,77,6,55,175,774,199,3.5,13.6,2.59,7,5.18,70.36,0.55,2.25,2.29,-0.04,28.5,-0.032,27,0.6,0.164,30,1.19,10,-0.05,11,0.27,0.158,9,0.75,691,1979,62.9,59.4,0.259,23,7,0.741,10,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.44,"outdoors",0,"wr4"
"5",2024,"ATL",15,"REG","1","00-0036309","WR","Darnell Mooney",15.4,4.2,56.9,0.7,"2024_15_ATL_LV",44.5,"LV",-5.5,0,"2024-12-16","Monday","20:30",48236,"WR","ATL",13,12.8,7,64,39.1,9,23,0,8.1,5,42,2,0,62.2,80.2,75.4,NA,76,0,0,3,49,0,0,476,2,93.1,443,41.2,196,101,89,5,56.9,271,873,238,4.2,15.3,1.97,6.8,4.38,67.15,0.38,2.59,1.74,0.85,21,-0.087,16,-0.2,0.129,26,0.77,13,-0.048,10,0.3,0.081,16,0.13,1050,1906,52,54.3,0.355,8,32,0.645,25,32,58.6,64.7,52.9,60.9,51.6,31,-1.72,14,0.29,24,-0.96,28,-0.98,32,-2.58,-0.64,"dome",1,"wr5"
"6",2024,"CIN",15,"REG","1","00-0036410","WR","Tee Higgins",15.3,5,63.3,0.7,"2024_15_CIN_TEN",46.5,"TEN",-6,0,"2024-12-15","Sunday","13:00",61211,"WR","CIN",8,11.5,11,63.4,40,10,25,0,4.3,2,32,7,0,76.3,78.6,84.4,NA,84.2,0,0,1,42,0,0,319,1,94,300,20.7,66,106.6,71,5,79.3,253,581,171,3.8,12.9,1.94,8.9,5.62,72.62,0.62,2.22,1.73,0.49,15.5,-0.105,14,-0.46,0.088,17,0.28,13,-0.103,20,-0.35,0.189,6,1.01,664,1949,58.1,60.4,0.254,24,22,0.746,9,19,62.9,64.1,58.5,61.4,60.8,20,-0.28,17,0.11,15,0.36,27,-0.86,16,-0.14,0.73,"outdoors",0,"wr6"
"7",2024,"DET",15,"REG","2","00-0031428","WR","Allen Robinson",15,2.8,69.6,0.7,"2024_15_BUF_DET",55.5,"BUF",-2.5,1,"2024-12-15","Sunday","16:25",8696,"WR","DET",8,5,0,40,0,0,1,0,33.3,1,2,11,0,29.9,64,51.9,NA,56.1,0,0,0,7,0,0,32,1,100,32,53.1,17,47.9,5,0,46.9,15,9,1,0.5,4.5,0.28,0.6,0.25,1.12,0,1,0,1,11.5,-0.125,9,-0.75,0.059,14,-0.07,4,0.017,5,1.06,0.24,3,1.42,644,2052,56.6,59.5,0.239,25,25,0.761,8,20,61.8,61.5,60.5,67.6,57.9,25,-0.65,24,-0.64,8,0.84,7,0.72,30,-0.91,1.49,"dome",1,"wr7"
"8",2024,"CIN",15,"REG","1","00-0036900","WR","Jamarr Chase",14.9,5.4,62.7,0.5,"2024_15_CIN_TEN",46.5,"TEN",-6,0,"2024-12-15","Sunday","13:00",84270,"WR","CIN",13,9.5,16,75,42.1,8,19,0,7,7,58,7,0,58.6,83.2,84.8,NA,84,0,0,5,70,0,0,567,1,93.5,530,33.9,192,131.7,124,15,64,363,1319,626,6.7,14.2,2.49,9.5,7.15,101.46,1.15,1.65,3,-1.35,15.5,-0.105,14,-0.46,0.088,17,0.28,13,-0.103,20,-0.35,0.189,6,1.01,664,1949,58.1,60.4,0.254,24,22,0.746,9,19,62.9,64.1,58.5,61.4,60.8,20,-0.28,17,0.11,15,0.36,27,-0.86,16,-0.14,0.73,"outdoors",0,"wr8"
"9",2024,"NYG",15,"REG","1","00-0039337","WR","Malik Nabers",14.5,6,68.6,0.3,"2024_15_BAL_NYG",43.5,"BAL",16.5,1,"2024-12-15","Sunday","13:00",146759,"WR","NYG",11,10.3,10,66.1,48.3,14,29,0,8,7,43,21,1,63.5,54.1,81.6,NA,82.6,0,0,0,39,0,0,464,3,92.5,429,24.8,115,93.6,121,3,74.8,347,819,263,3.3,10.2,1.91,11,7.27,74.45,0.27,2.07,2.07,0,14.5,-0.165,3,-1.33,0.129,26,0.77,23,-0.088,16,-0.17,-0.103,30,-1.36,1355,2239,60.5,59.2,0.377,5,18,0.623,28,22,64.8,67.6,62.2,66.6,59.9,12,0.37,4,1.13,3,1.24,12,0.47,19,-0.38,-2.13,"outdoors",0,"wr9"
"10",2024,"LA",15,"REG","1","00-0039075","WR","Puka Nacua",14.4,5.2,68.4,0.4,"2024_15_LA_SF",48.5,"SF",3,0,"2024-12-12","Thursday","20:15",100632,"WR","LA",8,9.1,12,73,30.8,4,13,0,5.3,3,37,26,0,67.4,81.2,91.6,75.5,92.1,2.3,5,1,37,1.4,3,221,2,91.4,202,29.4,65,110.6,74,3,67.9,150,708,358,6.6,13.1,3.5,9.2,6.75,88.5,0.38,4.31,3.32,0.99,20,-0.028,28,0.65,0.04,12,-0.3,13,-0.08,15,-0.08,0.133,11,0.55,769,2014,61.2,66.9,0.276,20,15,0.724,13,3,64.4,58.1,52.4,64.9,67.8,14,0.23,29,-1.63,27,-1.08,14,0.03,2,1.72,0.85,"outdoors",0,"wr10"
