"","position.x","full_name","fpt_proj","receptions_proj","receiving_yards_proj","pass_td_proj","game_id","total_line","opp","def_pass_epa_rank","spread","home","gameday","weekday","gametime","player_id","position.y","team_name","player_game_count","avg_depth_of_target","avoided_tackles","caught_percent","contested_catch_rate","contested_receptions","contested_targets","declined_penalties","drop_rate","drops","first_downs","franchise_id","fumbles","grades_hands_drop","grades_hands_fumble","grades_offense","grades_pass_block","grades_pass_route","inline_rate","inline_snaps","interceptions","longest","pass_block_rate","pass_blocks","pass_plays","penalties","route_rate","routes","slot_rate","slot_snaps","targeted_qb_rating","targets","touchdowns","wide_rate","wide_snaps","yards","yards_after_catch","yards_after_catch_per_reception","yards_per_reception","yprr","targets_game","rec_game","rec_yards_game","rec_td_game","man_yprr","zone_yprr","man_adv","avg_rank.x","def_rush_epa","def_rush_epa_rank","def_rush_epa_sd","def_pass_epa","def_pass_epa_sd","avg_rank.y","off_rush_epa","off_rush_epa_rank","off_rush_epa_sd","off_pass_epa","off_pass_epa_rank","off_pass_epa_sd","man_snaps","zone_snaps","def_man_grade","def_zone_grade","man_percentage","man_rank","def_man_grade_rank","zone_percentage","zone_rank","def_zone_grade_rank","def","rdef","tack","prsh","cov","def_rank","def_sd","rdef_rank","rdef_sd","tack_rank","tack_sd","prsh_rank","prsh_sd","cov_rank","cov_sd","z_score","roof","dome"
"1","WR1","Devonta Smith",16.86,5.43,70.17,0.62,"2024_21_WAS_PHI",47.5,"WAS",21,-6,1,"2025-01-26","Sunday","15:00",61100,"WR","PHI",14,10,8,81.8,43.8,7,16,0,5.3,4,44,24,0,75.2,81.4,82,NA,84.7,0.5,2,3,49,0,0,442,4,94.6,418,54.8,242,124.8,88,8,44.8,198,888,313,4.3,12.3,2.12,6.3,5.14,63.43,0.57,1.82,2.27,-0.45,24,-0.009,27,0.84,0.092,0.36,5.5,0.068,2,1.65,0.14,9,0.6,1502,2500,58.2,60.8,0.375,6,23,0.625,27,16,61.6,60.5,58.6,64.7,58.8,28,-0.76,28,-1.08,12,0.49,15,-0.1,24,-0.69,0.24,"outdoors",0
"2","WR2","Khalil Shakir",14.55,4.83,61.77,0.54,"2024_21_BUF_KC",47.5,"KC",16,1.5,0,"2025-01-26","Sunday","18:30",84140,"WR","BUF",16,5.4,23,81.2,42.9,6,14,1,2.4,2,38,4,1,85.2,54.7,78.1,61.6,78.8,0.4,2,1,52,0.2,1,445,3,91,405,72.1,321,112.1,101,4,26.7,119,882,655,8,10.8,2.18,6.3,5.12,55.12,0.25,1.57,2.23,-0.66,13.5,-0.104,11,-0.49,0.069,0.02,2.5,0.046,3,1.38,0.3,2,1.93,1326,2551,58.4,66.8,0.342,11,22,0.658,22,5,68.4,67.3,62.5,67.8,67.1,2,1.34,4,1.04,2,1.48,8,0.69,2,1.29,1.91,"outdoors",0
"3","WR3","Terry Mclaurin",13.53,4.62,64.14,0.29,"2024_21_WAS_PHI",47.5,"PHI",4,6,0,"2025-01-26","Sunday","15:00",48229,"WR","WAS",18,13.8,6,71.2,67.6,25,37,0,5.3,5,60,32,0,77.8,55.6,81.8,64.9,84.8,0,0,1,86,0.2,1,627,1,93.3,585,15.8,99,134.9,125,14,84.2,528,1185,307,3.4,13.3,2.03,6.9,4.94,65.83,0.78,1.74,2.39,-0.65,3,-0.193,2,-1.73,-0.024,-1.33,4.5,0.018,5,1.05,0.237,4,1.41,1111,2601,72,69.6,0.299,16,1,0.701,17,1,73.2,66.7,52.9,73.5,73.6,1,2.82,8,0.85,28,-0.97,2,2.14,1,2.84,2.74,"outdoors",0
"4","WR4","Aj Brown",13.51,4.96,60.77,0.36,"2024_21_WAS_PHI",47.5,"WAS",21,-6,1,"2025-01-26","Sunday","15:00",48327,"WR","PHI",14,12.7,17,69.4,61.5,16,26,0,0,0,52,24,0,91,81.1,90.6,NA,91.2,0,0,2,67,0,0,409,2,94.1,385,18.1,74,121.5,98,7,81.9,335,1089,357,5.3,16,2.83,7,4.86,77.79,0.5,4.12,2.43,1.69,24,-0.009,27,0.84,0.092,0.36,5.5,0.068,2,1.65,0.14,9,0.6,1502,2500,58.2,60.8,0.375,6,23,0.625,27,16,61.6,60.5,58.6,64.7,58.8,28,-0.76,28,-1.08,12,0.49,15,-0.1,24,-0.69,0.24,"outdoors",0
"5","WR5","Keon Coleman",10.57,3.59,49.7,0.46,"2024_21_BUF_KC",47.5,"KC",16,1.5,0,"2025-01-26","Sunday","18:30",144949,"WR","BUF",14,15.4,5,50.8,36.8,7,19,2,14.3,5,21,4,0,45.4,77.3,68.6,NA,69.2,0,0,2,64,0,0,370,5,92.4,342,11.4,42,92.5,59,4,88.4,327,561,223,7.4,18.7,1.64,4.2,2.14,40.07,0.29,1.88,1.79,0.0899999999999999,13.5,-0.104,11,-0.49,0.069,0.02,2.5,0.046,3,1.38,0.3,2,1.93,1326,2551,58.4,66.8,0.342,11,22,0.658,22,5,68.4,67.3,62.5,67.8,67.1,2,1.34,4,1.04,2,1.48,8,0.69,2,1.29,1.91,"outdoors",0
"6","WR6","Amari Cooper",10.45,3.54,39.76,0.52,"2024_21_BUF_KC",47.5,"KC",16,1.5,0,"2025-01-26","Sunday","18:30",9437,"WR","BUF",15,12.7,4,54.1,64.7,11,17,0,14.8,8,24,4,0,35.7,79,67.7,NA,68.3,0,0,2,30,0,0,419,5,92.6,388,20.3,85,80.3,85,4,79.7,334,555,125,2.7,12.1,1.43,5.7,3.07,37,0.27,1.53,1.36,0.17,13.5,-0.104,11,-0.49,0.069,0.02,2.5,0.046,3,1.38,0.3,2,1.93,1326,2551,58.4,66.8,0.342,11,22,0.658,22,5,68.4,67.3,62.5,67.8,67.1,2,1.34,4,1.04,2,1.48,8,0.69,2,1.29,1.91,"outdoors",0
"7","WR7","Xavier Worthy",10.27,3.01,42.04,0.44,"2024_21_BUF_KC",47.5,"BUF",20,-1.5,1,"2025-01-26","Sunday","18:30",144718,"WR","KC",17,9.4,6,63.4,27.3,3,11,0,7.8,5,36,16,0,63.7,82.3,65.2,NA,65,0,0,2,54,0,0,548,3,94.2,516,35.8,196,96.1,93,6,62.8,344,638,416,7.1,10.8,1.24,5.5,3.47,37.53,0.35,1.38,1.35,0.0299999999999998,13,-0.144,6,-1.04,0.089,0.31,11,-0.053,12,0.19,0.136,10,0.57,991,2889,55.3,57.4,0.255,24,27,0.745,9,30,61.3,62.8,57.7,67.6,55.1,29,-0.85,24,-0.36,13,0.26,10,0.64,31,-1.57,0.26,"outdoors",0
"8","WR8","Marquise Brown",10.23,3.6,46.37,0.37,"2024_21_BUF_KC",47.5,"BUF",20,-1.5,1,"2025-01-26","Sunday","18:30",61568,"WR","KC",2,8.1,0,60,100,1,1,0,0,0,5,16,0,77.3,70.6,76.5,NA,75,0,0,0,20,0,0,35,0,97.1,34,45.7,16,77.4,15,0,54.3,19,91,46,5.1,10.1,2.68,7.5,4.5,45.5,0,2.33,3.11,-0.78,13,-0.144,6,-1.04,0.089,0.31,11,-0.053,12,0.19,0.136,10,0.57,991,2889,55.3,57.4,0.255,24,27,0.745,9,30,61.3,62.8,57.7,67.6,55.1,29,-0.85,24,-0.36,13,0.26,10,0.64,31,-1.57,0.26,"outdoors",0
"9","WR9","Deandre Hopkins",9.73,3.13,41.56,0.37,"2024_21_BUF_KC",47.5,"BUF",20,-1.5,1,"2025-01-26","Sunday","18:30",7808,"WR","KC",16,11.7,3,71.8,52.2,12,23,1,3.4,2,35,16,0,74.4,79.9,78.6,NA,77.9,0,0,2,35,0,0,393,1,90.8,357,26.2,103,105.2,78,5,73.8,290,610,110,2,10.9,1.71,4.9,3.5,38.12,0.31,1.72,1.65,0.0700000000000001,13,-0.144,6,-1.04,0.089,0.31,11,-0.053,12,0.19,0.136,10,0.57,991,2889,55.3,57.4,0.255,24,27,0.745,9,30,61.3,62.8,57.7,67.6,55.1,29,-0.85,24,-0.36,13,0.26,10,0.64,31,-1.57,0.26,"outdoors",0
"10","WR10","Curtis Samuel",9.03,3.05,43.47,0.36,"2024_21_BUF_KC",47.5,"KC",16,1.5,0,"2025-01-26","Sunday","18:30",11795,"WR","BUF",15,4.6,4,72.3,42.9,3,7,0,2.9,1,11,4,0,80.1,78,65.5,NA,65.7,0,0,1,55,0,0,254,1,95.7,243,48,122,96.1,47,2,48,122,321,210,6.2,9.4,1.32,3.1,2.27,21.4,0.13,2.01,1.11,0.9,13.5,-0.104,11,-0.49,0.069,0.02,2.5,0.046,3,1.38,0.3,2,1.93,1326,2551,58.4,66.8,0.342,11,22,0.658,22,5,68.4,67.3,62.5,67.8,67.1,2,1.34,4,1.04,2,1.48,8,0.69,2,1.29,1.91,"outdoors",0
