"","position","full_name","game_id","z_score","fpt_proj","rush_attempts_proj","rushing_yards_proj","rush_td_proj","receptions_proj","receiving_yards_proj","total_line","opp","spread","home","attempts_game","yards_per_game","ypa","td_game","rush_share","targets_game","yprr","grades_run","mtf_touch","def_rush_epa","off_rush_epa_sd","def_rush_epa_sd","rdef_sd","yco_attempt_sd","tack_sd"
"1","RB1","Bijan Robinson","2024_17_ATL_WAS",0.693,17.6,17.3,84.2,0.7,3.9,30.5,47.5,"WAS",4,0,17.3,79.6,4.6,0.7,0.6,4,1.28,90.8,0.23,-0.029,0.24,0.61,NA,0.09,NA
"2","RB2","Josh Jacobs","2024_17_GB_MIN",0.574,17,17.6,79.1,0.8,2.5,20.7,49,"MIN",1.5,0,18.5,81.4,4.4,0.9,0.59,2.7,1.46,90.3,0.27,-0.214,0.58,-1.9,NA,0.7,NA
"3","RB3","James Cook","2024_17_NYJ_BUF",0.863,15.7,14.3,74.3,0.6,2.6,20,46.5,"NYJ",-9.5,1,13,66.3,5.1,1,0.43,2.7,1.23,84.5,0.18,-0.033,1.67,0.55,NA,0.6,NA
"4","RB4","Saquon Barkley","2024_17_DAL_PHI",1.104,15.3,18.8,91.2,0.6,1.6,14.5,43,"DAL",-9,1,20.9,123.3,5.9,0.9,0.57,2.5,0.96,83.5,0.2,0.079,1.86,2.07,NA,0.43,NA
"5","RB5","James Conner","2024_17_ARI_LA",NA,15.2,16.2,79.8,0.5,3.5,25.6,48.5,"LA",6,0,15.5,72.9,4.7,0.5,0.56,3.3,1.56,90.9,0.31,-0.055,0.58,0.26,NA,0.58,NA
"6","RB6","Jahmyr Gibbs","2024_17_DET_SF",0.849,15,14.2,68.5,0.5,3.6,25.8,51,"SF",-3.5,0,13.9,76.4,5.5,0.8,0.44,3.6,1.57,87.6,0.24,-0.019,1.13,0.74,NA,0.58,NA
"7","RB7","Kyren Williams","2024_17_ARI_LA",0.568,14.9,17.6,75.8,0.7,1.8,15.5,48.5,"ARI",-6,1,20.2,82.8,4.1,0.9,0.74,2.3,0.51,74.6,0.16,-0.023,0.05,0.69,NA,-0.33,NA
"8","RB8","Derrick Henry","2024_17_BAL_HOU",0.995,14.8,17.7,83,0.7,1.7,15.8,46.5,"HOU",-5.5,0,18.5,109.2,5.9,0.9,0.58,1.1,0.99,91.7,0.23,-0.151,1.38,-1.04,NA,0.8,NA
"9","RB9","Chuba Hubbard","2024_17_CAR_TB",0.942,14.7,17.1,73.4,0.6,2.8,16.4,49.5,"TB",8,0,16.7,80.2,4.8,0.7,0.68,3.5,0.51,87,0.2,-0.145,0.45,-0.96,NA,0.76,NA
"10","RB10","Chase Brown","2024_17_DEN_CIN",0.537,13.7,14.2,58,0.4,3.4,27.4,50,"DEN",-3.5,1,13.9,61.2,4.4,0.5,0.62,3.9,1.11,74.1,0.23,-0.165,0.03,-1.23,NA,0.28,NA
"11","RB11","David Montgomery","2024_17_DET_SF",0.771,13.5,13.8,64.3,0.5,3.1,23.3,51,"SF",-3.5,0,13.2,55.4,4.2,0.9,0.39,2.6,2.24,78.9,0.26,-0.019,1.13,0.74,NA,0.25,NA
"12","RB12","Kenneth Walker","2024_17_SEA_CHI",-0.059,13.3,14.3,67.7,0.5,3.8,25.1,43.5,"CHI",-3.5,0,13.9,51.4,3.7,0.6,0.46,4.7,1.33,91.2,0.37,-0.021,-0.9,0.72,NA,0.15,NA
"13","RB13","Jonathan Taylor","2024_17_IND_NYG",0.468,13.1,16.8,73.7,0.5,1.8,12.8,40.5,"NYG",-8,0,19.8,95,4.8,0.7,0.55,2,0.55,59.9,0.14,-0.041,-0.14,0.45,NA,-0.33,NA
"14","RB14","Bucky Irving","2024_17_CAR_TB",0.489,13.1,13.5,68.6,0.5,2.9,22,49.5,"CAR",-8,1,11.2,61.6,5.5,0.5,0.41,2.8,1.6,83.9,0.32,0.074,0.97,2,NA,1.79,NA
"15","RB15","Joe Mixon","2024_17_BAL_HOU",0.32,13.1,16.2,68.5,0.6,2.3,18.5,46.5,"BAL",5.5,1,19.2,80.6,4.2,0.9,0.66,3.8,1.32,75,0.17,-0.159,-0.87,-1.15,NA,-0.05,NA
"16","RB16","Devon Achane","2024_17_MIA_CLE",-0.169,12.8,12.9,62.2,0.3,4.4,31.7,40,"CLE",-6.5,0,12.1,50.8,4.2,0.3,0.46,5.5,1.64,81.4,0.17,-0.073,-1.92,0.01,NA,-0.46,NA
"17","RB17","Alvin Kamara","2024_17_LV_NO",0.732,12.8,13.5,55.6,0.3,3.9,30,39.5,"LV",-1,1,16.3,68.5,4.2,0.4,0.55,6.2,1.75,76.6,0.17,-0.101,0.56,-0.37,NA,-0.28,NA
"18","RB18","Rachaad White","2024_17_CAR_TB",0.314,12.3,11.6,50.9,0.4,3.9,26,49.5,"CAR",-8,1,9.9,41.6,4.2,0.2,0.33,3.9,1.42,73,0.19,0.074,0.97,2,NA,0.28,NA
"19","RB19","Aaron Jones","2024_17_GB_MIN",0.513,12.2,13.5,56.9,0.4,3,22.9,49,"GB",-1.5,1,15.5,69.8,4.5,0.3,0.52,3.3,1.27,74.6,0.17,-0.132,-0.61,-0.79,NA,0.07,NA
"20","RB20","Tony Pollard","2024_17_TEN_JAX",0.138,11.5,15,59.1,0.3,2.4,16.4,41,"JAX",1,0,15.9,68.4,4.3,0.3,0.61,3.7,0.84,74.4,0.15,-0.06,-0.94,0.19,NA,0.83,NA
"21","RB21","Rhamondre Stevenson","2024_17_LAC_NE",0.024,11.5,14.5,58.9,0.4,2.4,15.4,42.5,"LAC",4,1,14.6,56.9,3.9,0.5,0.52,2.8,0.65,69.8,0.21,-0.096,-0.95,-0.3,NA,-0.05,NA
"22","RB22","Rico Dowdle","2024_17_DAL_PHI",0.492,11.4,13.4,60.5,0.3,2.3,16.6,43,"PHI",9,0,13.6,65.3,4.8,0.1,0.52,3.2,0.93,72.7,0.2,-0.217,-0.71,-1.94,NA,0.6,NA
"23","RB23","Najee Harris","2024_17_KC_PIT",-0.007,11,13.5,50.7,0.4,2,15.3,43.5,"KC",3,1,15.9,62,3.9,0.3,0.5,2.5,1.38,77.5,0.28,-0.144,-0.65,-0.95,NA,-0.09,NA
"24","RB24","Brian Robinson","2024_17_ATL_WAS",0.467,11,13,51.9,0.5,1.5,11.3,47.5,"ATL",-4,1,14.1,60.6,4.3,0.7,0.36,1.8,0.89,71,0.19,-0.091,1.13,-0.23,NA,0.39,NA
"25","RB25","Breece Hall","2024_17_NYJ_BUF",0.487,10.6,13,49.9,0.3,2.7,22.3,46.5,"BUF",9.5,0,13.4,54.9,4.1,0.4,0.58,4.9,1.34,61.5,0.17,-0.146,-0.5,-0.98,NA,0.1,NA
"26","RB26","Zach Charbonnet","2024_17_SEA_CHI",-0.358,10.5,8.8,44.8,0.3,2.4,18.2,43.5,"CHI",-3.5,0,7.1,30.5,4.3,0.5,0.32,2.9,1.16,76.1,0.25,-0.021,-0.9,0.72,NA,0.97,NA
"27","RB27","Dandre Swift","2024_17_SEA_CHI",-0.035,10.4,14.2,52.2,0.3,2.4,16.5,43.5,"SEA",3.5,1,14.7,55.9,3.8,0.3,0.59,2.9,1.15,64.5,0.16,-0.103,-0.8,-0.39,NA,-0.81,NA
"28","RB28","Kareem Hunt","2024_17_KC_PIT",0.234,10.4,13.3,51,0.3,1,11.6,43.5,"PIT",-3,0,15.9,58.8,3.7,0.5,0.46,2.2,0.89,70.9,0.14,-0.09,0.33,-0.22,NA,-0.66,NA
"29","RB29","Tank Bigsby","2024_17_TEN_JAX",0.187,10.1,13.4,60.2,0.4,1.1,10.8,41,"TEN",-1,1,11,53.9,4.9,0.5,0.41,0.7,0.44,74.6,0.32,-0.048,0.07,0.35,NA,1.52,NA
"30","RB30","Tyrone Tracy","2024_17_IND_NYG",0.212,9.7,12,49.4,0.3,2.6,16.3,40.5,"IND",8,1,10.5,48.3,4.6,0.3,0.43,3,0.93,73.1,0.22,-0.1,-0.34,-0.35,NA,0.1,NA
"31","RB31","Javonte Williams","2024_17_DEN_CIN",-0.081,9.6,8.4,38.2,0.2,3.6,22.7,50,"CIN",3.5,0,8.9,32,3.6,0.3,0.34,4,1.16,59.6,0.15,0.016,-0.23,1.22,NA,-0.86,NA
"32","RB32","Travis Etienne","2024_17_TEN_JAX",-0.011,8.8,10.3,40.9,0.2,2.7,15.8,41,"TEN",-1,1,9.4,36.7,3.9,0.2,0.35,3.4,0.87,64.1,0.13,-0.048,0.07,0.35,NA,-0.73,NA
"33","RB33","Jerome Ford","2024_17_MIA_CLE",-0.067,8.3,8.1,35.2,0.2,2.3,15.8,40,"MIA",6.5,1,7.5,41.2,5.5,0.2,0.28,3.2,0.75,78.6,0.3,-0.116,-0.69,-0.57,NA,0.79,NA
"34","RB34","Nick Chubb","2024_17_MIA_CLE",-0.05,8,10.9,43.5,0.2,1.3,10.8,40,"MIA",6.5,1,12.8,42.2,3.3,0.4,0.3,1.1,0.36,62.5,0.2,-0.116,-0.69,-0.57,NA,-0.39,NA
