"","position.x","full_name","fpt_proj","receptions_proj","receiving_yards_proj","pass_td_proj","game_id","total_line","opp","spread","home","gameday","weekday","gametime","player_id","position.y","team_name","player_game_count","avg_depth_of_target","avoided_tackles","caught_percent","contested_catch_rate","contested_receptions","contested_targets","declined_penalties","drop_rate","drops","first_downs","franchise_id","fumbles","grades_hands_drop","grades_hands_fumble","grades_offense","grades_pass_block","grades_pass_route","inline_rate","inline_snaps","interceptions","longest","pass_block_rate","pass_blocks","pass_plays","penalties","route_rate"
"1","WR1","Khalil Shakir",16.69,4.76,69.95,0.62,"2024_19_DEN_BUF",47.5,"DEN",-8.5,1,"2025-01-12","Sunday","13:00",84140,"WR","BUF",15,5.6,19,80,38.5,5,13,1,2.6,2,35,4,1,83.1,51.1,76.8,61.6,77.5,0.5,2,1,52,0.2,1,420,3,91
"2","WR2","Devonta Smith",16.28,5.13,68.48,0.61,"2024_19_GB_PHI",45.5,"GB",-4.5,1,"2025-01-12","Sunday","16:30",61100,"WR","PHI",13,10,8,81,43.8,7,16,0,5.6,4,42,24,0,73.5,81,82.7,NA,84.4,0.5,2,3,49,0,0,417,2,94.7
"3","WR3","Justin Jefferson",14.53,5.29,62.69,0.44,"2024_19_MIN_LA",47.5,"LA",-2.5,0,"2025-01-13","Monday","20:00",61398,"WR","MIN",17,11.7,11,68.7,54.8,17,31,1,5.5,6,62,18,1,77.9,59.6,87.2,NA,88.8,0,0,6,97,0,0,664,3,92.2
"4","WR4","Zay Flowers",14.48,4.65,67.4,0.43,"2024_19_PIT_BAL",44.5,"PIT",-9.5,1,"2025-01-11","Saturday","20:00",97268,"WR","BLT",17,10.7,18,66.1,50,8,16,0,6.3,5,48,3,0,67,83.4,82.1,NA,83.8,0,0,0,53,0,0,500,2,94
"5","WR5","Nico Collins",14.39,5.49,67.82,0.34,"2024_19_LAC_HOU",41.5,"LAC",3,1,"2025-01-11","Saturday","16:30",61441,"WR","HST",12,11.7,8,68.7,60,9,15,1,5.6,4,48,13,0,75.5,81.4,91.6,75.8,91.6,0,0,5,67,0.5,2,371,3,94.3
"6","WR6","Terry Mclaurin",14.26,4.94,63.02,0.45,"2024_19_WAS_TB",50.5,"TB",3,0,"2025-01-12","Sunday","20:00",48229,"WR","WAS",17,13.9,5,71.3,70.6,24,34,0,5.7,5,56,32,0,74.9,53.2,79.2,64.9,82.2,0,0,1,86,0.2,1,591,1,93.6
"7","WR7","Mike Evans",14.11,4.75,60.79,0.45,"2024_19_WAS_TB",50.5,"WAS",-3,1,"2025-01-12","Sunday","20:00",8642,"WR","TB",14,12.7,4,69.2,63.2,12,19,0,5.1,4,53,30,0,76.4,81.6,89,NA,88.1,0,0,5,57,0,0,441,0,94.3
"8","WR8","Aj Brown",14.03,5.16,66.92,0.36,"2024_19_GB_PHI",45.5,"GB",-4.5,1,"2025-01-12","Sunday","16:30",48327,"WR","PHI",13,12.6,17,70.5,60,15,25,0,0,0,51,24,0,90.9,81,90.9,NA,91.6,0,0,2,67,0,0,383,2,94.3
"9","WR9","Courtland Sutton",12.68,4.65,55.48,0.17,"2024_19_DEN_BUF",47.5,"BUF",8.5,0,"2025-01-12","Sunday","13:00",48164,"WR","DEN",17,13.8,1,61.4,57.1,20,35,0,11,10,57,10,1,43.9,53.1,74.3,62.4,75.9,0,0,7,47,0.2,1,622,1,94.4
"10","WR10","George Pickens",12.37,4.62,54.8,0.24,"2024_19_PIT_BAL",44.5,"BAL",9.5,0,"2025-01-11","Saturday","20:00",99229,"WR","PIT",14,13.9,10,59,37,10,27,0,13.2,9,37,25,1,42.1,45,76.9,NA,78,0,0,2,44,0,0,466,5,93.6
"11","WR11","Ladd Mcconkey",12.2,4.25,54.35,0.32,"2024_19_LAC_HOU",41.5,"HOU",-3,0,"2025-01-11","Saturday","16:30",124030,"WR","LAC",16,10.2,14,74.5,61.9,13,21,0,6.8,6,52,27,2,70.1,33.2,80.5,NA,81.2,0.6,3,1,60,0,0,516,1,93.4
"12","WR12","Dontayvion Wicks",10.48,3.05,41.31,0.42,"2024_19_GB_PHI",45.5,"PHI",4.5,0,"2025-01-12","Sunday","16:30",99711,"WR","GB",17,12,10,52.7,21.4,3,14,0,17,8,25,12,0,29.6,77.9,65.3,NA,63.9,1.6,5,2,36,0,0,312,2,93.9
"13","WR13","Jayden Reed",10.3,3.63,43.24,0.17,"2024_19_GB_PHI",45.5,"PHI",4.5,0,"2025-01-12","Sunday","16:30",78171,"WR","GB",17,8.6,6,73.3,66.7,8,12,0,15.4,10,29,12,0,30.1,49.6,70.4,66.2,70.1,0.7,3,0,70,0.2,1,418,0,93.1
"14","WR14","Jordan Addison",10.23,3.28,38.76,0.34,"2024_19_MIN_LA",47.5,"LA",-2.5,0,"2025-01-13","Monday","20:00",123000,"WR","MIN",15,13.7,5,68.5,58.8,10,17,0,4.5,3,39,18,0,78.7,81.3,73.2,67.4,74.2,0.2,1,2,69,0.2,1,552,4,91.3
"15","WR15","Quentin Johnston",10.11,3.3,40.95,0.28,"2024_19_LAC_HOU",41.5,"HOU",-3,0,"2025-01-11","Saturday","16:30",123085,"WR","LAC",15,11.9,13,62.5,35,7,20,0,8.3,5,32,27,0,61,80.5,70.6,NA,71.6,0,0,1,66,0,0,429,1,93.5
"16","WR16","Demarcus Robinson",9.9,3.1,40.38,0.37,"2024_19_MIN_LA",47.5,"MIN",2.5,1,"2025-01-13","Monday","20:00",10760,"WR","LA",17,16.6,1,51.7,53.8,7,13,1,3.1,1,27,26,0,78.9,77,64.9,NA,66.5,0,0,4,46,0,0,543,1,94.3
"17","WR17","Jalen Nailor",9.67,2.73,35.9,0.49,"2024_19_MIN_LA",47.5,"LA",-2.5,0,"2025-01-13","Monday","20:00",84292,"WR","MIN",17,12.5,0,66.7,40,2,5,1,12.5,4,22,18,0,47.7,77.6,59.7,NA,60.3,0,0,0,33,0,0,419,3,92.1
"18","WR18","Keon Coleman",9.61,3.11,44.37,0.46,"2024_19_DEN_BUF",47.5,"DEN",-8.5,1,"2025-01-12","Sunday","13:00",144949,"WR","BUF",13,15.5,5,51.8,36.8,7,19,2,14.7,5,21,4,0,43.4,77,68.8,NA,69.4,0,0,2,64,0,0,352,5,92.6
"19","WR19","Amari Cooper",9.38,3.1,42.8,0.43,"2024_19_DEN_BUF",47.5,"DEN",-8.5,1,"2025-01-12","Sunday","13:00",9437,"WR","BUF",14,13,4,53.7,64.7,11,17,0,15.4,8,24,4,0,33.9,78.8,68.3,NA,69,0,0,2,30,0,0,405,5,92.6
"20","WR20","Jalen Mcmillan",9,2.37,36.92,0.32,"2024_19_WAS_TB",50.5,"WAS",-3,1,"2025-01-12","Sunday","20:00",131905,"WR","TB",13,12.6,1,63.8,25,3,12,1,9.8,4,23,30,0,57,80.4,61,69,63.2,0,0,6,33,0.2,1,412,5,94.9
"21","WR21","Romeo Doubs",8.97,3.44,40.24,0.14,"2024_19_GB_PHI",45.5,"PHI",4.5,0,"2025-01-12","Sunday","16:30",84329,"WR","GB",13,12.3,4,65.7,64.7,11,17,0,9.8,5,33,12,0,55.3,78.9,70,NA,71.4,0,0,2,39,0,0,384,3,93.8
"22","WR22","Xavier Smith",8.68,2.97,33.7,0.32,"2024_19_MIN_LA",47.5,"MIN",2.5,1,"2025-01-13","Monday","20:00",102585,"WR","LA",5,0.5,0,100,NA,0,0,0,0,0,1,26,0,68.3,87,73.8,NA,67.9,0,0,0,11,0,0,8,0,100
"23","WR23","Calvin Austin",8.65,2.5,33.86,0.38,"2024_19_PIT_BAL",44.5,"BAL",9.5,0,"2025-01-11","Saturday","20:00",61418,"WR","PIT",17,12.7,2,64.3,60,6,10,0,5.3,2,18,25,0,72,60.9,63.8,NA,64.7,0,0,0,55,0,0,393,1,95.9
"24","WR24","Tyler Johnson",8.33,3.28,38.13,0.18,"2024_19_MIN_LA",47.5,"MIN",2.5,1,"2025-01-13","Monday","20:00",48054,"WR","LA",15,6.5,8,66.7,62.5,5,8,0,0,0,10,26,0,86.5,75.9,67,73.5,67.7,0.9,2,2,63,1.9,4,215,1,92.6
"25","WR25","Robert Woods",8.33,2.85,40.52,0.15,"2024_19_LAC_HOU",41.5,"LAC",3,1,"2025-01-11","Saturday","16:30",7822,"WR","HST",15,9.9,0,66.7,50,1,2,0,4.8,1,12,13,3,70.5,24.3,57.3,75.5,56.3,0,0,0,32,1.4,3,207,1,93.2
"26","WR26","Rashod Bateman",8.09,2.72,37.8,0.23,"2024_19_PIT_BAL",44.5,"PIT",-9.5,1,"2025-01-11","Saturday","20:00",84296,"WR","BLT",17,15.2,9,67.2,20,1,5,2,8.2,4,35,3,0,61.2,78.6,70,NA,71.3,0,0,2,59,0,0,475,3,94.1
"27","WR27","Josh Palmer",8.05,2.93,43.79,0.07,"2024_19_LAC_HOU",41.5,"HOU",-3,0,"2025-01-11","Saturday","16:30",62979,"WR","LAC",15,15.1,1,61.9,45.5,5,11,1,9.3,4,28,27,0,60,78.4,67,NA,68.3,0,0,1,45,0,0,428,2,91.4
"28","WR28","Dyami Brown",7.98,2.62,35.25,0.27,"2024_19_WAS_TB",50.5,"TB",3,0,"2025-01-12","Sunday","20:00",77986,"WR","WAS",16,7.5,11,78.9,40,2,5,0,6.3,2,13,32,1,69.5,29,65.4,66.3,65.9,0,0,0,51,0.4,1,278,4,92.8
"29","WR29","Sterling Shepard",7.93,3,38.43,0.28,"2024_19_WAS_TB",50.5,"WAS",-3,1,"2025-01-12","Sunday","20:00",10674,"WR","TB",14,9.8,4,65.3,81.8,9,11,0,11.1,4,16,30,0,51.6,78.6,55.6,62.3,57.8,0,0,0,30,0.3,1,374,6,93
"30","WR30","Christian Watson",7.88,3.41,40,0.07,"2024_19_GB_PHI",45.5,"PHI",4.5,0,"2025-01-12","Sunday","16:30",66581,"WR","GB",15,18.7,1,56.9,66.7,10,15,0,6.5,2,21,12,1,67.3,28.6,69.1,66.2,71.3,0.7,2,2,60,0.3,1,295,2,92.9
"31","WR31","Devontez Walker",7.81,2.68,32.49,0.19,"2024_19_PIT_BAL",44.5,"PIT",-9.5,1,"2025-01-11","Saturday","20:00",145773,"WR","BLT",5,34,0,50,NA,0,0,0,0,0,1,3,0,64.7,61.2,65.4,NA,65.2,0,0,0,21,0,0,20,0,100
"32","WR32","Van Jefferson",7.59,2.32,34.17,0.32,"2024_19_PIT_BAL",44.5,"BAL",9.5,0,"2025-01-11","Saturday","20:00",47447,"WR","PIT",17,11.1,4,60,60,3,5,0,7.7,2,12,25,0,63.2,75.5,56.8,69.6,57,0.2,1,0,43,1,4,414,4,92
"33","WR33","Mike Williams",7.47,2.23,32.27,0.32,"2024_19_PIT_BAL",44.5,"BAL",9.5,0,"2025-01-11","Saturday","20:00",11762,"WR","PIT",18,16.6,0,61.8,70,7,10,0,4.5,1,14,25,0,61.5,75.1,57.4,NA,58.3,0,0,2,32,0,0,359,1,95
"34","WR34","Mack Hollins",7.46,2.43,28.77,0.44,"2024_19_DEN_BUF",47.5,"DEN",-8.5,1,"2025-01-12","Sunday","13:00",11873,"WR","BUF",17,13.8,1,64.6,50,5,10,0,3.1,1,25,4,0,78,77,60.3,62.4,61.9,4.7,21,0,44,0.2,1,443,1,93.2
"35","WR35","Brandon Powell",7.41,2.42,28.89,0.3,"2024_19_MIN_LA",47.5,"LA",-2.5,0,"2025-01-13","Monday","20:00",48036,"WR","MIN",16,10.4,0,70,0,0,1,1,0,0,5,18,0,75.6,87,58.9,70.7,60.7,0,0,0,13,1.6,2,129,2,92.2
"36","WR36","Jordan Whittington",7.28,3.2,36.54,0.15,"2024_19_MIN_LA",47.5,"MIN",2.5,1,"2025-01-13","Monday","20:00",97623,"WR","LA",8,5.5,2,78.6,33.3,1,3,0,0,0,14,26,0,84.5,81.2,79.1,78.9,78.2,0.8,1,0,50,4.7,6,128,0,91.4
"37","WR37","Malik Heath",7.24,2.99,32.99,0.19,"2024_19_GB_PHI",45.5,"PHI",4.5,0,"2025-01-12","Sunday","16:30",124173,"WR","GB",10,7.8,0,83.3,80,4,5,2,0,0,5,12,0,78,71.1,63.9,NA,67,0,0,0,41,0,0,72,3,90.3
"38","WR38","Olamide Zaccheaus",7.04,2.64,31.96,0.18,"2024_19_WAS_TB",50.5,"TB",3,0,"2025-01-12","Sunday","20:00",44920,"WR","WAS",17,6.6,11,72.6,50,4,8,0,10,5,26,32,0,56.7,59.1,72,69,72.3,0,0,0,49,0.3,1,321,3,93.5
"39","WR39","Tutu Atwell",6.98,3.28,35.76,0.12,"2024_19_MIN_LA",47.5,"MIN",2.5,1,"2025-01-13","Monday","20:00",77965,"WR","LA",17,12.1,1,68.9,25,2,8,0,6.7,3,29,26,0,66.8,79,71.9,NA,73.1,0,0,2,50,0,0,275,1,93.5
"40","WR40","Scott Miller",6.81,2.47,27.83,0.19,"2024_19_PIT_BAL",44.5,"BAL",9.5,0,"2025-01-11","Saturday","20:00",47481,"WR","PIT",11,11.9,2,55.6,50,1,2,0,0,0,2,25,0,73.4,68,61.9,NA,61.1,0,0,0,21,0,0,92,1,97.8
"41","WR41","Curtis Samuel",6.72,2.73,34.17,0.2,"2024_19_DEN_BUF",47.5,"DEN",-8.5,1,"2025-01-12","Sunday","13:00",11795,"WR","BUF",14,4.4,2,70.5,42.9,3,7,0,3.1,1,9,4,0,78.5,77.6,62.6,NA,62.6,0,0,1,38,0,0,238,1,95.4
"42","WR42","Johnny Wilson",6.63,2.47,25.35,0.32,"2024_19_GB_PHI",45.5,"GB",-4.5,1,"2025-01-12","Sunday","16:30",76366,"WR","PHI",16,10.1,1,33.3,20,1,5,0,16.7,1,3,24,0,49.2,68.8,49.5,82.4,48.8,3.6,6,0,9,1.2,2,169,3,92.3
"43","WR43","Trent Sherfield",6.56,2.99,29.46,0.24,"2024_19_MIN_LA",47.5,"LA",-2.5,0,"2025-01-13","Monday","20:00",48021,"WR","MIN",17,6.8,0,88.9,NA,0,0,0,0,0,4,18,0,76.5,70.1,70.2,67,69,1.6,1,1,17,3.1,2,64,1,95.3
"44","WR44","Devaughn Vele",6.05,2.3,28.81,0.17,"2024_19_DEN_BUF",47.5,"BUF",8.5,0,"2025-01-12","Sunday","13:00",100637,"WR","DEN",13,8.7,2,75.9,60,9,15,0,4.7,2,26,10,0,75.5,78.4,72.3,NA,74.6,1.5,5,0,37,0,0,331,0,95.2
"45","WR45","Ryan Miller",6.03,2.22,32.27,0.18,"2024_19_WAS_TB",50.5,"WAS",-3,1,"2025-01-12","Sunday","20:00",78734,"WR","TB",10,10.2,0,60,42.9,3,7,0,7.7,1,7,30,0,61.8,71.9,59.1,73.7,58.7,0,0,1,39,1.3,2,150,0,93.3
"46","WR46","Marvin Mims",6,2.41,28.7,0.19,"2024_19_DEN_BUF",47.5,"BUF",8.5,0,"2025-01-12","Sunday","13:00",122937,"WR","DEN",17,7.1,7,78,25,1,4,0,4.9,2,14,10,1,74.3,69.8,70.9,70.7,75.3,0.5,1,2,93,0.5,1,206,0,95.1
"47","WR47","Liljordan Humphrey",5.97,2.16,28.13,0.09,"2024_19_DEN_BUF",47.5,"BUF",8.5,0,"2025-01-12","Sunday","13:00",42247,"WR","DEN",17,6.3,9,72.1,25,1,4,1,3.1,1,12,10,2,77.8,20.6,57.2,74.7,55.9,1.3,4,2,41,2.2,7,314,4,92.4
"48","WR48","Nelson Agholor",5.89,2.5,26.27,0.08,"2024_19_PIT_BAL",44.5,"PIT",-9.5,1,"2025-01-11","Saturday","20:00",9453,"WR","BLT",14,13.9,2,50,18.2,2,11,0,6.7,1,10,3,0,66.7,73.3,63.8,51.5,64.1,4,9,0,56,0.4,1,227,1,91.6
"49","WR49","Derius Davis",5.82,2.67,29.38,0.04,"2024_19_LAC_HOU",41.5,"HOU",-3,0,"2025-01-11","Saturday","16:30",78196,"WR","LAC",13,4.5,4,86.7,NA,0,0,0,0,0,5,27,0,80.6,40.2,77.4,NA,80.1,0,0,0,23,0,0,79,0,93.7
"50","WR50","Jamison Crowder",5.61,1.95,27.33,0.16,"2024_19_WAS_TB",50.5,"TB",3,0,"2025-01-12","Sunday","20:00",9538,"WR","WAS",6,9.8,0,69.2,50,1,2,0,18.2,2,4,32,0,38.4,79.5,54.5,NA,54.3,0,0,1,12,0,0,90,0,96.7
"51","WR51","Tylan Wallace",5.57,2.48,26,0.05,"2024_19_PIT_BAL",44.5,"PIT",-9.5,1,"2025-01-11","Saturday","20:00",61577,"WR","BLT",15,6.2,3,91.7,NA,0,0,1,0,0,5,3,0,78.7,29.7,66.7,28.9,66.4,1.7,2,0,84,0,0,115,2,94.8
"52","WR52","Ben Skowronek",5.56,2.54,23.24,0.13,"2024_19_PIT_BAL",44.5,"BAL",9.5,0,"2025-01-11","Saturday","20:00",27948,"WR","PIT",9,8,0,100,NA,0,0,0,0,0,4,25,0,73.4,68,69.1,68.6,67.5,16.3,8,0,23,4.1,2,49,0,93.9
"53","WR53","Jahan Dotson",5.42,2.09,25.96,0.08,"2024_19_GB_PHI",45.5,"GB",-4.5,1,"2025-01-12","Sunday","16:30",84375,"WR","PHI",17,10.2,4,61.3,20,1,5,1,0,0,12,24,0,83.6,76.7,55.2,NA,55,0.2,1,0,36,0,0,426,1,95.1
"54","WR54","Ainias Smith",5.35,2.43,26.5,0.05,"2024_19_GB_PHI",45.5,"GB",-4.5,1,"2025-01-12","Sunday","16:30",99207,"WR","PHI",6,4.2,0,77.8,0,0,1,0,12.5,1,1,24,0,54.5,72.4,55.2,NA,54.8,0,0,0,15,0,0,43,0,97.7
"55","WR55","Bo Melton",5.08,2.53,25.48,0.04,"2024_19_GB_PHI",45.5,"PHI",4.5,0,"2025-01-12","Sunday","16:30",61610,"WR","GB",14,17.2,1,50,80,4,5,0,0,0,5,12,0,54.5,75.2,62.8,NA,57.5,0,0,1,28,0,0,97,2,91.8
"56","WR56","Dj Chark",5.06,2.31,22.06,0.06,"2024_19_LAC_HOU",41.5,"HOU",-3,0,"2025-01-11","Saturday","16:30",47702,"WR","LAC",6,12.2,1,44.4,50,1,2,0,0,0,1,27,0,72.1,67,54.9,NA,54.7,0,0,0,12,0,0,58,0,96.6
"57","WR57","Troy Franklin",5.04,2,22.8,0.08,"2024_19_DEN_BUF",47.5,"BUF",8.5,0,"2025-01-12","Sunday","13:00",146567,"WR","DEN",16,14.1,3,57.1,20,1,5,1,9.7,3,11,10,0,56.8,76.9,53.5,NA,54.5,0,0,1,30,0,0,283,3,93.6
"58","WR58","Trey Palmer",5.02,2.32,27.99,0.15,"2024_19_WAS_TB",50.5,"WAS",-3,1,"2025-01-12","Sunday","20:00",99248,"WR","TB",15,14.1,0,57.1,33.3,1,3,0,0,0,7,30,0,79.4,84.9,58.2,NA,60.2,0,0,0,27,0,0,188,3,94.7
"59","WR59","Rakim Jarrett",4.77,2.39,25.49,0.16,"2024_19_WAS_TB",50.5,"WAS",-3,1,"2025-01-12","Sunday","20:00",129519,"WR","TB",10,11.5,1,81.8,60,3,5,1,0,0,5,30,0,77.3,75.2,59.8,NA,63.6,0,0,0,30,0,0,114,2,93.9
"60","WR60","Xavier Hutchinson",4.37,2.61,18.2,0.06,"2024_19_LAC_HOU",41.5,"LAC",3,1,"2025-01-11","Saturday","16:30",122518,"WR","HST",16,11.2,2,50,28.6,2,7,0,7.7,1,6,13,0,63.5,73.1,54.9,NA,55.5,0,0,1,19,0,0,280,0,94.6
