"","position","full_name","game_id","z_score","fpt_proj","rush_attempts_proj","rushing_yards_proj","anytime_td_proj","receptions_proj","receiving_yards_proj","total_line","opp","def_rush_epa_rank","spread","home","attempts_game","yards_per_game","ypa","td_game","rush_share","targets_game","yprr","grades_run","mtf_touch","def_rush_epa","off_rush_epa_sd","def_rush_epa_sd","rdef_sd","yco_attempt_sd"
"1","RB1","Jahmyr Gibbs","2024_20_WAS_DET",0.739,16.1,15.1,72.7,0.66,3.8,30.9,55.5,"WAS",24,-9.5,1,14.7,82.3,5.6,0.9,0.47,3.7,1.67,90.7,0.24,-0.033,1.12,0.54,NA,0.54
"2","RB2","Saquon Barkley","2024_20_LA_PHI",NA,16,18.7,90.1,0.64,1.9,18.1,44.5,"LA",19,-6,1,21.8,124.3,5.7,0.8,0.56,2.4,0.9,85.3,0.2,-0.051,1.59,0.29,NA,0.22
"3","RB3","Derrick Henry","2024_20_BAL_BUF",1.284,15.3,18.4,87.8,0.69,2.1,17.7,51.5,"BUF",4,-1.5,0,19.5,117,6,1,0.58,1.2,1.03,93.4,0.25,-0.163,1.79,-1.25,NA,0.96
"4","RB4","David Montgomery","2024_20_WAS_DET",0.615,13.6,12.9,62.1,0.49,3.4,28.9,55.5,"WAS",24,-9.5,1,13.2,55.4,4.2,0.9,0.35,2.6,2.24,78.9,0.26,-0.033,1.12,0.54,NA,0.23
"5","RB5","Joe Mixon","2024_20_HOU_KC",0.159,13.4,16.1,66.6,0.45,2.2,16.8,41.5,"KC",11,8.5,0,18,75.6,4.2,0.8,0.63,3.3,1.24,78.1,0.19,-0.115,-0.67,-0.59,NA,0.03
"6","RB6","James Cook","2024_20_BAL_BUF",0.502,12.8,13.5,62.8,0.47,2.4,17.4,51.5,"BAL",3,1.5,1,13.5,66.2,4.9,1,0.43,2.2,1.1,85.7,0.17,-0.174,1.33,-1.41,NA,0.35
"7","RB7","Kyren Williams","2024_20_LA_PHI",0.772,12.5,16.4,70.1,0.6,1.9,13.9,44.5,"PHI",2,6,0,19.5,79.9,4.1,0.8,0.7,2.4,0.54,75,0.16,-0.182,-0.05,-1.52,NA,-0.34
"8","RB8","Kareem Hunt","2024_20_HOU_KC",0.529,11.6,12.8,48.8,0.39,2,14.7,41.5,"HOU",5,-8.5,1,15.4,55.4,3.6,0.5,0.44,2.1,0.83,72.8,0.13,-0.155,0.17,-1.14,NA,-0.63
"9","RB9","Brian Robinson","2024_20_WAS_DET",0.266,9.2,11.5,47.5,0.3,2.3,19.1,55.5,"DET",12,9.5,0,13.1,53.7,4.1,0.5,0.35,1.9,0.89,69,0.17,-0.11,1.13,-0.52,NA,0.1
"10","RB10","Isiah Pacheco","2024_20_HOU_KC",0.343,8,10.6,42,0.26,1.7,13,41.5,"HOU",5,-8.5,1,11.9,44,3.7,0.1,0.18,2.3,0.81,64.8,0.09,-0.155,0.17,-1.14,NA,-0.78
"11","RB11","Justice Hill","2024_20_BAL_BUF",0.656,7.1,4.9,19.6,0.19,2.6,20.9,51.5,"BUF",4,-1.5,0,3.3,14.8,4.5,0.1,0.09,3.1,1.59,78,0.27,-0.163,1.79,-1.25,NA,1.46
"12","RB12","Ray Davis","2024_20_BAL_BUF",0.087,6.9,7.2,25.6,0.22,1.3,10.2,51.5,"BAL",3,1.5,1,6.3,24.6,3.9,0.2,0.21,1,1.8,75.7,0.24,-0.174,1.33,-1.41,NA,0.01
"13","RB13","Ty Johnson","2024_20_BAL_BUF",-0.027,6.8,5.1,21.6,0.21,1.7,10.5,51.5,"BAL",3,1.5,1,2.8,14.3,5.1,0.1,0.09,1.5,1.5,79.9,0.14,-0.174,1.33,-1.41,NA,0.46
"14","RB14","Craig Reynolds","2024_20_WAS_DET",-0.092,6.8,4.9,21.7,0.21,2,14.9,55.5,"WAS",24,-9.5,1,2.4,10.8,4.5,0,0.06,0.4,1.25,58,0.12,-0.033,1.12,0.54,NA,-0.6
"15","RB15","Chris Rodriguez","2024_20_WAS_DET",-0.06,6.6,5.8,20.5,0.22,2.1,14.4,55.5,"DET",12,9.5,0,5,24.5,4.9,0.3,0.06,0.1,0.6,90.1,0.39,-0.11,1.13,-0.52,NA,1.34
"16","RB16","Jeremy Mcnichols","2024_20_WAS_DET",-0.174,6.2,5.6,18.7,0.21,2.1,13.1,55.5,"DET",12,9.5,0,3.3,15.5,4.7,0.2,0.1,0.6,0.21,85.7,0.18,-0.11,1.13,-0.52,NA,0.83
"17","RB17","Samaje Perine","2024_20_HOU_KC",-0.163,5.9,4.5,19.4,0.16,1.8,13.6,41.5,"HOU",5,-8.5,1,1.2,5.5,4.6,0.1,0.04,1.9,1.59,67.7,0.19,-0.155,0.17,-1.14,NA,-0.77
"18","RB18","Kenneth Gainwell","2024_20_LA_PHI",NA,5.8,5,21.9,0.15,1.2,9.6,44.5,"LA",19,-6,1,4.3,16.8,3.9,0.1,0.12,1.2,0.92,55.8,0.2,-0.051,1.59,0.29,NA,-0.46
"19","RB19","Will Shipley","2024_20_LA_PHI",NA,5.5,4.6,18.8,0.19,1,6.7,44.5,"LA",19,-6,1,3.8,10.3,2.7,0,0.05,0.5,1.46,59.1,0.12,-0.051,1.59,0.29,NA,-1.09
"20","RB20","Ronnie Rivers","2024_20_LA_PHI",-0.035,5.1,4.8,19.4,0.14,1.2,8.1,44.5,"PHI",2,6,0,4.2,18.1,4.3,0,0.05,1,0.87,73.1,0.13,-0.182,-0.05,-1.52,NA,-0.55
"21","RB21","Blake Corum","2024_20_LA_PHI",-0.075,5.1,4.8,20,0.13,0.9,8.6,44.5,"PHI",2,6,0,4.1,14.8,3.6,0,0.12,0.6,1.81,70,0.18,-0.182,-0.05,-1.52,NA,-0.77
"22","RB22","Dameon Pierce","2024_20_HOU_KC",-0.093,5.1,5.3,20.2,0.17,1,5.9,41.5,"KC",11,8.5,0,3.8,27.7,7.3,0.2,0.1,0.4,0.04,83.9,0.32,-0.115,-0.67,-0.59,NA,5.28
"23","RB23","Keaton Mitchell","2024_20_BAL_BUF",0.244,4.9,4.1,16.3,0.17,1,9.1,51.5,"BUF",4,-1.5,0,3.8,7.6,2,0,0.02,0.2,3.11,49.8,0.19,-0.163,1.79,-1.25,NA,-1.61
"24","RB24","Dare Ogunbowale","2024_20_HOU_KC",-0.763,4.4,4.4,17.8,0.09,1.3,10.1,41.5,"KC",11,8.5,0,1.7,6.5,3.8,0,0.07,1.4,0.99,68.6,0.24,-0.115,-0.67,-0.59,NA,-0.88
