"","position","full_name","fpt_proj","pass_attempt","passing_yards_proj","pass_touchdown_proj","game_id","total_line","opp","def_pass_epa_rank","spread","home","gameday","weekday","gametime","player_id","team_name","pyards_game","player_game_count","accuracy_percent","aimed_passes","attempts","avg_depth_of_target","avg_time_to_throw","bats","big_time_throws","btt_rate","completion_percent","completions"
"1","qb1","Jared Goff",28.37,41.41,329.36,2.91,"2024_20_WAS_DET",55.5,"WAS",24,-9.5,1,"2025-01-18","Saturday","20:00",10635,"DET",275,16,78.6,468,506,7.2,2.68,5,17,3.3,71.7,363
"2","qb2","Lamar Jackson",23.2,35.54,273.04,2.51,"2024_20_BAL_BUF",51.5,"BUF",20,-1.5,0,"2025-01-19","Sunday","18:30",46416,"BAL",247,16,77.3,405,442,9.4,3.19,11,28,6,67.9,300
"3","qb3","Lamar Jackson",23.2,35.54,273.04,2.51,"2024_20_BAL_BUF",51.5,"BUF",20,-1.5,0,"2025-01-19","Sunday","18:30",46416,"BAL",247,16,77.3,405,442,9.4,3.19,11,28,6,67.9,300
"4","qb4","Jayden Daniels",22.92,40.78,291.31,1.99,"2024_20_WAS_DET",55.5,"DET",7,9.5,0,"2025-01-18","Saturday","20:00",97993,"WAS",221,16,79.7,433,468,7.9,2.97,11,20,4,69.4,325
"5","qb5","Jayden Daniels",22.92,40.78,291.31,1.99,"2024_20_WAS_DET",55.5,"DET",7,9.5,0,"2025-01-18","Saturday","20:00",97993,"WAS",221,16,79.7,433,468,7.9,2.97,11,20,4,69.4,325
"6","qb6","Josh Allen",21.71,36.24,258.02,1.9,"2024_20_BAL_BUF",51.5,"BAL",14,1.5,1,"2025-01-19","Sunday","18:30",46601,"BUF",233,16,73.3,442,483,8.8,2.87,9,37,7.1,63.6,307
"7","qb7","Josh Allen",21.71,36.24,258.02,1.9,"2024_20_BAL_BUF",51.5,"BAL",14,1.5,1,"2025-01-19","Sunday","18:30",46601,"BUF",233,16,73.3,442,483,8.8,2.87,9,37,7.1,63.6,307
"8","qb8","Jalen Hurts",21.67,34.01,242.8,1.5,"2024_20_LA_PHI",43.5,"LA",16,-6,1,"2025-01-19","Sunday","15:00",40291,"PHI",194,15,80.1,321,361,8.4,3.21,8,14,3.7,68.7,248
"9","qb9","Jalen Hurts",21.67,34.01,242.8,1.5,"2024_20_LA_PHI",43.5,"LA",16,-6,1,"2025-01-19","Sunday","15:00",40291,"PHI",194,15,80.1,321,361,8.4,3.21,8,14,3.7,68.7,248
"10","qb10","Patrick Mahomes",17.76,38.74,252.76,1.48,"2024_20_HOU_KC",42.5,"HOU",3,-8.5,1,"2025-01-18","Saturday","16:30",11765,"KC",246,16,77.1,532,581,6.9,2.76,10,18,2.9,67.5,392
"11","qb11","Cj Stroud",17.13,38.27,245,1.57,"2024_20_HOU_KC",42.5,"KC",15,8.5,0,"2025-01-18","Saturday","16:30",129759,"HOU",230,16,72,489,526,8.7,3.02,6,23,4.1,62.7,330
"12","qb12","Cj Stroud",17.13,38.27,245,1.57,"2024_20_HOU_KC",42.5,"KC",15,8.5,0,"2025-01-18","Saturday","16:30",129759,"HOU",230,16,72,489,526,8.7,3.02,6,23,4.1,62.7,330
"13","qb13","Matthew Stafford",13.77,36.03,238.96,1.19,"2024_20_LA_PHI",43.5,"PHI",2,6,0,"2025-01-19","Sunday","15:00",4924,"LA",235,16,73,482,517,8,2.63,10,23,4.2,65.8,340
"14","qb14","Jimmy Garoppolo",NA,NA,NA,NA,"2024_20_LA_PHI",43.5,"PHI",2,6,0,"2025-01-19","Sunday","15:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
