"","position.x","full_name","fpt_proj","receptions_proj","receiving_yards_proj","pass_td_proj","game_id","total_line","opp","def_pass_epa_rank","spread","home","gameday","weekday","gametime","player_id","position.y","team_name","player_game_count","avg_depth_of_target","avoided_tackles","caught_percent","contested_catch_rate","contested_receptions","contested_targets","declined_penalties","drop_rate","drops","first_downs","franchise_id","fumbles","grades_hands_drop","grades_hands_fumble","grades_offense","grades_pass_block","grades_pass_route","inline_rate","inline_snaps","interceptions","longest","pass_block_rate","pass_blocks","pass_plays","penalties","route_rate","routes","slot_rate","slot_snaps","targeted_qb_rating","targets","touchdowns","wide_rate","wide_snaps","yards","yards_after_catch","yards_after_catch_per_reception","yards_per_reception","yprr","targets_game","rec_game","rec_yards_game","rec_td_game","man_yprr","zone_yprr","man_adv","avg_rank.x","def_rush_epa","def_rush_epa_rank","def_rush_epa_sd","def_pass_epa","def_pass_epa_sd","avg_rank.y","off_rush_epa","off_rush_epa_rank","off_rush_epa_sd","off_pass_epa","off_pass_epa_rank","off_pass_epa_sd","man_snaps","zone_snaps","def_man_grade","def_zone_grade","man_percentage","man_rank","def_man_grade_rank","zone_percentage","zone_rank","def_zone_grade_rank","def","rdef","tack","prsh","cov","def_rank","def_sd","rdef_rank","rdef_sd","tack_rank","tack_sd","prsh_rank","prsh_sd","cov_rank","cov_sd","z_score","roof","dome"
"1","WR1","Devonta Smith",16.66,5.47,69.99,0.6,"2024_22_KC_PHI",48.5,"KC",16,1.5,1,"2025-02-09","Sunday","18:30",61100,"WR","PHI",14,10,8,81.8,43.8,7,16,0,5.3,4,44,24,0,75.2,81.4,82,NA,84.7,0.5,2,3,49,0,0,442,4,94.6,418,54.8,242,124.8,88,8,44.8,198,888,313,4.3,12.3,2.12,6.3,5.14,63.43,0.57,1.82,2.27,-0.45,15.5,-0.092,15,-0.32,0.078,0.13,4,0.081,1,1.79,0.164,7,0.79,1326,2551,58.4,66.8,0.342,11,22,0.658,22,5,68.4,67.3,62.5,67.8,67.1,2,1.34,4,1.04,2,1.48,8,0.69,2,1.29,0.66,"dome",1
"2","WR2","Aj Brown",15.47,5.43,64.8,0.52,"2024_22_KC_PHI",48.5,"KC",16,1.5,1,"2025-02-09","Sunday","18:30",48327,"WR","PHI",14,12.7,17,69.4,61.5,16,26,0,0,0,52,24,0,91,81.1,90.6,NA,91.2,0,0,2,67,0,0,409,2,94.1,385,18.1,74,121.5,98,7,81.9,335,1089,357,5.3,16,2.83,7,4.86,77.79,0.5,4.12,2.43,1.69,15.5,-0.092,15,-0.32,0.078,0.13,4,0.081,1,1.79,0.164,7,0.79,1326,2551,58.4,66.8,0.342,11,22,0.658,22,5,68.4,67.3,62.5,67.8,67.1,2,1.34,4,1.04,2,1.48,8,0.69,2,1.29,0.66,"dome",1
"3","WR3","Xavier Worthy",10.46,2.94,47.35,0.37,"2024_22_KC_PHI",48.5,"PHI",4,-1.5,0,"2025-02-09","Sunday","18:30",144718,"WR","KC",17,9.4,6,63.4,27.3,3,11,0,7.8,5,36,16,0,63.7,82.3,65.2,NA,65,0,0,2,54,0,0,548,3,94.2,516,35.8,196,96.1,93,6,62.8,344,638,416,7.1,10.8,1.24,5.5,3.47,37.53,0.35,1.38,1.35,0.0299999999999998,3,-0.193,2,-1.72,-0.025,-1.35,11,-0.065,13,0.04,0.16,9,0.75,1111,2601,72,69.6,0.299,16,1,0.701,17,1,73.2,66.7,52.9,73.5,73.6,1,2.82,8,0.85,28,-0.97,2,2.14,1,2.84,2.1,"dome",1
"4","WR4","Marquise Brown",9.56,3.52,45.58,0.26,"2024_22_KC_PHI",48.5,"PHI",4,-1.5,0,"2025-02-09","Sunday","18:30",61568,"WR","KC",2,8.1,0,60,100,1,1,0,0,0,5,16,0,77.3,70.6,76.5,NA,75,0,0,0,20,0,0,35,0,97.1,34,45.7,16,77.4,15,0,54.3,19,91,46,5.1,10.1,2.68,7.5,4.5,45.5,0,2.33,3.11,-0.78,3,-0.193,2,-1.72,-0.025,-1.35,11,-0.065,13,0.04,0.16,9,0.75,1111,2601,72,69.6,0.299,16,1,0.701,17,1,73.2,66.7,52.9,73.5,73.6,1,2.82,8,0.85,28,-0.97,2,2.14,1,2.84,2.1,"dome",1
"5","WR5","Deandre Hopkins",9.55,3.08,41.35,0.28,"2024_22_KC_PHI",48.5,"PHI",4,-1.5,0,"2025-02-09","Sunday","18:30",7808,"WR","KC",16,11.7,3,71.8,52.2,12,23,1,3.4,2,35,16,0,74.4,79.9,78.6,NA,77.9,0,0,2,35,0,0,393,1,90.8,357,26.2,103,105.2,78,5,73.8,290,610,110,2,10.9,1.71,4.9,3.5,38.12,0.31,1.72,1.65,0.0700000000000001,3,-0.193,2,-1.72,-0.025,-1.35,11,-0.065,13,0.04,0.16,9,0.75,1111,2601,72,69.6,0.299,16,1,0.701,17,1,73.2,66.7,52.9,73.5,73.6,1,2.82,8,0.85,28,-0.97,2,2.14,1,2.84,2.1,"dome",1
"6","WR6","Nikko Remigio",8.68,3.44,37.99,0.15,"2024_22_KC_PHI",48.5,"PHI",4,-1.5,0,"2025-02-09","Sunday","18:30",84150,"WR","KC",2,10.3,0,33.3,0,0,1,0,0,0,2,16,0,68.3,29.8,76.8,NA,75.2,8,2,0,25,0,0,25,0,96,24,88,22,63.2,6,0,4,1,48,16,8,24,2,3,1,24,0,4.17,1.44,2.73,3,-0.193,2,-1.72,-0.025,-1.35,11,-0.065,13,0.04,0.16,9,0.75,1111,2601,72,69.6,0.299,16,1,0.701,17,1,73.2,66.7,52.9,73.5,73.6,1,2.82,8,0.85,28,-0.97,2,2.14,1,2.84,2.1,"dome",1
"7","WR7","Justin Watson",7.22,2.39,32.82,0.16,"2024_22_KC_PHI",48.5,"PHI",4,-1.5,0,"2025-02-09","Sunday","18:30",66915,"WR","KC",17,15,0,71,83.3,5,6,1,4.3,1,13,16,0,72.1,74.9,52.7,36.3,51.7,1.7,7,0,49,0.2,1,421,1,94.8,399,34.2,144,121.6,31,2,64.1,270,289,64,2.9,13.1,0.72,1.8,1.29,17,0.12,0.66,0.69,-0.0299999999999999,3,-0.193,2,-1.72,-0.025,-1.35,11,-0.065,13,0.04,0.16,9,0.75,1111,2601,72,69.6,0.299,16,1,0.701,17,1,73.2,66.7,52.9,73.5,73.6,1,2.82,8,0.85,28,-0.97,2,2.14,1,2.84,2.1,"dome",1
"8","WR8","Juju Smith-Schuster",6.4,2.22,30.73,0.16,"2024_22_KC_PHI",48.5,"PHI",4,-1.5,0,"2025-02-09","Sunday","18:30",11817,"WR","KC",14,5.2,4,72,0,0,3,1,0,0,11,16,0,83.2,74.1,57.9,77.3,58.6,1.1,3,1,50,1.4,4,285,3,91.6,261,41.1,117,110.6,25,2,57.9,165,231,157,8.7,12.8,0.89,1.8,1.29,16.5,0.14,0.97,0.89,0.08,3,-0.193,2,-1.72,-0.025,-1.35,11,-0.065,13,0.04,0.16,9,0.75,1111,2601,72,69.6,0.299,16,1,0.701,17,1,73.2,66.7,52.9,73.5,73.6,1,2.82,8,0.85,28,-0.97,2,2.14,1,2.84,2.1,"dome",1
"9","WR9","Jahan Dotson",6.27,2.3,29.43,0.29,"2024_22_KC_PHI",48.5,"KC",16,1.5,1,"2025-02-09","Sunday","18:30",84375,"WR","PHI",18,10.5,4,62.5,20,1,5,1,0,0,13,24,0,84.1,76.8,55.4,NA,55.2,0.2,1,0,36,0,0,445,1,94.8,422,31.7,141,94.1,32,1,68.1,303,227,73,3.7,11.4,0.54,1.8,1.11,12.61,0.06,0.8,0.43,0.37,15.5,-0.092,15,-0.32,0.078,0.13,4,0.081,1,1.79,0.164,7,0.79,1326,2551,58.4,66.8,0.342,11,22,0.658,22,5,68.4,67.3,62.5,67.8,67.1,2,1.34,4,1.04,2,1.48,8,0.69,2,1.29,0.66,"dome",1
"10","WR10","Ainias Smith",6.17,2.51,30.35,0.29,"2024_22_KC_PHI",48.5,"KC",16,1.5,1,"2025-02-09","Sunday","18:30",99207,"WR","PHI",6,4.2,0,77.8,0,0,1,0,12.5,1,1,24,0,54.5,72.4,55.2,NA,54.8,0,0,0,15,0,0,43,0,97.7,42,79.1,34,122.7,9,1,20.9,9,41,23,3.3,5.9,0.98,1.5,1.17,6.83,0.17,0.63,1.32,-0.69,15.5,-0.092,15,-0.32,0.078,0.13,4,0.081,1,1.79,0.164,7,0.79,1326,2551,58.4,66.8,0.342,11,22,0.658,22,5,68.4,67.3,62.5,67.8,67.1,2,1.34,4,1.04,2,1.48,8,0.69,2,1.29,0.66,"dome",1
