"","position","full_name","fpt_proj","pass_attempt","passing_yards_proj","pass_touchdown_proj","game_id","total_line","opp","spread","home","gameday","weekday","gametime","player_id","team_name","player_game_count","accuracy_percent","aimed_passes","attempts","avg_depth_of_target","avg_time_to_throw","bats","big_time_throws","btt_rate","completion_percent","completions","declined_penalties","def_gen_pressures"
"1","qb1","Josh Allen",22.22,36.02,256.7,1.91,"2024_16_NE_BUF",46.5,"NE",-14,1,"2024-12-22","Sunday","13:00",46601,"BUF",14,73.7,391,427,8.5,2.82,9,33,7.2,64.4,275,0,154
"2","qb2","Baker Mayfield",21.92,36.86,264.85,2.15,"2024_16_TB_DAL",48,"DAL",-4,0,"2024-12-22","Sunday","20:20",46518,"TB",14,78.7,441,463,6.8,2.71,10,17,3.5,70.8,328,0,127
"3","qb3","Jared Goff",21.09,34.77,268.57,1.99,"2024_16_DET_CHI",48,"CHI",-6.5,0,"2024-12-22","Sunday","13:00",10635,"DET",14,78.5,405,440,7.3,2.69,5,12,2.6,71.4,314,0,158
"4","qb4","Kyler Murray",20.94,36,259.76,1.73,"2024_16_ARI_CAR",47,"CAR",-5,0,"2024-12-22","Sunday","13:00",38334,"ARI",14,75.9,399,426,7.5,2.87,9,20,4.4,69,294,0,145
"5","qb5","Tua Tagovailoa",20.7,37.54,259,1.81,"2024_16_SF_MIA",44.5,"SF",1,1,"2024-12-22","Sunday","16:25",60326,"MIA",10,80.1,352,365,6,2.31,6,10,2.6,73.7,269,1,95
"6","qb6","Jameis Winston",20.55,37.66,245.04,1.73,"2024_16_CLE_CIN",46.5,"CIN",8.5,0,"2024-12-22","Sunday","13:00",9434,"CLE",9,70.7,273,296,9.7,2.67,10,12,3.8,61.1,181,1,103
"7","qb7","Joe Burrow",20.01,38.67,271.5,1.93,"2024_16_CLE_CIN",46.5,"CLE",-8.5,1,"2024-12-22","Sunday","13:00",28022,"CIN",14,77.8,492,527,7.9,2.67,5,29,5.1,68.5,361,1,201
"8","qb8","Matthew Stafford",19.82,36.79,261.68,2.07,"2024_16_LA_NYJ",46.5,"NYJ",-3,0,"2024-12-22","Sunday","13:00",4924,"LA",14,72.7,440,466,8.3,2.62,7,21,4.2,66.3,309,0,159
"9","qb9","Jalen Hurts",19.82,35.02,251.24,1.65,"2024_16_PHI_WAS",45.5,"WAS",-3.5,0,"2024-12-22","Sunday","13:00",40291,"PHI",14,80.5,318,357,8.3,3.21,8,14,3.7,69.2,247,0,174
"10","qb10","Lamar Jackson",19.55,36.72,269.16,1.88,"2024_16_PIT_BAL",44.5,"PIT",-6.5,1,"2024-12-21","Saturday","16:30",46416,"BAL",14,77.8,369,404,9.4,3.2,11,22,5.1,68.1,275,0,167
