"","position.x","full_name","fpt_proj","receptions_proj","receiving_yards_proj","pass_td_proj","game_id","total_line","opp","spread","home","gameday","weekday","gametime","player_id","position.y","team_name","player_game_count","avg_depth_of_target","avoided_tackles","caught_percent","contested_catch_rate","contested_receptions","contested_targets","declined_penalties","drop_rate","drops","first_downs","franchise_id","fumbles","grades_hands_drop","grades_hands_fumble","grades_offense","grades_pass_block","grades_pass_route","inline_rate","inline_snaps","interceptions","longest","pass_block_rate","pass_blocks","pass_plays","penalties","route_rate"
"1","WR1","Amon-Ra St Brown",22.92,5.85,106.25,0.78,"2024_18_MIN_DET",56.5,"MIN",-2.5,1,"2025-01-05","Sunday","20:20",84470,"WR","DET",16,8.2,11,82.6,65.5,19,29,1,0.9,1,67,11,1,91.3,61.4,87.9,76.2,89.7,0,0,1,66,0.4,2,539,3,96.3
"2","WR2","Justin Jefferson",22.43,5.7,106.87,0.82,"2024_18_MIN_DET",56.5,"DET",2.5,0,"2025-01-05","Sunday","20:20",61398,"WR","MIN",16,11.9,11,70.9,60.7,17,28,1,3.8,4,61,18,1,86.3,58.9,90,NA,90.3,0,0,6,97,0,0,616,3,92
"3","WR3","Jordan Addison",17.79,4.43,78.32,0.56,"2024_18_MIN_DET",56.5,"DET",2.5,0,"2025-01-05","Sunday","20:20",123000,"WR","MIN",14,13.4,5,71.3,62.5,10,16,0,4.6,3,39,18,0,78.3,81.2,75.2,67.4,76.2,0.2,1,2,69,0.2,1,509,4,91.2
"4","WR4","Jameson Williams",17.49,4.33,70.53,0.59,"2024_18_MIN_DET",56.5,"MIN",-2.5,1,"2025-01-05","Sunday","20:20",101701,"WR","DET",14,12,2,64.2,46.2,6,13,0,3.7,2,39,11,0,73.4,81.4,75.4,NA,76.3,0,0,2,82,0,0,461,4,96.7
"5","WR5","Drake London",16.27,5.21,74.13,0.53,"2024_18_CAR_ATL",48,"CAR",-8,1,"2025-01-05","Sunday","13:00",86519,"WR","ATL",16,10.8,14,67.7,58.8,20,34,0,3.2,3,60,2,0,87.7,83,84.9,75.7,87,0.2,1,7,31,1.4,8,554,5,91.7
"6","WR6","Puka Nacua",16.12,5.62,68.88,0.51,"2024_18_SEA_LA",38.5,"SEA",6.5,1,"2025-01-05","Sunday","16:25",100632,"WR","LA",11,8,19,76.7,40,6,15,0,3.7,3,47,26,0,78.5,83.2,92.8,75.5,93,2.7,8,1,51,1,3,300,2,92.7
"7","WR7","George Pickens",15.5,4.93,65.94,0.59,"2024_18_CIN_PIT",48,"CIN",2,1,"2025-01-04","Saturday","20:00",99229,"WR","PIT",13,13.9,10,62.4,38.5,10,26,0,10.8,7,37,25,1,53.1,44.5,80.6,NA,82,0,0,2,44,0,0,426,5,93.7
"8","WR8","Terry Mclaurin",15.49,5.19,60.42,0.6,"2024_18_WAS_DAL",44,"DAL",-6,0,"2025-01-05","Sunday","13:00",48229,"WR","WAS",16,14.4,5,71.8,67.7,21,31,0,5.1,4,52,32,0,77.1,50.5,78.4,NA,81.7,0,0,1,86,0,0,552,1,93.7
"9","WR9","Zay Flowers",15.08,4.7,69.38,0.42,"2024_18_CLE_BAL",41,"CLE",-20,1,"2025-01-04","Saturday","16:30",97268,"WR","BLT",16,10.9,18,66.4,50,8,16,0,5.2,4,47,3,0,72,83.2,82.3,NA,84.2,0,0,0,53,0,0,494,2,93.9
"10","WR10","Allen Robinson",15.07,2.58,70.02,0.65,"2024_18_MIN_DET",56.5,"MIN",-2.5,1,"2025-01-05","Sunday","20:20",8696,"WR","DET",11,7.3,0,42.9,33.3,1,3,0,25,1,3,11,0,36.2,65.8,57.8,NA,61.5,0,0,0,21,0,0,44,1,95.5
"11","WR11","Josh Downs",14.97,4.64,58.57,0.61,"2024_18_JAX_IND",44,"JAX",-5,1,"2025-01-05","Sunday","13:00",122832,"WR","IND",13,6.9,7,68.9,46.2,6,13,0,4.6,3,35,14,0,78.3,85.7,84.3,64.5,84.6,0.3,1,3,69,0.3,1,347,2,94.2
"12","WR12","Jauan Jennings",14.87,5.18,64.59,0.39,"2024_18_SF_ARI",42.5,"ARI",4,0,"2025-01-05","Sunday","16:25",48027,"WR","SF",14,10.9,12,69.3,60,18,30,1,5.4,4,45,28,1,74.3,48.1,82.1,74.8,82.1,0,0,2,45,0.5,2,443,4,94.1
"13","WR13","Jaxon Smith-Njigba",14.57,4.78,60.12,0.53,"2024_18_SEA_LA",38.5,"LA",-6.5,0,"2025-01-05","Sunday","16:25",129758,"WR","SEA",16,9.5,12,74.4,46.2,12,26,1,2,2,56,29,1,90.6,59.1,82.6,NA,85.3,0,0,4,46,0,0,643,3,93
"14","WR14","Brian Thomas",14.42,4.54,49.62,0.62,"2024_18_JAX_IND",44,"IND",5,0,"2025-01-05","Sunday","13:00",146760,"WR","JAX",16,11.6,8,67.8,50,8,16,0,5.9,5,50,15,0,69.9,83.2,81.8,NA,83.3,0,0,4,85,0,0,516,4,94.4
"15","WR15","Tee Higgins",14.14,5.47,62.36,0.41,"2024_18_CIN_PIT",48,"PIT",-2,0,"2025-01-04","Saturday","20:00",61211,"WR","CIN",11,11.2,16,69,44.8,13,29,0,2.8,2,45,7,1,86,46.8,88.2,NA,88.4,0.2,1,1,42,0,0,438,3,93.4
