"","position","full_name","fpt_proj","pass_attempt","passing_yards_proj","pass_touchdown_proj","rush_attempt_proj","rushing_yards_proj","game_id","total_line","opp","def_pass_epa_rank","def_rush_epa_rank","spread","home","gameday","weekday","gametime","player_id","team_name","pyards_game","player_game_count","accuracy_percent","aimed_passes","attempts","avg_depth_of_target","avg_time_to_throw","bats","big_time_throws"
"1","qb1","Jared Goff",24.85,40.76,295.02,2.43,3.91,17.48,"2024_20_WAS_DET",55.5,"WAS",24,24,-8.5,1,"2025-01-18","Saturday","20:00",10635,"DET",272,17,79.3,498,539,7,2.68,7,17
"2","qb2","Lamar Jackson",22.93,32.4,250.68,2.06,9.49,40.56,"2024_20_BAL_BUF",51.5,"BUF",20,4,-1.5,0,"2025-01-19","Sunday","18:30",46416,"BAL",242,18,76.6,453,495,9.3,3.18,11,32
"3","qb3","Jayden Daniels",22.84,40.89,273.16,1.92,7.86,25.89,"2024_20_WAS_DET",55.5,"DET",7,12,8.5,0,"2025-01-18","Saturday","20:00",97993,"WAS",213,18,78.8,477,515,7.8,2.97,11,21
"4","qb4","Josh Allen",22.49,36.94,263.86,1.89,5.99,28.75,"2024_20_BAL_BUF",51.5,"BAL",14,3,1.5,1,"2025-01-19","Sunday","18:30",46601,"BUF",235,17,73.7,467,509,8.8,2.89,9,39
"5","qb5","Jalen Hurts",22.26,35.21,249.96,1.54,8.16,32.65,"2024_20_LA_PHI",43.5,"LA",16,19,-7,1,"2025-01-19","Sunday","15:00",40291,"PHI",190,16,79.9,338,382,8.3,3.22,9,14
"6","qb6","Patrick Mahomes",19.27,37.03,260.12,1.63,3.56,17.36,"2024_20_HOU_KC",41.5,"HOU",3,5,-9.5,1,"2025-01-18","Saturday","16:30",11765,"KC",246,16,77.1,532,581,6.9,2.76,10,18
"7","qb7","Cj Stroud",18.15,37.57,248.38,1.61,4.14,19.34,"2024_20_HOU_KC",41.5,"KC",15,11,9.5,0,"2025-01-18","Saturday","16:30",129759,"HOU",223,18,72.1,527,565,8.7,3,6,24
"8","qb8","Jimmy Garoppolo",15.07,38.09,259.71,1.33,2.9,13.35,"2024_20_LA_PHI",43.5,"PHI",2,2,7,0,"2025-01-19","Sunday","15:00",8697,"LA",334,1,72.5,40,41,4.8,2.63,0,1
"9","qb9","Matthew Stafford",14.41,36.78,242.24,1.3,2.21,11.96,"2024_20_LA_PHI",43.5,"PHI",2,2,7,0,"2025-01-19","Sunday","15:00",4924,"LA",234,17,73.2,508,544,8,2.62,10,25
