"","position","full_name","game_id","z_score","fpt_proj","rush_attempts_proj","rushing_yards_proj","anytime_td_proj","receptions_proj","receiving_yards_proj","total_line","opp","def_rush_epa_rank","spread","home","attempts_game","yards_per_game","ypa","td_game","rush_share","targets_game","yprr","grades_run","mtf_touch","def_rush_epa","off_rush_epa_sd","def_rush_epa_sd","rdef_sd","yco_attempt_sd"
"1","RB1","Derrick Henry","2024_19_PIT_BAL",0.675,17.2,18.6,94.5,0.75,2,19,44.5,"PIT",17,-9.5,1,19.1,112.7,5.9,0.9,0.59,1.2,1.08,93.1,0.25,-0.085,1.58,-0.17,NA,0.74
"2","RB2","Saquon Barkley","2024_19_GB_PHI",1.244,15,18.6,86.3,0.63,1.9,16.5,45.5,"GB",8,-4.5,1,21.6,125.3,5.8,0.8,0.56,2.4,0.93,85.6,0.2,-0.141,1.62,-0.92,NA,0.29
"3","RB3","Josh Jacobs","2024_19_GB_PHI",0.854,14.4,17.1,76.7,0.66,2.1,17.6,45.5,"PHI",2,4.5,0,17.7,77.9,4.4,0.9,0.57,2.4,1.36,90.6,0.26,-0.193,0.49,-1.62,NA,0.68
"4","RB4","James Cook","2024_19_DEN_BUF",0.706,14.2,13.8,64,0.56,2.4,18.3,47.5,"DEN",3,-8.5,1,12.9,63.2,4.9,1,0.42,2.4,1.15,85.2,0.17,-0.175,1.26,-1.38,NA,0.42
"5","RB5","Bucky Irving","2024_19_WAS_TB",0.656,14.1,13.6,67.5,0.42,3.6,25,50.5,"WAS",27,-3,1,12.2,65.9,5.4,0.5,0.43,2.9,1.63,89,0.3,-0.019,1.05,0.72,NA,1.47
"6","RB6","Kyren Williams","2024_19_MIN_LA",0.506,13.8,16.7,71.2,0.64,2.1,15.6,47.5,"MIN",1,2.5,1,19.8,81.2,4.1,0.9,0.7,2.4,0.52,74,0.16,-0.2,0.02,-1.72,NA,-0.32
"7","RB7","Joe Mixon","2024_19_LAC_HOU",0.277,12.5,15.7,65.1,0.42,2.3,16.9,41.5,"LAC",9,3,1,17.5,71.8,4.1,0.8,0.62,3.4,1.3,74.8,0.17,-0.124,-0.64,-0.69,NA,-0.05
"8","RB8","Aaron Jones","2024_19_MIN_LA",NA,11.6,14.1,59.5,0.31,3,22,47.5,"LA",20,-2.5,0,15,67.5,4.5,0.3,0.51,3.4,1.29,75.8,0.17,-0.052,-0.57,0.28,NA,0.06
"9","RB9","Najee Harris","2024_19_PIT_BAL",0.202,10.6,13.3,51.7,0.37,2.1,15.6,44.5,"BAL",4,9.5,0,15.5,62,4,0.4,0.49,2.7,1.29,78.3,0.26,-0.174,-0.64,-1.37,NA,-0.08
"10","RB10","Rachaad White","2024_19_WAS_TB",0.407,10.4,9.4,42.2,0.26,3.3,24,50.5,"WAS",27,-3,1,9,38.7,4.3,0.2,0.3,3.4,1.32,73.9,0.19,-0.019,1.05,0.72,NA,0.24
"11","RB11","Brian Robinson","2024_19_WAS_TB",0.804,9.6,12.2,48.9,0.38,1.6,11.9,50.5,"TB",7,3,0,13.4,57.6,4.3,0.6,0.36,1.7,0.85,69.6,0.17,-0.145,1.28,-0.98,NA,0.16
"12","RB12","Javonte Williams","2024_19_DEN_BUF",0.331,8.5,7.8,31.8,0.18,3.2,19.1,47.5,"BUF",5,8.5,0,8.2,30.3,3.7,0.2,0.3,3.9,1.22,60.4,0.15,-0.16,-0.03,-1.18,NA,-0.79
"13","RB13","Jaylen Warren","2024_19_PIT_BAL",-0.091,7.9,8.5,34.1,0.21,2.9,16.5,44.5,"BAL",4,9.5,0,8,34.4,4.3,0.1,0.23,2.9,1.44,67.5,0.25,-0.174,-0.64,-1.37,NA,0.35
"14","RB14","Justice Hill","2024_19_PIT_BAL",0.095,7.3,4.7,19.6,0.2,2.7,21.8,44.5,"PIT",17,-9.5,1,3.1,15.2,4.9,0.1,0.08,3.1,1.64,78.1,0.27,-0.085,1.58,-0.17,NA,1.69
"15","RB15","Gus Edwards","2024_19_LAC_HOU",0.169,7.1,9.7,38.9,0.25,1.3,6.8,41.5,"HOU",6,-3,0,9.2,33.1,3.6,0.4,0.22,0.4,0.09,66.2,0.12,-0.15,-0.13,-1.04,NA,-0.41
"16","RB16","Sean Tucker","2024_19_WAS_TB",0.08,7.1,6,26.5,0.26,1.6,11.1,50.5,"WAS",27,-3,1,4.2,26,6.2,0.2,0.1,0.9,2.6,76.3,0.15,-0.019,1.05,0.72,NA,0.42
"17","RB17","Ray Davis","2024_19_DEN_BUF",0.321,7,7,26,0.26,1.3,10,47.5,"DEN",3,-8.5,1,6.6,25.7,3.9,0.2,0.23,1.1,1.87,75.9,0.24,-0.175,1.26,-1.38,NA,0.02
"18","RB18","Cam Akers","2024_19_MIN_LA",NA,6.5,7.4,32,0.18,1.1,8,47.5,"LA",20,-2.5,0,6.9,29.7,4.3,0.1,0.21,1.1,0.56,74.4,0.19,-0.052,-0.57,0.28,NA,-0.09
"19","RB19","Emanuel Wilson","2024_19_GB_PHI",0.161,6.4,6.8,24.7,0.23,1.6,10.2,45.5,"PHI",2,4.5,0,6.1,29.9,4.9,0.2,0.2,0.7,0.48,88,0.27,-0.193,0.49,-1.62,NA,-0.04
"20","RB20","Jaleel Mclaughlin","2024_19_DEN_BUF",0.235,6,7.1,25.3,0.17,1.5,9.2,47.5,"BUF",5,8.5,0,7.1,31.2,4.4,0.1,0.25,1.6,0.54,70.8,0.24,-0.16,-0.03,-1.18,NA,-0.52
"21","RB21","Chris Rodriguez","2024_19_WAS_TB",0.46,5.9,5.3,20.7,0.2,1.7,10.7,50.5,"TB",7,3,0,5,24.5,4.9,0.3,0.07,0.1,0.6,90.1,0.39,-0.145,1.28,-0.98,NA,1.31
"22","RB22","Ty Johnson","2024_19_DEN_BUF",0.147,5.8,4.8,21.6,0.22,1.4,9.5,47.5,"DEN",3,-8.5,1,2.4,12.5,5.2,0.1,0.08,1.5,1.49,77.5,0.1,-0.175,1.26,-1.38,NA,0.2
