"","season","club_code","week","game_type","depth_team","gsis_id","position.x","full_name","fpt_proj","receptions_proj","receiving_yards_proj","pass_td_proj","game_id","total_line","opp","spread","home","gameday","weekday","gametime","player_id","position.y","team_name","player_game_count","avg_depth_of_target","avoided_tackles","caught_percent","contested_catch_rate","contested_receptions","contested_targets","declined_penalties","drop_rate","drops","first_downs","franchise_id","fumbles","grades_hands_drop","grades_hands_fumble","grades_offense","grades_pass_block","grades_pass_route","inline_rate","inline_snaps","interceptions","longest","pass_block_rate","pass_blocks","pass_plays","penalties","route_rate","routes","slot_rate","slot_snaps","targeted_qb_rating","targets","touchdowns","wide_rate","wide_snaps","yards","yards_after_catch","yards_after_catch_per_reception","yards_per_reception","yprr","targets_game","rec_game","rec_yards_game","rec_td_game","man_yprr","zone_yprr","man_adv","avg_rank.x","def_rush_epa","def_rush_epa_rank","def_rush_epa_sd","def_pass_epa","def_pass_epa_rank","def_pass_epa_sd","avg_rank.y","off_rush_epa","off_rush_epa_rank","off_rush_epa_sd","off_pass_epa","off_pass_epa_rank","off_pass_epa_sd","man_snaps","zone_snaps","def_man_grade","def_zone_grade","man_percentage","man_rank","def_man_grade_rank","zone_percentage","zone_rank","def_zone_grade_rank","def","rdef","tack","prsh","cov","def_rank","def_sd","rdef_rank","rdef_sd","tack_rank","tack_sd","prsh_rank","prsh_sd","cov_rank","cov_sd","z_score","roof","dome","position"
"1",2024,"SF",16,"REG","1","00-0036259","WR","Jauan Jennings",17.4,5.3,62,0.8,"2024_16_SF_MIA",44.5,"MIA",-1,0,"2024-12-22","Sunday","16:25",48027,"WR","SF",12,10.8,11,69.4,56,14,25,0,6.3,4,40,28,0,69.2,80.2,84.4,62.4,84.5,0,0,1,45,0.3,1,352,3,94.3,332,44,155,118,85,6,56,197,805,208,3.5,13.6,2.42,7.1,4.92,67.08,0.5,2.25,2.08,0.17,13,-0.119,10,-0.62,0.066,16,0.05,12,-0.059,13,0.2,0.124,11,0.48,864,2202,60.6,59.9,0.282,19,17,0.718,14,20,64.9,68.2,52.8,63.6,60.4,14,0.31,3,1.35,26,-1.04,22,-0.36,19,-0.29,0.43,"outdoors",0,"wr1"
"2",2024,"ATL",16,"REG","1","00-0037238","WR","Drake London",16.2,4.9,72,0.5,"2024_16_NYG_ATL",42,"NYG",-9,1,"2024-12-22","Sunday","13:00",86519,"WR","ATL",14,10.7,11,69.6,62.5,20,32,0,2.5,2,52,2,0,89.5,82.1,83,72.7,85.4,0.2,1,7,31,1,5,486,4,92.2,448,40.1,195,89.1,112,7,59.7,290,919,239,3.1,11.8,2.05,8,5.57,65.64,0.5,2.81,1.86,0.95,26.5,-0.04,24,0.53,0.163,29,1.22,14,-0.054,11,0.26,0.065,17,0.02,966,1894,55.6,60.3,0.338,11,28,0.662,22,17,63.5,63.2,54.3,67.1,58.6,19,-0.17,21,-0.23,21,-0.65,10,0.53,26,-0.74,-1.2,"closed",1,"wr2"
"3",2024,"LA",16,"REG","1","00-0039075","WR","Puka Nacua",15.5,5,68.6,0.4,"2024_16_LA_NYJ",46.5,"NYJ",-3,0,"2024-12-22","Sunday","13:00",100632,"WR","LA",9,9.1,13,74.4,35.7,5,14,0,4.7,3,39,26,0,70.9,81.9,92,75.5,92.4,2.4,6,1,51,1.2,3,247,2,92.3,228,30.4,75,112.1,82,3,66.8,165,805,396,6.5,13.2,3.53,9.1,6.78,89.44,0.33,4.1,3.5,0.6,24.5,-0.038,26,0.56,0.11,23,0.58,14,-0.079,15,-0.03,0.119,13,0.44,1114,1964,61.7,61.4,0.362,7,11,0.638,26,14,62.9,61.8,52.1,64,62.7,22,-0.37,24,-0.68,28,-1.22,19,-0.25,12,0.29,-0.14,"outdoors",0,"wr3"
"4",2024,"WAS",16,"REG","1","00-0035659","WR","Terry Mclaurin",15.4,5.1,65.9,0.4,"2024_16_PHI_WAS",45.5,"PHI",3.5,1,"2024-12-22","Sunday","13:00",48229,"WR","WAS",14,14.7,3,73.9,72.4,21,29,0,4.2,3,48,32,0,80.3,47.7,81.6,NA,84.7,0,0,1,86,0,0,465,0,93.5,435,16.3,76,142.6,92,11,83.7,389,969,263,3.9,14.3,2.23,6.6,4.86,69.21,0.79,1.74,2.64,-0.9,5,-0.188,2,-1.63,-0.008,8,-0.84,3.5,0.054,3,1.53,0.224,4,1.26,993,1961,70.2,69.2,0.336,12,1,0.664,21,2,71.4,64.8,57.2,73.4,71.2,1,2.51,14,0.27,16,0.09,2,2.13,1,2.44,2.1,"outdoors",0,"wr4"
"5",2024,"CIN",16,"REG","1","00-0036410","WR","Tee Higgins",15.3,5,69.5,0.5,"2024_16_CLE_CIN",46.5,"CLE",-8.5,1,"2024-12-22","Sunday","13:00",61211,"WR","CIN",9,11.7,14,64.9,42.3,11,26,0,3.8,2,35,7,0,78.7,79.2,85.4,NA,85.3,0.3,1,1,42,0,0,358,2,93.6,335,20.9,75,113,77,6,78.8,282,669,188,3.8,13.4,2,8.6,5.56,74.33,0.67,2.1,1.98,0.12,18,-0.082,19,-0.08,0.081,17,0.23,11,-0.082,16,-0.07,0.196,6,1.04,1248,1773,59.3,55.5,0.413,3,21,0.587,30,32,65.7,67.2,52.4,67.3,58.3,9,0.58,6,1.03,27,-1.14,8,0.58,29,-0.82,0.81,"outdoors",0,"wr5"
"6",2024,"TB",16,"REG","1","00-0031408","WR","Mike Evans",15.1,5,64.5,0.6,"2024_16_TB_DAL",48,"DAL",-4,0,"2024-12-22","Sunday","20:20",8642,"WR","TB",11,12.6,4,68.4,64.3,9,14,0,7.1,4,39,30,0,65.6,79.5,86.4,NA,84.6,0,0,4,57,0,0,328,0,93.6,307,32,105,117.7,76,9,68,223,749,187,3.6,14.4,2.44,6.9,4.73,68.09,0.82,2.46,2.57,-0.11,22.5,0.073,32,2.18,0.039,13,-0.28,6.5,-0.005,6,0.84,0.183,7,0.94,922,2234,60.3,58.7,0.292,17,18,0.708,16,25,62.3,57.6,53.9,69.9,59.3,24,-0.57,32,-2,23,-0.76,3,1.24,21,-0.56,1.22,"closed",1,"wr6"
"7",2024,"IND",16,"REG","1","00-0038997","WR","Josh Downs",14.9,4.6,62.3,0.6,"2024_16_TEN_IND",42.5,"TEN",-3.5,1,"2024-12-22","Sunday","13:00",122832,"WR","IND",11,7.4,6,68.3,45.5,5,11,0,3.4,2,32,14,0,82.4,85.5,85.7,64.5,85.9,0,0,3,69,0.3,1,305,2,94.8,289,84.6,258,91.8,82,4,14.4,44,626,271,4.8,11.2,2.17,7.5,5.09,56.91,0.36,2.26,2.13,0.13,19,-0.088,17,-0.17,0.106,21,0.53,25,-0.131,24,-0.64,-0.058,26,-0.94,712,2128,58.9,59.9,0.251,24,23,0.749,10,20,63.3,64.7,56.2,62.5,60.8,20,-0.23,15,0.24,18,-0.17,26,-0.64,18,-0.19,-1.47,"closed",1,"wr7"
"8",2024,"IND",16,"REG","1","00-0038997","WR","Josh Downs",14.9,4.6,62.3,0.6,"2024_16_TEN_IND",42.5,"TEN",-3.5,1,"2024-12-22","Sunday","13:00",122832,"WR","IND",11,7.4,6,68.3,45.5,5,11,0,3.4,2,32,14,0,82.4,85.5,85.7,64.5,85.9,0,0,3,69,0.3,1,305,2,94.8,289,84.6,258,91.8,82,4,14.4,44,626,271,4.8,11.2,2.17,7.5,5.09,56.91,0.36,2.26,2.13,0.13,19,-0.088,17,-0.17,0.106,21,0.53,25,-0.131,24,-0.64,-0.058,26,-0.94,712,2128,58.9,59.9,0.251,24,23,0.749,10,20,63.3,64.7,56.2,62.5,60.8,20,-0.23,15,0.24,18,-0.17,26,-0.64,18,-0.19,-1.47,"closed",1,"wr8"
"9",2024,"MIN",16,"REG","1","00-0036322","WR","Justin Jefferson",14.9,5.5,68.3,0.4,"2024_16_MIN_SEA",42.5,"SEA",-3,0,"2024-12-22","Sunday","16:05",61398,"WR","MIN",14,12.4,11,68.9,54.2,13,24,1,4.7,4,53,18,1,80.1,53.9,88.7,NA,89.4,0,0,6,97,0,0,528,2,91.5,483,27.7,146,104.4,119,8,70.8,374,1243,363,4.4,15.2,2.57,8.5,5.86,88.79,0.57,3.43,2.68,0.75,13,-0.097,14,-0.3,0.036,12,-0.31,15.5,-0.119,23,-0.5,0.16,8,0.76,946,1963,61.1,62.6,0.325,14,15,0.675,19,11,63.6,65.3,59.1,63.9,61.5,18,-0.13,10,0.43,12,0.57,21,-0.28,15,-0.01,1.07,"outdoors",0,"wr9"
"10",2024,"BAL",16,"REG","2","00-0039064","WR","Zay Flowers",14.7,4.7,65,0.4,"2024_16_PIT_BAL",44.5,"PIT",-6.5,1,"2024-12-21","Saturday","16:30",97268,"WR","BLT",14,10.3,16,68,53.3,8,15,0,4.3,3,41,3,0,74.3,82.7,80,NA,81.8,0,0,0,53,0,0,455,2,93.6,426,37.6,171,111.9,97,4,62.2,283,916,419,6.3,13.9,2.15,6.9,4.71,65.43,0.29,2.09,1.98,0.11,9,-0.105,13,-0.42,-0.025,5,-1.05,2.5,0.038,4,1.35,0.327,1,2.06,1143,2274,56,60,0.335,13,27,0.665,20,19,67.6,67.8,61,76,58.9,3,1.22,5,1.22,6,1.06,1,2.79,23,-0.66,3.11,"outdoors",0,"wr10"
