,,Win,,Cover,,Total Points,,Implied,Implied Score,
Team,Date,Moneyline,$20 Bet,Spread,$20 Bet,Over-Under,$20 Bet,Win %,Team,Opp
Kent State,2022-02-11 19:00:00,145,29.00,3.5,18.18,129.5,18.18,39.6,63.0,66.5
Akron,2022-02-11 19:00:00,-165,12.12,-3.5,18.18,129.5,18.18,60.4,66.5,63.0
Monmouth,2022-02-11 19:00:00,-200,10.00,-5.0,18.18,140.5,18.18,64.3,72.8,67.8
Manhattan,2022-02-11 19:00:00,170,34.00,5.0,18.18,140.5,18.18,35.7,67.8,72.8
Rider,2022-02-11 19:00:00,270,54.00,7.5,19.05,130.5,19.05,25.8,61.5,69.0
St. Peter's,2022-02-11 19:00:00,-350,5.71,-7.5,17.39,130.5,17.39,74.2,69.0,61.5
Connecticut,2022-02-11 19:00:00,-105,19.05,-1.0,20.00,138.0,16.67,48.9,69.5,68.5
Xavier,2022-02-11 19:00:00,-115,17.39,1.0,16.67,138.0,20.00,51.1,68.5,69.5
Detroit,2022-02-11 19:00:00,105,21.00,1.5,19.05,143.0,18.18,46.8,70.8,72.3
Youngstown State,2022-02-11 19:00:00,-125,16.00,-1.5,17.39,143.0,18.18,53.2,72.3,70.8
Oakland,2022-02-11 19:00:00,-300,6.67,-6.5,16.67,143.5,17.39,71.5,75.0,68.5
Robert Morris,2022-02-11 19:00:00,235,47.00,6.5,20.00,143.5,19.05,28.5,68.5,75.0
Wright State,2022-02-11 19:00:00,-365,5.48,-8.0,18.18,146.5,18.18,74.9,77.3,69.3
Wisconsin-Milwaukee,2022-02-11 19:00:00,280,56.00,8.0,18.18,146.5,18.18,25.1,69.3,77.3
Northern Kentucky,2022-02-11 20:00:00,-310,6.45,-7.5,18.18,130.0,18.18,72.3,68.8,61.3
Wisconsin-Green Bay,2022-02-11 20:00:00,245,49.00,7.5,18.18,130.0,18.18,27.7,61.3,68.8
Nevada,2022-02-11 21:00:00,500,100.00,11.0,20.00,145.0,18.18,16.0,67.0,78.0
Utah State,2022-02-11 21:00:00,-720,2.78,-11.0,16.67,145.0,18.18,84.0,78.0,67.0
Iona,2022-02-11 21:00:00,-425,4.71,-9.0,19.05,138.0,17.39,77.3,73.5,64.5
Siena,2022-02-11 21:00:00,320,64.00,9.0,17.39,138.0,19.05,22.7,64.5,73.5
St. Bonaventure,2022-02-11 21:00:00,185,37.00,5.0,18.18,137.5,18.18,33.6,66.3,71.3
Saint Louis,2022-02-11 21:00:00,-225,8.89,-5.0,18.18,137.5,18.18,66.4,71.3,66.3
Fresno State,2022-02-11 21:30:00,200,40.00,6.0,18.18,129.5,16.67,31.8,61.8,67.8
Colorado State,2022-02-11 21:30:00,-250,8.00,-6.0,18.18,129.5,20.00,68.2,67.8,61.8
UNLV,2022-02-11 23:00:00,300,60.00,9.5,16.67,130.5,18.18,23.8,60.5,70.0
Boise State,2022-02-11 23:00:00,-400,5.00,-9.5,20.00,130.5,18.18,76.2,70.0,60.5
