player_name,sample_size,baseline,major_adj,age,age_adj,true_sg_adj,timing_adj,sg_category_adj,course_history_adj,driving_dist_adj,driving_acc_adj,fit_other_adj,course_fit_total_adj,final_prediction,std_dev,event_name,course_name
"Putnam, Andrew",150,0.856,0.059,34,-0.006,-0.062,-0.016,-0.132,-0.040,-0.036,-0.021,0.012,-0.045,0.614,2.855,"U.S. Open","The Los Angeles Country Club (North Course)"
"Schenk, Adam",150,0.703,-0.029,31,0.005,0.062,-0.073,-0.065,-0.040,0.015,0.003,0.005,0.023,0.585,2.950,"U.S. Open","The Los Angeles Country Club (North Course)"
"Mitchell, Keith",150,0.346,-0.017,31,0.004,0.023,0.043,0.189,-0.040,0.036,-0.004,0.001,0.032,0.581,2.889,"U.S. Open","The Los Angeles Country Club (North Course)"
"Harman, Brian",150,0.603,0.125,36,-0.013,-0.115,-0.017,0.053,-0.040,-0.012,-0.020,0.004,-0.028,0.569,2.905,"U.S. Open","The Los Angeles Country Club (North Course)"
"Grillo, Emiliano",150,0.717,0.011,30,0.007,-0.009,-0.040,-0.091,-0.040,0.002,-0.012,0.001,-0.009,0.545,2.925,"U.S. Open","The Los Angeles Country Club (North Course)"
"Kitayama, Kurt",150,0.467,0.035,30,0.008,0.046,0.002,-0.041,-0.040,0.029,0.016,0.004,0.049,0.527,2.972,"U.S. Open","The Los Angeles Country Club (North Course)"
"Straka, Sepp",150,0.447,0.030,30,0.009,0.028,-0.008,0.035,-0.040,0.008,-0.012,-0.000,-0.004,0.497,2.953,"U.S. Open","The Los Angeles Country Club (North Course)"
"Stevens, Samuel",150,0.402,-0.076,26,0.021,0.043,-0.014,0.126,-0.040,0.031,0.002,-0.002,0.031,0.493,2.930,"U.S. Open","The Los Angeles Country Club (North Course)"
"English, Harris",150,0.541,0.103,33,-0.004,-0.037,-0.037,-0.037,-0.040,-0.007,-0.011,0.011,-0.008,0.481,2.943,"U.S. Open","The Los Angeles Country Club (North Course)"
"Poston, J.T.",150,0.578,-0.022,30,0.010,-0.043,-0.007,-0.004,-0.040,-0.006,-0.006,0.006,-0.006,0.465,2.913,"U.S. Open","The Los Angeles Country Club (North Course)"
