player_name,sample_size,baseline,major_adj,age,age_adj,true_sg_adj,timing_adj,sg_category_adj,course_history_adj,driving_dist_adj,driving_acc_adj,fit_other_adj,course_fit_total_adj,final_prediction,std_dev,event_name,course_name
"Pereira, Corey",150,-1.681,-0.080,28,0.016,0.000,0.007,-0.046,-0.040,-0.014,0.006,-0.010,-0.018,-1.842,2.930,"U.S. Open","The Los Angeles Country Club (North Course)"
"Valdes, Brendan",150,-1.819,-0.080,20,0.044,0.000,0.121,-0.049,-0.040,-0.016,0.006,-0.010,-0.019,-1.842,2.930,"U.S. Open","The Los Angeles Country Club (North Course)"
"Horsey, David",150,-1.633,-0.035,38,-0.020,-0.091,-0.061,-0.087,-0.040,-0.049,-0.021,-0.008,-0.078,-2.045,2.959,"U.S. Open","The Los Angeles Country Club (North Course)"
"Truslow, Austen",150,-1.559,-0.080,27,0.019,0.034,-0.491,-0.011,-0.040,0.001,-0.005,-0.019,-0.022,-2.151,2.930,"U.S. Open","The Los Angeles Country Club (North Course)"
"Nyfjall, David",150,-2.114,-0.080,24,0.030,0.000,0.088,-0.055,-0.040,-0.019,0.008,-0.012,-0.023,-2.194,2.930,"U.S. Open","The Los Angeles Country Club (North Course)"
"Gumberg, Jordan",150,-2.533,-0.080,28,0.016,-0.007,0.347,-0.010,-0.040,0.003,0.004,-0.020,-0.013,-2.320,2.930,"U.S. Open","The Los Angeles Country Club (North Course)"
"Svoboda, Andrew",150,-2.123,-0.041,43,-0.040,0.014,-0.039,-0.052,-0.040,-0.013,0.005,-0.017,-0.026,-2.347,2.903,"U.S. Open","The Los Angeles Country Club (North Course)"
"Morales, Omar",90,-2.862,-0.080,20,0.065,-0.016,0.450,0.001,-0.040,0.019,0.013,-0.019,0.014,-2.469,2.939,"U.S. Open","The Los Angeles Country Club (North Course)"
"Grey, J.J.",150,-2.428,-0.080,30,0.009,0.000,0.023,-0.059,-0.040,-0.021,0.009,-0.014,-0.027,-2.601,2.930,"U.S. Open","The Los Angeles Country Club (North Course)"
"Schaake, Alex",150,-2.520,-0.080,25,0.026,0.005,-0.030,-0.000,-0.040,0.009,0.013,-0.019,0.002,-2.637,2.930,"U.S. Open","The Los Angeles Country Club (North Course)"
"Amat, Bastien",150,-2.772,-0.080,21,0.041,0.000,0.038,-0.065,-0.040,-0.025,0.010,-0.016,-0.030,-2.907,2.930,"U.S. Open","The Los Angeles Country Club (North Course)"
"Mcclean, Matthew",150,-2.794,-0.088,30,0.010,0.016,-0.020,-0.025,-0.040,0.001,0.013,-0.020,-0.005,-2.946,2.930,"U.S. Open","The Los Angeles Country Club (North Course)"
"Browne Jr, Olin",150,-2.748,-0.080,34,-0.008,0.000,0.028,-0.070,-0.040,-0.026,0.011,-0.016,-0.031,-2.948,2.930,"U.S. Open","The Los Angeles Country Club (North Course)"
"Simmons, Isaac",139,-2.984,-0.080,23,0.030,0.000,-0.190,-0.074,-0.040,-0.029,0.012,-0.018,-0.035,-3.372,2.930,"U.S. Open","The Los Angeles Country Club (North Course)"
"Mueller, Kyle",150,-2.933,-0.085,27,0.018,0.000,-0.402,-0.065,-0.040,-0.027,0.011,-0.019,-0.035,-3.541,2.930,"U.S. Open","The Los Angeles Country Club (North Course)"
"Cavaliere, Christian",150,-3.377,-0.080,25,0.027,0.000,-0.106,-0.077,-0.040,-0.031,0.013,-0.020,-0.038,-3.691,2.930,"U.S. Open","The Los Angeles Country Club (North Course)"
"Yang, Alexander",150,-3.811,-0.080,20,0.043,0.000,-0.349,-0.079,-0.040,-0.034,0.014,-0.024,-0.044,-4.360,2.930,"U.S. Open","The Los Angeles Country Club (North Course)"
