player_name,sample_size,DG_odds,bet365_odds,bet365_ev,whill_odds,whill_ev,fanduel_odds,fanduel_ev,draftkings_odds,draftkings_ev,pinnacle_odds,pinnacle_ev,betcris_odds,betcris_ev,betfair_odds,betfair_ev,betonline_odds,betonline_ev,betmgm_odds,betmgm_ev,betway_odds,betway_ev,bovada_odds,bovada_ev,circa_odds,circa_ev,pointsbet_odds,pointsbet_ev,skybet_odds,skybet_ev,unibet_odds,unibet_ev
"Rahm, Jon",150,+1213,+1200,-0.010,+1200,-0.010,+1100,-0.086,+1200,-0.010,+1228,0.012,+1167,-0.035,+1100,-0.086,+1200,-0.010,+1200,-0.010,+1200,-0.010,+1200,-0.010,+1250,0.028,+1100,-0.086,+1000,-0.162,+900,-0.238
"Scheffler, Scottie",150,+1376,+1200,-0.119,+1200,-0.119,+1100,-0.187,+1200,-0.119,+1148,-0.154,+1352,-0.016,+1100,-0.187,+1200,-0.119,+1400,0.016,+1200,-0.119,+1200,-0.119,+1250,-0.085,+1100,-0.187,+1000,-0.255,+1100,-0.187
"Thomas, Justin",150,+1685,+1400,-0.160,+1400,-0.160,+1200,-0.272,+1400,-0.160,+1560,-0.070,+1553,-0.074,+1200,-0.272,+1300,-0.216,+1400,-0.160,+1200,-0.272,+1200,-0.272,+1350,-0.188,+1200,-0.272,+1100,-0.328,+1100,-0.328
"Fitzpatrick, Matthew",150,+1830,+1800,-0.015,+2000,0.088,+1800,-0.015,+1800,-0.015,+1637,-0.100,+1518,-0.161,+1800,-0.015,+1800,-0.015,+2000,0.088,+1800,-0.015,+2000,0.088,+1900,0.036,+1800,-0.015,,0.00,+1800,-0.015
"Cantlay, Patrick",150,+2378,+2200,-0.072,+2500,0.049,+2400,0.009,+2200,-0.072,+2404,0.010,+1859,-0.210,+2200,-0.072,+2200,-0.072,+2500,0.049,+2200,-0.072,+2500,0.049,+2600,0.089,+2500,0.049,+2000,-0.153,+2500,0.049
"Schauffele, Xander",150,+3010,+2000,-0.325,+2000,-0.325,+1800,-0.389,+1800,-0.389,+2101,-0.292,+1652,-0.437,+1800,-0.389,+1800,-0.389,+1800,-0.389,+1800,-0.389,+1600,-0.453,+2100,-0.293,+1800,-0.389,+1600,-0.453,+1600,-0.453
"Zalatoris, Will",150,+3082,+2500,-0.183,+2800,-0.089,+2400,-0.214,+2500,-0.183,+2962,-0.038,+2957,-0.039,+2200,-0.277,+2500,-0.183,+2500,-0.183,+2500,-0.183,+2800,-0.089,+2800,-0.089,+2800,-0.089,+2200,-0.277,+2500,-0.183
"Matsuyama, Hideki",150,+3607,+3300,-0.083,+3300,-0.083,+3400,-0.056,+3000,-0.164,+3582,-0.007,+4050,0.119,+3300,-0.083,+3400,-0.056,+3000,-0.164,+2800,-0.218,+3300,-0.083,+2600,-0.272,+3000,-0.164,+2800,-0.218,+3300,-0.083
"Im, Sungjae",150,+4238,+4500,0.060,+3500,-0.170,+4000,-0.055,+4000,-0.055,+4786,0.126,+4050,-0.043,+4000,-0.055,+4500,0.060,+4500,0.060,+3300,-0.216,+4000,-0.055,+3800,-0.101,+4000,-0.055,,0.00,+4000,-0.055
"Smith, Cameron",150,+4349,+2800,-0.348,+3000,-0.303,+2800,-0.348,+2500,-0.416,+2089,-0.508,+2060,-0.515,+2800,-0.348,+2500,-0.416,+2800,-0.348,+2500,-0.416,+2800,-0.348,+2500,-0.416,+2800,-0.348,+2200,-0.483,+2800,-0.348
"Burns, Sam",150,+4938,+3000,-0.385,+3000,-0.385,+2700,-0.444,+3000,-0.385,+2774,-0.430,+2753,-0.434,+2500,-0.484,+2800,-0.424,+2800,-0.424,+2500,-0.484,+2800,-0.424,+3000,-0.385,+3000,-0.385,+2500,-0.484,+3000,-0.385
