tour,year,season,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,course_par,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw
pga,2022,2022,Genesis Scottish Open,541,"Schauffele, Xander",19895,1,1,The Renaissance Club,977,70,72,-1.547,0.643,0.366,0.532,1.541,-0.006,296.5,0.462,0.667,0.375,70.855,37.38
pga,2022,2022,Genesis Scottish Open,541,"Schauffele, Xander",19895,1,2,The Renaissance Club,977,70,65,0.586,2.122,4.603,0.255,6.98,7.566,297.8,0.385,0.667,0.833,41.533,28.111
pga,2022,2022,Genesis Scottish Open,541,"Schauffele, Xander",19895,1,3,The Renaissance Club,977,70,66,2.357,0.675,0.558,1.035,2.268,4.625,304.5,0.462,0.833,0.6,52.143,36.494
pga,2022,2022,Genesis Scottish Open,541,"Schauffele, Xander",19895,1,4,The Renaissance Club,977,70,70,0.988,-0.481,-0.581,0.574,-0.488,0.5,294.3,0.615,0.667,0.333,69.728,42.273
pga,2022,2022,Genesis Scottish Open,541,"Kitayama, Kurt",21891,2,1,The Renaissance Club,977,70,66,3.519,2.283,-0.044,0.235,2.475,5.994,307.3,0.385,0.556,0.778,32.752,41.74
pga,2022,2022,Genesis Scottish Open,541,"Kitayama, Kurt",21891,2,2,The Renaissance Club,977,70,71,0.645,0.522,0.476,-0.077,0.921,1.566,304.5,0.231,0.556,0.75,37.679,36.386
pga,2022,2022,Genesis Scottish Open,541,"Kitayama, Kurt",21891,2,3,The Renaissance Club,977,70,71,-0.66,-0.785,1.208,-0.138,0.285,-0.375,309.1,0.538,0.667,0.5,16.642,37.888
pga,2022,2022,Genesis Scottish Open,541,"Kitayama, Kurt",21891,2,4,The Renaissance Club,977,70,66,2.136,-0.542,1.312,1.594,2.364,4.5,321.4,0.538,0.778,0.429,32.746,37.172
pga,2022,2022,Genesis Scottish Open,541,"Kim, Joohyung",24766,3,1,The Renaissance Club,977,70,68,1.245,0.374,1.522,0.853,2.748,3.994,286.1,0.538,0.778,0.667,4.464,30.952
pga,2022,2022,Genesis Scottish Open,541,"Kim, Joohyung",24766,3,2,The Renaissance Club,977,70,71,1.078,0.777,-0.396,0.106,0.488,1.566,284.8,0.538,0.5,0.636,53.558,35.395
pga,2022,2022,Genesis Scottish Open,541,"Kim, Joohyung",24766,3,3,The Renaissance Club,977,70,69,1.523,0.475,-0.218,-0.155,0.102,1.625,281.1,0.538,0.722,0.833,49.419,36.013
pga,2022,2022,Genesis Scottish Open,541,"Kim, Joohyung",24766,3,4,The Renaissance Club,977,70,67,0.303,-0.416,2.067,1.547,3.197,3.5,296.9,0.846,0.833,1.0,27.512,35.342
