,,Win,,Cover,,Total Points,,Implied,Implied Score,
Team,Date,Moneyline,$20 Bet,Spread,$20 Bet,Over-Under,$20 Bet,Win %,Team,Opp
Bethune-Cookman,2021-12-09 18:30:00,1100,220.00,24.5,17.39,138.0,18.18,8.0,56.8,81.3
North Carolina State,2021-12-09 18:30:00,-2200,0.91,-24.5,19.05,138.0,18.18,92.0,81.3,56.8
Texas,2021-12-09 18:30:00,-125,16.00,-1.0,18.18,133.0,16.67,53.2,67.0,66.0
Seton Hall,2021-12-09 18:30:00,105,21.00,1.0,18.18,133.0,20.00,46.8,66.0,67.0
Hampton,2021-12-09 19:00:00,155,31.00,4.5,18.18,136.5,20.00,37.9,66.0,70.5
William & Mary,2021-12-09 19:00:00,-180,11.11,-4.5,18.18,136.5,16.67,62.1,70.5,66.0
Purdue,2021-12-09 19:00:00,-850,2.35,-13.0,17.39,139.5,19.05,85.8,76.3,63.3
Rutgers,2021-12-09 19:00:00,575,115.00,13.0,19.05,139.5,17.39,14.2,63.3,76.3
LIU-Brooklyn,2021-12-09 19:00:00,,,7.5,18.18,144.0,18.18,,68.3,75.8
Fordham,2021-12-09 19:00:00,,,-7.5,18.18,144.0,18.18,,75.8,68.3
Detroit,2021-12-09 19:00:00,215,43.00,6.0,18.18,137.5,18.18,30.4,65.8,71.8
Kent State,2021-12-09 19:00:00,-265,7.55,-6.0,18.18,137.5,18.18,69.6,71.8,65.8
Nicholls State,2021-12-09 19:00:00,,,-19.0,18.18,145.5,19.05,,82.3,63.3
Mississippi Valley St.,2021-12-09 19:00:00,,,19.0,18.18,145.5,17.39,,63.3,82.3
Colgate,2021-12-09 20:00:00,-150,13.33,-3.0,18.18,136.5,18.18,58.0,69.8,66.8
Pittsburgh,2021-12-09 20:00:00,130,26.00,3.0,18.18,136.5,18.18,42.0,66.8,69.8
Monmouth,2021-12-09 20:30:00,350,70.00,8.5,18.18,154.0,17.39,21.2,72.8,81.3
St. John's,2021-12-09 20:30:00,-475,4.21,-8.5,18.18,154.0,19.05,78.8,81.3,72.8
Iowa,2021-12-09 21:00:00,-210,9.52,-5.0,18.18,151.0,18.18,65.1,78.0,73.0
Iowa State,2021-12-09 21:00:00,175,35.00,5.0,18.18,151.0,18.18,34.9,73.0,78.0
Denver,2021-12-09 21:00:00,575,115.00,14.0,17.39,146.0,18.18,14.2,66.0,80.0
New Mexico,2021-12-09 21:00:00,-850,2.35,-14.0,19.05,146.0,18.18,85.8,80.0,66.0
Merrimack,2021-12-09 21:00:00,,,31.5,18.18,136.5,19.05,,52.5,84.0
Gonzaga,2021-12-09 21:00:00,,,-31.5,18.18,136.5,17.39,,84.0,52.5
Grand Canyon,2021-12-09 21:30:00,145,29.00,3.5,18.18,131.0,17.39,39.6,63.8,67.3
Arizona State,2021-12-09 21:30:00,-165,12.12,-3.5,18.18,131.0,19.05,60.4,67.3,63.8
