"","Name","ID","Salary","AvgPointsPerGame","fpts","proj_own","ceil","floor","scoring_points","finish_points","total_points","value","projected_ownership","sg_putt_pred","sg_putt_rank","sg_arg_pred","sg_arg_rank","sg_app_pred","sg_app_rank","sg_ott_pred","sg_ott_rank","sg_total_pred","sg_total_rank","distance_pred","distance_rank","accuracy_pred","accuracy_rank","baseline","age","age_adj","true_sg_adj","timing_adj","sg_category_adj","course_history_adj","driving_dist_adj","driving_acc_adj","fit_other_adj","course_fit_total_adj","final_prediction","make_cut","top_20","top_10","top_5","win","odds_per_dollar","residuals","course_fit","own_change","adj_own","one","date","tournament"
"1","Rory McIlroy",23258438,11100,88.59,94.68,22.7,115.85,75,77.8,7.2,84.9,0.77,17.1684046541992,0.39,15,0.225,25,0.796,6,0.808,2,2.219,2,21.513,3,-0.009,222,2.199,33,-0.002,0.044,0.005,-0.028,0.006,0.143,0.023,-0.009,0.156,2.22,0.8358,0.5074,0.3436,0.2198,0.0662,5.96,1.4,2.34,10.29,30,1,2022-07-01,"Open Championship"
"2","Scottie Scheffler",23258439,11000,86.3,87.35,10.4,109,49.3,74.3,6.2,80.5,0.55,12.9961036244963,0.268,50,0.268,13,0.974,1,0.727,6,2.236,1,12.6,32,0.023,117,2.1,26,0.022,0.082,-0.043,0.076,0,0.083,-0.052,-0.023,0.008,2.016,0.8138,0.4525,0.2882,0.1745,0.0465,4.23,-0.19,1.88,6.3,20,1,2022-07-01,"Open Championship"
"3","Jon Rahm",23258440,10800,79.18,84.15,9.8,107.5,36.5,73.4,5.9,79.3,0.54,11.8398879095279,0.282,42,0.113,89,0.631,13,0.877,1,1.903,7,17.541,14,0.038,82,1.866,27,0.016,-0.041,-0.013,0.075,-0.015,0.116,-0.087,-0.012,0.017,1.889,0.8004,0.4237,0.2646,0.157,0.0418,3.87,-0.29,1.61,5.2,15,1,2022-07-01,"Open Championship"
"4","Justin Thomas",23258441,10500,90.06,87.22,12.2,109.5,41,72.4,5.6,77.9,0.55,13.6675723490009,0.228,60,0.28,9,0.9,2,0.562,17,1.97,4,12.49,35,-0.035,302,1.863,29,0.011,0.096,-0.003,0.003,0.009,0.083,0.082,-0.02,0.144,1.839,0.798,0.4149,0.2558,0.1527,0.0395,3.76,-0.03,1.61,5.59,20,1,2022-07-01,"Open Championship"
"5","Collin Morikawa",23258442,10300,74.38,76.44,4.6,100,33,64.2,3.6,67.8,0.05,8.58598689459784,0.083,142,-0.001,178,0.764,8,0.521,23,1.367,15,2.706,164,0.072,27,1.344,25,0.024,0.078,-0.022,-0.058,0,0.018,-0.167,-0.035,-0.184,1.212,0.7067,0.2747,0.1493,0.0762,0.0158,1.53,-2.03,0.19,-2.38,5,1,2022-07-01,"Open Championship"
"6","Jordan Spieth",23258443,10000,70.53,75.3,21.1,100,32.5,66.9,4.2,71,0.3,16.1341036715586,0.132,107,0.279,10,0.459,32,0.386,44,1.256,19,7.202,88,-0.027,282,1.259,28,0.012,-0.061,-0.022,0.067,0.015,0.047,0.064,-0.003,0.109,1.393,0.723,0.3049,0.1675,0.0906,0.0195,1.95,-1.28,0.92,1.3,20,1,2022-07-01,"Open Championship"
"7","Xander Schauffele",23258444,9900,86.24,91.62,27.4,112.5,71.5,70.6,5.3,75.9,0.59,15.1927797940161,0.409,14,0.245,18,0.807,4,0.442,34,1.903,6,8.731,63,0.03,103,2.073,28,0.013,0.018,-0.028,-0.173,0,0.058,-0.069,-0.008,-0.02,1.762,0.7868,0.3937,0.2381,0.1364,0.0315,3.18,0.06,1.89,6.7,30,1,2022-07-01,"Open Championship"
"8","Matt Fitzpatrick",23258445,9700,71.47,83.85,19,106.5,36,71.5,5.6,77.1,0.7,12.02933815132,0.439,9,0.3,5,0.522,28,0.745,5,2.006,3,5.659,107,0.048,64,1.894,27,0.016,0.087,0.006,0.002,-0.001,0.037,-0.111,0.011,-0.063,1.832,0.7951,0.4032,0.2451,0.141,0.0322,3.32,0.41,1.87,7.16,25,1,2022-07-01,"Open Championship"
"9","Will Zalatoris",23258446,9600,68.47,77.94,12.3,102,34,68.5,4.7,73.2,0.52,11.5006948730175,0.085,138,0.103,96,0.84,3,0.695,8,1.723,8,13.38,28,-0.027,281,1.639,25,0.022,0.007,0.021,0.034,0,0.089,0.064,-0.033,0.119,1.587,0.7691,0.361,0.2101,0.1179,0.027,2.81,-0.01,0.81,2.82,15,1,2022-07-01,"Open Championship"
"10","Cameron Smith",23258447,9500,80.47,75.67,14.4,101.5,33,67.7,4.4,72.1,0.49,17.1412637512701,0.507,4,0.292,6,0.642,11,0.037,162,1.478,11,2.464,169,-0.024,270,1.718,28,0.013,-0.035,0.003,-0.221,0,0.016,0.058,0.007,0.081,1.487,0.7455,0.339,0.1953,0.1079,0.0249,2.62,-0.1,1.7,5.8,20,1,2022-07-01,"Open Championship"
"11","Patrick Cantlay",23258448,9400,81.54,85.78,12.5,107,40,71.2,5.3,76.5,0.75,14.3392157952302,0.415,12,0.267,14,0.615,17,0.62,12,1.917,5,7.92,77,0.001,185,1.981,30,0.008,0.025,-0.026,-0.071,0,0.052,-0.001,0.003,0.054,1.735,0.7758,0.3891,0.2336,0.1359,0.0339,3.61,0.99,1.75,7.61,20,1,2022-07-01,"Open Championship"
"12","Shane Lowry",23258449,9300,70.91,81.62,16.8,105,35,73.5,6.1,79.7,0.94,15.2275281627019,0.147,99,0.286,8,0.779,7,0.452,31,1.664,9,5.464,114,0.023,116,1.691,35,-0.008,0.049,-0.01,-0.058,0.107,0.036,-0.053,-0.018,-0.035,1.985,0.8162,0.4566,0.289,0.1757,0.0472,5.08,2.55,1.18,7.95,25,1,2022-07-01,"Open Championship"
"13","Dustin Johnson",23258450,9200,63.38,74.26,6.6,99.5,32.5,67.9,4.5,72.4,0.58,11.1412571158427,0.134,106,0.151,68,0.671,10,0.495,25,1.451,13,15.056,23,-0.033,299,1.42,38,-0.017,0.064,-0.031,0.016,0.004,0.1,0.078,-0.02,0.159,1.477,0.7396,0.3257,0.1869,0.103,0.0238,2.59,0.15,1.06,3.94,15,1,2022-07-01,"Open Championship"
"14","Hideki Matsuyama",23258451,9100,77.97,75.36,7.2,100,32.5,65,3.8,68.8,0.41,9.85537326875395,0.084,139,0.21,33,0.806,5,0.306,66,1.406,14,3.595,146,0.01,157,1.51,30,0.008,-0.039,-0.007,-0.066,0.008,0.024,-0.023,-0.027,-0.026,1.287,0.7175,0.2865,0.1585,0.0822,0.0171,1.88,-0.48,0.69,1.69,10,1,2022-07-01,"Open Championship"
"15","Viktor Hovland",23258452,9000,81.58,74.67,4.2,99.35,33,62.9,3.4,66.3,0.3,6.78459622534657,0.221,64,-0.275,399,0.638,12,0.583,16,1.167,21,9.328,51,0.034,95,1.214,24,0.026,-0.01,0.02,-0.083,0,0.062,-0.077,-0.036,-0.051,1.097,0.6942,0.2513,0.1302,0.0648,0.0125,1.39,-0.88,-0.07,-1.56,5,1,2022-07-01,"Open Championship"
"16","Sam Burns",23258453,8900,75.25,75.69,10.8,100.5,33,63.1,3.2,66.3,0.33,9.10761062532861,0.499,5,0.063,125,0.515,29,0.162,115,1.24,20,8.465,66,-0.029,290,1.463,25,0.022,0.001,-0.003,-0.243,0,0.056,0.069,0.002,0.127,1.059,0.6753,0.2404,0.1256,0.0648,0.0125,1.4,-0.79,1.27,3.26,15,1,2022-07-01,"Open Championship"
"17","Louis Oosthuizen",23258454,8800,60.88,75.37,6.3,100,33,62.9,3.4,66.3,0.35,10.0703733162939,0.29,40,0.199,38,0.32,50,0.295,67,1.105,27,-1.863,248,0.042,76,1.198,39,-0.023,0.047,-0.034,-0.084,0.099,-0.013,-0.096,0.008,-0.101,1.136,0.6865,0.2532,0.1366,0.0714,0.0143,1.63,-0.46,0.73,1.86,10,1,2022-07-01,"Open Championship"
"18","Tyrrell Hatton",23258455,8700,66.74,72.77,7.8,98.5,32.5,65.8,3.9,69.8,0.56,9.15281889567428,0.341,25,0.215,31,0.207,77,0.089,147,0.852,41,4.633,130,-0.041,328,0.868,30,0.006,0.029,0.012,-0.064,0.043,0.03,0.098,0.018,0.146,1.311,0.7143,0.2874,0.1582,0.0844,0.0183,2.1,0.11,0.95,3.49,10,1,2022-07-01,"Open Championship"
"19","Tommy Fleetwood",23258456,8600,68.86,75.35,17.2,100,32.5,67.3,4.4,71.6,0.69,12.4588392540881,0.296,37,0.224,26,0.392,40,0.216,89,1.127,25,2.758,162,0.002,183,1.215,31,0.004,0.055,-0.026,-0.121,0.123,0.018,-0.002,0.006,0.022,1.512,0.7543,0.3333,0.1862,0.102,0.0223,2.59,0.7,0.98,4.48,20,1,2022-07-01,"Open Championship"
"20","Brooks Koepka",23258457,8500,56.75,67.59,2.6,95,31,61.7,3.1,64.8,0.35,7.17163558272065,0.119,118,-0.013,189,0.24,68,0.439,36,0.784,51,13.439,27,-0.051,352,0.682,32,0.002,0.097,-0.045,0.048,0.063,0.089,0.12,-0.007,0.203,0.963,0.6678,0.2252,0.1151,0.0561,0.0102,1.2,-0.58,0.22,-0.1,5,1,2022-07-01,"Open Championship"
"21","Tony Finau",23258458,8400,67.08,76.16,16.7,100,33.5,65.4,4,69.4,0.62,14.7914498938937,0.121,117,0.204,37,0.59,20,0.423,40,1.339,16,8.462,67,-0.026,277,1.42,32,-0.001,0.006,-0.049,-0.038,-0.008,0.056,0.061,-0.014,0.103,1.36,0.7368,0.303,0.1661,0.0858,0.0168,2,0.32,0.81,3.31,20,1,2022-07-01,"Open Championship"
"22","Sungjae Im",23258459,8300,73.32,75.97,7.1,100.5,33,65.5,4,69.5,0.65,8.40463464306055,0.239,57,0.261,17,0.446,33,0.587,15,1.532,10,3.446,152,0.054,52,1.4,24,0.028,0.069,-0.049,0.084,0,0.023,-0.125,0.003,-0.1,1.297,0.7191,0.2874,0.1565,0.0811,0.016,1.93,0.36,1.15,4.56,10,1,2022-07-01,"Open Championship"
"23","Corey Conners",23258460,8200,66.38,71.29,6.2,97,31.5,60.4,3,63.3,0.35,6.35107665980459,0.062,156,0.009,171,0.575,24,0.624,11,1.27,18,2.398,171,0.074,25,1.314,30,0.007,0.001,-0.013,-0.039,0,0.016,-0.17,-0.026,-0.18,0.976,0.6753,0.2188,0.112,0.0531,0.009,1.1,-0.36,0.08,-0.26,5,1,2022-07-01,"Open Championship"
"24","Bryson DeChambeau",23258461,8100,46.19,56.74,4.6,86.5,28.5,54.1,1.9,55.9,-0.01,5.7547043259358,0.266,51,-0.133,311,-0.144,216,0.309,63,0.297,104,26.203,2,-0.087,407,0.525,28,0.013,0.042,-0.284,0.001,0,0.174,0.204,0.015,0.393,0.376,0.5633,0.1302,0.0573,0.0254,0.0036,0.44,-0.92,0.62,0.79,5,1,2022-07-01,"Open Championship"
"25","Joaquin Niemann",23258462,8000,70.97,73.97,16.7,99,33,65.2,3.9,69.1,0.7,10.2187897217626,0.105,128,0.11,91,0.593,19,0.661,10,1.47,12,11.604,39,-0.022,267,1.261,23,0.029,0.051,0.021,0.107,0,0.077,0.054,-0.019,0.111,1.318,0.723,0.2874,0.1548,0.0803,0.0169,2.11,0.84,0.69,3.67,15,1,2022-07-01,"Open Championship"
"26","Max Homa",23258464,7900,73.47,76.24,24.6,101,33,63.2,3.3,66.5,0.59,11.9471257179116,0.158,93,0.058,128,0.54,26,0.557,19,1.314,17,7.495,84,0.02,129,1.367,31,0.004,0.022,0.029,-0.107,0,0.049,-0.046,-0.017,-0.013,1.098,0.6815,0.2427,0.1253,0.0631,0.0123,1.56,0.38,0.54,2.46,20,1,2022-07-01,"Open Championship"
