player_name,sample_size,baseline,links_adj,age,age_adj,true_sg_adj,timing_adj,sg_category_adj,course_history_adj,driving_dist_adj,driving_acc_adj,fit_other_adj,course_fit_total_adj,final_prediction,std_dev,event_name,course_name
"List, Luke",150,0.543,-0.238,37,-0.016,0.040,-0.001,0.320,0.000,0.102,0.050,-0.052,0.100,0.748,2.937,"The Open Championship","St. Andrews Links (Old Course)"
"Leishman, Marc",150,0.738,0.028,38,-0.020,-0.017,-0.007,-0.126,0.041,0.024,0.059,0.007,0.090,0.728,2.950,"The Open Championship","St. Andrews Links (Old Course)"
"Tringale, Cameron",150,0.919,-0.154,34,-0.007,0.045,-0.018,-0.081,0.010,0.008,-0.028,0.005,-0.014,0.700,2.964,"The Open Championship","St. Andrews Links (Old Course)"
"Pereira, Mito",150,1.044,-0.271,27,0.018,0.004,-0.017,-0.000,0.000,0.036,-0.097,-0.024,-0.085,0.693,2.982,"The Open Championship","St. Andrews Links (Old Course)"
"Meronk, Adrian",150,0.575,-0.110,29,0.012,0.008,0.022,0.078,-0.009,0.055,0.028,0.019,0.103,0.678,2.990,"The Open Championship","St. Andrews Links (Old Course)"
"Arnaus, Adri",150,0.301,-0.058,27,0.016,0.032,0.001,0.109,0.012,0.094,0.153,0.010,0.257,0.670,3.054,"The Open Championship","St. Andrews Links (Old Course)"
"Casey, Paul",150,0.882,-0.020,44,-0.040,-0.025,-0.015,-0.116,0.023,0.044,-0.043,-0.029,-0.028,0.661,2.972,"The Open Championship","St. Andrews Links (Old Course)"
"Clark, Wyndham",150,0.363,-0.195,28,0.013,0.014,-0.009,0.170,0.000,0.110,0.162,0.031,0.304,0.661,2.972,"The Open Championship","St. Andrews Links (Old Course)"
"Kokrak, Jason",150,0.716,-0.236,37,-0.014,0.078,-0.017,0.058,0.000,0.068,-0.011,-0.001,0.056,0.641,3.003,"The Open Championship","St. Andrews Links (Old Course)"
"Bezuidenhout, Christiaan",150,0.779,-0.034,28,0.015,0.035,-0.013,-0.056,0.034,-0.053,-0.108,0.021,-0.140,0.620,2.936,"The Open Championship","St. Andrews Links (Old Course)"
"Theegala, Sahith",150,0.587,-0.243,24,0.026,0.084,-0.053,0.069,0.000,0.028,0.086,-0.005,0.110,0.580,2.990,"The Open Championship","St. Andrews Links (Old Course)"
"Kim, Si Woo",150,0.624,-0.092,27,0.019,-0.002,0.005,0.141,0.000,-0.001,-0.116,0.001,-0.115,0.579,2.958,"The Open Championship","St. Andrews Links (Old Course)"
"Munoz, Sebastian",150,0.988,-0.288,29,0.010,-0.021,-0.018,-0.021,0.000,0.018,-0.091,-0.011,-0.084,0.566,3.012,"The Open Championship","St. Andrews Links (Old Course)"
"Horschel, Billy",150,1.180,-0.360,35,-0.010,0.017,-0.006,-0.119,0.011,-0.019,-0.150,0.011,-0.158,0.555,2.960,"The Open Championship","St. Andrews Links (Old Course)"
"Rose, Justin",150,0.795,-0.002,41,-0.030,-0.035,0.010,-0.193,0.002,0.003,-0.023,0.008,-0.012,0.535,3.016,"The Open Championship","St. Andrews Links (Old Course)"
"Lee, Kyounghoon",150,0.644,-0.057,30,0.006,0.041,-0.012,-0.037,0.000,0.014,-0.078,0.006,-0.058,0.528,2.989,"The Open Championship","St. Andrews Links (Old Course)"
"Reed, Patrick",150,0.770,-0.160,31,0.002,-0.040,-0.012,-0.053,0.011,-0.030,0.006,0.028,0.004,0.523,2.966,"The Open Championship","St. Andrews Links (Old Course)"
"Li, Haotong",150,-0.194,0.287,26,0.019,-0.016,0.202,-0.102,0.054,0.028,0.221,0.003,0.252,0.502,3.111,"The Open Championship","St. Andrews Links (Old Course)"
"Macintyre, Robert",150,0.088,0.311,25,0.022,0.030,-0.001,-0.018,0.009,0.010,0.030,0.015,0.055,0.495,3.011,"The Open Championship","St. Andrews Links (Old Course)"
"Ancer, Abraham",150,0.861,-0.076,31,0.004,-0.052,0.001,-0.004,0.000,-0.021,-0.212,-0.011,-0.244,0.491,2.960,"The Open Championship","St. Andrews Links (Old Course)"
"Simpson, Webb",150,0.797,-0.167,36,-0.014,0.008,-0.062,0.004,0.010,-0.004,-0.087,-0.001,-0.091,0.485,2.963,"The Open Championship","St. Andrews Links (Old Course)"
"Frittelli, Dylan",150,0.133,-0.004,32,0.002,0.074,0.003,0.073,0.011,0.037,0.157,-0.002,0.192,0.482,2.990,"The Open Championship","St. Andrews Links (Old Course)"
"Lee, Min Woo",150,-0.190,-0.050,23,0.029,0.107,-0.006,0.352,-0.007,0.110,0.101,0.017,0.228,0.463,2.990,"The Open Championship","St. Andrews Links (Old Course)"
"Kirk, Chris",150,0.847,-0.262,37,-0.015,-0.096,0.020,0.075,0.000,-0.011,-0.109,0.004,-0.116,0.453,2.973,"The Open Championship","St. Andrews Links (Old Course)"
"Detry, Thomas",150,0.109,0.061,29,0.010,-0.008,-0.004,0.085,-0.004,0.071,0.115,0.013,0.200,0.449,2.970,"The Open Championship","St. Andrews Links (Old Course)"
"Henley, Russell",150,1.025,-0.309,33,-0.002,0.010,0.005,-0.132,0.015,-0.020,-0.128,-0.022,-0.169,0.443,2.951,"The Open Championship","St. Andrews Links (Old Course)"
"Hughes, Mackenzie",150,0.494,-0.022,31,0.004,0.019,-0.023,-0.162,0.000,-0.000,0.063,0.033,0.096,0.406,2.964,"The Open Championship","St. Andrews Links (Old Course)"
"Canter, Laurie",150,-0.018,0.184,32,-0.000,0.023,0.005,0.133,-0.009,0.068,0.025,-0.023,0.070,0.390,3.003,"The Open Championship","St. Andrews Links (Old Course)"
"Poston, J.T.",150,0.747,-0.243,29,0.012,0.003,0.028,-0.127,0.000,-0.010,-0.039,0.016,-0.033,0.387,3.015,"The Open Championship","St. Andrews Links (Old Course)"
"DeChambeau, Bryson",150,0.525,-0.315,28,0.013,0.042,-0.284,0.001,0.000,0.174,0.204,0.015,0.393,0.376,3.007,"The Open Championship","St. Andrews Links (Old Course)"
"Kitayama, Kurt",150,0.089,-0.161,29,0.010,0.028,0.055,0.109,0.000,0.088,0.158,-0.011,0.235,0.366,3.000,"The Open Championship","St. Andrews Links (Old Course)"
"Willett, Danny",150,-0.068,0.243,34,-0.007,0.029,-0.005,-0.023,0.071,0.001,0.070,0.029,0.099,0.340,2.964,"The Open Championship","St. Andrews Links (Old Course)"
"Cink, Stewart",150,0.301,0.006,49,-0.054,-0.039,0.016,-0.001,0.030,0.038,0.042,-0.010,0.070,0.328,3.018,"The Open Championship","St. Andrews Links (Old Course)"
"Armitage, Marcus",150,-0.086,0.194,35,-0.008,0.015,0.014,0.088,0.004,0.024,0.083,-0.029,0.079,0.300,2.938,"The Open Championship","St. Andrews Links (Old Course)"
"Lawrence, Thriston",150,0.112,0.018,25,0.023,0.041,0.031,0.022,0.011,0.023,0.017,0.002,0.042,0.300,2.990,"The Open Championship","St. Andrews Links (Old Course)"
"Mansell, Richard",150,-0.406,0.170,27,0.018,0.035,0.091,0.229,0.000,0.091,0.076,-0.014,0.153,0.290,2.990,"The Open Championship","St. Andrews Links (Old Course)"
