player_name,sample_size,baseline,links_adj,age,age_adj,true_sg_adj,timing_adj,sg_category_adj,course_history_adj,driving_dist_adj,driving_acc_adj,fit_other_adj,course_fit_total_adj,final_prediction,std_dev,event_name,course_name
"Brown, Barclay",150,-1.962,0.002,-1,0.000,0.000,0.235,-0.006,0.000,-0.040,0.062,0.014,0.035,-1.696,2.990,"The Open Championship","St. Andrews Links (Old Course)"
"Cho, Mingyu",150,-1.670,-0.049,33,-0.004,0.000,-0.035,-0.001,0.000,-0.035,0.053,0.014,0.032,-1.727,2.990,"The Open Championship","St. Andrews Links (Old Course)"
"Papadatos, Dimitrios",150,-2.174,-0.145,31,0.005,-0.006,0.035,0.064,-0.011,0.007,0.104,0.023,0.134,-2.099,2.990,"The Open Championship","St. Andrews Links (Old Course)"
"Wrigley, Alex",124,-2.201,0.002,-1,0.000,0.000,-0.058,-0.003,0.000,-0.047,0.072,0.018,0.042,-2.218,2.990,"The Open Championship","St. Andrews Links (Old Course)"
"De Los Santos, Justin",150,-2.236,-0.100,-1,0.000,0.000,0.057,-0.005,0.000,-0.047,0.071,0.017,0.042,-2.242,2.990,"The Open Championship","St. Andrews Links (Old Course)"
"Celli, Filippo",150,-2.525,-0.012,-1,0.000,-0.003,0.181,0.027,0.000,-0.000,0.056,0.011,0.066,-2.266,2.990,"The Open Championship","St. Andrews Links (Old Course)"
"Potgieter, Aldrich",41,-2.537,-0.078,-1,0.000,0.000,0.188,-0.007,0.000,-0.052,0.079,0.019,0.045,-2.388,3.031,"The Open Championship","St. Andrews Links (Old Course)"
"Ford, Matt",150,-2.498,0.305,44,-0.038,0.003,-0.086,0.024,-0.015,-0.155,-0.008,0.074,-0.089,-2.394,2.981,"The Open Championship","St. Andrews Links (Old Course)"
"Dinwiddie, Robert",150,-2.123,0.110,39,-0.022,0.000,-0.102,-0.064,-0.022,-0.124,-0.079,-0.001,-0.204,-2.429,2.983,"The Open Championship","St. Andrews Links (Old Course)"
"Lawrie, Paul",150,-2.443,0.145,53,-0.068,0.000,-0.308,-0.072,0.040,-0.067,0.140,0.021,0.094,-2.611,2.967,"The Open Championship","St. Andrews Links (Old Course)"
"Griffin, Matthew",150,-2.508,-0.078,38,-0.020,0.000,-0.070,0.026,-0.018,-0.052,0.056,0.043,0.047,-2.621,2.990,"The Open Championship","St. Andrews Links (Old Course)"
"Carey, David",150,-2.884,0.048,26,0.022,0.000,0.111,-0.008,0.000,-0.061,0.091,0.022,0.052,-2.658,2.990,"The Open Championship","St. Andrews Links (Old Course)"
"Morgan, Jediah",150,-3.069,-0.078,22,0.033,0.036,-0.068,0.005,0.000,-0.014,0.182,0.008,0.175,-2.966,2.990,"The Open Championship","St. Andrews Links (Old Course)"
"Floydd, Jack",150,-3.187,0.002,26,0.021,0.001,-0.072,0.070,0.000,0.038,0.105,0.016,0.159,-3.006,2.990,"The Open Championship","St. Andrews Links (Old Course)"
"Daly, John",150,-3.234,-0.141,56,-0.077,-0.030,0.037,0.078,0.045,-0.014,0.114,0.001,0.100,-3.220,3.124,"The Open Championship","St. Andrews Links (Old Course)"
"Mullarney, Ronan",150,-3.487,0.048,26,0.019,0.000,-0.033,-0.008,0.000,-0.075,0.112,0.028,0.065,-3.396,2.990,"The Open Championship","St. Andrews Links (Old Course)"
"Duval, David",149,-3.630,-0.263,50,-0.048,-0.001,-0.391,0.013,0.013,-0.083,0.309,0.048,0.275,-4.032,3.092,"The Open Championship","St. Andrews Links (Old Course)"
"Dodd, Stephen",150,-3.917,0.065,56,-0.076,0.000,-0.205,-0.008,0.005,-0.087,0.129,0.033,0.076,-4.062,2.983,"The Open Championship","St. Andrews Links (Old Course)"
