"","G","G","G","G","G","G"
"1",23258445,23258449,23258456,23258458,23258489,23258508
"2",23258445,23258449,23258456,23258458,23258489,23258504
"3",23258445,23258449,23258456,23258462,23258489,23321384
"4",23258445,23258449,23258458,23258462,23258474,23258489
"5",23258445,23258449,23258456,23258458,23321384,23258521
"6",23258447,23258450,23258457,23258462,23258474,23258506
"7",23258443,23258447,23258450,23258474,23258504,23258506
"8",23258443,23258447,23258450,23258484,23258493,23258504
"9",23258443,23258447,23258451,23258465,23258493,23258532
"10",23258443,23258451,23258455,23258460,23258483,23258523
"11",23258440,23258454,23258455,23258465,23258495,23258512
"12",23258440,23258452,23258454,23258483,23258488,23321377
"13",23258440,23258444,23258464,23258481,23258488,23258503
"14",23258439,23258444,23258464,23258481,23258486,23258527
"15",23258439,23258444,23258464,23258475,23321378,23258511
"16",23258439,23258441,23258464,23321381,23258505,23258536
"17",23258439,23258444,23258461,23258478,23321383,23258530
"18",23258441,23258444,23258448,23258500,23258529,23258530
"19",23258441,23258444,23258448,23258515,23258516,23258522
"20",23258438,23258441,23258478,23258479,23258498,23258510
