player_name,sample_size,DG_odds,bet365_odds,bet365_ev,whill_odds,whill_ev,fanduel_odds,fanduel_ev,draftkings_odds,draftkings_ev,pinnacle_odds,pinnacle_ev,betcris_odds,betcris_ev,betfair_odds,betfair_ev,betonline_odds,betonline_ev,betway_odds,betway_ev,bovada_odds,bovada_ev,circa_odds,circa_ev,pointsbet_odds,pointsbet_ev,skybet_odds,skybet_ev,unibet_odds,unibet_ev
"Lee, Min Woo",150,+20205,+22500,0.113,+15000,-0.256,+12000,-0.404,+25000,0.236,+22787,0.127,+25050,0.239,+8000,-0.601,,0.00,+15000,-0.256,+20000,-0.010,+25000,0.236,+15000,-0.256,+14000,-0.306,+25000,0.236
"Theegala, Sahith",150,+20625,+20000,-0.030,+15000,-0.271,+16000,-0.223,+18000,-0.127,+22787,0.104,+23050,0.117,+12500,-0.392,,0.00,+15000,-0.271,+15000,-0.271,+20000,-0.030,+15000,-0.271,+12500,-0.392,+15000,-0.271
"Lee, Kyounghoon",150,+21064,+25000,0.186,,0.00,+21000,-0.003,+18000,-0.145,+34179,0.620,+30250,0.434,,0.00,,0.00,,0.00,+25000,0.186,+37500,0.777,+20000,-0.050,,0.00,,0.00
"Simpson, Webb",150,+21758,+15000,-0.309,+10000,-0.538,+16000,-0.263,+13000,-0.401,+18908,-0.130,+16050,-0.261,+12500,-0.424,,0.00,+10000,-0.538,+20000,-0.080,+16500,-0.241,+12500,-0.424,+14000,-0.355,+10000,-0.538
"Horschel, Billy",150,+23156,+10000,-0.566,+9000,-0.609,+12000,-0.480,+10000,-0.566,+12155,-0.473,+9050,-0.607,+8000,-0.652,,0.00,+8000,-0.652,+12500,-0.458,+14000,-0.394,+9000,-0.609,+8000,-0.652,+8000,-0.652
"Bezuidenhout, Christiaan",150,+23292,+12500,-0.461,+10000,-0.568,+11000,-0.525,+8000,-0.654,+13549,-0.417,+10250,-0.558,+8000,-0.654,,0.00,+8000,-0.654,+15000,-0.354,+17500,-0.248,+10000,-0.568,+9000,-0.611,+10000,-0.568
"Macintyre, Robert",150,+23429,+11000,-0.528,+8000,-0.656,+6000,-0.741,+13000,-0.443,+12155,-0.479,+15250,-0.348,+4000,-0.826,,0.00,+6600,-0.715,+10000,-0.571,+11000,-0.528,+8000,-0.656,+6600,-0.715,+12500,-0.464
"Kim, Si Woo",150,+24440,+20000,-0.181,+15000,-0.385,+19000,-0.222,+18000,-0.262,+25675,0.050,+20050,-0.179,+15000,-0.385,,0.00,+15000,-0.385,,0.00,,0.00,+15000,-0.385,+14000,-0.425,+17500,-0.283
"Reed, Patrick",150,+24591,+12500,-0.490,+9000,-0.631,+10000,-0.591,+10000,-0.591,+12155,-0.504,+10250,-0.581,+10000,-0.591,,0.00,+8000,-0.672,+12500,-0.490,+13500,-0.449,+9000,-0.631,+8000,-0.672,+8000,-0.672
"Kitayama, Kurt",150,+25541,+20000,-0.216,+12500,-0.509,+12000,-0.528,+20000,-0.216,+16202,-0.364,,0.00,+10000,-0.606,,0.00,+12500,-0.509,+15000,-0.411,+20000,-0.216,+12500,-0.509,+12500,-0.509,,0.00
"Cink, Stewart",150,+25706,+25000,-0.027,+20000,-0.221,+21000,-0.182,+25000,-0.027,+30384,0.181,+30250,0.176,+17500,-0.318,,0.00,+20000,-0.221,+25000,-0.027,+42500,0.651,+20000,-0.221,+20000,-0.221,+20000,-0.221
"Mansell, Richard",150,+26044,+75000,1.873,+30000,0.151,+42000,0.610,+40000,0.534,,0.00,,0.00,+25000,-0.040,,0.00,+25000,-0.040,+30000,0.151,+120000,3.594,+35000,0.343,+27500,0.056,+50000,0.916
"Ancer, Abraham",150,+26390,+12500,-0.524,+9000,-0.656,+12000,-0.543,+13000,-0.505,+12752,-0.515,+16050,-0.390,+8000,-0.694,,0.00,+8000,-0.694,+15000,-0.430,+16000,-0.392,+9000,-0.656,+9000,-0.656,+9000,-0.656
"Poston, J.T.",150,+26390,+15000,-0.430,+10000,-0.619,+12000,-0.543,+15000,-0.430,+15187,-0.423,+18050,-0.315,+10000,-0.619,,0.00,+10000,-0.619,+15000,-0.430,+17500,-0.336,+10000,-0.619,+10000,-0.619,+12500,-0.524
"Kirk, Chris",150,+26567,+22500,-0.153,+20000,-0.246,+28000,0.054,+18000,-0.321,+34180,0.286,+28050,0.056,+20000,-0.246,,0.00,+20000,-0.246,,0.00,+37500,0.410,+20000,-0.246,+20000,-0.246,+17500,-0.340
"Detry, Thomas",150,+27111,+25000,-0.078,+17500,-0.353,+16000,-0.408,+25000,-0.078,+27852,0.027,+25050,-0.076,+12500,-0.537,,0.00,+15000,-0.445,+25000,-0.078,+40000,0.474,+15000,-0.445,+22500,-0.169,+15000,-0.445
"Frittelli, Dylan",150,+27297,+25000,-0.084,+20000,-0.266,+16000,-0.412,+25000,-0.084,+25319,-0.072,+20050,-0.265,+12500,-0.540,,0.00,+20000,-0.266,+25000,-0.084,+32500,0.190,+20000,-0.266,+20000,-0.266,+17500,-0.358
"Canter, Laurie",150,+27872,+75000,1.685,+25000,-0.103,+42000,0.505,+40000,0.434,,0.00,+50050,0.793,+25000,-0.103,,0.00,+20000,-0.281,+25000,-0.103,+70000,1.506,+25000,-0.103,+22500,-0.192,+25000,-0.103
"DeChambeau, Bryson",150,+29975,+12500,-0.581,+6600,-0.777,+6500,-0.781,+13000,-0.564,+9271,-0.688,+10050,-0.663,+6600,-0.777,,0.00,+6600,-0.777,+8000,-0.731,+9500,-0.681,+8000,-0.731,+6000,-0.797,+12500,-0.581
"Henley, Russell",150,+29975,+20000,-0.332,+15000,-0.498,+14000,-0.531,+15000,-0.498,+19542,-0.347,+20050,-0.330,+10000,-0.664,,0.00,+15000,-0.498,+25000,-0.165,+28500,-0.049,+15000,-0.498,+12500,-0.581,+15000,-0.498
"Hughes, Mackenzie",150,+33233,+35000,0.053,+20000,-0.397,+17000,-0.487,+18000,-0.457,+30384,-0.085,+35050,0.054,+12500,-0.622,,0.00,+20000,-0.397,+25000,-0.247,+47500,0.428,+20000,-0.397,+20000,-0.397,+20000,-0.397
"Willett, Danny",150,+34683,+15000,-0.566,+12500,-0.638,+11000,-0.681,+15000,-0.566,+18140,-0.476,+15250,-0.559,+8000,-0.767,,0.00,+12500,-0.638,+15000,-0.566,+20000,-0.422,+12500,-0.638,+10000,-0.710,+15000,-0.566
"Van Rooyen, Erik",150,+35936,+30000,-0.165,+17500,-0.512,+23000,-0.359,+30000,-0.165,+27852,-0.224,+23050,-0.358,+17500,-0.512,,0.00,+15000,-0.581,+25000,-0.303,+25000,-0.303,+20000,-0.442,+16000,-0.553,+20000,-0.442
"Lawrence, Thriston",150,+37283,+40000,0.073,+30000,-0.195,+32000,-0.141,+25000,-0.329,+40510,0.086,+40550,0.087,+25000,-0.329,,0.00,+20000,-0.462,+25000,-0.329,+47500,0.273,+25000,-0.329,+27500,-0.262,+25000,-0.329
"Grillo, Emiliano",150,+40716,+30000,-0.263,+20000,-0.508,+19000,-0.532,+20000,-0.508,+27852,-0.315,+23050,-0.433,+15000,-0.630,,0.00,+20000,-0.508,+25000,-0.385,+40000,-0.018,+20000,-0.508,+16000,-0.606,+20000,-0.508
"Perez, Victor",150,+42005,+17500,-0.582,+10000,-0.760,+11000,-0.736,+20000,-0.523,+16130,-0.615,+21305,-0.492,+8000,-0.808,,0.00,+10000,-0.760,+15000,-0.641,+23000,-0.451,+12500,-0.701,+10000,-0.760,+15000,-0.641
"Woods, Tiger",150,+42005,+9000,-0.784,+6000,-0.855,+6500,-0.843,+6000,-0.855,+9300,-0.777,+10048,-0.759,+5000,-0.879,,0.00,+5000,-0.879,+6600,-0.841,+11000,-0.736,+6600,-0.841,+6000,-0.855,+8000,-0.808
"Na, Kevin",150,+42453,+22500,-0.469,+15000,-0.645,+23000,-0.457,+13000,-0.692,+29484,-0.305,+22050,-0.479,+17500,-0.586,,0.00,+15000,-0.645,,0.00,+37500,-0.116,+15000,-0.645,+20000,-0.528,+15000,-0.645
"Kim, Joohyung",150,+42453,+17500,-0.586,+15000,-0.645,+12000,-0.716,+15000,-0.645,,0.00,+25050,-0.409,+10000,-0.763,,0.00,+15000,-0.645,+15000,-0.645,+22500,-0.469,+15000,-0.645,+12500,-0.704,,0.00
"Armitage, Marcus",150,+43378,+40000,-0.078,+30000,-0.308,+42000,-0.032,+40000,-0.078,,0.00,+40050,-0.077,+25000,-0.423,,0.00,+25000,-0.423,+30000,-0.308,+50000,0.152,+30000,-0.308,+27500,-0.365,+25000,-0.423
"Harman, Brian",150,+45355,+20000,-0.558,+15000,-0.668,+16000,-0.646,+20000,-0.558,+22787,-0.496,+22550,-0.502,+12500,-0.723,,0.00,+15000,-0.668,+25000,-0.448,+30000,-0.338,+15000,-0.668,+14000,-0.690,+15000,-0.668
"Jordan, Matthew",150,+46959,+40000,-0.148,+25000,-0.467,+17000,-0.637,+30000,-0.360,+40510,-0.137,+35050,-0.253,+12500,-0.732,,0.00,+20000,-0.573,+30000,-0.360,+45000,-0.042,+25000,-0.467,+22500,-0.520,+50000,0.065
"Hoge, Tom",150,+48680,+30000,-0.383,+20000,-0.588,+32000,-0.342,+30000,-0.383,+34589,-0.289,+36550,-0.249,+25000,-0.485,,0.00,+15000,-0.690,+25000,-0.485,+50000,0.027,+20000,-0.588,+16000,-0.670,+25000,-0.485
"Law, David",150,+49283,+75000,0.521,+50000,0.015,+42000,-0.147,+40000,-0.188,,0.00,,0.00,+25000,-0.492,,0.00,+30000,-0.390,+40000,-0.188,+100000,1.027,+40000,-0.188,+60000,0.217,+50000,0.015
"Zanotti, Fabrizio",150,+49900,+50000,0.002,+30000,-0.398,+42000,-0.158,+20000,-0.598,,0.00,,0.00,+25000,-0.498,,0.00,+25000,-0.498,+25000,-0.498,+80000,0.602,+30000,-0.398,+27500,-0.448,+20000,-0.598
"Larrazabal, Pablo",150,+49900,+30000,-0.398,+20000,-0.598,+28000,-0.438,+30000,-0.398,+35446,-0.289,+25050,-0.497,+20000,-0.598,,0.00,+15000,-0.698,+25000,-0.498,+45000,-0.098,+20000,-0.598,+16000,-0.678,,0.00
"Stenson, Henrik",150,+51182,+30000,-0.413,+20000,-0.608,+23000,-0.550,+30000,-0.413,+35446,-0.307,+40250,-0.213,+17500,-0.657,,0.00,+15000,-0.706,+25000,-0.511,+60000,0.172,+20000,-0.608,+20000,-0.608,+17500,-0.657
"Harrington, Padraig",150,+51848,+20000,-0.613,+12500,-0.757,+10000,-0.806,+15000,-0.709,+16202,-0.686,+16250,-0.685,+8000,-0.844,,0.00,+12500,-0.757,+15000,-0.709,+35000,-0.324,+12500,-0.757,+12500,-0.757,+20000,-0.613
"English, Harris",150,+59601,+25000,-0.580,+17500,-0.705,+19000,-0.680,+25000,-0.580,+25319,-0.574,+25250,-0.575,+15000,-0.747,,0.00,+15000,-0.747,+25000,-0.580,+20000,-0.663,+15000,-0.747,+16000,-0.730,+17500,-0.705
"Harding, Justin",150,+60506,+30000,-0.503,+20000,-0.668,+21000,-0.652,+30000,-0.503,+35446,-0.413,+25050,-0.585,+17500,-0.710,,0.00,+20000,-0.668,+25000,-0.586,+40000,-0.338,+20000,-0.668,+22500,-0.627,+17500,-0.710
"Wiesberger, Bernd",150,+61438,+25000,-0.592,+17500,-0.714,+21000,-0.657,+25000,-0.592,+30384,-0.505,+22550,-0.632,+17500,-0.714,,0.00,+15000,-0.755,+25000,-0.592,+47500,-0.226,+20000,-0.673,+20000,-0.673,+20000,-0.673
"Straka, Sepp",150,+66567,+40000,-0.398,+30000,-0.548,+42000,-0.368,+40000,-0.398,,0.00,,0.00,+25000,-0.623,,0.00,+30000,-0.548,,0.00,+80000,0.202,+35000,-0.474,+27500,-0.586,,0.00
"Bland, Richard",150,+67697,+35000,-0.482,+25000,-0.630,+30000,-0.556,+30000,-0.556,+35446,-0.476,+35050,-0.482,+25000,-0.630,,0.00,+20000,-0.704,+25000,-0.630,+55000,-0.187,+25000,-0.630,+22500,-0.667,+25000,-0.630
"Kisner, Kevin",150,+68866,+25000,-0.636,+15000,-0.781,+16000,-0.767,+20000,-0.709,+20254,-0.705,+20250,-0.705,+12500,-0.817,,0.00,+15000,-0.781,+25000,-0.636,+27500,-0.600,+15000,-0.781,+12500,-0.817,+25000,-0.636
"Mullinax, Trey",150,+75372,+40000,-0.469,+30000,-0.601,+42000,-0.442,+30000,-0.601,,0.00,,0.00,+30000,-0.601,,0.00,+25000,-0.667,+25000,-0.667,+50000,-0.336,+35000,-0.535,+27500,-0.634,,0.00
"Bjork, Alexander",150,+78331,+30000,-0.616,+25000,-0.680,+38000,-0.514,+30000,-0.616,+45573,-0.418,+38550,-0.507,+25000,-0.680,,0.00,+25000,-0.680,,0.00,+55000,-0.297,+25000,-0.680,+22500,-0.712,+20000,-0.744
"Molinari, Francesco",150,+79900,+25000,-0.686,+15000,-0.811,+16000,-0.799,+30000,-0.624,+25319,-0.682,+25050,-0.686,+12500,-0.843,,0.00,+12500,-0.843,+25000,-0.686,+17500,-0.780,+15000,-0.811,+16000,-0.799,+25000,-0.686
"Poulter, Ian",150,+92923,+30000,-0.676,+20000,-0.784,+30000,-0.676,+30000,-0.676,+40510,-0.563,+40050,-0.568,+25000,-0.730,,0.00,+15000,-0.838,+25000,-0.730,+40000,-0.569,+20000,-0.784,+16000,-0.827,+20000,-0.784
"Hojgaard, Nicolai",150,+97461,+35000,-0.640,+20000,-0.794,+21000,-0.784,+30000,-0.691,+30384,-0.688,+30050,-0.691,+17500,-0.820,,0.00,+15000,-0.845,,0.00,+42500,-0.563,+20000,-0.794,+20000,-0.794,+35000,-0.640
"Wu, Brandon",150,+99900,+40000,-0.599,+30000,-0.699,+32000,-0.679,+40000,-0.599,,0.00,,0.00,+30000,-0.699,,0.00,+25000,-0.749,+20000,-0.799,+55000,-0.449,+30000,-0.699,+20000,-0.799,,0.00
"Lombard, Zander",150,+108008,+75000,-0.305,+50000,-0.537,+42000,-0.611,+50000,-0.537,,0.00,,0.00,+25000,-0.768,,0.00,+40000,-0.629,+30000,-0.722,+150000,0.388,+50000,-0.537,+60000,-0.444,+50000,-0.537
"Scrivener, Jason",150,+114186,+40000,-0.649,+25000,-0.780,+38000,-0.667,+40000,-0.649,+45573,-0.600,+50050,-0.561,+20000,-0.824,,0.00,+20000,-0.824,,0.00,+70000,-0.387,+25000,-0.780,+22500,-0.802,+20000,-0.824
"Westwood, Lee",150,+117547,+25000,-0.787,+15000,-0.872,+17000,-0.855,+30000,-0.744,+27852,-0.762,+22050,-0.812,+12500,-0.893,,0.00,+12500,-0.893,+25000,-0.787,+35000,-0.702,+15000,-0.872,+14000,-0.880,+20000,-0.829
"Catlin, John",150,+173813,+40000,-0.769,+30000,-0.827,+42000,-0.758,+30000,-0.827,,0.00,,0.00,+25000,-0.856,,0.00,+30000,-0.827,+25000,-0.856,+55000,-0.683,+30000,-0.827,+27500,-0.841,+25000,-0.856
"Vincent, Scott",150,+181718,+75000,-0.587,+40000,-0.779,+42000,-0.768,+50000,-0.724,,0.00,,0.00,+25000,-0.862,,0.00,+25000,-0.862,+25000,-0.862,+60000,-0.669,+35000,-0.807,+50000,-0.724,,0.00
"Higa, Kazuki",150,+190376,+75000,-0.606,+40000,-0.789,+42000,-0.779,+40000,-0.789,,0.00,,0.00,+25000,-0.868,,0.00,+25000,-0.868,+50000,-0.737,+120000,-0.369,+40000,-0.789,+50000,-0.737,,0.00
"Higgo, Garrick",150,Inf,+40000,-0.810,+25000,-0.881,+28000,-0.867,+40000,-0.810,+40510,-0.807,+40050,-0.809,+20000,-0.905,,0.00,+20000,-0.905,+25000,-0.881,+55000,-0.738,+25000,-0.881,+22500,-0.893,+35000,-0.833
